time,open,high,low,close,volume
2020-01-06,14.92,14.92,14.92,14.92,0
2020-01-07,14.92,14.92,14.92,14.92,0
2020-01-08,14.92,14.92,14.92,14.92,0
2020-01-09,14.92,14.92,14.92,14.92,0
2020-01-10,14.92,14.92,14.92,14.92,100
2020-01-13,16.75,16.75,16.75,16.75,100
2020-01-14,19.25,19.25,19.25,19.25,100
2020-01-15,19.25,19.25,19.25,19.25,0
2020-01-16,19.25,19.25,19.25,19.25,0
2020-01-17,19.25,19.25,19.25,19.25,0
2020-01-20,21.32,21.32,21.32,21.32,100
2020-01-21,21.32,21.32,21.32,21.32,0
2020-01-22,21.32,21.32,21.32,21.32,1
2020-01-30,21.32,21.32,21.32,21.32,0
2020-01-31,21.32,21.32,21.32,21.32,0
2020-02-03,24.48,24.48,24.48,24.48,200
2020-02-04,24.48,24.48,24.48,24.48,0
2020-02-05,24.48,24.48,24.48,24.48,0
2020-02-06,24.48,24.48,24.48,24.48,0
2020-02-07,28.14,28.14,28.14,28.14,100
2020-02-10,28.14,28.14,28.14,28.14,0
2020-02-11,32.34,32.34,32.34,32.34,100
2020-02-12,32.34,32.34,32.34,32.34,0
2020-02-13,32.34,32.34,32.34,32.34,0
2020-02-14,32.34,32.34,32.34,32.34,0
2020-02-17,32.34,32.34,32.34,32.34,0
2020-02-18,32.34,32.34,32.34,32.34,0
2020-02-19,32.34,32.34,32.34,32.34,0
2020-02-20,32.34,32.34,32.34,32.34,0
2020-02-21,30.45,37.15,27.53,27.53,300
2020-02-24,31.73,31.73,31.73,27.53,0
2020-02-25,26.98,26.98,26.98,26.98,500
2020-02-26,26.98,26.98,26.98,26.98,0
2020-02-27,22.96,22.96,22.96,22.96,800
2020-02-28,22.72,22.72,22.72,22.72,100
2020-03-02,22.72,22.72,22.72,22.72,0
2020-03-03,22.72,22.72,22.72,22.72,0
2020-03-04,22.72,22.72,22.72,22.72,0
2020-03-05,22.72,22.72,22.72,22.72,0
2020-03-06,22.72,22.72,22.72,22.72,0
2020-03-09,22.72,22.72,22.72,22.72,0
2020-03-10,25.58,25.58,25.58,25.58,200
2020-03-11,25.58,25.58,25.58,25.58,0
2020-03-12,25.58,25.58,25.58,25.58,0
2020-03-13,25.58,25.58,25.58,25.58,0
2020-03-16,25.58,25.58,25.58,25.58,0
2020-03-17,25.58,25.58,25.58,25.58,2
2020-03-18,21.74,21.74,21.74,21.74,100
2020-03-19,18.52,18.52,18.52,18.52,100
2020-03-20,15.77,15.77,15.77,15.77,100
2020-03-23,15.77,15.77,15.77,15.77,0
2020-03-24,17.97,17.97,13.52,13.52,1500
2020-03-25,15.23,15.53,13.82,13.82,4800
2020-03-26,13.7,13.7,13.7,13.7,2900
2020-03-27,15.23,15.23,15.23,15.23,700
2020-03-30,15.23,15.23,15.23,15.23,0
2020-03-31,15.23,15.23,15.23,15.23,0
2020-04-01,15.53,15.53,15.53,15.53,900
2020-04-03,16.14,16.14,16.14,16.14,800
2020-04-06,16.14,16.14,16.14,16.14,0
2020-04-07,16.14,16.14,16.14,16.14,1700
2020-04-08,16.14,16.14,16.14,16.14,1200
2020-04-09,16.14,17.42,16.14,17.42,5000
2020-04-10,16.69,16.69,16.69,17.42,0
2020-04-13,14.62,14.62,14.62,14.62,1000
2020-04-14,13.58,13.58,13.1,13.1,2700
2020-04-15,12.79,15.16,12.79,15.16,5400
2020-04-16,14.86,14.86,14.68,14.68,300
2020-04-17,16.57,16.57,13.76,13.76,700
2020-04-20,14.56,14.56,14.56,13.76,0
2020-04-21,15.23,16.32,15.23,16.32,4400
2020-04-22,16.02,16.38,15.84,15.84,1000
2020-04-23,16.32,16.32,16.32,16.32,1900
2020-04-24,16.75,18.76,14.62,14.62,4200
2020-04-27,16.69,16.69,16.69,14.62,0
2020-04-28,14.62,17.66,14.62,17.66,3200
2020-04-29,14.68,15.41,14.62,15.41,2900
2020-05-04,16.08,16.14,16.08,16.14,2700
2020-05-05,16.08,16.08,16.08,16.08,200
2020-05-06,16.02,16.02,16.02,16.02,200
2020-05-07,14.92,14.92,14.92,14.92,400
