time,open,high,low,close,volume
2020-01-06,9.78,9.85,9.54,9.54,1823010
2020-01-07,9.54,9.78,9.54,9.62,1730250
2020-01-08,9.54,9.58,9.23,9.31,3128170
2020-01-09,9.39,9.51,9.31,9.35,1384510
2020-01-10,9.35,9.43,9.31,9.39,1326290
2020-01-13,9.39,9.43,9.23,9.31,1169460
2020-01-14,9.31,9.35,9.15,9.23,1342990
2020-01-15,9.23,9.27,9.12,9.23,1635150
2020-01-16,9.23,9.62,9.23,9.62,2496260
2020-01-17,9.62,9.85,9.62,9.7,1558730
2020-01-20,9.7,9.78,9.58,9.66,966320
2020-01-21,9.66,9.78,9.66,9.74,1110960
2020-01-22,9.74,9.82,9.66,9.78,1227740
2020-01-30,9.7,9.74,9.27,9.39,1954540
2020-01-31,9.31,9.47,8.92,8.92,2494770
2020-02-03,8.54,8.54,8.3,8.3,3895710
2020-02-04,8.34,8.57,8.34,8.54,2559460
2020-02-05,8.61,8.77,8.57,8.69,1404320
2020-02-06,8.69,9.27,8.69,9.27,3371200
2020-02-07,9.43,9.62,9.31,9.51,2769040
2020-02-10,9.39,9.47,9.19,9.39,1572940
2020-02-11,9.43,9.51,9.31,9.51,1747280
2020-02-12,9.54,9.7,9.35,9.58,2426410
2020-02-13,9.58,9.7,9.51,9.54,1291980
2020-02-14,9.54,9.62,9.43,9.54,1618790
2020-02-17,9.54,9.66,9.51,9.58,1409950
2020-02-18,9.62,9.66,9.47,9.47,1140090
2020-02-19,9.47,9.54,9.47,9.54,968690
2020-02-20,9.58,10.2,9.58,10.2,5029350
2020-02-21,10.32,10.71,10.2,10.32,3456060
2020-02-24,10.16,10.16,9.62,9.62,3068420
2020-02-25,9.39,9.82,9.39,9.78,3450400
2020-02-26,9.54,9.85,9.54,9.78,1458460
2020-02-27,9.74,10.01,9.74,9.85,1253640
2020-02-28,9.62,9.7,9.39,9.58,1825550
2020-03-02,9.58,9.62,9.51,9.62,1233480
2020-03-03,9.74,10.01,9.74,9.82,2053260
2020-03-04,9.78,9.82,9.66,9.82,1420570
2020-03-05,9.89,10.01,9.78,9.78,1283430
2020-03-06,9.74,9.74,9.51,9.58,1406520
2020-03-09,8.92,9.12,8.92,8.92,2892350
2020-03-10,8.46,8.96,8.46,8.81,1744030
2020-03-11,8.92,8.96,8.26,8.38,1725700
2020-03-12,7.95,8.07,7.8,7.8,2922340
2020-03-13,7.25,8.03,7.25,7.84,2171430
2020-03-16,8.07,8.38,7.99,8.38,1452840
2020-03-17,8.54,8.85,8.38,8.65,1651470
2020-03-18,8.77,8.81,8.5,8.54,1366460
2020-03-19,8.38,8.38,8.07,8.19,965070
2020-03-20,8.22,8.34,8.15,8.22,803610
2020-03-23,7.8,8.15,7.65,7.65,3325580
2020-03-24,7.76,7.95,7.65,7.84,2012300
2020-03-25,7.99,8.26,7.99,8.22,1874300
2020-03-26,8.26,8.3,7.99,8.03,1875580
2020-03-27,8.07,8.11,7.84,7.91,2079270
2020-03-30,7.6,7.74,7.45,7.53,1032500
2020-03-31,7.72,7.88,7.14,7.29,1836790
2020-04-01,7.37,7.75,7.29,7.75,923390
2020-04-03,7.76,8.03,7.61,7.99,2303190
2020-04-06,8.19,8.46,8.15,8.38,2073740
2020-04-07,8.5,8.54,8.11,8.26,1513250
2020-04-08,8.03,8.34,7.95,8.34,1362170
2020-04-09,8.46,8.73,8.34,8.46,2196120
2020-04-10,8.5,8.5,8.15,8.26,1045380
2020-04-13,8.19,8.5,8.19,8.26,1626670
2020-04-14,8.3,8.42,8.19,8.38,1358420
2020-04-15,8.5,8.96,8.46,8.96,4217640
2020-04-16,9.12,9.39,9.0,9.23,3776650
2020-04-17,9.31,9.47,9.15,9.19,1757170
2020-04-20,9.19,9.58,8.96,9.47,3293370
2020-04-21,9.31,9.43,8.85,8.88,3644030
2020-04-22,8.77,9.27,8.69,9.27,2463540
2020-04-23,9.35,9.66,9.27,9.66,3677570
2020-04-24,9.74,10.01,9.54,9.93,4389580
2020-04-27,10.09,10.2,9.82,9.85,2548000
2020-04-28,9.74,9.85,9.62,9.66,2371800
2020-04-29,9.7,9.93,9.54,9.58,3141090
2020-05-04,9.27,9.31,9.0,9.04,2753670
2020-05-05,9.08,9.47,9.04,9.39,1632300
2020-05-06,9.39,9.51,9.23,9.27,1736870
