time,open,high,low,close,volume
2020-01-06,11.25,11.25,11.25,11.25,160
2020-01-07,11.25,11.25,11.25,11.25,40
2020-01-08,10.49,11.25,10.49,11.25,70
2020-01-09,11.25,11.25,11.25,11.25,0
2020-01-10,11.25,11.7,11.25,11.7,180
2020-01-13,11.7,11.7,11.7,11.7,0
2020-01-14,11.52,11.7,11.16,11.61,170
2020-01-15,11.61,11.61,11.61,11.61,0
2020-01-16,11.52,11.52,11.52,11.52,50
2020-01-17,11.43,11.43,11.43,11.43,450
2020-01-20,11.43,11.43,11.43,11.43,0
2020-01-21,11.43,11.43,11.43,11.43,0
2020-01-22,11.43,11.43,11.43,11.43,590
2020-01-30,11.43,11.43,11.43,11.43,0
2020-01-31,11.43,11.43,11.43,11.43,0
2020-02-03,11.43,11.43,11.43,11.43,0
2020-02-04,11.43,11.43,11.43,11.43,10
2020-02-05,11.25,11.25,11.25,11.25,5000
2020-02-06,11.16,11.25,11.16,11.25,150
2020-02-07,11.52,11.52,10.49,10.53,490
2020-02-10,10.53,11.25,9.99,9.99,620
2020-02-11,9.5,9.5,9.5,9.5,820
2020-02-12,10.13,10.13,10.13,10.13,1010
2020-02-13,10.13,10.13,10.13,10.13,10
2020-02-14,10.13,10.13,10.08,10.13,17720
2020-02-17,10.13,10.13,10.13,10.13,730
2020-02-18,10.76,10.8,10.71,10.76,1910
2020-02-19,10.76,10.76,10.76,10.76,0
2020-02-20,10.8,11.25,10.76,11.25,1020
2020-02-21,11.16,11.3,10.8,11.25,700
2020-02-24,11.25,11.25,11.25,11.25,0
2020-02-25,10.49,11.16,10.49,10.58,30
2020-02-26,10.34,11.28,10.34,11.28,30
2020-02-27,11.28,11.28,11.28,11.28,2000
2020-02-28,11.28,11.28,11.28,11.28,0
2020-03-02,10.53,11.28,10.53,10.82,500
2020-03-03,10.82,11.19,10.82,11.19,1030
2020-03-04,10.82,11.19,10.82,11.19,1340
2020-03-05,10.53,11.61,10.53,11.19,1140
2020-03-06,10.44,11.47,10.44,11.33,80
2020-03-09,11.28,11.28,11.28,11.28,150
2020-03-10,10.58,10.58,10.58,10.58,1660
2020-03-11,10.34,11.28,10.34,11.19,18700
2020-03-12,11.19,11.19,11.14,11.14,80
2020-03-13,10.39,11.24,10.39,10.63,1770
2020-03-16,11.14,11.14,11.1,11.1,1120
2020-03-17,11.33,11.33,11.1,11.1,30
2020-03-18,10.39,11.1,10.39,11.1,3510
2020-03-19,10.44,10.96,10.44,10.96,1410
2020-03-20,10.82,10.82,10.82,10.82,40
2020-03-23,10.77,10.82,10.06,10.53,7330
2020-03-24,10.44,10.53,10.44,10.53,3720
2020-03-25,10.53,10.53,10.48,10.53,3810
2020-03-26,10.53,11.05,10.02,10.02,1270
2020-03-27,10.63,10.63,10.53,10.53,130
2020-03-30,10.72,10.72,10.63,10.63,90
2020-03-31,10.63,10.82,10.63,10.82,530
2020-04-01,10.91,10.91,10.91,10.91,10
2020-04-03,11.1,11.1,10.91,11.1,200
2020-04-06,11.05,11.28,11.05,11.19,820
2020-04-07,11.57,11.57,11.28,11.28,390
2020-04-08,11.47,11.47,11.47,11.47,10
2020-04-09,11.47,11.47,11.47,11.47,130
2020-04-10,11.0,11.0,10.86,10.86,130
2020-04-13,10.86,11.28,10.86,11.28,310
2020-04-14,10.63,10.63,10.63,10.63,1720
2020-04-15,10.63,11.28,10.63,11.28,60
2020-04-16,10.63,11.24,10.63,10.67,5070
2020-04-17,11.0,11.28,11.0,11.28,1110
2020-04-20,11.24,11.28,10.67,10.72,4130
2020-04-21,11.24,11.24,11.24,11.24,10
2020-04-22,11.19,11.19,11.19,11.19,20
2020-04-23,11.19,11.19,10.63,10.67,4720
2020-04-24,11.19,11.19,10.82,11.19,800
2020-04-27,11.19,11.28,10.82,10.82,12780
2020-04-28,10.63,11.14,10.58,11.14,1120
2020-04-29,11.14,11.14,10.82,10.82,940
2020-05-04,10.82,10.82,10.82,10.82,50
2020-05-05,10.44,10.44,10.39,10.39,2150
2020-05-06,10.82,10.82,10.82,10.82,190
2020-05-07,10.82,10.82,10.82,10.82,100
2020-05-08,11.1,11.1,10.44,10.96,90
2020-05-11,10.86,10.96,10.53,10.96,3050
2020-05-12,11.0,11.0,11.0,11.0,150
2020-05-13,11.0,11.0,11.0,11.0,1100
2020-05-14,11.28,11.28,11.1,11.1,5860
2020-05-15,11.28,11.28,10.44,11.19,17390
2020-05-18,11.19,11.19,10.82,10.82,310
2020-05-19,10.48,11.28,10.48,11.28,190
2020-05-20,11.28,11.28,10.53,11.0,8930
2020-05-21,10.82,11.0,10.39,11.0,510
2020-05-22,10.82,10.82,10.82,10.82,2740
2020-05-25,10.82,10.96,10.82,10.82,2050
2020-05-26,10.77,10.86,10.77,10.86,760
2020-05-27,10.86,11.28,10.86,11.28,3780
2020-05-28,10.91,11.1,10.82,11.1,4210
2020-05-29,11.1,11.1,11.1,11.1,330
2020-06-01,10.39,11.1,10.39,11.1,3020
2020-06-02,11.1,11.1,11.1,11.1,0
2020-06-03,10.82,10.82,10.82,10.82,5380
2020-06-04,10.91,10.91,10.82,10.82,990
2020-06-05,10.82,10.91,10.82,10.91,2730
2020-06-08,10.96,10.96,10.91,10.91,5550
2020-06-09,10.91,10.91,10.48,10.48,30
2020-06-10,9.92,10.82,9.92,10.48,2690
2020-06-11,9.97,10.72,9.97,10.72,3350
2020-06-12,10.63,10.63,10.63,10.63,240
2020-06-15,10.63,10.63,10.63,10.63,20020
2020-06-16,10.34,10.44,10.34,10.34,4700
2020-06-17,10.44,10.44,10.44,10.44,1870
2020-06-18,10.44,10.44,9.73,9.73,10170
2020-06-19,10.39,10.39,10.39,10.39,10
2020-06-22,10.44,10.44,10.44,10.44,500
