time,open,high,low,close,volume
2020-07-23,9.9,9.9,9.9,9.9,88000
2020-07-24,11.37,11.37,11.37,11.37,145600
2020-07-27,13.06,13.06,13.06,13.06,456200
2020-07-28,13.35,14.99,13.18,14.99,357600
2020-07-29,16.51,16.51,12.27,14.42,197100
2020-07-30,14.19,14.19,12.22,12.44,89000
2020-07-31,12.95,13.23,12.44,12.44,42000
2020-08-03,12.78,13.23,12.44,13.12,53800
2020-08-04,13.01,14.14,13.01,14.08,77700
2020-08-05,13.8,15.72,13.8,15.72,226091
2020-08-06,16.96,17.53,15.61,17.53,145300
2020-08-07,19.23,20.02,14.87,19.34,437300
2020-08-10,17.93,17.93,15.38,15.38,75200
2020-08-11,13.97,16.17,13.74,13.74,81600
2020-08-12,12.16,13.18,11.88,12.5,667800
2020-08-13,12.44,13.8,12.44,13.8,329100
2020-08-14,13.68,15.38,13.68,15.38,357500
2020-08-17,15.27,17.14,12.72,12.72,1878291
2020-08-18,13.01,13.97,12.38,13.91,293011
2020-08-19,12.84,14.14,10.91,12.72,631500
2020-08-20,12.61,12.89,10.58,10.91,308680
2020-08-21,10.18,11.65,9.95,9.95,385110
2020-08-24,10.52,12.04,8.99,10.69,967366
2020-08-25,10.69,11.65,8.99,9.67,614056
2020-08-26,9.61,11.08,8.65,9.44,359010
2020-08-27,9.33,9.33,8.2,8.2,132850
2020-08-28,7.92,7.92,7.18,7.18,325603
2020-08-31,6.33,6.62,6.11,6.11,192133
2020-09-01,5.94,7.07,5.26,5.82,1666610
2020-09-03,6.11,6.5,5.2,5.37,257730
2020-09-04,5.37,5.37,4.52,5.09,77055
2020-09-07,5.03,5.32,4.81,5.09,275111
2020-09-08,5.03,5.37,4.81,5.2,255900
2020-09-09,5.2,5.37,4.98,5.2,281112
2020-09-10,5.37,5.94,4.52,4.52,973831
2020-09-11,4.81,5.32,4.41,4.58,433010
2020-09-14,4.69,4.86,4.47,4.69,97701
2020-09-15,4.64,4.64,4.41,4.41,146028
2020-09-16,4.47,4.47,4.18,4.18,92810
2020-09-17,4.13,4.18,3.84,3.84,191910
2020-09-18,3.96,3.96,3.68,3.79,85299
2020-09-21,3.73,4.35,3.73,4.35,849835
2020-09-22,4.41,4.92,4.35,4.69,536400
2020-09-23,4.69,4.81,4.41,4.41,103509
2020-09-24,4.41,4.52,3.96,4.35,88953
2020-09-25,4.24,4.52,4.24,4.24,95366
2020-09-28,4.35,4.86,4.24,4.52,625094
2020-09-29,4.58,4.81,3.96,4.13,1337551
2020-09-30,4.24,4.24,3.9,4.07,40746
2020-10-01,4.01,4.13,3.9,4.07,177030
2020-10-02,3.84,4.01,3.84,3.96,239950
2020-10-05,3.96,4.07,3.9,4.01,239700
2020-10-06,3.9,4.01,3.84,3.9,98100
2020-10-07,3.96,4.01,3.84,3.96,102100
2020-10-08,4.41,4.47,3.9,3.96,78400
2020-10-09,3.9,4.01,3.73,3.84,169500
2020-10-12,3.9,3.9,3.79,3.84,121500
2020-10-13,3.9,4.18,3.79,4.07,339000
2020-10-14,4.07,4.07,3.9,4.01,71000
2020-10-15,3.96,3.96,3.84,3.96,101500
2020-10-16,4.01,4.07,3.62,3.79,276200
2020-10-19,3.84,3.96,3.79,3.84,56700
2020-10-20,3.84,3.9,3.79,3.84,132000
2020-10-21,3.84,3.84,3.79,3.84,61500
2020-10-22,3.84,3.9,3.79,3.84,65800
2020-10-23,3.9,4.01,3.73,3.9,1134200
2020-10-26,3.96,4.07,3.73,3.9,1208000
2020-10-27,3.9,3.96,3.73,3.79,172000
2020-10-28,3.73,3.79,3.62,3.68,277600
2020-10-29,3.68,3.68,3.45,3.45,296600
2020-10-30,3.51,3.51,3.34,3.39,248100
2020-11-02,3.39,3.68,3.34,3.56,245400
2020-11-03,3.56,3.56,3.39,3.45,142600
2020-11-04,3.45,3.56,3.39,3.51,104900
2020-11-05,3.45,3.51,3.39,3.39,286300
2020-11-06,3.39,3.45,3.39,3.45,99700
2020-11-09,3.39,3.45,3.39,3.39,134600
