time,open,high,low,close,volume
2020-01-06,7.06,7.14,6.97,7.06,122400
2020-01-07,7.06,7.31,7.06,7.14,126700
2020-01-08,7.14,7.31,6.97,7.06,128300
2020-01-09,7.06,7.31,6.97,7.14,193000
2020-01-10,7.14,7.56,7.14,7.56,296900
2020-01-13,7.56,7.56,7.39,7.39,103800
2020-01-14,7.39,7.48,7.31,7.39,102411
2020-01-15,7.39,7.48,7.22,7.31,103500
2020-01-16,7.31,7.56,7.31,7.39,122735
2020-01-17,7.39,7.48,6.89,7.14,126800
2020-01-20,7.14,7.14,6.8,7.06,83100
2020-01-21,7.06,7.14,6.97,7.06,69900
2020-01-22,7.06,7.14,6.97,7.06,93235
2020-01-30,6.97,7.06,6.8,6.89,76900
2020-01-31,6.89,6.97,6.64,6.72,75535
2020-02-03,6.64,6.64,6.13,6.38,80405
2020-02-04,6.38,6.55,6.3,6.55,80130
2020-02-05,6.47,6.47,6.22,6.22,88500
2020-02-06,6.3,6.38,6.05,6.22,95100
2020-02-07,6.05,6.22,6.05,6.05,70200
2020-02-10,5.96,6.13,5.8,6.05,67840
2020-02-11,6.05,6.05,5.96,5.96,39800
2020-02-12,5.88,5.96,5.8,5.88,61430
2020-02-13,5.88,5.88,5.71,5.88,84120
2020-02-14,5.88,5.88,5.63,5.88,57500
2020-02-17,5.88,5.88,5.71,5.88,45700
2020-02-18,5.88,5.88,5.71,5.88,48420
2020-02-19,5.8,5.96,5.8,5.88,133200
2020-02-20,5.88,6.05,5.71,5.88,130416
2020-02-21,5.88,5.96,5.8,5.88,61300
2020-02-24,5.71,5.8,5.63,5.8,49000
2020-02-25,5.71,5.8,5.63,5.71,72556
2020-02-26,5.71,5.71,5.63,5.71,62600
2020-02-27,5.71,5.71,5.63,5.71,57600
2020-02-28,5.63,5.71,5.54,5.71,50200
2020-03-02,5.71,5.71,5.63,5.63,112710
2020-03-03,5.63,5.88,5.63,5.63,186046
2020-03-04,5.63,5.71,5.63,5.71,57615
2020-03-05,5.71,5.8,5.63,5.71,49550
2020-03-06,5.71,5.8,5.63,5.71,57400
2020-03-09,5.63,5.63,5.21,5.21,59400
2020-03-10,5.21,5.21,4.96,5.12,181200
2020-03-11,5.12,5.21,4.62,4.79,196650
2020-03-12,4.79,4.79,4.37,4.37,119400
2020-03-13,4.03,4.2,3.95,3.95,106900
2020-03-16,3.95,4.12,3.86,3.95,84124
2020-03-17,3.95,4.12,3.95,4.12,40500
2020-03-18,4.12,4.12,4.03,4.12,58700
2020-03-19,3.95,3.95,3.86,3.95,2610
2020-03-20,3.95,4.03,3.95,4.03,3200
2020-03-23,4.03,4.03,3.7,3.7,19405
2020-03-24,3.7,3.7,3.53,3.7,110700
2020-03-25,3.7,4.03,3.7,4.03,132100
2020-03-26,3.95,4.37,3.86,4.2,187900
2020-03-27,4.2,4.37,4.03,4.2,162300
2020-03-30,4.12,4.2,3.95,4.12,113600
2020-03-31,3.95,4.12,3.78,4.03,56440
2020-04-01,4.03,4.03,3.78,4.03,86526
2020-04-03,3.86,4.2,3.86,4.2,48400
