time,open,high,low,close,volume
2020-01-06,9.26,9.26,9.26,9.26,100
2020-01-07,9.23,9.26,9.23,9.26,300
2020-01-08,9.23,9.26,9.23,9.26,1600
2020-01-09,9.23,9.23,9.23,9.23,100
2020-01-10,9.23,9.23,9.23,9.23,0
2020-01-13,9.23,9.23,9.23,9.23,10
2020-01-14,9.02,9.02,8.92,8.92,9013
2020-01-15,9.26,9.26,8.95,8.95,41600
2020-01-16,9.26,9.26,9.26,9.26,100
2020-01-17,9.26,9.26,9.26,9.26,0
2020-01-20,9.23,9.23,9.23,9.23,100
2020-01-21,9.23,9.23,9.23,9.23,500
2020-01-22,9.23,9.66,8.8,9.51,17900
2020-01-30,9.51,9.88,9.02,9.57,10100
2020-01-31,9.51,10.19,9.51,10.19,2800
2020-02-03,9.02,9.02,8.95,8.98,1300
2020-02-04,9.02,9.51,9.02,9.51,1400
2020-02-05,9.45,9.45,9.08,9.36,500
2020-02-06,9.23,9.36,9.05,9.08,7000
2020-02-07,9.4,9.62,9.4,9.59,2100
2020-02-10,9.53,9.53,9.33,9.33,5800
2020-02-11,9.46,9.46,9.3,9.43,600
2020-02-12,9.33,9.37,9.17,9.33,8100
2020-02-13,9.33,9.33,9.04,9.11,7400
2020-02-14,9.4,9.4,9.11,9.11,2300
2020-02-17,9.4,9.4,9.4,9.4,100
2020-02-18,9.4,9.4,9.4,9.4,0
2020-02-19,9.4,9.4,9.11,9.11,4200
2020-02-20,9.4,9.4,9.17,9.17,1100
2020-02-21,9.2,9.2,9.17,9.17,700
2020-02-24,9.33,9.33,8.85,9.11,11800
2020-02-25,9.01,9.01,9.01,9.01,100
2020-02-26,9.17,9.3,9.17,9.3,500
2020-02-27,8.75,9.01,8.63,8.63,16900
2020-02-28,8.85,9.49,8.69,8.98,5000
2020-03-02,8.95,8.95,8.56,8.56,6100
2020-03-03,8.69,8.98,8.63,8.69,1000
2020-03-04,8.85,8.85,8.53,8.53,3500
2020-03-05,8.59,8.59,8.46,8.46,10100
2020-03-06,8.69,8.69,8.34,8.43,5300
2020-03-09,8.37,8.37,8.01,8.01,14800
2020-03-10,8.66,8.98,8.18,8.21,2300
2020-03-11,8.56,8.98,8.37,8.37,1300
2020-03-12,8.82,8.82,8.05,8.05,1400
2020-03-13,7.72,8.05,7.72,8.05,1200
2020-03-16,8.98,8.98,7.82,7.82,2000
2020-03-17,8.59,8.63,7.92,8.63,1000
2020-03-18,8.59,8.59,8.05,8.05,1100
2020-03-19,7.72,8.05,7.72,8.05,3000
2020-03-20,7.72,7.72,7.72,7.72,2800
2020-03-23,7.69,7.69,7.4,7.4,7620
2020-03-24,7.53,7.53,7.53,7.53,1100
2020-03-25,7.53,7.53,7.53,7.53,2200
2020-03-26,7.53,8.34,7.53,7.56,1900
2020-03-27,8.18,8.18,7.4,8.14,1200
2020-03-30,8.05,8.05,7.4,7.4,4700
2020-03-31,7.4,7.56,7.4,7.56,6400
2020-04-01,7.4,7.4,7.31,7.4,3600
2020-04-03,7.4,7.44,7.4,7.4,5100
2020-04-06,7.4,7.4,7.4,7.4,6800
2020-04-07,7.4,7.4,7.4,7.4,9000
2020-04-08,7.4,7.4,7.34,7.34,8400
2020-04-09,7.37,7.4,7.37,7.37,3300
2020-04-10,7.37,7.37,7.37,7.37,4100
2020-04-13,7.37,8.01,7.37,7.5,7200
2020-04-14,7.5,7.85,7.47,7.82,8000
2020-04-15,7.56,7.82,7.53,7.56,8100
2020-04-16,7.69,7.82,7.56,7.6,3000
2020-04-17,7.63,7.72,7.63,7.63,7900
2020-04-20,7.66,7.85,7.66,7.66,18700
2020-04-21,7.56,7.69,7.56,7.56,2400
2020-04-22,7.63,7.72,7.63,7.72,3940
2020-04-23,7.72,7.72,7.72,7.72,1200
2020-04-24,7.72,7.72,7.63,7.72,1800
2020-04-27,7.72,7.85,7.69,7.72,6800
2020-04-28,7.72,8.05,7.72,7.92,8140
2020-04-29,7.79,7.79,7.79,7.79,3400
2020-05-04,8.01,8.01,7.82,7.88,3900
2020-05-05,7.88,8.82,7.88,8.05,91760
2020-05-06,8.08,8.98,8.05,8.08,114500
2020-05-07,8.98,8.98,8.08,8.14,356800
2020-05-08,8.53,8.85,8.18,8.79,136900
2020-05-11,8.72,8.85,8.59,8.82,120130
2020-05-12,8.82,8.82,8.43,8.69,96400
2020-05-13,8.59,9.3,8.5,9.08,115830
2020-05-14,8.91,9.27,8.91,9.01,183700
2020-05-15,9.24,9.24,8.66,8.69,76900
2020-05-18,8.79,8.95,8.53,8.66,163820
2020-05-19,9.08,9.2,8.63,8.85,76300
2020-05-20,8.95,8.95,8.75,8.91,26039
2020-05-21,8.98,8.98,8.69,8.79,29860
2020-05-22,8.88,8.91,8.66,8.66,47310
2020-05-25,8.88,8.88,8.63,8.75,7100
2020-05-26,8.88,8.88,8.66,8.82,28650
2020-05-27,8.91,8.91,8.75,8.75,13990
2020-05-28,8.75,8.75,8.66,8.66,14910
2020-05-29,8.66,8.69,8.43,8.66,22300
2020-06-01,8.75,8.75,8.53,8.59,14200
2020-06-02,8.69,8.69,8.3,8.37,47500
2020-06-03,8.37,8.43,8.27,8.27,27200
2020-06-04,8.53,8.53,8.34,8.43,25000
2020-06-05,8.53,9.08,8.46,9.01,70550
