time,open,high,low,close,volume
2020-01-06,8.65,9.75,8.65,9.75,1200
2020-01-07,10.17,10.17,9.48,9.48,1500
2020-01-08,9.55,9.62,8.99,9.62,2800
2020-01-09,9.41,9.41,8.99,9.27,2100
2020-01-10,9.34,9.68,9.34,9.41,1600
2020-01-13,9.41,9.41,9.41,9.41,0
2020-01-14,9.41,10.38,9.41,9.41,400
2020-01-15,11.07,11.07,11.07,11.07,100
2020-01-16,11.07,11.07,11.07,11.07,200
2020-01-17,11.07,11.07,11.07,11.07,0
2020-01-20,10.38,10.38,10.38,10.38,100
2020-01-21,10.38,10.38,10.38,10.38,0
2020-01-22,10.38,10.38,10.38,10.38,0
2020-01-30,10.38,10.38,10.38,10.38,0
2020-01-31,10.72,10.72,10.72,10.72,100
2020-02-03,11.07,11.07,11.07,11.07,200
2020-02-04,11.07,11.07,11.07,11.07,0
2020-02-05,11.07,11.07,11.07,11.07,0
2020-02-06,11.07,11.07,11.07,11.07,0
2020-02-07,12.73,12.73,12.73,12.73,600
2020-02-10,12.73,12.73,12.73,12.73,0
2020-02-11,12.73,12.73,12.73,12.73,0
2020-02-12,12.73,12.73,12.73,12.73,0
2020-02-13,12.73,12.73,12.73,12.73,0
2020-02-14,12.73,12.73,12.73,12.73,0
2020-02-17,12.73,12.73,12.73,12.73,0
2020-02-18,12.73,12.73,12.73,12.73,0
2020-02-19,12.73,12.73,12.73,12.73,0
2020-02-20,12.73,12.73,12.73,12.73,0
2020-02-21,12.73,12.73,12.73,12.73,0
2020-02-24,12.73,12.73,12.73,12.73,0
2020-02-25,12.73,12.73,12.73,12.73,0
2020-02-26,12.73,12.73,12.73,12.73,0
2020-02-27,12.73,12.73,12.73,12.73,0
2020-02-28,12.73,12.73,12.73,12.73,0
2020-03-02,12.73,12.73,12.73,12.73,0
2020-03-03,14.6,14.6,14.6,14.6,1000
2020-03-04,16.74,16.74,16.74,16.74,100
2020-03-05,19.02,19.23,16.6,16.6,1700
2020-03-06,19.02,19.02,19.02,19.02,500
2020-03-09,21.86,21.86,21.86,21.86,7200
2020-03-10,22.83,25.11,22.83,25.11,4100
2020-03-11,25.11,25.11,25.11,25.11,500
2020-03-12,22.9,28.78,21.37,28.78,1900
2020-03-13,21.3,26.28,21.3,21.3,7000
2020-03-16,21.44,22.69,21.44,22.69,2300
2020-03-17,21.51,22.27,21.51,22.2,2600
2020-03-18,18.74,18.74,18.74,18.74,1000
2020-03-19,16.19,16.19,16.19,16.19,100
2020-03-20,18.61,18.61,18.61,18.61,600
2020-03-23,21.37,21.37,21.37,21.37,1900
2020-03-24,24.56,24.56,24.56,24.56,100
2020-03-25,20.89,27.6,20.89,27.6,6600
2020-03-26,22.41,22.41,19.09,19.09,2100
2020-03-27,22.0,22.0,22.0,22.0,100
2020-03-30,18.74,25.25,18.74,25.25,3300
2020-03-31,20.13,20.13,20.13,20.13,300
2020-04-01,20.13,20.13,20.13,20.13,0
2020-04-03,20.13,20.13,20.13,20.13,220
2020-04-06,20.13,23.03,20.13,23.03,3200
2020-04-07,22.83,22.83,22.83,23.03,0
2020-04-08,22.83,22.83,22.83,23.03,0
2020-04-09,22.83,22.83,22.83,23.03,0
2020-04-10,22.83,22.83,22.83,23.03,0
2020-04-13,22.83,22.83,22.83,23.03,0
2020-04-14,22.83,22.83,22.83,23.03,0
2020-04-15,22.83,22.83,22.83,23.03,0
2020-04-16,22.83,22.83,22.83,23.03,0
2020-04-17,22.83,24.21,22.83,24.21,400
2020-04-20,24.21,24.21,24.21,24.21,100
2020-04-21,21.1,21.1,20.82,20.82,500
2020-04-22,21.03,21.03,21.03,20.82,0
2020-04-23,21.03,21.03,21.03,20.82,0
2020-04-24,22.48,22.48,22.41,22.41,200
2020-04-27,21.44,21.44,21.44,21.44,200
2020-04-28,21.3,21.3,20.82,20.82,200
2020-04-29,21.1,21.51,19.44,21.51,400
2020-05-04,20.89,20.89,20.89,21.51,0
2020-05-05,20.89,20.89,20.89,21.51,0
2020-05-06,20.68,20.68,18.05,18.05,1300
2020-05-07,21.03,21.03,21.03,21.03,100
2020-05-08,18.68,23.8,18.68,23.52,300
2020-05-11,22.0,22.0,22.0,23.52,0
2020-05-12,22.0,22.0,22.0,23.52,0
2020-05-13,22.0,22.0,22.0,23.52,0
2020-05-14,21.72,21.72,21.72,21.72,1100
2020-05-15,18.74,18.74,18.74,18.74,1200
2020-05-18,21.37,21.44,21.37,21.44,700
2020-05-19,22.2,22.2,21.44,21.44,2500
2020-05-20,21.37,21.44,19.09,19.09,12200
2020-05-21,22.62,22.62,22.62,22.62,210
2020-05-22,22.62,22.62,22.62,22.62,0
2020-05-25,22.62,22.62,22.62,22.62,0
2020-05-26,22.62,22.62,22.62,22.62,0
2020-05-27,22.62,22.62,22.62,22.62,0
2020-05-28,25.87,25.87,25.87,25.87,100
