time,open,high,low,close,volume
2020-01-02,6.58,6.64,6.55,6.64,1163109
2020-01-03,6.64,6.7,6.61,6.64,1055528
2020-01-06,6.64,6.64,6.49,6.49,1286035
2020-01-07,6.49,6.55,6.49,6.49,1050934
2020-01-08,6.49,6.49,6.35,6.38,2304937
2020-01-09,6.41,6.52,6.41,6.46,1422248
2020-01-10,6.49,6.67,6.49,6.55,2371501
2020-01-13,6.61,6.61,6.55,6.61,1523181
2020-01-14,6.61,6.78,6.61,6.78,2851982
2020-01-15,6.78,6.78,6.7,6.72,1158657
2020-01-16,6.72,6.93,6.72,6.9,2819687
2020-01-17,6.93,6.96,6.84,6.87,2706194
2020-01-20,6.87,7.13,6.87,7.01,4443379
2020-01-21,7.07,7.13,7.01,7.07,1775816
2020-01-22,7.1,7.1,7.01,7.07,1574379
2020-01-30,6.98,7.01,6.7,6.81,4250097
2020-01-31,6.78,6.87,6.61,6.64,4243264
2020-02-03,6.44,6.64,6.26,6.52,4430186
2020-02-04,6.61,6.7,6.49,6.7,2397062
2020-02-05,6.75,6.78,6.61,6.64,2790275
2020-02-06,6.67,6.93,6.64,6.93,2980981
2020-02-07,6.93,6.96,6.81,6.87,2007251
2020-02-10,6.87,6.9,6.75,6.81,1271190
2020-02-11,6.81,6.87,6.78,6.84,1862090
2020-02-12,6.87,7.42,6.87,7.39,10516207
2020-02-13,7.39,7.42,7.24,7.36,3773365
2020-02-14,7.36,7.73,7.36,7.62,8018099
2020-02-17,7.59,7.7,7.5,7.62,3764464
2020-02-18,7.62,7.82,7.59,7.68,6293208
2020-02-19,7.65,7.7,7.48,7.59,5091969
2020-02-20,7.59,7.79,7.53,7.62,5578717
2020-02-21,7.19,7.68,7.19,7.42,6333926
2020-02-24,7.36,7.39,6.87,6.93,10321149
2020-02-25,6.78,7.24,6.67,7.24,8279866
2020-02-26,7.22,7.24,7.01,7.1,4519324
2020-02-27,6.98,7.36,6.98,7.36,5309790
2020-02-28,6.64,7.3,6.64,7.27,5959642
2020-03-02,7.04,7.36,7.04,7.27,3629494
2020-03-03,7.39,7.48,7.3,7.39,6364207
2020-03-04,7.39,7.45,7.3,7.45,5047583
2020-03-05,7.5,7.62,7.33,7.39,5965022
2020-03-06,7.36,7.36,7.24,7.3,3959935
2020-03-09,7.13,7.13,6.64,6.72,16776046
2020-03-10,6.64,7.16,6.61,6.98,7582331
2020-03-11,7.01,7.04,6.64,6.75,7841324
2020-03-12,6.64,6.64,6.2,6.38,11082125
2020-03-13,6.2,6.49,5.92,6.35,9020091
2020-03-16,6.35,6.44,5.97,6.03,4614344
2020-03-17,6.0,6.18,5.8,6.09,6568088
2020-03-18,6.15,6.23,6.03,6.12,4944595
2020-03-19,6.06,6.15,5.97,6.09,4083896
2020-03-20,6.7,6.7,6.06,6.18,3341564
2020-03-23,6.12,6.18,5.57,5.57,10024177
2020-03-24,5.51,5.74,5.51,5.66,4315784
2020-03-25,5.77,6.0,5.77,5.92,4115341
2020-03-26,5.94,5.94,5.68,5.68,3631529
2020-03-27,5.68,5.8,5.63,5.68,3980631
2020-03-30,5.63,5.63,5.17,5.25,5925098
2020-03-31,5.25,5.43,5.02,5.14,4532153
2020-04-01,4.65,5.48,4.65,5.37,2761168
2020-04-03,5.22,5.6,5.22,5.51,3574343
2020-04-06,5.6,6.0,5.51,5.94,5757259
2020-04-07,6.06,6.06,5.77,5.86,4467621
2020-04-08,6.44,6.44,5.68,5.83,2331536
2020-04-09,6.41,6.41,5.77,5.77,4068966
2020-04-10,5.48,5.83,5.48,5.71,2517477
2020-04-13,5.17,5.89,5.17,5.77,1926793
2020-04-14,5.77,5.83,5.68,5.77,3167293
2020-04-15,5.77,5.97,5.77,5.83,3686239
2020-04-16,5.83,5.89,5.8,5.89,1895213
2020-04-17,5.92,6.09,5.92,6.06,4809341
2020-04-20,6.12,6.12,5.94,5.97,3064104
2020-04-21,5.94,5.94,5.68,5.71,6015799
2020-04-22,5.71,5.89,5.6,5.89,2637424
2020-04-23,5.92,6.0,5.86,5.86,2076603
2020-04-24,5.83,5.89,5.77,5.86,1264729
2020-04-27,5.86,5.94,5.77,5.8,1806851
2020-04-28,5.8,5.89,5.77,5.86,1246915
2020-04-29,5.86,5.92,5.83,5.92,1196049
2020-05-04,5.92,5.92,5.8,5.86,1193939
2020-05-05,5.83,5.89,5.83,5.86,1126770
2020-05-06,5.89,6.12,5.83,6.0,4453036
2020-05-07,6.03,6.12,6.0,6.12,2973997
2020-05-08,6.15,6.32,6.06,6.18,5995918
2020-05-11,6.32,6.32,6.18,6.26,4108808
2020-05-12,6.26,6.35,6.18,6.29,4057939
2020-05-13,6.35,6.35,6.2,6.26,3453900
2020-05-14,6.26,6.29,6.18,6.18,3827622
2020-05-15,6.2,6.41,6.18,6.26,6937907
2020-05-18,6.32,6.32,6.18,6.29,2771622
2020-05-19,6.35,6.49,6.35,6.41,5561531
2020-05-20,6.38,6.46,6.35,6.41,3116422
2020-05-21,6.41,6.55,6.32,6.46,4622625
2020-05-22,6.49,6.55,6.44,6.46,4841440
2020-05-25,6.49,6.55,6.44,6.52,3519682
2020-05-26,6.49,6.78,6.49,6.72,5267006
2020-05-27,6.78,6.84,6.58,6.58,6389497
2020-05-28,6.58,6.7,6.58,6.61,3568932
2020-05-29,6.61,6.64,6.55,6.61,2394358
2020-06-01,6.64,7.24,6.61,7.24,13859688
2020-06-02,7.36,7.65,7.16,7.16,10935462
2020-06-03,7.16,7.36,7.16,7.36,3758964
2020-06-04,7.39,7.42,7.27,7.3,5159832
2020-06-05,7.33,7.33,7.19,7.27,4025847
2020-06-08,7.27,7.5,7.27,7.33,6087882
2020-06-09,7.36,7.39,7.27,7.36,3531851
2020-06-10,7.36,7.48,7.27,7.39,6494275
2020-06-11,7.39,7.45,7.04,7.07,9172138
2020-06-12,6.93,7.07,6.75,7.07,6648375
2020-06-15,7.13,7.13,6.7,6.72,5885937
2020-06-16,6.81,6.98,6.81,6.87,4198360
2020-06-17,7.01,7.01,6.78,6.84,1599340
2020-06-18,6.84,6.9,6.75,6.87,1301526
2020-06-19,6.87,7.07,6.87,7.04,2334941
2020-06-22,7.04,7.13,6.93,6.96,2256643
2020-06-23,6.98,7.04,6.9,6.93,3282364
2020-06-24,6.93,7.01,6.84,6.87,3013466
2020-06-25,6.84,6.87,6.78,6.84,2500893
2020-06-26,6.87,6.93,6.81,6.81,1400341
2020-06-29,6.81,6.81,6.55,6.61,4353272
2020-06-30,6.64,6.72,6.46,6.58,3585625
2020-07-01,6.58,6.72,6.58,6.7,1676001
2020-07-02,6.7,6.75,6.64,6.67,1070089
2020-07-03,6.7,6.72,6.64,6.64,1271360
2020-07-06,6.64,6.84,6.64,6.81,3204367
2020-07-07,6.84,6.93,6.84,6.84,2389942
2020-07-08,6.81,6.93,6.81,6.9,1647694
2020-07-09,6.9,7.01,6.9,7.01,2248695
2020-07-10,7.01,7.04,6.87,6.93,2284971
2020-07-13,6.96,6.98,6.87,6.9,1840084
2020-07-14,6.9,6.96,6.84,6.93,1406915
2020-07-15,6.98,6.98,6.93,6.93,1570073
2020-07-16,6.98,6.98,6.9,6.93,903322
2020-07-17,6.96,7.22,6.93,7.16,7890281
2020-07-20,7.16,7.19,7.07,7.07,2622350
2020-07-21,7.07,7.1,6.98,7.1,2194410
2020-07-22,7.1,7.16,6.98,7.04,1726317
2020-07-23,7.04,7.04,6.93,6.98,1955757
2020-07-24,7.01,7.01,6.49,6.7,5532575
2020-07-27,6.03,6.61,6.03,6.29,6240477
2020-07-28,6.29,6.61,6.2,6.61,2598740
2020-07-29,6.55,6.58,6.23,6.41,4929532
2020-07-30,6.26,6.52,6.26,6.52,1914488
2020-07-31,6.55,6.55,6.38,6.49,2220749
2020-08-03,6.38,6.7,6.38,6.7,3044620
2020-08-04,6.72,6.9,6.72,6.84,2907562
2020-08-05,6.9,7.04,6.84,6.93,5472736
2020-08-06,6.96,6.96,6.84,6.87,1874899
2020-08-07,6.9,6.96,6.78,6.84,2150978
2020-08-10,6.84,6.96,6.84,6.87,2576760
2020-08-11,6.93,7.33,6.9,7.33,15333430
2020-08-12,7.45,7.48,7.27,7.33,6091725
2020-08-13,7.33,7.39,7.3,7.36,3803166
2020-08-14,7.36,7.36,7.22,7.3,6682494
2020-08-17,7.3,7.45,7.27,7.45,6222301
2020-08-18,7.5,7.53,7.39,7.39,4710796
2020-08-19,7.42,7.45,7.33,7.39,9263369
2020-08-20,7.73,7.95,7.5,7.8,19475136
