time,open,high,low,close,volume
2021-08-04,54.59,54.59,44.62,54.55,197900
2021-08-05,54.55,54.55,49.0,51.12,227117
2021-08-06,51.12,51.12,49.61,50.69,155200
2021-08-09,49.82,50.26,46.79,48.26,135600
2021-08-10,48.18,48.26,46.84,47.79,133906
2021-08-11,47.22,49.78,47.22,49.09,180500
2021-08-12,48.96,49.39,47.66,47.66,115900
2021-08-13,48.09,50.65,46.36,47.1,166700
2021-08-16,48.91,48.91,46.14,47.57,45200
2021-08-17,47.57,47.88,46.14,47.48,98502
2021-08-18,46.79,47.83,46.14,46.36,32000
2021-08-19,46.79,47.14,45.36,46.14,24700
2021-08-20,46.14,46.32,43.76,45.4,20600
2021-08-23,42.89,47.18,42.89,45.23,28302
2021-08-24,46.7,46.7,43.32,45.02,17200
2021-08-25,45.32,45.45,43.32,44.62,49600
2021-08-26,44.84,44.84,43.28,44.32,20500
2021-08-27,43.11,44.19,42.89,44.62,18900
2021-08-30,43.76,45.49,43.76,45.06,47500
2021-08-31,45.49,45.92,45.06,45.92,54600
2021-09-01,45.49,45.66,45.4,45.66,77200
2021-09-06,45.62,45.71,45.06,45.62,43801
2021-09-07,45.92,45.92,45.28,45.84,34900
2021-09-08,45.71,46.27,45.62,46.14,37500
2021-09-09,46.14,47.4,45.92,47.36,101300
2021-09-10,48.09,49.78,47.36,49.39,145500
2021-09-13,49.39,50.26,48.96,49.69,96300
2021-09-14,49.82,50.47,49.39,50.21,83200
2021-09-15,50.04,50.65,48.52,50.52,127100
2021-09-16,50.13,51.04,49.82,50.39,94900
2021-09-17,50.69,56.32,50.26,51.77,113700
2021-09-20,51.64,52.21,50.69,50.69,73800
2021-09-21,51.56,52.21,51.12,51.86,55100
2021-09-22,44.19,54.33,44.19,51.17,45900
2021-09-23,50.26,51.99,50.26,51.64,79300
2021-09-24,47.66,52.21,44.19,51.51,51206
2021-09-27,51.56,51.95,51.12,51.21,67700
2021-09-28,50.26,51.95,50.26,51.08,56600
2021-09-29,50.47,51.08,50.47,50.82,66300
2021-09-30,50.26,51.73,49.82,51.08,64710
2021-10-01,51.12,51.6,50.26,50.99,55600
2021-10-04,51.25,51.51,50.69,51.17,66500
2021-10-05,51.12,51.38,50.69,51.3,63500
2021-10-06,49.82,51.34,49.82,50.56,82200
2021-10-07,50.26,51.56,50.26,50.6,89200
2021-10-08,50.69,50.86,49.95,50.26,80200
2021-10-11,50.26,51.04,50.04,50.86,78000
2021-10-12,50.6,50.95,49.82,50.13,51400
2021-10-13,50.26,50.95,49.82,49.91,53102
2021-10-14,50.26,50.69,49.82,50.13,45700
2021-10-15,50.04,50.47,48.96,49.56,52700
2021-10-18,49.61,49.82,48.83,48.83,48400
2021-10-19,48.96,52.86,48.52,49.3,74701
2021-10-20,49.17,49.56,48.96,49.39,54600
2021-10-21,49.3,49.61,48.52,49.39,86400
2021-10-22,49.39,49.39,48.22,48.44,53700
2021-10-25,48.22,49.3,48.09,49.3,91000
2021-10-26,48.39,49.82,48.39,49.74,67807
2021-10-27,49.65,50.04,49.3,49.82,51400
2021-10-28,49.82,50.69,49.39,50.65,87700
2021-10-29,50.43,50.69,50.26,50.47,65100
2021-11-01,50.69,50.82,49.82,50.43,48500
2021-11-02,50.26,50.43,48.48,49.13,70500
2021-11-03,49.17,49.17,47.66,48.78,57800
2021-11-04,48.52,48.96,48.09,48.83,64800
2021-11-05,48.83,49.04,47.92,48.96,145400
2021-11-08,48.61,48.96,48.09,48.65,58500
2021-11-09,48.78,49.35,48.52,49.22,43000
2021-11-10,49.13,49.26,48.96,49.17,54300
2021-11-11,48.96,49.22,48.18,48.7,54100
2021-11-12,48.78,49.95,48.65,49.56,177400
2021-11-15,49.56,49.82,49.39,49.69,128800
2021-11-16,49.69,49.95,48.13,49.04,108200
2021-11-17,48.96,49.43,48.09,48.09,121300
2021-11-18,48.96,48.96,48.09,48.96,68300
2021-11-19,48.96,48.96,48.31,48.31,40000
2021-11-22,48.74,48.96,48.31,48.44,52400
2021-11-23,48.74,49.3,47.66,48.7,69200
2021-11-24,48.52,48.65,48.0,48.52,38400
2021-11-25,48.52,48.74,48.13,48.48,71701
2021-11-26,48.44,48.48,47.66,48.35,75600
2021-11-29,48.09,48.22,47.66,48.05,31900
2021-11-30,48.09,48.96,48.0,48.52,114700
2021-12-01,48.31,48.74,48.09,48.09,67600
2021-12-02,48.31,49.04,48.09,48.31,86700
2021-12-03,48.31,48.87,47.22,48.65,70800
2021-12-06,48.31,48.52,47.22,47.22,43500
2021-12-07,48.09,48.48,47.22,48.22,61200
2021-12-08,47.66,48.39,47.66,48.09,97500
2021-12-09,47.66,48.18,46.79,47.66,63600
2021-12-10,47.22,48.22,47.22,48.09,147900
2021-12-13,47.88,48.48,47.44,48.44,159300
2021-12-14,48.05,48.44,47.66,48.09,109500
2021-12-15,47.88,48.35,47.44,48.13,115200
2021-12-16,47.88,48.39,47.31,48.13,105900
2021-12-17,47.27,48.44,47.22,48.31,125400
2021-12-20,48.0,48.31,46.36,47.66,59200
2021-12-21,47.88,48.22,47.44,48.0,69009
2021-12-22,47.88,48.18,46.4,46.4,62300
2021-12-23,47.22,47.66,45.92,47.05,29603
2021-12-24,47.22,47.48,46.36,47.31,56802
2021-12-27,47.31,47.48,47.01,47.4,66800
2021-12-28,47.31,47.53,46.75,47.1,46710
2021-12-29,47.31,47.48,47.1,47.1,49816
2021-12-30,47.31,47.36,46.14,46.75,42924
2021-12-31,47.14,47.22,46.01,46.96,57900
2021-12-21,47.88,48.22,47.44,48.0,69009
2021-12-22,47.88,48.18,46.4,46.4,62300
2021-12-23,47.22,47.66,45.92,47.05,29603
2021-12-24,47.22,47.48,46.36,47.31,56802
2021-12-27,47.31,47.48,47.01,47.4,66800
2021-12-28,47.31,47.53,46.75,47.1,46710
2021-12-29,47.31,47.48,47.1,47.1,49816
2021-12-30,47.31,47.36,46.14,46.75,42924
2021-12-31,47.14,47.22,46.01,46.96,57900
2022-01-04,47.14,47.44,45.92,47.1,49900
2022-01-05,47.22,47.31,45.84,45.84,44201
2022-01-06,47.05,47.14,45.71,46.7,103600
2022-01-07,46.44,46.49,45.54,46.32,102310
2022-01-10,46.23,46.23,44.62,45.84,104300
2022-01-11,46.18,46.32,43.32,45.58,58600
2022-01-12,45.4,46.7,43.41,46.7,229700
2022-01-13,45.75,46.79,45.75,46.49,119700
2022-01-14,46.44,46.75,45.49,46.1,42200
2022-01-17,46.36,46.62,44.24,45.71,36000
2022-01-18,46.23,46.27,43.32,45.45,98300
2022-01-19,45.49,45.88,45.28,45.28,60800
2022-01-20,45.71,45.75,44.62,45.45,61000
2022-01-21,45.45,45.49,44.19,45.4,75800
2022-01-24,45.19,45.88,44.62,44.62,42900
2022-01-25,45.06,46.32,44.24,45.36,49500
2022-01-26,45.36,45.88,44.19,45.4,60400
2022-01-27,44.97,45.49,44.28,45.23,44500
2022-01-28,45.19,45.49,44.28,45.4,112200
2022-02-07,45.4,45.97,44.36,45.92,92000
2022-02-08,45.49,46.27,45.49,45.84,72200
2022-02-09,45.75,46.18,44.84,45.84,57400
2022-02-10,45.49,45.92,44.71,45.28,74700
2022-02-11,45.32,45.49,44.32,44.36,92910
2022-02-14,44.84,45.28,43.32,44.97,101020
2022-02-15,44.84,45.06,44.62,44.93,38000
2022-02-16,44.88,45.28,44.41,44.97,48700
2022-02-17,44.97,45.49,44.67,45.4,36920
2022-02-18,45.23,45.54,45.02,45.28,40100
2022-02-21,45.36,46.58,45.36,46.36,97900
2022-02-22,46.27,46.88,45.49,46.23,68900
2022-02-23,46.27,46.58,46.27,46.32,57300
2022-02-24,46.36,46.58,45.92,46.44,54700
2022-02-25,46.27,46.58,45.49,46.32,71700
2022-02-28,46.14,46.58,45.49,46.27,64302
2022-03-01,46.14,46.53,45.49,46.14,76723
2022-03-02,46.14,46.36,44.62,45.88,59300
2022-03-03,45.4,46.36,45.23,46.36,61825
2022-03-04,45.97,47.62,45.97,46.79,128600
2022-03-07,48.27,48.68,46.86,47.76,75101
2022-03-08,47.99,48.63,47.31,47.54,50121
2022-03-09,47.54,48.18,46.86,47.76,49900
2022-03-10,47.31,47.99,46.86,47.76,41000
2022-03-11,47.31,48.77,46.86,47.76,117305
2022-03-14,47.31,49.08,46.86,47.76,81001
2022-03-15,47.76,47.95,47.31,47.63,76200
2022-03-16,47.54,47.95,46.67,46.86,88600
2022-03-17,47.49,47.76,45.99,46.95,88201
2022-03-18,46.99,47.26,46.4,47.22,78200
2022-03-21,46.99,47.63,46.63,46.99,66400
2022-03-22,47.13,47.49,46.4,47.13,55400
2022-03-23,47.13,47.45,46.63,46.67,116400
2022-03-24,47.04,47.54,46.4,47.49,158165
2022-03-25,47.31,47.63,47.08,47.45,100800
2022-03-28,47.45,48.27,46.4,47.54,117630
2022-03-29,47.4,48.18,46.86,47.36,101100
2022-03-30,46.86,47.26,46.22,47.4,95939
2022-03-31,46.99,47.36,45.95,46.81,101900
2022-04-01,46.63,47.31,45.99,46.63,114501
2022-04-04,47.31,47.54,47.08,47.22,100200
2022-04-05,47.31,49.36,47.08,49.31,227564
2022-04-06,49.04,52.09,49.04,48.18,258343
2022-04-07,51.36,51.86,50.77,51.4,112302
2022-04-08,51.36,51.86,49.36,50.9,90040
2022-04-12,52.7,52.88,50.86,52.6,100900
2022-04-13,50.15,51.86,47.08,49.13,100700
2022-04-14,48.44,50.42,48.17,50.42,153700
2022-04-15,49.4,51.18,49.4,50.83,141405
2022-04-18,50.36,50.7,50.15,50.42,148100
2022-04-19,50.49,51.86,50.42,51.18,114600
2022-04-20,51.52,51.52,48.58,50.42,102900
2022-04-21,49.74,51.92,49.54,50.15,93800
2022-04-22,50.29,50.83,49.47,50.29,106900
2022-04-25,50.36,50.36,46.47,48.1,49203
2022-04-26,49.13,50.49,46.4,47.9,45242
2022-04-27,47.15,48.38,46.47,47.28,28701
2022-04-28,46.94,47.28,46.94,47.28,25719
2022-04-29,47.08,48.38,46.94,48.38,28210
2022-05-04,47.63,49.13,47.63,48.31,45121
2022-05-05,47.76,51.86,47.76,49.54,32201
2022-05-06,48.1,49.81,48.1,48.99,34100
2022-05-09,48.44,49.13,44.35,44.96,42705
2022-05-10,46.47,47.08,43.67,46.47,46011
2022-05-11,43.67,45.58,43.67,46.47,32700
2022-05-12,43.67,46.4,42.99,46.47,58802
2022-05-13,44.35,45.38,40.94,44.08,44000
2022-05-16,42.85,44.35,42.85,43.87,46201
2022-05-17,43.67,45.03,43.67,45.03,46000
2022-05-18,44.22,45.38,43.67,45.38,46200
2022-05-19,44.69,46.4,42.99,46.06,51100
2022-05-20,45.72,46.88,45.72,45.72,63020
2022-05-23,46.33,47.49,45.17,45.72,37300
2022-05-24,46.4,46.6,44.35,45.72,47403
2022-05-25,46.06,46.4,45.03,45.92,79910
2022-05-26,45.99,46.6,45.99,46.19,77802
2022-05-27,45.72,46.74,45.72,46.54,110000
2022-05-30,46.47,47.76,46.06,46.74,75408
2022-05-31,46.4,47.76,46.4,46.4,81100
2022-06-01,47.08,47.63,46.4,47.15,39800
2022-06-02,47.08,47.35,46.47,46.81,52900
2022-06-03,46.74,47.01,45.72,47.01,45450
2022-06-06,46.4,47.76,46.4,47.42,104900
2022-06-07,47.35,47.63,46.4,47.56,77310
2022-06-08,47.35,49.81,47.35,49.4,97602
2022-06-09,49.13,50.15,49.13,49.74,101005
2022-06-10,49.74,49.81,48.44,49.13,59500
2022-06-13,49.13,49.13,45.85,47.08,43185
2022-06-14,46.4,47.7,46.4,47.35,75816
2022-06-15,47.08,48.1,45.72,46.4,45514
2022-06-16,46.88,49.19,46.88,47.69,62900
2022-06-17,47.79,48.07,46.45,47.09,32730
2022-06-20,47.09,47.65,46.45,47.02,27750
2022-06-21,47.09,47.65,46.38,47.16,35150
2022-06-22,47.09,47.16,44.98,46.38,74001
2022-06-23,46.66,47.09,46.38,46.74,78103
2022-06-24,46.74,47.37,46.03,46.74,72987
2022-06-27,46.88,47.09,46.38,46.95,48721
2022-06-28,46.8,47.09,46.38,46.88,51200
2022-06-29,46.59,46.88,46.38,46.8,61298
2022-06-30,46.74,47.44,46.66,46.74,57920
2022-07-01,47.09,47.65,46.38,46.8,80002
2022-07-04,46.8,48.14,46.74,47.23,76370
2022-07-05,47.09,47.3,45.4,46.95,61970
2022-07-06,46.38,46.95,45.68,46.8,44605
2022-07-07,46.38,46.66,46.1,46.66,63456
2022-07-08,46.38,47.3,46.38,47.09,70909
2022-07-11,46.59,47.02,46.38,46.66,74000
2022-07-12,46.38,46.74,45.96,46.24,65005
2022-07-13,46.38,46.38,44.42,46.38,84406
2022-07-14,46.38,46.38,44.98,45.47,52000
2022-07-15,45.68,45.68,44.98,45.33,80030
2022-07-18,45.33,45.47,44.77,44.91,96400
2022-07-19,44.98,45.4,44.98,45.33,95982
2022-07-20,45.05,46.24,44.98,45.89,102061
2022-07-21,45.4,45.68,45.33,45.61,87300
2022-07-22,45.54,45.75,45.33,45.54,92084
2022-07-25,45.54,45.54,45.12,45.47,83816
2022-07-26,45.61,45.68,45.33,45.47,83850
2022-07-27,45.33,46.38,45.33,46.24,84000
2022-07-28,46.03,46.38,45.96,46.31,76300
2022-07-29,46.17,46.38,45.96,46.31,77500
2022-08-01,46.17,46.45,45.33,46.38,98910
2022-08-02,46.31,47.09,46.31,47.02,103775
2022-08-03,46.8,46.8,46.38,46.74,96049
2022-08-04,46.59,47.02,46.38,46.52,81832
2022-08-05,46.52,46.95,45.96,46.52,86138
2022-08-08,46.45,46.74,46.17,46.17,86531
2022-08-09,46.24,46.95,46.24,46.95,100852
2022-08-10,46.88,47.02,46.52,46.74,108493
2022-08-11,47.02,47.44,45.75,46.38,88985
2022-08-12,46.03,46.59,45.96,46.31,80070
2022-08-15,46.31,46.74,46.03,46.17,86600
2022-08-16,46.17,46.17,45.47,45.61,95500
2022-08-17,45.61,45.96,45.4,45.82,103100
2022-08-18,45.82,45.89,45.47,45.89,99700
2022-08-19,45.61,45.82,45.33,45.68,116200
2022-08-22,45.61,45.96,45.47,45.54,52000
2022-08-23,45.47,46.1,45.33,46.1,75025
2022-08-24,45.75,46.38,45.33,46.31,117700
2022-08-25,46.03,46.31,45.68,46.31,95200
2022-08-26,46.17,46.74,46.1,46.59,103100
2022-08-29,46.59,47.09,46.03,47.09,96325
2022-08-30,47.23,47.58,46.74,47.23,141414
2022-08-31,47.3,47.58,47.09,47.44,128721
2022-09-05,47.51,49.55,47.51,48.49,124851
