time,open,high,low,close,volume
2020-01-06,9.6,9.6,9.14,9.45,4900
2020-01-07,9.35,9.39,9.35,9.39,880
2020-01-08,9.68,9.68,9.22,9.31,2100
2020-01-09,9.35,9.39,9.26,9.26,410
2020-01-10,9.39,9.39,9.14,9.39,4110
2020-01-13,9.45,9.45,9.39,9.39,210
2020-01-14,8.99,9.31,8.97,9.31,410
2020-01-15,9.31,9.31,8.72,8.72,18090
2020-01-16,8.81,8.93,8.72,8.81,33680
2020-01-17,8.89,9.16,8.72,8.81,18940
2020-01-20,8.72,8.85,8.72,8.85,6930
2020-01-21,8.93,9.12,8.81,9.12,2690
2020-01-22,9.12,9.51,8.93,9.51,4040
2020-01-30,9.56,9.56,9.35,9.35,1120
2020-01-31,8.72,9.7,8.72,9.35,9040
2020-02-03,8.83,8.83,8.7,8.7,13760
2020-02-04,8.7,8.93,8.35,8.35,1600
2020-02-05,8.72,8.72,8.31,8.72,2100
2020-02-06,8.72,8.89,8.68,8.81,21910
2020-02-07,8.93,9.08,8.81,9.06,29540
2020-02-10,9.06,9.06,8.72,8.93,9660
2020-02-11,9.14,9.14,8.77,8.93,1850
2020-02-12,8.99,9.02,8.72,8.89,32830
2020-02-13,8.72,8.91,8.72,8.91,24690
2020-02-14,8.93,8.93,8.72,8.89,10730
2020-02-17,8.89,8.89,8.72,8.85,39900
2020-02-18,8.85,8.85,8.68,8.77,3010
2020-02-19,8.33,8.89,8.33,8.89,3960
2020-02-20,8.99,8.99,8.74,8.85,11100
2020-02-21,8.85,8.85,8.72,8.85,24650
2020-02-24,8.72,8.72,8.31,8.54,57920
2020-02-25,7.98,8.54,7.98,8.48,9230
2020-02-26,8.48,8.48,8.0,8.43,5870
2020-02-27,8.39,8.39,8.31,8.31,8360
2020-02-28,8.23,8.27,7.89,8.27,16050
2020-03-02,8.23,8.27,7.73,7.73,10140
2020-03-03,7.89,8.1,7.69,8.1,8430
2020-03-04,8.14,8.14,7.89,8.04,2540
2020-03-05,8.02,8.04,7.89,8.02,13930
2020-03-06,8.02,8.48,8.02,8.37,30060
2020-03-09,7.83,8.06,7.79,7.98,27460
2020-03-10,7.54,7.85,7.54,7.6,5150
2020-03-11,7.87,7.87,7.48,7.79,3160
2020-03-12,7.79,7.79,7.4,7.48,34920
2020-03-13,7.48,7.48,6.96,7.48,7660
2020-03-16,7.48,7.64,7.48,7.64,3100
2020-03-17,7.12,7.56,7.12,7.54,830
2020-03-18,7.89,7.89,7.48,7.54,5350
2020-03-19,7.04,7.66,7.04,7.56,1940
2020-03-20,7.87,7.89,7.27,7.52,24500
2020-03-23,7.06,7.54,7.06,7.42,40980
2020-03-24,7.44,7.44,6.94,7.4,1430
2020-03-25,7.06,7.44,7.06,7.19,3240
2020-03-26,7.1,7.27,7.1,7.27,16400
2020-03-27,7.35,7.35,7.06,7.31,15470
2020-03-30,7.35,7.37,7.06,7.37,11390
2020-03-31,7.4,7.4,7.12,7.27,750
2020-04-01,6.77,7.37,6.77,7.27,2130
2020-04-03,7.27,7.27,7.19,7.27,1260
2020-04-06,7.27,7.48,7.19,7.48,25060
2020-04-07,7.48,7.52,7.04,7.48,5190
2020-04-08,7.4,8.0,7.27,8.0,31060
2020-04-09,8.31,8.35,7.98,8.18,18750
2020-04-10,8.33,8.33,7.62,7.89,7060
2020-04-13,7.4,7.89,7.4,7.44,50210
2020-04-14,7.73,7.73,7.31,7.69,14100
2020-04-15,7.69,7.85,7.48,7.77,10050
2020-04-16,7.77,8.2,7.64,8.14,39460
2020-04-17,8.18,8.43,8.18,8.31,44640
2020-04-20,8.62,8.62,8.23,8.35,23330
2020-04-21,8.35,8.35,7.77,7.98,16790
2020-04-22,7.98,8.1,7.73,8.06,8250
2020-04-23,7.69,7.98,7.52,7.98,40560
2020-04-24,7.85,7.85,7.64,7.85,8480
2020-04-27,7.81,7.89,7.69,7.89,18510
2020-04-28,7.89,7.96,7.73,7.73,11900
2020-04-29,7.77,7.77,7.42,7.64,37020
2020-05-04,7.64,7.64,7.15,7.48,16540
2020-05-05,7.27,7.48,7.27,7.48,8400
2020-05-06,7.48,7.54,6.98,7.29,18280
2020-05-07,7.27,7.42,6.94,7.23,92730
2020-05-08,7.46,7.73,7.31,7.69,56170
2020-05-11,7.89,8.2,7.89,8.2,58470
2020-05-12,8.77,8.77,8.77,8.77,89290
2020-05-13,9.37,9.37,9.14,9.37,134770
2020-05-14,9.02,9.89,9.02,9.37,77320
2020-05-15,8.97,9.14,8.77,8.77,63080
2020-05-18,8.18,9.06,8.18,8.58,61730
2020-05-19,9.06,9.06,8.41,8.93,42610
2020-05-20,8.93,9.56,8.93,9.56,85700
2020-05-21,10.22,10.22,10.22,10.22,35780
2020-05-22,10.93,10.93,10.3,10.59,407260
2020-05-25,10.51,10.59,10.18,10.39,85810
2020-05-26,10.59,10.59,10.39,10.43,47160
2020-05-27,10.55,10.55,10.24,10.26,95510
2020-05-28,10.59,10.59,10.14,10.3,49270
2020-05-29,10.51,10.51,10.18,10.22,55470
2020-06-01,10.39,10.55,10.18,10.47,76640
2020-06-02,10.49,10.51,10.3,10.36,38580
2020-06-03,10.39,10.39,10.12,10.26,34630
2020-06-04,10.32,10.32,10.14,10.14,60340
2020-06-05,10.14,10.64,10.07,10.57,71080
2020-06-08,10.43,10.93,10.43,10.8,88540
2020-06-09,11.01,11.01,10.72,10.72,67220
2020-06-10,10.59,10.64,10.39,10.55,57730
2020-06-11,10.47,10.59,10.3,10.3,57390
2020-06-12,9.97,10.05,9.64,9.68,80890
2020-06-15,9.91,9.91,9.35,9.35,53910
2020-06-16,9.35,9.74,9.35,9.68,23550
2020-06-17,9.68,9.93,9.56,9.64,7110
2020-06-18,9.6,9.6,9.35,9.47,44710
2020-06-19,9.47,9.74,9.47,9.74,29660
2020-06-22,9.89,9.93,9.76,9.89,23550
2020-06-23,9.93,9.93,9.68,9.85,5690
2020-06-24,9.6,9.72,9.58,9.58,16080
2020-06-25,9.43,9.58,9.39,9.47,9830
2020-06-26,9.47,9.56,9.43,9.47,4460
2020-06-29,9.39,9.56,8.95,8.95,38350
2020-06-30,8.95,9.1,8.95,9.02,37140
2020-07-01,8.77,9.14,8.64,9.14,7070
2020-07-02,9.14,9.35,9.14,9.35,9400
2020-07-03,9.35,9.35,8.97,9.22,8450
2020-07-06,9.22,9.35,9.18,9.18,12050
2020-07-07,9.14,9.64,9.14,9.26,7830
2020-07-08,9.39,9.47,9.39,9.41,1530
2020-07-09,9.68,10.01,9.56,9.89,53070
2020-07-10,9.89,10.36,9.8,10.36,80910
2020-07-13,10.3,10.8,10.3,10.61,45080
2020-07-14,10.61,11.34,10.59,11.34,274470
2020-07-15,12.13,12.13,12.09,12.13,218530
2020-07-16,12.96,12.96,12.96,12.96,83590
2020-07-17,13.86,13.86,13.21,13.29,335000
2020-07-20,12.5,13.21,12.38,12.38,146080
2020-07-21,12.38,12.46,11.59,11.92,59210
2020-07-22,11.92,12.34,11.84,11.86,72790
2020-07-23,11.86,11.96,11.05,11.59,64270
2020-07-24,11.47,11.63,10.78,11.47,123160
2020-07-27,10.68,11.22,10.68,10.68,123530
2020-07-28,10.01,11.4,10.01,11.4,90630
2020-07-29,11.59,11.59,10.88,11.22,125430
2020-07-30,11.47,11.55,11.13,11.22,78610
2020-07-31,11.01,11.2,11.01,11.13,65400
2020-08-03,11.13,11.9,11.13,11.9,159220
2020-08-04,12.05,12.46,12.05,12.11,227730
2020-08-05,12.93,12.93,12.93,12.93,398870
2020-08-06,13.71,13.8,13.44,13.8,374680
2020-08-07,14.72,14.76,14.67,14.76,167910
2020-08-10,15.77,15.77,15.77,15.77,171090
2020-08-11,16.86,16.86,14.67,14.67,681350
2020-08-12,14.17,14.9,13.89,14.17,197550
2020-08-13,14.67,14.81,14.08,14.67,107940
2020-08-14,14.67,15.04,14.26,14.76,134880
2020-08-17,14.62,14.72,14.17,14.17,147820
2020-08-18,14.12,14.53,14.12,14.3,51790
2020-08-19,14.17,14.4,14.08,14.21,49200
2020-08-20,14.03,14.17,13.71,13.71,102780
2020-08-21,13.53,14.08,13.53,13.89,61250
2020-08-24,14.12,14.17,13.71,13.76,140700
2020-08-25,13.89,13.89,13.71,13.76,99100
2020-08-26,13.76,14.26,13.66,14.26,119360
2020-08-27,14.26,14.9,14.26,14.81,252860
2020-08-28,14.9,15.08,14.49,14.62,196760
2020-08-31,14.26,14.44,14.17,14.26,123070
2020-09-01,14.44,14.44,13.71,14.08,102370
2020-09-03,13.98,14.44,13.98,14.08,68790
2020-09-04,13.8,14.03,13.8,13.89,67550
2020-09-07,13.89,14.62,13.89,14.17,175460
2020-09-08,14.17,14.26,14.03,14.03,52450
2020-09-09,13.94,14.26,13.94,14.08,86450
2020-09-10,14.17,14.17,13.98,14.03,48770
2020-09-11,14.03,14.53,13.98,14.26,88120
2020-09-14,14.53,14.53,14.26,14.44,175070
2020-09-15,14.62,14.62,14.26,14.44,88950
2020-09-16,14.44,14.44,14.17,14.35,31440
2020-09-17,14.12,14.35,14.08,14.17,119120
2020-09-18,14.12,14.17,14.08,14.12,61220
2020-09-21,14.08,14.44,14.08,14.21,58120
2020-09-22,14.26,14.26,14.03,14.08,46120
2020-09-23,14.17,14.17,13.98,13.98,73480
2020-09-24,14.08,14.08,13.89,13.94,82910
2020-09-25,13.98,13.98,13.8,13.89,69820
2020-09-28,13.8,13.89,13.71,13.71,72420
2020-09-29,13.8,13.89,13.71,13.71,40080
2020-09-30,13.71,13.71,12.75,12.93,628460
2020-10-01,12.93,13.39,12.93,13.39,170310
2020-10-02,13.39,13.39,12.48,12.89,332280
2020-10-05,12.89,12.98,12.84,12.93,155030
2020-10-06,12.93,13.21,12.8,13.12,258900
2020-10-07,13.16,13.16,12.93,12.93,114550
2020-10-08,12.93,12.98,12.8,12.8,120450
2020-10-09,12.89,13.07,12.8,12.98,120160
2020-10-12,12.84,12.89,12.7,12.75,116030
2020-10-13,12.8,12.8,12.61,12.66,61540
2020-10-14,12.66,12.66,12.16,12.25,166150
2020-10-15,12.25,12.25,11.7,11.79,153350
2020-10-16,11.84,11.84,11.33,11.33,148460
2020-10-19,11.33,11.43,10.97,11.29,152620
2020-10-20,11.29,11.33,11.06,11.29,92780
2020-10-21,11.15,12.06,11.06,12.06,90990
2020-10-22,12.89,12.89,12.34,12.48,181360
2020-10-23,12.48,12.48,12.06,12.29,108580
2020-10-26,11.88,12.06,11.88,11.97,81850
2020-10-27,11.88,11.88,11.52,11.61,48780
2020-10-28,11.2,11.79,11.2,11.24,60570
2020-10-29,11.15,11.7,11.01,11.33,82450
2020-10-30,11.61,11.61,11.24,11.33,21610
2020-11-02,11.15,11.43,11.15,11.24,19670
2020-11-03,11.7,11.7,11.29,11.43,36400
2020-11-04,11.43,11.97,11.43,11.97,66020
2020-11-05,11.52,11.88,11.52,11.7,31280
2020-11-06,11.88,11.88,11.56,11.65,21740
2020-11-09,11.7,11.88,11.65,11.79,66170
2020-11-10,11.88,11.97,11.84,11.84,90110
2020-11-11,11.88,11.88,11.61,11.7,29740
2020-11-12,11.7,11.88,11.43,11.75,52510
2020-11-13,11.52,11.79,11.52,11.75,39280
2020-11-16,11.75,11.75,11.47,11.52,65970
2020-11-17,11.52,11.52,11.43,11.47,54320
2020-11-18,11.47,11.7,11.47,11.65,40100
2020-11-19,11.61,12.16,11.52,11.97,132410
2020-11-20,11.97,11.97,11.75,11.84,31680
2020-11-23,11.84,11.88,11.7,11.79,37810
2020-11-24,11.93,11.93,11.61,11.79,31620
2020-11-25,11.88,11.88,11.56,11.56,23280
2020-11-26,11.7,11.75,11.56,11.65,21430
2020-11-27,11.65,11.79,11.61,11.61,36770
2020-11-30,11.7,11.88,11.61,11.88,155930
2020-12-01,11.15,11.88,11.15,11.88,72350
2020-12-02,11.61,11.88,11.52,11.61,56110
2020-12-03,11.79,11.79,11.52,11.65,32020
2020-12-04,11.61,11.7,11.52,11.7,75290
2020-12-07,11.79,11.79,11.52,11.65,46470
2020-12-08,11.7,11.7,11.56,11.56,35850
2020-12-09,11.7,11.88,11.56,11.79,130050
2020-12-10,11.88,11.88,11.65,11.65,103400
