time,open,high,low,close,volume
2020-01-06,7.82,7.82,7.82,7.82,60
2020-01-07,7.82,7.82,7.82,7.82,0
2020-01-08,7.91,7.91,7.91,7.91,200
2020-01-09,7.91,7.91,7.91,7.91,0
2020-01-10,7.91,7.91,7.82,7.82,402
2020-01-13,7.82,7.82,7.82,7.82,200
2020-01-14,7.82,7.82,7.82,7.82,0
2020-01-15,7.82,7.82,7.82,7.82,0
2020-01-16,7.82,7.82,7.82,7.82,0
2020-01-17,7.82,7.82,7.82,7.82,0
2020-01-20,7.82,7.82,7.82,7.82,0
2020-01-21,7.82,7.82,7.82,7.82,0
2020-01-22,7.82,7.82,7.82,7.82,0
2020-01-30,7.82,7.82,7.82,7.82,0
2020-01-31,7.72,7.82,7.72,7.82,1100
2020-02-03,7.82,7.82,7.82,7.82,0
2020-02-04,7.82,7.82,7.82,7.82,0
2020-02-05,7.82,7.82,7.82,7.82,0
2020-02-06,7.82,7.82,7.82,7.82,200
2020-02-07,7.82,7.82,7.82,7.82,0
2020-02-10,7.82,7.82,7.82,7.82,10
2020-02-11,7.82,7.82,7.82,7.82,0
2020-02-12,7.82,7.82,7.82,7.82,0
2020-02-13,7.82,7.82,7.82,7.82,0
2020-02-14,7.82,7.82,7.82,7.82,0
2020-02-17,7.82,7.82,7.82,7.82,0
2020-02-18,7.82,7.82,7.82,7.82,0
2020-02-19,7.82,7.82,7.82,7.82,0
2020-02-20,7.82,7.82,7.82,7.82,0
2020-02-21,7.82,7.82,7.82,7.82,0
2020-02-24,7.82,7.82,7.82,7.82,500
2020-02-25,7.82,7.82,7.82,7.82,0
2020-02-26,7.27,7.27,7.27,7.27,19210
2020-02-27,7.27,7.27,7.27,7.27,0
2020-02-28,7.96,7.96,7.96,7.96,100
2020-03-02,7.96,7.96,7.96,7.96,60
2020-03-03,7.96,7.96,7.96,7.96,106
2020-03-04,8.36,8.36,8.36,8.36,650
2020-03-05,8.36,8.36,8.36,8.36,0
2020-03-06,7.91,7.91,7.91,7.91,700
2020-03-09,7.91,7.91,7.91,7.91,2900
2020-03-10,8.67,8.67,8.67,8.67,0
2020-03-11,8.67,8.67,8.67,8.67,0
2020-03-12,8.67,8.67,8.67,8.67,0
2020-03-13,8.67,8.67,8.67,8.67,0
2020-03-16,7.16,7.16,7.16,7.16,1200
2020-03-17,7.16,7.16,7.16,7.16,100
2020-03-18,7.05,7.05,7.05,7.05,100
2020-03-19,7.21,7.21,7.21,7.21,100
2020-03-20,7.21,7.21,7.21,7.21,0
2020-03-23,7.21,7.21,7.21,7.21,0
2020-03-24,6.88,6.88,6.88,6.88,3700
2020-03-25,6.88,7.26,6.88,7.26,200
2020-03-26,7.26,7.26,7.26,7.26,0
2020-03-27,6.61,6.61,6.61,6.61,100
2020-03-30,6.61,6.61,6.61,6.61,1200
2020-03-31,5.96,5.96,5.96,5.96,100
2020-04-01,5.96,5.96,5.96,5.96,0
2020-04-03,5.53,5.53,5.53,5.53,100
2020-04-06,6.07,6.07,6.07,6.07,100
2020-04-07,6.67,6.67,6.67,6.67,100
2020-04-08,7.26,7.26,7.26,7.26,100
2020-04-09,6.56,7.26,6.56,6.83,300
2020-04-10,6.83,6.83,6.83,6.83,0
2020-04-13,6.18,6.18,6.18,6.18,100
2020-04-14,6.18,6.18,6.18,6.18,0
2020-04-15,6.18,6.18,6.18,6.18,0
2020-04-16,6.78,6.78,6.78,6.78,600
2020-04-17,6.78,6.78,6.78,6.78,10
2020-04-20,6.78,6.78,6.78,6.78,0
2020-04-21,7.43,7.43,7.43,7.43,200
2020-04-22,6.78,6.78,6.78,6.78,110
2020-04-23,6.12,7.37,6.12,7.37,4000
2020-04-24,8.02,8.02,7.97,7.97,520
2020-04-27,8.08,8.08,7.97,7.97,1900
2020-04-28,7.97,7.97,7.97,7.97,0
2020-04-29,7.97,7.97,7.21,7.21,2130
2020-05-04,7.91,7.91,7.86,7.86,900
2020-05-05,7.86,7.86,7.86,7.86,200
2020-05-06,7.75,7.81,7.75,7.81,1100
2020-05-07,7.81,7.81,7.81,7.81,0
2020-05-08,7.81,7.81,7.81,7.81,0
2020-05-11,7.59,7.59,7.59,7.59,400
2020-05-12,7.32,7.7,7.1,7.1,2200
2020-05-13,7.1,7.1,7.1,7.1,900
2020-05-14,7.81,7.81,7.16,7.16,200
2020-05-15,7.7,7.75,7.26,7.26,2900
2020-05-18,7.32,7.32,7.21,7.21,1600
2020-05-19,7.21,7.21,7.21,7.21,0
2020-05-20,7.7,7.7,7.21,7.21,1410
2020-05-21,7.21,7.21,6.67,7.16,3200
2020-05-22,7.16,7.16,6.88,6.88,3300
2020-05-25,7.26,7.26,7.26,7.26,100
2020-05-26,7.37,7.48,7.37,7.48,900
2020-05-27,7.48,7.64,7.48,7.64,700
2020-05-28,7.64,7.64,7.64,7.64,800
2020-05-29,7.64,7.64,7.64,7.64,0
2020-06-01,7.64,7.64,7.64,7.64,0
2020-06-02,7.64,7.64,7.64,7.64,0
2020-06-03,7.64,7.64,7.48,7.64,1500
2020-06-04,7.64,7.64,7.64,7.64,10
2020-06-05,7.64,7.64,7.64,7.64,0
2020-06-08,7.81,7.81,7.81,7.81,100
2020-06-09,7.81,7.81,7.81,7.81,0
2020-06-10,7.91,7.91,7.91,7.91,100
2020-06-11,7.91,7.91,7.91,7.91,0
2020-06-12,7.91,7.91,7.91,7.91,0
2020-06-15,7.91,7.91,7.91,7.91,0
2020-06-16,7.86,7.86,7.86,7.86,800
2020-06-17,7.86,7.86,7.86,7.86,0
2020-06-18,7.86,7.86,7.86,7.86,0
2020-06-19,7.81,7.81,7.81,7.81,100
2020-06-22,7.75,7.75,7.75,7.75,700
