time,open,high,low,close,volume
2020-01-06,9.13,9.27,9.04,9.27,420
2020-01-07,9.27,9.27,9.22,9.27,60
2020-01-08,9.04,9.22,9.04,9.22,1210
2020-01-09,9.27,9.32,9.27,9.32,40
2020-01-10,9.32,9.32,9.32,9.32,0
2020-01-13,9.32,9.32,9.04,9.04,430
2020-01-14,9.32,9.32,9.32,9.32,20
2020-01-15,9.32,9.32,9.32,9.32,0
2020-01-16,9.32,9.32,9.32,9.32,970
2020-01-17,9.36,9.36,8.95,9.36,510
2020-01-20,9.22,9.22,9.22,9.22,20
2020-01-21,9.36,9.36,9.32,9.36,110
2020-01-22,9.41,9.41,9.41,9.41,120
2020-01-30,9.22,9.45,8.77,9.22,6020
2020-01-31,9.27,9.32,8.86,8.95,5420
2020-02-03,9.0,9.0,8.95,8.95,1000
2020-02-04,9.27,9.27,8.77,8.95,1930
2020-02-05,8.64,8.95,8.64,8.95,280
2020-02-06,9.04,9.22,8.59,9.04,1620
2020-02-07,9.13,9.13,9.0,9.04,2440
2020-02-10,8.95,9.13,8.95,9.13,4080
2020-02-11,8.95,9.13,8.95,9.13,1430
2020-02-12,9.27,9.32,9.27,9.32,8730
2020-02-13,9.27,9.32,9.13,9.13,3670
2020-02-14,9.22,9.32,9.13,9.32,5710
2020-02-17,9.36,9.36,9.32,9.36,50
2020-02-18,9.41,9.41,9.27,9.36,1220
2020-02-19,9.36,9.36,8.77,8.77,10060
2020-02-20,9.22,9.22,8.86,9.18,870
2020-02-21,9.18,9.22,9.13,9.18,850
2020-02-24,9.18,9.22,8.54,9.18,4170
2020-02-25,9.18,9.18,8.86,9.13,800
2020-02-26,9.13,9.13,8.95,9.09,1840
2020-02-27,9.04,9.22,8.95,9.22,2050
2020-02-28,9.04,9.18,9.04,9.18,410
2020-03-02,9.22,9.22,8.86,8.86,3320
2020-03-03,9.22,9.22,8.95,8.95,880
2020-03-04,9.18,9.18,8.86,9.13,2000
2020-03-05,9.32,9.32,8.86,9.18,5070
2020-03-06,8.86,9.13,8.86,9.13,360
2020-03-09,9.32,9.32,9.13,9.22,2820
2020-03-10,8.59,9.13,8.59,9.13,130
2020-03-11,9.04,9.22,9.04,9.04,520
2020-03-12,9.04,9.04,8.41,8.95,3430
2020-03-13,8.68,9.54,8.59,8.86,6840
2020-03-16,9.32,9.32,8.95,8.95,520
2020-03-17,8.91,8.95,8.68,8.95,910
2020-03-18,9.22,9.22,8.95,8.95,410
2020-03-19,8.59,9.13,8.59,8.95,270
2020-03-20,9.09,9.09,8.95,8.95,16360
2020-03-23,8.42,9.04,8.41,9.04,2010
2020-03-24,8.41,9.04,8.41,9.04,7090
2020-03-25,9.04,9.04,9.04,9.04,1500
2020-03-26,9.04,9.04,9.04,9.04,600
2020-03-27,8.95,9.04,8.77,9.04,2420
2020-03-30,9.04,9.04,8.95,9.04,1050
2020-03-31,9.04,9.04,9.04,9.04,20
2020-04-01,8.41,9.04,8.41,9.04,150
2020-04-03,9.04,9.09,9.04,9.09,1030
2020-04-06,9.18,9.72,9.09,9.72,59140
2020-04-07,10.36,10.4,9.77,10.4,67550
2020-04-08,10.31,10.67,10.31,10.4,8430
2020-04-09,10.4,10.49,9.9,9.9,30450
2020-04-10,9.77,9.95,9.5,9.68,22920
2020-04-13,9.59,10.26,9.59,10.13,21340
2020-04-14,10.18,10.31,9.77,10.31,11700
2020-04-15,10.36,10.99,10.36,10.99,112620
2020-04-16,11.3,11.76,11.08,11.76,76950
2020-04-17,12.39,12.57,12.39,12.57,179050
2020-04-20,13.2,13.38,11.71,12.21,113380
2020-04-21,11.4,11.76,11.4,11.4,28740
2020-04-22,10.63,10.63,10.63,10.63,48680
2020-04-23,10.13,10.85,10.13,10.36,147640
2020-04-24,10.99,10.99,10.22,10.94,47470
2020-04-27,11.03,11.03,10.49,10.85,21750
2020-04-28,10.94,11.3,10.85,10.9,50390
2020-04-29,11.12,11.62,11.12,11.62,46610
2020-05-04,11.26,11.62,11.03,11.22,26440
2020-05-05,11.03,11.22,10.85,11.08,5050
2020-05-06,11.08,11.08,10.72,10.94,21210
2020-05-07,10.94,11.03,10.72,10.9,21880
2020-05-08,10.81,11.03,10.76,11.03,31930
2020-05-11,11.03,11.12,10.85,11.03,21180
2020-05-12,11.03,11.8,10.85,11.76,58110
2020-05-13,12.03,12.03,11.58,11.58,26740
2020-05-14,11.49,11.67,11.4,11.58,21300
2020-05-15,11.58,11.58,11.4,11.49,15730
2020-05-18,11.49,11.67,11.49,11.67,6530
2020-05-19,11.67,11.76,11.49,11.67,46200
2020-05-20,11.67,11.76,11.58,11.67,6090
2020-05-21,11.67,11.76,11.58,11.67,44110
2020-05-22,11.67,11.89,11.58,11.76,50360
2020-05-25,11.76,12.57,11.76,12.57,35470
2020-05-26,12.57,13.11,12.21,12.84,25290
2020-05-27,12.84,12.84,12.39,12.39,41440
2020-05-28,12.12,12.57,12.03,12.03,16750
2020-05-29,12.03,12.66,12.03,12.57,30480
2020-06-01,12.57,12.66,12.48,12.53,20180
2020-06-02,12.48,12.66,12.48,12.57,18460
2020-06-03,12.57,13.2,12.57,12.93,35310
2020-06-04,12.84,13.75,12.84,13.66,43930
2020-06-05,13.66,14.56,13.57,14.47,99150
2020-06-08,14.42,14.56,14.29,14.47,140700
2020-06-09,14.47,14.47,14.02,14.02,84980
2020-06-10,13.57,14.97,13.38,14.97,106890
2020-06-11,14.97,15.06,14.02,14.56,52780
2020-06-12,14.47,14.47,13.61,14.29,20300
