time,open,high,low,close,volume
2020-01-06,3.09,3.09,2.99,3.0,133300
2020-01-07,2.97,3.0,2.95,2.99,49980
2020-01-08,2.99,3.0,2.94,2.95,93690
2020-01-09,2.97,2.98,2.93,2.97,27730
2020-01-10,3.01,3.01,2.96,2.98,27690
2020-01-13,3.02,3.02,2.8,2.8,93050
2020-01-14,2.8,2.92,2.8,2.92,130220
2020-01-15,2.97,2.97,2.89,2.93,13430
2020-01-16,2.94,2.94,2.9,2.94,34480
2020-01-17,2.94,2.97,2.93,2.94,17700
2020-01-20,2.95,2.95,2.92,2.94,23200
2020-01-21,2.96,2.96,2.89,2.93,99690
2020-01-22,2.93,3.11,2.9,3.11,128620
2020-01-30,2.92,3.09,2.92,2.94,43940
2020-01-31,2.94,2.94,2.89,2.93,119510
2020-02-03,2.93,2.93,2.74,2.85,180900
2020-02-04,2.85,2.89,2.83,2.89,54730
2020-02-05,2.91,2.92,2.89,2.91,72550
2020-02-06,2.93,2.93,2.86,2.91,88290
2020-02-07,2.91,2.93,2.85,2.93,111320
2020-02-10,2.74,2.92,2.74,2.89,110350
2020-02-11,2.83,2.89,2.83,2.86,20220
2020-02-12,2.86,2.87,2.83,2.86,78400
2020-02-13,2.85,2.86,2.82,2.85,55060
2020-02-14,2.85,2.85,2.81,2.84,42750
2020-02-17,2.92,2.92,2.83,2.88,90630
2020-02-18,2.89,2.89,2.83,2.85,95520
2020-02-19,2.88,2.88,2.83,2.86,94450
2020-02-20,2.88,3.02,2.85,3.01,420550
2020-02-21,2.89,3.01,2.89,2.94,113790
2020-02-24,2.89,2.89,2.85,2.86,130310
2020-02-25,2.83,2.86,2.8,2.86,136220
2020-02-26,2.86,2.86,2.85,2.85,49440
2020-02-27,2.85,2.9,2.82,2.86,52310
2020-02-28,2.85,2.85,2.78,2.8,96170
2020-03-02,2.76,2.88,2.76,2.85,81530
2020-03-03,2.9,2.9,2.81,2.87,72990
2020-03-04,2.87,2.93,2.85,2.93,95520
2020-03-05,2.93,2.97,2.92,2.92,189580
2020-03-06,2.92,2.92,2.86,2.91,68820
2020-03-09,2.82,2.82,2.71,2.71,288970
2020-03-10,2.59,2.76,2.59,2.74,120070
2020-03-11,2.76,2.76,2.55,2.65,266070
2020-03-12,2.59,2.59,2.47,2.47,259400
2020-03-13,2.4,2.5,2.3,2.48,241330
2020-03-16,2.55,2.55,2.46,2.46,121580
2020-03-17,2.42,2.47,2.36,2.47,85730
2020-03-18,2.45,2.55,2.42,2.54,194030
2020-03-19,2.54,2.54,2.42,2.48,181470
2020-03-20,2.48,2.48,2.42,2.44,64020
2020-03-23,2.4,2.4,2.28,2.28,193360
2020-03-24,2.22,2.3,2.22,2.24,65920
2020-03-25,2.29,2.34,2.24,2.33,100330
2020-03-26,2.33,2.33,2.17,2.17,175860
2020-03-27,2.17,2.24,2.03,2.17,96840
2020-03-30,2.17,2.17,2.02,2.02,272280
2020-03-31,2.02,2.14,1.88,1.9,322690
2020-04-01,1.94,2.02,1.93,2.02,91730
2020-04-03,2.0,2.11,2.0,2.08,125090
2020-04-06,2.14,2.22,2.1,2.22,229250
2020-04-07,2.32,2.32,2.11,2.21,118140
2020-04-08,2.17,2.17,2.13,2.16,110260
2020-04-09,2.11,2.22,2.11,2.2,149150
2020-04-10,2.16,2.26,2.14,2.24,218760
2020-04-13,2.3,2.4,2.3,2.4,339850
2020-04-14,2.55,2.55,2.37,2.48,377300
2020-04-15,2.5,2.52,2.48,2.48,232210
2020-04-16,2.33,2.48,2.33,2.42,155650
2020-04-17,2.47,2.5,2.42,2.49,222600
2020-04-20,2.55,2.55,2.47,2.5,333800
2020-04-21,2.37,2.44,2.37,2.41,267200
2020-04-22,2.33,2.45,2.31,2.45,97410
2020-04-23,2.45,2.5,2.42,2.43,59610
2020-04-24,2.38,2.48,2.38,2.48,130840
2020-04-27,2.48,2.49,2.44,2.44,60010
2020-04-28,2.42,2.47,2.42,2.44,62150
2020-04-29,2.4,2.47,2.4,2.42,67020
2020-05-04,2.42,2.42,2.37,2.39,66900
2020-05-05,2.39,2.43,2.37,2.42,53060
2020-05-06,2.42,2.48,2.38,2.48,101530
2020-05-07,2.48,2.5,2.47,2.49,92130
2020-05-08,2.5,2.64,2.5,2.6,318130
2020-05-11,2.61,2.74,2.61,2.72,264170
2020-05-12,2.74,2.88,2.68,2.78,300480
2020-05-13,2.78,2.87,2.78,2.85,206790
2020-05-14,2.85,3.05,2.85,3.02,469940
2020-05-15,3.14,3.14,2.82,2.82,380710
2020-05-18,2.85,2.98,2.82,2.98,171350
2020-05-19,3.02,3.02,2.89,2.96,215350
2020-05-20,2.86,2.93,2.86,2.9,121520
2020-05-21,2.9,2.92,2.85,2.86,133700
2020-05-22,2.86,2.93,2.84,2.86,231600
2020-05-25,2.86,2.89,2.85,2.85,140740
2020-05-26,2.85,2.93,2.85,2.92,252470
2020-05-27,2.93,2.93,2.87,2.87,58240
2020-05-28,2.85,2.87,2.83,2.85,123320
2020-05-29,2.78,2.93,2.76,2.93,338850
2020-06-01,2.93,3.08,2.93,3.06,497250
2020-06-02,3.06,3.07,2.98,2.99,145190
2020-06-03,3.01,3.01,2.86,3.0,252940
2020-06-04,3.0,3.08,2.98,3.06,792820
2020-06-05,3.06,3.08,2.98,3.06,243270
2020-06-08,3.13,3.26,3.11,3.26,545480
2020-06-09,3.49,3.49,3.41,3.49,1987600
2020-06-10,3.71,3.71,3.44,3.66,1534870
2020-06-11,3.66,3.66,3.41,3.41,1023080
2020-06-12,3.18,3.36,3.18,3.18,1051630
2020-06-15,3.36,3.36,3.13,3.15,406570
2020-06-16,3.15,3.24,3.13,3.24,532370
2020-06-17,3.26,3.26,3.14,3.18,398420
2020-06-18,3.07,3.17,3.07,3.11,230050
2020-06-19,3.11,3.21,3.11,3.21,340420
2020-06-22,3.18,3.24,3.18,3.18,388560
2020-06-23,3.18,3.37,3.18,3.29,788010
2020-06-24,3.3,3.44,3.3,3.3,600970
2020-06-25,3.11,3.28,3.11,3.21,214470
2020-06-26,3.21,3.26,3.16,3.19,179770
2020-06-29,3.12,3.12,2.98,2.98,672880
2020-06-30,2.98,3.06,2.98,3.0,419860
2020-07-01,3.02,3.15,2.99,3.12,166070
2020-07-02,3.12,3.12,3.03,3.08,93390
2020-07-03,3.04,3.1,3.04,3.05,75050
2020-07-06,3.05,3.15,3.05,3.11,239370
2020-07-07,3.13,3.15,3.02,3.03,324020
2020-07-08,3.02,3.11,3.02,3.07,117330
2020-07-09,3.07,3.11,3.06,3.11,152670
2020-07-10,3.07,3.13,3.07,3.08,146320
2020-07-13,3.08,3.13,3.04,3.09,160960
2020-07-14,3.1,3.1,3.03,3.07,214290
2020-07-15,3.1,3.11,3.07,3.07,131100
2020-07-16,3.12,3.12,3.06,3.08,61870
2020-07-17,3.02,3.1,3.02,3.09,148560
2020-07-20,3.12,3.18,3.11,3.13,521500
2020-07-21,3.15,3.27,3.15,3.17,432940
2020-07-22,3.19,3.24,3.13,3.14,164020
2020-07-23,3.07,3.15,3.04,3.05,234130
2020-07-24,3.06,3.06,2.84,2.85,560550
2020-07-27,2.65,2.73,2.65,2.65,510800
2020-07-28,2.59,2.76,2.59,2.74,232090
2020-07-29,2.74,2.74,2.55,2.59,224730
2020-07-30,2.59,2.71,2.59,2.68,119350
2020-07-31,2.59,2.68,2.59,2.65,99770
2020-08-03,2.59,2.76,2.59,2.74,162480
2020-08-04,2.8,2.8,2.74,2.74,153020
2020-08-05,2.73,2.8,2.72,2.79,253460
2020-08-06,2.78,2.98,2.68,2.98,1863200
2020-08-07,3.06,3.11,2.93,3.0,424470
2020-08-10,3.02,3.06,2.99,2.99,188920
2020-08-11,2.99,2.99,2.92,2.94,274530
2020-08-12,2.9,2.95,2.9,2.94,161250
2020-08-13,2.98,3.02,2.93,2.98,315750
2020-08-14,2.98,3.02,2.96,2.96,340190
2020-08-17,2.98,2.99,2.94,2.96,410070
2020-08-18,3.0,3.0,2.93,2.96,431000
2020-08-19,2.96,3.0,2.95,3.0,186440
2020-08-20,3.02,3.19,3.02,3.11,624340
2020-08-21,3.14,3.18,3.09,3.15,313810
2020-08-24,3.11,3.18,3.11,3.16,482650
2020-08-25,3.17,3.18,3.14,3.18,504440
2020-08-26,3.19,3.32,3.19,3.3,1166070
2020-08-27,3.28,3.31,3.28,3.3,391040
2020-08-28,3.3,3.5,3.3,3.41,807950
2020-08-31,3.45,3.45,3.28,3.28,760110
2020-09-01,3.28,3.36,3.26,3.28,464940
2020-09-03,3.28,3.44,3.28,3.39,557480
2020-09-04,3.32,3.52,3.32,3.49,1374450
2020-09-07,3.49,3.62,3.49,3.54,869570
2020-09-08,3.5,3.56,3.47,3.54,605470
2020-09-09,3.49,3.62,3.48,3.59,615730
2020-09-10,3.59,3.84,3.59,3.81,1259180
2020-09-11,3.81,4.05,3.77,4.0,1959630
2020-09-14,4.04,4.07,4.01,4.07,603400
2020-09-15,4.09,4.09,3.98,4.01,1043050
2020-09-16,4.01,4.06,3.95,4.03,1060120
2020-09-17,4.29,4.29,4.12,4.25,1255760
2020-09-18,4.25,4.36,4.15,4.33,1166030
2020-09-21,4.47,4.47,4.27,4.27,1163740
2020-09-22,4.15,4.29,4.15,4.18,1033710
2020-09-23,4.21,4.25,4.16,4.19,772650
2020-09-24,4.18,4.2,4.14,4.15,878710
2020-09-25,4.16,4.18,4.12,4.15,515190
2020-09-28,4.15,4.43,4.11,4.39,1712000
2020-09-29,4.42,4.54,4.36,4.38,971810
2020-09-30,4.24,4.45,4.24,4.41,613640
2020-10-01,4.49,4.65,4.38,4.49,1092340
2020-10-02,4.57,4.57,4.18,4.4,1134790
2020-10-05,4.4,4.5,4.36,4.5,976920
2020-10-06,4.53,4.58,4.43,4.45,823920
2020-10-07,4.38,4.47,4.38,4.42,622450
2020-10-08,4.42,4.45,4.36,4.4,639660
2020-10-09,4.4,4.53,4.38,4.48,841380
2020-10-12,4.49,4.56,4.38,4.4,694540
2020-10-13,4.4,4.43,4.38,4.4,428780
2020-10-14,4.4,4.46,4.33,4.33,602950
2020-10-15,4.5,4.5,4.33,4.38,943310
2020-10-16,4.38,4.43,4.32,4.35,427340
2020-10-19,4.4,4.4,4.35,4.38,597980
2020-10-20,4.38,4.38,4.32,4.33,490650
2020-10-21,4.33,4.39,4.33,4.33,525810
2020-10-22,4.3,4.33,4.27,4.28,454900
2020-10-23,4.28,4.33,4.24,4.27,462710
2020-10-26,4.27,4.28,4.18,4.18,606500
2020-10-27,4.14,4.18,3.94,4.01,799400
2020-10-28,3.88,3.99,3.8,3.84,618510
2020-10-29,3.8,4.09,3.71,3.88,622810
2020-10-30,3.88,4.05,3.83,3.88,181080
2020-11-02,3.88,3.91,3.79,3.88,140400
2020-11-03,3.92,3.94,3.88,3.9,234060
2020-11-04,3.9,4.07,3.9,4.07,372900
2020-11-05,4.07,4.07,4.0,4.02,204460
2020-11-06,4.02,4.03,3.93,3.96,187120
2020-11-09,4.01,4.14,3.98,4.05,385220
2020-11-10,4.06,4.25,4.04,4.2,556950
2020-11-11,4.23,4.23,4.18,4.2,310870
2020-11-12,4.24,4.24,4.18,4.21,298680
2020-11-13,4.21,4.23,4.16,4.21,330080
2020-11-16,4.23,4.5,4.22,4.5,1642430
2020-11-17,4.52,4.75,4.52,4.7,1812180
2020-11-18,4.83,4.83,4.55,4.65,810140
2020-11-19,4.55,4.62,4.49,4.54,1186570
2020-11-20,4.49,4.53,4.43,4.46,999440
2020-11-23,4.66,4.66,4.47,4.56,431670
2020-11-24,4.56,4.57,4.47,4.53,712980
2020-11-25,4.49,4.53,4.44,4.49,944660
2020-11-26,4.43,4.53,4.43,4.5,493540
2020-11-27,4.51,4.82,4.5,4.82,2670950
2020-11-30,4.99,5.15,4.88,4.88,4496590
2020-12-01,4.75,5.21,4.75,5.21,2261020
2020-12-02,5.18,5.44,5.17,5.35,1698720
2020-12-03,5.38,5.39,5.19,5.26,2000160
2020-12-04,5.26,5.27,5.2,5.26,1203700
2020-12-07,5.31,5.63,5.28,5.63,2120620
2020-12-08,5.82,6.02,5.7,6.02,2089990
2020-12-09,6.34,6.43,6.3,6.43,1451030
2020-12-10,6.88,6.88,6.56,6.73,5499200
2020-12-11,6.73,6.82,6.3,6.75,2119990
2020-12-14,6.75,7.21,6.75,7.21,4487130
2020-12-15,7.25,7.47,7.08,7.25,4593680
2020-12-16,7.25,7.28,7.14,7.16,2475960
2020-12-17,7.11,7.21,6.9,7.06,2125670
2020-12-18,7.02,7.25,7.02,7.2,1951190
2020-12-21,7.2,7.7,7.2,7.69,4114220
2020-12-22,7.6,7.82,7.46,7.82,2614340
2020-12-23,7.77,7.79,7.46,7.48,2337820
2020-12-24,7.45,7.45,6.96,7.16,2679180
2020-12-25,7.16,7.58,7.1,7.51,1965430
2020-12-28,7.77,7.77,7.38,7.51,1568970
2020-12-29,7.34,7.49,7.34,7.38,1600570
2020-12-30,7.38,7.39,7.22,7.24,1632900
2020-12-31,7.25,7.53,7.19,7.42,1772710
2021-01-04,7.59,7.82,7.49,7.66,3317500
2021-01-05,7.66,8.2,7.6,8.2,5703100
2021-01-06,8.61,8.76,8.56,8.76,2891500
2021-01-07,9.02,9.36,8.98,9.36,3640500
2021-01-08,9.79,10.01,9.41,9.97,5266000
2021-01-11,9.97,10.57,9.58,9.92,3347300
2021-01-12,9.75,9.92,9.28,9.71,2910700
2021-01-13,9.79,9.79,9.49,9.54,2640700
2021-01-14,9.49,10.18,9.15,10.18,3449800
2021-01-15,10.79,10.87,10.53,10.87,2858000
2021-01-18,11.3,11.61,11.13,11.61,2821600
2021-01-19,11.78,12.0,10.83,10.83,3076300
2021-01-20,10.1,10.61,10.1,10.1,5006200
2021-01-21,10.1,10.79,9.75,10.79,2863400
2021-01-22,11.05,11.39,10.66,10.66,2191000
2021-01-25,10.18,10.79,10.1,10.36,2554900
2021-01-26,9.92,10.1,9.66,9.71,1781600
2021-01-27,9.28,9.28,9.06,9.06,1956000
2021-01-28,8.43,8.43,8.43,8.43,389500
2021-01-29,7.84,8.98,7.84,8.52,2654300
2021-02-01,8.2,8.54,7.92,7.92,1587700
2021-02-02,7.38,7.94,7.37,7.77,1665600
2021-02-03,7.94,8.31,7.77,8.31,1112400
2021-02-04,8.8,8.89,8.46,8.89,1850700
2021-02-05,9.19,9.49,8.89,9.49,1652800
2021-02-08,9.92,10.14,9.06,9.92,3584100
2021-02-09,9.84,10.18,9.58,10.05,1587800
2021-02-17,10.05,10.31,9.92,10.27,1981200
2021-02-18,10.27,10.27,9.84,9.92,1663100
2021-02-19,9.66,10.1,9.66,9.79,1339900
2021-02-22,9.92,10.01,9.62,9.84,1286500
2021-02-23,9.79,9.92,9.66,9.79,1357700
2021-02-24,9.92,10.27,9.66,9.79,1472500
2021-02-25,9.92,9.92,9.66,9.79,765400
2021-02-26,9.75,9.79,9.49,9.75,913300
2021-03-01,9.92,10.23,9.75,10.23,2298700
2021-03-02,10.36,10.44,10.1,10.14,1205900
2021-03-03,9.97,10.18,9.97,10.14,814900
2021-03-04,10.14,10.83,10.14,10.53,3775700
2021-03-05,10.53,10.66,9.92,10.53,1232200
2021-03-08,10.79,10.79,10.53,10.66,1694400
2021-03-09,10.44,10.57,10.18,10.44,1543000
2021-03-10,10.31,10.61,10.31,10.53,1250200
2021-03-11,10.66,11.26,10.66,11.22,5028000
2021-03-12,11.3,11.35,10.96,11.05,1675500
2021-03-15,10.96,11.09,10.83,10.83,1206300
2021-03-16,10.87,10.87,10.36,10.57,2459900
2021-03-17,10.53,10.66,10.4,10.61,1306900
2021-03-18,10.66,10.96,10.61,10.74,1080300
2021-03-19,10.61,10.87,10.61,10.79,1035600
2021-03-22,10.79,10.79,10.53,10.61,1072800
2021-03-23,10.48,10.66,10.27,10.36,1496900
2021-03-24,10.18,10.4,9.88,10.01,1325200
2021-03-25,10.01,10.1,9.75,9.84,1326400
2021-03-26,9.58,9.84,9.32,9.71,1115000
2021-03-29,9.75,10.14,9.75,10.14,841800
2021-03-30,10.23,10.31,9.92,10.18,940100
2021-03-31,10.18,10.23,9.84,10.14,800000
2021-04-01,10.14,10.83,10.14,10.79,2388300
2021-04-02,11.18,11.18,10.53,10.61,1847400
2021-04-05,10.79,10.87,10.53,10.7,1333200
2021-04-06,10.48,10.66,10.31,10.48,959600
2021-04-07,10.48,10.79,10.48,10.66,1356400
2021-04-08,10.74,10.83,10.53,10.61,985600
2021-04-09,10.48,10.66,10.48,10.57,1028000
2021-04-12,10.74,11.05,10.53,10.87,3018200
2021-04-13,11.22,11.22,10.7,10.79,3238000
2021-04-14,10.7,10.87,10.53,10.87,1377200
2021-04-15,10.87,10.87,10.48,10.53,1391900
2021-04-16,10.36,10.44,9.88,10.14,2679100
2021-04-19,10.05,10.36,9.71,10.36,1128400
2021-04-20,10.36,10.36,9.97,10.05,903200
2021-04-22,9.92,10.01,9.58,9.58,1479000
2021-04-23,9.45,9.92,9.41,9.92,879900
2021-04-26,9.92,10.01,9.54,9.62,646500
2021-04-27,9.62,9.62,9.28,9.41,555500
2021-04-28,9.41,9.58,9.28,9.49,499200
2021-04-29,9.49,9.66,9.32,9.32,641800
2021-05-04,8.8,9.32,8.72,9.06,548500
2021-05-05,9.32,9.66,9.23,9.66,634200
2021-05-06,9.92,9.92,9.49,9.49,722700
2021-05-07,9.36,9.49,9.19,9.28,627300
2021-05-10,8.98,9.66,8.98,9.58,917100
2021-05-11,9.79,9.79,9.54,9.54,1080000
2021-05-12,9.49,9.58,9.41,9.54,657800
2021-05-13,9.49,9.84,9.41,9.49,1128000
2021-05-14,9.49,9.66,9.41,9.49,870300
2021-05-17,9.49,9.62,9.36,9.41,622200
2021-05-18,9.36,9.49,9.28,9.36,767900
2021-05-19,9.36,9.36,9.28,9.28,872800
2021-05-20,9.28,9.84,9.23,9.75,1853600
2021-05-21,9.84,10.18,9.79,9.84,1343800
2021-05-24,9.88,9.97,9.58,9.75,663800
2021-05-25,9.66,10.18,9.62,9.97,2530400
2021-05-26,10.27,10.31,10.05,10.1,1345700
2021-05-27,10.23,10.27,9.88,9.88,811300
2021-05-28,9.79,10.31,9.71,10.27,2362500
2021-05-31,10.79,10.96,10.74,10.96,6565700
2021-06-01,11.69,11.69,11.65,11.65,4547600
2021-06-02,11.56,11.86,11.22,11.69,3995900
2021-06-03,12.08,12.47,12.04,12.47,6300100
2021-06-04,13.12,13.12,12.51,12.94,5976400
2021-06-07,12.51,12.86,12.04,12.08,5156900
2021-06-08,11.74,12.08,11.26,11.26,3642200
2021-06-09,11.13,12.0,10.48,11.69,4979500
2021-06-10,11.74,11.74,10.96,11.3,1617500
2021-06-11,11.05,11.69,11.05,11.43,1824300
2021-06-14,11.43,12.21,11.18,12.04,4819100
2021-06-15,12.12,12.3,11.82,12.0,2524000
2021-06-16,11.91,11.91,11.35,11.65,2092100
2021-06-17,11.3,11.74,11.22,11.65,2291700
2021-06-18,11.82,11.86,11.65,11.69,2014100
