time,open,high,low,close,volume
2020-01-06,22.81,22.81,22.81,22.81,0
2020-01-07,22.81,22.81,22.81,22.81,0
2020-01-08,22.81,22.81,22.81,22.81,0
2020-01-09,22.81,22.81,22.81,22.81,0
2020-01-10,22.81,22.81,22.81,22.81,0
2020-01-13,22.81,22.81,22.81,22.81,0
2020-01-14,22.81,22.81,22.81,22.81,0
2020-01-15,22.81,22.81,22.81,22.81,0
2020-01-16,22.81,22.81,22.81,22.81,0
2020-01-17,22.81,22.81,22.81,22.81,0
2020-01-20,22.81,22.81,22.81,22.81,0
2020-01-21,22.81,22.81,22.81,22.81,0
2020-01-22,22.81,22.81,22.81,22.81,0
2020-01-30,22.81,22.81,22.81,22.81,0
2020-01-31,22.81,22.81,22.81,22.81,0
2020-02-03,22.81,22.81,22.81,22.81,0
2020-02-04,22.81,22.81,22.81,22.81,0
2020-02-05,22.81,22.81,22.81,22.81,0
2020-02-06,22.81,22.81,22.81,22.81,0
2020-02-07,22.81,22.81,22.81,22.81,0
2020-02-10,22.81,22.81,22.81,22.81,0
2020-02-11,22.81,22.81,22.81,22.81,0
2020-02-12,22.81,22.81,22.81,22.81,0
2020-02-13,22.81,22.81,22.81,22.81,0
2020-02-14,22.81,22.81,22.81,22.81,0
2020-02-17,22.81,22.81,22.81,22.81,0
2020-02-18,22.81,22.81,22.81,22.81,0
2020-02-19,22.81,22.81,22.81,22.81,0
2020-02-20,22.81,22.81,22.81,22.81,0
2020-02-21,22.81,22.81,22.81,22.81,0
2020-02-24,22.81,22.81,22.81,22.81,0
2020-02-25,22.81,22.81,22.81,22.81,0
2020-02-26,22.81,22.81,22.81,22.81,0
2020-02-27,22.81,22.81,22.81,22.81,0
2020-02-28,22.81,22.81,22.81,22.81,0
2020-03-02,22.81,22.81,22.81,22.81,0
2020-03-03,22.81,22.81,22.81,22.81,0
2020-03-04,22.81,22.81,22.81,22.81,0
2020-03-05,15.04,15.04,15.04,15.04,100
2020-03-06,15.04,15.04,15.04,15.04,0
2020-03-09,15.04,15.04,15.04,15.04,0
2020-03-10,15.04,15.04,15.04,15.04,0
2020-03-11,15.04,15.04,15.04,15.04,0
2020-03-12,12.84,12.84,12.84,12.84,100
2020-03-13,12.84,12.84,12.84,12.84,0
2020-03-16,14.7,14.7,10.98,10.98,13000
2020-03-17,11.4,11.4,11.4,10.98,4
2020-03-18,11.4,11.4,11.4,10.98,0
2020-03-19,11.4,11.4,11.4,10.98,0
2020-03-20,11.4,11.4,11.4,10.98,0
2020-03-23,11.4,11.4,11.4,10.98,0
2020-03-24,11.4,11.4,11.4,10.98,0
2020-03-25,11.4,11.4,11.4,10.98,0
2020-03-26,11.4,11.4,11.4,10.98,0
2020-03-27,11.4,11.4,11.4,10.98,0
2020-03-30,11.4,11.4,11.4,10.98,0
2020-03-31,11.4,11.4,11.4,10.98,0
2020-04-01,11.4,11.4,11.4,10.98,0
2020-04-03,11.4,11.4,11.4,10.98,0
2020-04-06,11.4,11.4,11.4,10.98,0
2020-04-07,11.4,11.4,11.4,10.98,0
2020-04-08,11.4,11.4,11.4,10.98,0
2020-04-09,11.4,11.4,11.4,10.98,0
2020-04-10,11.4,11.4,11.4,10.98,0
2020-04-13,11.4,11.4,11.4,10.98,0
2020-04-14,11.4,11.4,11.4,10.98,0
2020-04-15,11.4,11.4,11.4,10.98,0
2020-04-16,11.4,11.4,11.4,10.98,0
2020-04-17,11.4,11.4,11.4,10.98,0
2020-04-20,11.4,11.4,11.4,10.98,0
2020-04-21,11.4,11.4,11.4,10.98,0
2020-04-22,11.4,11.4,11.4,10.98,0
2020-04-23,11.4,11.4,11.4,10.98,0
2020-04-24,11.4,11.4,11.4,10.98,0
2020-04-27,11.4,11.4,11.4,10.98,0
2020-04-28,11.4,11.4,11.4,10.98,0
2020-04-29,11.4,11.4,11.4,10.98,0
2020-05-04,11.4,11.4,11.4,10.98,0
2020-05-05,11.4,11.4,11.4,10.98,0
2020-05-06,11.4,11.4,11.4,10.98,0
2020-05-07,11.4,11.4,11.4,10.98,0
2020-05-08,11.4,11.4,11.4,10.98,0
2020-05-11,15.96,15.96,15.96,15.96,100
2020-05-12,18.33,18.33,18.33,18.33,100
2020-05-13,21.03,21.03,21.03,21.03,500
2020-05-14,21.03,21.03,21.03,21.03,0
2020-05-15,22.72,22.72,22.72,22.72,100
2020-05-18,21.03,21.03,21.03,21.03,100
2020-05-19,22.81,23.65,22.81,23.65,600
2020-05-20,23.4,23.4,23.4,23.4,200
2020-05-21,23.4,23.4,23.4,23.4,0
2020-05-22,23.4,23.4,23.4,23.4,0
2020-05-25,23.4,23.4,23.4,23.4,0
2020-05-26,20.36,20.36,20.36,20.36,100
2020-05-27,20.36,20.36,20.36,20.36,0
2020-05-28,20.36,20.36,20.36,20.36,0
2020-05-29,20.36,20.36,20.36,20.36,0
2020-06-01,20.36,20.36,20.36,20.36,0
2020-06-02,20.36,20.36,20.36,20.36,0
2020-06-03,23.23,23.4,23.23,23.4,700
2020-06-04,23.4,23.4,23.4,23.4,1200
2020-06-05,23.4,23.4,23.4,23.4,800
2020-06-08,23.4,23.4,23.4,23.4,500
2020-06-09,23.4,23.4,23.4,23.4,0
2020-06-10,21.03,21.03,21.03,21.03,1200
