time,open,high,low,close,volume
2020-01-06,6.4,6.4,6.4,6.4,0
2020-01-07,6.4,6.4,6.4,6.4,1000
2020-01-08,6.4,6.4,6.4,6.4,0
2020-01-09,6.4,6.4,6.4,6.4,0
2020-01-10,6.4,6.4,6.4,6.4,0
2020-01-13,6.4,6.4,6.4,6.4,0
2020-01-14,6.4,6.4,6.4,6.4,0
2020-01-15,6.4,6.4,6.4,6.4,500
2020-01-16,6.4,6.4,6.4,6.4,0
2020-01-17,6.4,6.4,6.4,6.4,0
2020-01-20,6.4,6.4,6.4,6.4,0
2020-01-21,6.4,6.4,6.4,6.4,0
2020-01-22,6.4,6.4,6.4,6.4,0
2020-01-30,6.8,6.8,6.8,6.8,100
2020-01-31,6.8,6.8,6.8,6.8,0
2020-02-03,6.8,6.8,6.8,6.8,0
2020-02-04,6.8,6.8,6.8,6.8,0
2020-02-05,6.8,6.8,6.8,6.8,0
2020-02-06,6.8,6.8,6.8,6.8,0
2020-02-07,6.8,6.8,6.8,6.8,0
2020-02-10,6.8,6.8,6.8,6.8,0
2020-02-11,6.8,6.8,6.8,6.8,0
2020-02-12,6.8,6.8,6.8,6.8,0
2020-02-13,6.8,6.8,6.8,6.8,0
2020-02-14,6.8,6.8,6.8,6.8,0
2020-02-17,6.8,6.8,6.8,6.8,0
2020-02-18,6.8,6.8,6.8,6.8,0
2020-02-19,6.8,6.8,6.8,6.8,0
2020-02-20,6.8,6.8,6.8,6.8,0
2020-02-21,6.5,7.0,6.5,7.0,1100
2020-02-24,7.0,7.0,7.0,7.0,0
2020-02-25,7.0,7.0,7.0,7.0,0
2020-02-26,7.0,7.0,7.0,7.0,0
2020-02-27,7.0,7.0,7.0,7.0,0
2020-02-28,7.0,7.0,7.0,7.0,0
2020-03-02,7.0,7.0,7.0,7.0,0
2020-03-03,7.0,7.0,7.0,7.0,0
2020-03-04,7.0,7.0,7.0,7.0,0
2020-03-05,6.4,6.8,6.4,6.8,1100
2020-03-06,6.5,6.8,6.5,6.8,1000
2020-03-09,6.3,6.3,6.3,6.3,1000
2020-03-10,6.3,6.3,6.3,6.3,100
2020-03-11,6.5,6.5,6.5,6.5,400
2020-03-12,6.5,6.6,6.5,6.6,200
2020-03-13,6.2,6.5,6.2,6.5,3100
2020-03-16,6.4,6.6,6.3,6.6,1200
2020-03-17,6.6,6.6,6.6,6.6,0
2020-03-18,6.6,6.6,6.6,6.6,100
2020-03-19,6.6,6.6,6.6,6.6,0
2020-03-20,6.5,7.0,6.5,7.0,800
2020-03-23,6.4,6.9,6.4,6.9,200
2020-03-24,6.9,6.9,6.9,6.9,0
2020-03-25,6.7,6.8,6.7,6.8,4000
2020-03-26,6.7,6.7,6.7,6.7,200
2020-03-27,6.7,6.7,6.7,6.7,300
2020-03-30,6.7,6.7,6.7,6.7,0
2020-03-31,6.7,6.7,6.7,6.7,0
2020-04-01,6.5,6.9,6.5,6.9,400
2020-04-03,6.9,6.9,6.9,6.9,0
2020-04-06,6.7,6.7,6.7,6.7,2000
2020-04-07,6.5,6.5,6.5,6.5,100
2020-04-08,6.6,6.6,6.6,6.6,400
2020-04-09,6.7,6.7,6.7,6.7,2000
2020-04-10,6.7,6.7,6.7,6.7,12000
2020-04-13,6.7,6.7,6.7,6.7,0
2020-04-14,6.7,6.7,6.7,6.7,0
2020-04-15,6.7,6.7,6.7,6.7,100
2020-04-16,6.7,6.7,6.7,6.7,0
2020-04-17,6.7,6.7,6.7,6.7,600
2020-04-20,6.7,6.7,6.7,6.7,0
2020-04-21,6.7,6.7,6.7,6.7,0
2020-04-22,6.9,7.0,6.9,7.0,1800
2020-04-23,7.0,7.0,7.0,7.0,58
2020-04-24,7.0,7.0,7.0,7.0,1000
2020-04-27,7.0,7.0,7.0,7.0,2000
2020-04-28,7.0,7.0,7.0,7.0,0
2020-04-29,6.9,7.0,6.9,7.0,4200
2020-05-04,7.0,7.0,7.0,7.0,0
2020-05-05,7.0,7.0,7.0,7.0,20
2020-05-06,7.1,7.1,7.1,7.1,2000
2020-05-07,7.1,7.1,7.1,7.1,0
2020-05-08,7.1,7.1,7.1,7.1,2638
2020-05-11,7.2,7.2,7.2,7.2,2000
2020-05-12,7.2,7.2,7.2,7.2,0
2020-05-13,7.2,7.2,7.2,7.2,0
2020-05-14,7.4,7.9,7.4,7.9,2300
2020-05-15,7.9,7.9,7.9,7.9,0
2020-05-18,7.4,7.4,7.2,7.2,1700
2020-05-19,6.5,6.6,6.5,6.6,2900
2020-05-20,7.1,7.1,7.1,7.1,400
2020-05-21,7.1,7.1,7.1,7.1,0
2020-05-22,7.1,7.1,7.1,7.1,200
2020-05-25,7.1,7.1,7.1,7.1,0
2020-05-26,6.8,6.8,6.8,6.8,100
2020-05-27,6.9,6.9,6.9,6.9,300
2020-05-28,6.9,6.9,6.9,6.9,200
2020-05-29,6.9,6.9,6.9,6.9,0
2020-06-01,6.9,6.9,6.9,6.9,100
2020-06-02,6.9,6.9,6.9,6.9,100
2020-06-03,6.9,7.2,6.4,7.2,2100
2020-06-04,7.4,7.4,7.4,7.4,100
2020-06-05,7.4,7.4,7.4,7.4,0
2020-06-08,7.5,7.5,7.5,7.5,200
2020-06-09,7.6,7.6,7.6,7.6,100
2020-06-10,7.7,7.7,7.7,7.7,1100
2020-06-11,7.4,7.4,7.4,7.4,2200
2020-06-12,7.2,7.2,7.2,7.2,11000
2020-06-15,7.4,7.4,7.4,7.4,200
2020-06-16,7.1,7.1,7.1,7.1,200
2020-06-17,7.6,7.6,7.6,7.6,100
2020-06-18,7.5,7.5,7.5,7.5,700
2020-06-19,7.5,7.5,7.5,7.5,0
2020-06-22,7.5,7.5,7.5,7.5,0
2020-06-23,7.5,7.5,7.5,7.5,0
2020-06-24,7.5,7.5,7.5,7.5,0
2020-06-25,7.5,7.5,7.5,7.5,0
2020-06-26,7.5,7.5,7.5,7.5,0
2020-06-29,7.5,7.5,7.5,7.5,0
2020-06-30,7.8,7.8,7.8,7.8,100
2020-07-01,7.8,7.8,7.8,7.8,0
2020-07-02,7.8,7.8,7.8,7.8,0
