time,open,high,low,close,volume
2020-01-06,6.62,6.62,6.62,6.62,310
2020-01-07,6.0,6.0,6.0,6.0,300
2020-01-08,6.45,6.45,6.45,6.45,500
2020-01-09,5.92,5.92,5.92,5.92,220
2020-01-10,6.54,6.54,6.54,6.54,300
2020-01-13,6.54,6.54,5.56,5.56,700
2020-01-14,6.45,6.45,6.45,6.45,300
2020-01-15,6.09,6.09,6.09,6.09,200
2020-01-16,6.36,6.36,6.18,6.18,800
2020-01-17,6.54,6.54,6.54,6.54,100
2020-01-20,6.62,6.62,6.62,6.62,100
2020-01-21,6.0,6.0,6.0,6.0,3200
2020-01-22,6.54,6.54,6.54,6.54,210
2020-01-30,6.09,6.09,6.09,6.09,200
2020-01-31,6.45,6.45,6.45,6.45,255
2020-02-03,6.18,6.18,6.18,6.18,100
2020-02-04,6.18,6.18,6.18,6.18,100
2020-02-05,6.54,6.54,6.54,6.54,500
2020-02-06,6.18,6.18,6.18,6.18,200
2020-02-07,6.45,6.45,6.45,6.45,300
2020-02-10,6.54,6.54,6.54,6.54,100
2020-02-11,6.27,6.27,6.27,6.27,400
2020-02-12,6.0,6.27,6.0,6.27,9400
2020-02-13,6.0,6.0,5.92,5.92,300
2020-02-14,6.62,6.62,6.54,6.54,400
2020-02-17,6.36,7.42,6.36,7.42,300
2020-02-18,7.33,7.33,7.33,7.33,300
2020-02-19,6.27,6.27,6.27,6.27,100
2020-02-20,6.89,6.89,6.18,6.18,1000
2020-02-21,6.36,6.36,6.36,6.36,100
2020-02-24,7.06,7.06,7.06,7.06,100
2020-02-25,6.27,6.27,6.09,6.09,1000
2020-02-26,6.98,6.98,6.98,6.98,500
2020-02-27,6.27,6.27,6.27,6.27,100
2020-02-28,6.36,6.36,6.36,6.36,2700
2020-03-02,6.62,6.62,6.62,6.62,300
2020-03-03,6.98,6.98,6.98,6.98,300
2020-03-04,6.27,6.27,6.27,6.27,300
2020-03-05,6.27,6.27,6.27,6.27,300
2020-03-06,6.09,6.09,6.09,6.09,400
2020-03-09,6.36,6.36,6.36,6.36,100
2020-03-10,6.54,6.54,6.54,6.54,300
2020-03-11,6.54,6.54,6.54,6.54,300
2020-03-12,6.27,6.27,6.27,6.27,300
2020-03-13,6.54,6.54,6.54,6.54,500
2020-03-16,6.71,6.71,6.71,6.71,300
2020-03-17,6.89,6.89,6.89,6.89,300
2020-03-18,6.89,6.89,6.89,6.89,200
2020-03-19,7.06,7.06,7.06,7.06,100
2020-03-20,6.98,6.98,6.98,6.98,300
2020-03-23,6.09,6.09,6.0,6.0,2600
2020-03-24,6.54,6.54,6.54,6.54,300
2020-03-25,6.54,6.54,6.54,6.54,425
2020-03-26,6.36,6.36,6.36,6.36,100
2020-03-27,5.56,5.56,5.56,5.56,3000
2020-03-30,6.09,6.09,6.09,6.09,340
2020-03-31,6.0,6.0,6.0,6.0,200
2020-04-01,5.74,5.74,5.74,5.74,500
2020-04-03,6.27,6.27,5.03,5.03,400
2020-04-06,6.0,6.0,6.0,6.0,100
2020-04-07,6.0,6.0,6.0,6.0,500
2020-04-08,5.83,5.83,5.83,5.83,300
2020-04-09,5.74,5.74,5.74,5.74,300
2020-04-10,5.74,5.74,5.74,5.74,200
2020-04-13,6.09,6.09,6.09,6.09,300
2020-04-14,6.0,6.0,6.0,6.0,200
2020-04-15,5.83,5.83,5.83,5.83,200
2020-04-16,5.74,5.74,5.74,5.74,200
2020-04-17,5.92,5.92,5.92,5.92,500
2020-04-20,5.92,5.92,5.92,5.92,200
2020-04-21,5.92,5.92,5.92,5.92,200
2020-04-22,6.09,6.09,6.09,6.09,300
2020-04-23,5.74,5.74,5.74,5.74,500
2020-04-24,5.56,5.56,5.3,5.39,4000
2020-04-27,6.09,6.09,6.09,6.09,400
2020-04-28,6.09,6.09,5.48,5.48,1430
2020-04-29,6.27,6.27,6.27,6.27,300
2020-05-04,5.92,5.92,5.92,5.92,300
2020-05-05,5.74,5.74,5.74,5.74,300
2020-05-06,6.0,6.0,6.0,6.0,100
2020-05-07,6.0,6.0,6.0,6.0,100
2020-05-08,6.0,6.0,5.56,5.56,1200
2020-05-11,5.92,5.92,5.92,5.92,500
2020-05-12,5.83,5.83,5.83,5.83,100
2020-05-13,5.92,5.92,5.92,5.92,100
2020-05-14,5.92,5.92,5.92,5.92,100
2020-05-15,5.65,5.65,5.65,5.65,100
2020-05-18,5.92,5.92,5.3,5.3,1300
2020-05-19,5.65,5.65,5.65,5.65,270
