time,open,high,low,close,volume
2020-01-06,15.15,15.15,14.78,14.84,130510
2020-01-07,14.84,14.84,14.35,14.41,215410
2020-01-08,14.41,14.78,14.04,14.78,186930
2020-01-09,14.65,14.72,14.35,14.59,111800
2020-01-10,14.78,14.78,14.28,14.41,88200
2020-01-13,14.41,14.65,13.92,14.16,158930
2020-01-14,13.98,14.41,12.74,14.16,111815
2020-01-15,14.16,14.28,13.85,13.98,157725
2020-01-16,13.98,13.98,12.62,12.62,173210
2020-01-17,12.25,12.25,11.39,12.07,218521
2020-01-20,12.07,13.11,11.76,13.11,133024
2020-01-21,12.13,12.93,11.82,11.82,110350
2020-01-22,11.82,11.82,10.78,11.58,125710
2020-01-30,11.7,12.31,11.39,12.31,44964
2020-01-31,12.25,13.54,12.25,13.54,1239769
2020-02-03,14.1,14.9,13.54,13.54,1034171
2020-02-04,13.61,13.61,12.44,12.62,111969
2020-02-05,12.62,12.62,11.39,11.39,789230
2020-02-06,10.65,11.64,10.28,11.58,477980
2020-02-07,11.58,12.19,11.02,12.07,240950
2020-02-10,11.7,12.07,11.39,11.7,194760
2020-02-11,11.58,11.7,11.21,11.33,257790
2020-02-12,11.33,11.39,11.02,11.08,193430
2020-02-13,10.96,11.21,10.78,11.21,79360
2020-02-14,11.21,11.33,11.02,11.14,124400
2020-02-17,11.08,11.08,10.59,10.59,264320
2020-02-18,10.65,10.96,10.65,10.71,164822
2020-02-19,10.78,10.84,10.34,10.71,298533
2020-02-20,10.78,11.02,10.71,10.84,155120
2020-02-21,10.84,11.08,10.78,10.84,149360
2020-02-24,10.84,10.84,10.4,10.47,180660
2020-02-25,10.34,11.08,10.16,10.78,241973
2020-02-26,10.78,10.78,10.34,10.47,68700
2020-02-27,11.08,11.08,10.53,10.59,70040
2020-02-28,10.71,11.64,10.59,11.45,1339943
2020-03-02,11.7,12.19,11.51,11.51,853601
2020-03-03,11.64,12.07,11.39,11.88,913510
2020-03-04,11.88,12.19,11.7,11.94,774766
2020-03-05,11.94,12.01,11.7,11.76,782630
2020-03-06,11.7,11.76,11.33,11.39,286790
2020-03-09,11.39,11.39,10.28,10.28,884176
2020-03-10,10.34,10.84,9.42,10.53,494396
2020-03-11,10.71,10.78,9.85,10.28,257530
2020-03-12,10.16,10.16,9.3,9.3,563280
2020-03-13,8.68,9.24,8.37,8.37,1510962
2020-03-16,8.37,8.44,7.57,8.0,511994
2020-03-17,8.0,8.19,7.39,8.19,551182
2020-03-18,8.19,8.62,8.19,8.5,594520
2020-03-19,8.25,8.5,8.07,8.31,462949
2020-03-20,8.31,8.37,7.94,8.13,285100
2020-03-23,8.13,8.13,7.33,7.33,590423
2020-03-24,7.33,7.33,6.83,7.08,350270
2020-03-25,7.39,7.76,7.33,7.7,826159
2020-03-26,7.76,7.76,7.39,7.51,271065
2020-03-27,7.51,7.51,7.14,7.33,339780
2020-03-30,7.26,7.26,6.65,6.65,484887
2020-03-31,6.65,7.02,6.16,6.71,467700
2020-04-01,6.71,7.14,6.59,7.08,258540
2020-04-03,7.39,7.7,7.08,7.7,432474
2020-04-06,7.7,8.44,7.7,8.31,645031
2020-04-07,8.44,8.68,8.0,8.37,438339
2020-04-08,8.62,8.62,8.0,8.19,543418
2020-04-09,8.25,8.44,8.19,8.31,660341
2020-04-10,8.31,8.31,8.07,8.25,326202
2020-04-13,8.25,8.37,8.19,8.31,399315
2020-04-14,8.37,8.37,8.19,8.31,233047
2020-04-15,8.31,9.11,8.31,9.11,395840
2020-04-16,9.97,9.97,9.24,9.67,612842
