time,open,high,low,close,volume
2020-01-06,8.86,8.94,8.76,8.86,187800
2020-01-07,8.86,8.94,8.72,8.86,279090
2020-01-08,8.78,8.8,8.62,8.62,174610
2020-01-09,8.62,8.7,8.55,8.62,255400
2020-01-10,8.62,8.62,8.43,8.59,311700
2020-01-13,8.55,8.55,8.35,8.35,318460
2020-01-14,8.35,8.59,8.31,8.59,143190
2020-01-15,8.59,8.82,8.55,8.72,218600
2020-01-16,8.72,8.76,8.51,8.51,181460
2020-01-17,8.53,8.66,8.53,8.6,226070
2020-01-20,8.62,8.78,8.6,8.76,229330
2020-01-21,8.76,8.76,8.62,8.62,181100
2020-01-22,8.6,8.7,8.59,8.7,136750
2020-01-30,8.47,8.51,8.1,8.1,367640
2020-01-31,7.88,8.0,7.53,7.53,227110
2020-02-03,7.0,7.0,7.0,7.0,101040
2020-02-04,6.52,6.83,6.52,6.69,837110
2020-02-05,6.69,6.87,6.69,6.87,373290
2020-02-06,6.87,7.34,6.87,7.34,241070
2020-02-07,7.41,7.75,7.36,7.69,438090
2020-02-10,7.41,7.43,7.22,7.26,135170
2020-02-11,7.32,7.36,7.24,7.24,189400
2020-02-12,7.26,7.38,7.06,7.38,276650
2020-02-13,7.45,7.65,7.38,7.53,302360
2020-02-14,7.53,7.53,7.34,7.34,109880
2020-02-17,7.34,7.34,7.12,7.14,172050
2020-02-18,7.14,7.26,7.14,7.18,138380
2020-02-19,7.18,7.26,7.1,7.12,248580
2020-02-20,7.18,7.34,7.18,7.34,324330
2020-02-21,7.32,7.34,7.16,7.16,124170
2020-02-24,6.83,6.98,6.75,6.91,391110
2020-02-25,6.67,6.93,6.67,6.93,205430
2020-02-26,6.73,6.91,6.73,6.83,124800
2020-02-27,6.83,6.91,6.79,6.87,48450
2020-02-28,6.71,6.87,6.71,6.83,97360
2020-03-02,6.79,6.83,6.65,6.67,78320
2020-03-03,6.67,7.12,6.67,7.1,234070
2020-03-04,7.02,7.02,6.91,6.93,46830
2020-03-05,6.98,7.0,6.91,6.93,94280
2020-03-06,6.93,7.1,6.91,7.0,220620
2020-03-09,6.67,6.77,6.52,6.52,315350
2020-03-10,6.24,6.67,6.24,6.52,36350
2020-03-11,6.67,6.71,6.32,6.4,146820
2020-03-12,6.24,6.5,6.05,6.3,415970
2020-03-13,5.87,6.32,5.87,6.28,136980
2020-03-16,6.28,6.4,6.2,6.24,170440
2020-03-17,6.24,6.28,5.97,6.28,108160
2020-03-18,6.22,6.34,6.22,6.24,38780
2020-03-19,6.15,6.24,6.05,6.15,48980
2020-03-20,6.16,6.36,6.09,6.13,80380
2020-03-23,6.13,6.13,5.72,5.72,302430
2020-03-24,5.46,5.7,5.46,5.7,77870
2020-03-25,5.7,5.97,5.64,5.72,144530
2020-03-26,5.66,5.87,5.66,5.78,153460
2020-03-27,5.78,5.81,5.64,5.64,76330
2020-03-30,5.5,5.64,5.25,5.25,212420
2020-03-31,5.25,5.42,4.9,4.9,291720
2020-04-01,4.68,5.07,4.61,5.07,167770
2020-04-03,5.23,5.42,5.17,5.42,155290
2020-04-06,5.58,5.8,5.54,5.8,177780
2020-04-07,6.15,6.18,5.83,6.18,417590
2020-04-08,6.24,6.61,6.15,6.61,577690
2020-04-09,6.75,6.95,6.67,6.67,288010
2020-04-10,6.63,6.63,6.28,6.4,210690
2020-04-13,6.24,6.63,6.24,6.54,203960
2020-04-14,6.44,6.65,6.34,6.6,136870
2020-04-15,6.71,6.75,6.58,6.63,278360
2020-04-16,6.63,6.79,6.48,6.79,441350
2020-04-17,6.91,7.12,6.91,6.96,356250
2020-04-20,6.96,7.04,6.83,6.91,286760
2020-04-21,6.62,6.75,6.44,6.44,252850
2020-04-22,6.04,6.5,6.04,6.44,208760
2020-04-23,6.58,6.64,6.48,6.48,139970
2020-04-24,6.54,6.54,6.42,6.44,145240
2020-04-27,6.87,6.87,6.87,6.87,319490
2020-04-28,7.35,7.35,7.0,7.24,625930
2020-04-29,7.24,7.31,7.02,7.02,290450
2020-05-04,7.02,7.04,6.83,6.87,154400
2020-05-05,6.73,6.91,6.67,6.83,220800
