time,open,high,low,close,volume
2020-01-06,20.0,20.4,19.5,20.2,5400
2020-01-07,19.6,20.2,19.6,20.2,4850
2020-01-08,20.0,20.0,19.4,20.0,4860
2020-01-09,20.0,20.05,19.1,19.9,2990
2020-01-10,19.8,19.85,19.1,19.8,3390
2020-01-13,19.5,19.5,19.4,19.4,7760
2020-01-14,19.7,19.9,19.05,19.55,16180
2020-01-15,19.2,19.45,19.0,19.15,10620
2020-01-16,19.8,19.8,19.0,19.0,11810
2020-01-17,19.0,19.95,18.5,19.95,14390
2020-01-20,19.2,20.25,19.0,19.95,5660
2020-01-21,19.9,19.9,19.9,19.9,9380
2020-01-22,19.9,20.4,19.85,20.1,19150
2020-01-30,18.8,21.0,18.8,19.3,7110
2020-01-31,19.4,20.4,19.2,20.0,16240
2020-02-03,20.0,20.0,18.6,18.6,11960
2020-02-04,18.0,18.8,18.0,18.8,21730
2020-02-05,18.7,19.1,18.5,19.0,2850
2020-02-06,19.0,19.0,18.45,19.0,12540
2020-02-07,19.0,19.0,18.4,18.95,26900
2020-02-10,18.5,18.9,18.25,18.9,7810
2020-02-11,19.25,19.25,18.6,18.6,3000
2020-02-12,18.6,18.85,18.6,18.85,7210
2020-02-13,18.55,18.7,18.45,18.7,13170
2020-02-14,18.7,18.8,18.6,18.6,690
2020-02-17,18.6,18.6,18.5,18.5,1210
2020-02-18,18.5,19.0,18.4,18.55,16140
2020-02-19,18.5,18.7,18.5,18.7,9550
2020-02-20,19.2,19.2,18.5,18.8,10340
2020-02-21,18.7,18.8,18.4,18.8,4290
2020-02-24,18.0,18.7,18.0,18.5,15420
2020-02-25,18.05,18.1,17.3,18.0,13020
2020-02-26,18.0,18.9,18.0,18.0,1070
2020-02-27,17.55,17.9,17.55,17.8,2480
2020-02-28,17.8,17.8,17.8,17.8,1900
2020-03-02,17.75,17.75,17.75,17.75,570
2020-03-03,17.1,18.5,17.1,17.7,16080
2020-03-04,18.0,18.0,17.6,17.95,640
2020-03-05,18.85,18.85,17.8,18.4,8800
2020-03-06,17.65,18.2,17.65,18.1,430
2020-03-09,17.1,17.9,16.85,16.85,16720
2020-03-10,16.85,16.85,16.5,16.85,4570
2020-03-11,16.85,16.9,15.9,15.9,10460
2020-03-12,15.5,15.7,15.0,15.0,9910
2020-03-13,14.0,15.0,14.0,14.9,33300
2020-03-16,15.0,15.0,14.6,14.9,2500
2020-03-17,14.05,15.1,14.05,15.0,5470
2020-03-18,15.0,15.4,15.0,15.0,25300
2020-03-19,15.0,15.0,14.5,14.65,11820
2020-03-20,14.65,14.7,14.2,14.6,6620
2020-03-23,14.0,14.8,13.6,13.6,40710
2020-03-24,13.6,13.6,13.1,13.6,8720
2020-03-25,14.4,14.45,13.25,13.85,780
2020-03-26,13.8,13.8,13.1,13.8,3880
2020-03-27,13.7,13.8,13.25,13.8,9800
2020-03-30,13.0,13.65,13.0,13.5,3970
2020-03-31,12.85,13.7,12.85,13.0,2090
2020-04-01,13.4,13.6,13.0,13.6,6210
