time,open,high,low,close,volume
2020-01-06,7.34,7.34,7.34,7.48,0
2020-01-07,7.13,7.13,7.13,7.13,1000
2020-01-08,7.48,7.48,7.48,7.48,6200
2020-01-09,7.84,7.84,7.84,7.84,200
2020-01-10,7.84,7.84,7.84,7.84,0
2020-01-13,7.84,7.84,7.84,7.84,2050
2020-01-14,7.84,7.84,7.84,7.84,0
2020-01-15,7.84,7.84,7.84,7.84,0
2020-01-16,7.66,8.02,7.66,8.02,1426
2020-01-17,7.84,7.84,7.84,8.02,0
2020-01-20,7.84,8.2,7.84,8.2,500
2020-01-21,8.02,8.02,8.02,8.02,100
2020-01-22,8.02,8.02,8.02,8.02,0
2020-01-30,8.02,8.02,8.02,8.02,0
2020-01-31,7.84,7.84,7.84,7.84,300
2020-02-03,7.84,7.84,7.84,7.84,5600
2020-02-04,7.84,7.84,7.84,7.84,0
2020-02-05,7.84,7.84,7.84,7.84,0
2020-02-06,7.84,7.84,7.84,7.84,0
2020-02-07,7.84,7.84,7.84,7.84,0
2020-02-10,7.84,7.84,7.84,7.84,0
2020-02-11,7.84,7.84,7.84,7.84,0
2020-02-12,7.84,7.84,7.48,7.48,550
2020-02-13,7.63,7.63,7.63,7.48,0
2020-02-14,7.13,7.48,7.13,7.3,20000
2020-02-17,7.3,7.3,7.3,7.3,10000
2020-02-18,7.13,8.37,7.13,8.37,500
2020-02-19,7.88,7.88,7.88,8.37,0
2020-02-20,7.84,7.84,7.84,7.84,14000
2020-02-21,8.2,8.37,7.84,7.84,13100
2020-02-24,8.16,8.16,8.16,7.84,0
2020-02-25,8.16,8.16,8.16,7.84,0
2020-02-26,7.34,8.02,7.34,8.02,8400
2020-02-27,7.84,8.37,7.84,8.37,10900
2020-02-28,7.41,7.41,7.41,7.41,200
2020-03-02,7.41,7.41,7.41,7.41,0
2020-03-03,7.41,7.41,7.41,7.41,0
2020-03-04,7.84,7.84,7.84,7.84,100
2020-03-05,7.84,7.84,7.84,7.84,0
2020-03-06,7.84,8.02,7.84,8.02,300
2020-03-09,7.91,7.91,7.91,8.02,0
2020-03-10,7.91,7.91,7.91,8.02,0
2020-03-11,7.84,7.84,7.84,7.84,600
2020-03-12,7.84,7.84,7.84,7.84,28
2020-03-13,7.84,7.84,7.84,7.84,1701
2020-03-16,7.84,7.84,7.84,7.84,0
2020-03-17,7.84,7.84,7.84,7.84,4300
2020-03-18,8.73,8.73,8.73,8.73,125
2020-03-19,8.73,8.73,8.73,8.73,0
2020-03-20,8.73,8.73,8.73,8.73,0
2020-03-23,9.98,9.98,9.98,9.98,100
2020-03-24,8.48,8.48,8.48,8.48,100
2020-03-25,8.48,8.48,8.48,8.48,0
2020-03-26,8.48,8.48,8.48,8.48,0
2020-03-27,8.2,9.09,8.2,9.09,300
2020-03-30,7.88,7.88,7.84,7.84,3000
2020-03-31,7.88,7.88,7.88,7.84,0
2020-04-01,8.23,8.23,8.23,8.23,7000
2020-04-03,8.37,8.37,8.23,8.3,1600
2020-04-06,8.55,8.55,8.55,8.55,2600
2020-04-07,8.37,8.55,8.37,8.37,9900
2020-04-08,8.55,8.55,8.55,8.55,4300
2020-04-09,8.55,8.55,8.55,8.55,3000
2020-04-10,8.55,8.55,8.55,8.55,4000
2020-04-13,8.55,8.55,8.55,8.55,2000
2020-04-14,8.55,8.55,8.2,8.2,3000
2020-04-15,8.55,8.55,8.55,8.55,7800
2020-04-16,8.55,8.62,8.55,8.62,9300
2020-04-17,8.73,9.87,8.73,9.84,45126
2020-04-20,9.62,9.62,9.62,9.62,4110
2020-04-21,9.62,9.62,9.62,9.62,6210
2020-04-22,9.41,9.44,9.26,9.26,2700
2020-04-23,9.44,9.44,9.41,9.41,3000
2020-04-24,8.52,9.41,8.15,9.41,10110
2020-04-27,9.26,9.63,9.07,9.63,4000
2020-04-28,8.89,8.93,8.89,8.93,2400
2020-04-29,9.07,9.26,9.07,9.26,3000
2020-05-04,9.07,9.07,9.07,9.07,2000
2020-05-05,9.26,9.26,9.07,9.07,4000
2020-05-06,9.26,9.26,9.26,9.26,1006
2020-05-07,8.52,9.26,8.52,9.26,1100
2020-05-08,9.41,9.63,9.41,9.59,710
2020-05-11,9.56,9.56,9.56,9.59,0
2020-05-12,9.44,9.93,9.44,9.93,11520
2020-05-13,9.59,10.0,9.59,10.0,17820
2020-05-14,10.07,10.22,10.07,10.07,9600
2020-05-15,10.0,10.07,10.0,10.0,9700
2020-05-18,9.85,9.85,9.82,9.82,4200
2020-05-19,9.82,9.85,9.82,9.82,2100
2020-05-20,10.0,10.3,10.0,10.3,17400
2020-05-21,10.3,10.56,10.3,10.56,41700
2020-05-22,10.56,11.3,10.56,11.22,7800
2020-05-25,11.33,12.59,11.33,12.56,17000
2020-05-26,12.11,12.15,12.11,12.15,3100
2020-05-27,12.19,12.19,12.19,12.19,100
2020-05-28,11.48,11.48,11.37,11.37,1800
2020-05-29,11.48,11.48,11.15,11.48,900
2020-06-01,11.11,11.11,11.11,11.11,300
2020-06-02,10.37,10.48,10.37,10.48,1100
2020-06-03,10.67,10.74,10.67,10.74,2000
2020-06-04,10.74,10.74,10.74,10.74,0
2020-06-05,10.74,12.22,10.74,12.19,900
2020-06-08,10.67,10.67,10.59,10.59,4000
2020-06-09,10.48,11.11,10.3,10.37,6410
2020-06-10,10.74,10.74,10.74,10.74,2800
2020-06-11,10.22,10.74,10.22,10.7,10432
2020-06-12,10.67,10.93,10.67,10.74,6000
2020-06-15,10.74,10.74,10.74,10.74,0
2020-06-16,10.74,10.74,10.74,10.74,2000
2020-06-17,10.74,10.74,10.74,10.74,4100
2020-06-18,10.82,10.82,10.74,10.74,4500
2020-06-19,10.74,10.74,10.74,10.74,7800
2020-06-22,10.74,11.11,10.74,10.93,5700
2020-06-23,10.82,10.82,10.82,10.93,0
2020-06-24,10.74,10.74,10.74,10.74,100
2020-06-25,10.74,10.74,10.74,10.74,0
2020-06-26,11.11,11.48,11.11,11.48,10100
2020-06-29,11.18,11.18,11.18,11.88,0
2020-06-30,11.18,11.18,11.18,11.88,0
2020-07-01,11.3,11.3,11.3,11.3,1500
2020-07-02,11.34,11.34,11.22,11.22,700
2020-07-03,11.22,11.22,11.22,11.22,0
2020-07-06,11.22,11.22,11.22,11.22,0
2020-07-07,10.73,10.76,10.73,10.76,1100
2020-07-08,10.73,10.73,10.73,10.76,0
2020-07-09,11.3,11.3,11.3,11.3,200
2020-07-10,11.3,11.3,11.3,11.3,0
2020-07-13,11.3,11.3,11.3,11.3,0
2020-07-14,11.11,11.3,10.8,11.3,1200
2020-07-15,11.3,11.45,11.3,11.45,300
2020-07-16,11.42,11.42,11.42,11.45,0
2020-07-17,11.42,11.42,11.42,11.45,0
2020-07-20,11.42,11.42,11.42,11.45,14
2020-07-21,11.42,11.42,11.42,11.45,0
2020-07-22,11.11,11.11,11.11,11.42,500
2020-07-23,11.49,12.26,11.11,12.26,3870
2020-07-24,12.22,12.22,12.22,12.22,9100
2020-07-27,12.22,12.22,12.22,12.22,1000
2020-07-28,12.01,12.01,11.8,11.8,1800
2020-07-29,11.88,12.22,11.88,12.22,11450
2020-07-30,12.22,12.43,12.22,12.43,19200
2020-07-31,12.26,12.35,12.26,12.35,13920
2020-08-03,12.43,12.43,12.43,12.43,6100
2020-08-04,12.26,12.26,12.26,12.26,1000
2020-08-05,12.26,12.47,12.22,12.43,5900
2020-08-06,12.43,12.43,12.39,12.39,1600
2020-08-07,12.43,12.43,12.43,12.39,0
2020-08-10,12.43,12.43,12.43,12.43,500
2020-08-11,12.43,12.43,12.26,12.26,4400
2020-08-12,12.3,12.39,12.3,12.3,13200
2020-08-13,12.3,12.43,12.26,12.3,14800
2020-08-14,12.35,12.35,12.35,12.3,0
2020-08-17,12.3,12.3,12.22,12.22,6000
2020-08-18,12.26,12.43,12.26,12.43,6600
2020-08-19,12.43,12.43,12.43,12.43,100
2020-08-20,12.26,12.26,12.26,12.26,700
2020-08-21,12.47,12.47,12.47,12.47,110
2020-08-24,12.43,12.64,12.43,12.64,6002
2020-08-25,12.43,12.43,12.39,12.39,901
2020-08-26,12.43,12.43,12.35,12.35,1308
2020-08-27,12.43,12.43,12.43,12.43,300
2020-08-28,12.43,12.43,12.43,12.43,100
2020-08-31,12.43,12.43,12.43,12.43,2000
2020-09-01,12.43,12.43,12.43,12.43,2
2020-09-03,12.43,12.43,12.43,12.43,1800
2020-09-04,12.43,12.43,12.43,12.43,0
2020-09-07,12.47,12.47,12.47,12.47,164
2020-09-08,12.39,12.39,12.39,12.39,900
2020-09-09,12.39,12.39,12.39,12.39,0
2020-09-10,12.39,12.51,12.35,12.51,2220
2020-09-11,12.47,12.47,12.47,12.51,0
2020-09-14,12.47,12.47,12.47,12.51,0
2020-09-15,12.35,12.35,12.35,12.35,700
2020-09-16,12.35,12.35,12.35,12.35,1939
2020-09-17,12.64,12.64,12.43,12.43,6600
2020-09-18,12.47,12.47,12.47,12.47,1000
2020-09-21,12.64,12.64,12.64,12.64,200
2020-09-22,12.51,12.51,12.51,12.51,1006
2020-09-23,12.64,12.64,12.64,12.64,11001
2020-09-24,12.64,12.85,12.64,12.85,3729
2020-09-25,12.94,13.1,12.94,13.1,14539
2020-09-28,13.06,13.06,13.06,13.06,600
2020-09-29,13.06,13.06,13.06,13.06,1146
2020-09-30,12.72,13.19,12.47,13.19,1730
2020-10-01,13.06,13.06,13.06,13.06,1000
2020-10-02,13.06,13.06,13.06,13.06,0
2020-10-05,12.85,13.23,12.85,13.23,10900
2020-10-06,13.23,13.9,13.23,13.9,4800
2020-10-07,13.48,13.48,13.48,13.48,1000
2020-10-08,13.48,13.69,13.48,13.69,1000
2020-10-09,13.9,14.75,13.9,14.75,5800
2020-10-12,14.33,14.33,14.33,14.33,200
2020-10-13,14.75,14.75,14.75,14.75,5500
2020-10-14,14.75,14.75,14.58,14.58,1500
2020-10-15,14.75,15.17,14.75,15.17,4100
