time,open,high,low,close,volume
2020-07-28,30.17,30.17,30.17,30.17,275200
2020-07-29,32.23,32.23,32.23,32.23,193780
2020-07-30,34.47,34.47,34.47,34.47,370550
2020-07-31,36.77,36.83,33.62,36.53,328950
2020-08-03,33.98,36.89,33.98,34.53,290720
2020-08-04,34.22,36.89,33.92,36.89,434910
2020-08-05,36.89,39.37,36.77,39.37,520410
2020-08-06,39.37,41.19,38.47,41.13,525700
2020-08-07,41.07,41.68,40.77,41.5,504240
2020-08-10,41.5,41.5,38.77,39.07,413640
2020-08-11,38.77,39.68,38.04,39.44,403850
2020-08-12,39.44,40.59,39.44,40.34,423970
2020-08-13,41.62,41.8,40.47,41.62,524120
2020-08-14,41.74,43.01,41.74,42.83,536830
2020-08-17,42.83,43.01,41.19,41.19,315400
2020-08-18,41.19,42.4,41.01,42.4,415720
2020-08-19,42.4,44.83,42.34,43.92,530760
2020-08-20,44.1,44.77,43.92,43.92,434060
2020-08-21,44.1,45.43,43.92,45.19,481230
2020-08-24,45.31,45.74,45.19,45.25,358550
2020-08-25,45.25,45.43,44.16,45.13,323070
2020-08-26,45.13,45.43,44.34,44.58,402650
2020-08-27,43.92,45.13,43.74,44.83,393330
2020-08-28,45.01,45.31,44.46,44.58,337940
2020-08-31,44.46,45.13,44.28,44.4,314520
2020-09-01,44.4,45.01,44.4,44.7,335240
2020-09-03,44.83,45.25,44.7,44.83,252350
2020-09-04,44.83,44.95,44.1,44.46,214910
2020-09-07,44.58,44.77,44.4,44.58,242810
2020-09-08,44.58,44.83,44.4,44.64,238060
2020-09-09,44.64,44.64,44.1,44.22,208670
2020-09-10,44.22,44.22,43.62,44.22,212090
2020-09-11,43.92,45.43,43.92,44.89,284190
2020-09-14,45.01,45.74,45.01,45.67,317130
2020-09-15,45.67,45.92,45.25,45.49,204520
2020-09-16,45.49,45.74,45.25,45.43,212890
2020-09-17,45.31,45.43,44.7,45.43,232380
2020-09-18,45.43,45.43,45.13,45.31,204480
2020-09-21,45.43,45.74,45.37,45.37,215940
2020-09-22,45.37,45.49,45.19,45.43,244710
2020-09-23,45.43,46.04,45.43,45.55,288610
2020-09-24,45.55,45.86,45.37,45.43,316050
2020-09-25,45.43,45.55,45.13,45.19,246560
2020-09-28,45.19,45.55,45.13,45.37,266240
2020-09-29,45.37,45.49,44.83,44.95,340880
2020-09-30,44.83,45.37,44.83,45.07,293790
2020-10-01,45.07,45.43,45.01,45.25,264660
2020-10-02,45.25,45.37,44.83,44.89,227290
2020-10-05,44.89,45.07,44.77,44.95,358150
2020-10-06,44.95,45.07,44.77,45.01,292970
2020-10-07,45.01,45.01,44.64,44.83,242560
