time,open,high,low,close,volume
2020-01-06,7.0,7.0,7.0,7.0,0
2020-01-07,7.0,7.0,7.0,7.0,0
2020-01-08,7.0,7.0,7.0,7.0,0
2020-01-09,7.0,7.0,7.0,7.0,0
2020-01-10,6.3,6.3,6.3,6.3,4000
2020-01-13,5.7,5.7,5.7,5.7,5000
2020-01-14,5.7,5.7,5.7,5.7,0
2020-01-15,5.2,5.2,5.2,5.2,2200
2020-01-16,5.2,5.2,5.2,5.2,40
2020-01-17,5.2,5.2,5.2,5.2,0
2020-01-20,5.7,5.7,5.7,5.7,131
2020-01-21,5.7,5.7,5.7,5.7,0
2020-01-22,6.2,6.2,6.2,6.2,100
2020-01-30,6.2,6.2,6.2,6.2,0
2020-01-31,6.2,6.2,6.2,6.2,0
2020-02-03,6.2,6.2,6.2,6.2,0
2020-02-04,6.2,6.2,6.2,6.2,0
2020-02-05,6.2,6.2,6.2,6.2,0
2020-02-06,6.2,6.2,6.2,6.2,0
2020-02-07,6.2,6.2,6.2,6.2,0
2020-02-10,6.2,6.2,6.2,6.2,20
2020-02-11,6.2,6.2,6.2,6.2,0
2020-02-12,6.2,6.2,6.2,6.2,0
2020-02-13,6.2,6.2,6.2,6.2,0
2020-02-14,6.2,6.2,6.2,6.2,0
2020-02-17,5.6,5.6,5.6,5.6,3700
2020-02-18,5.6,5.6,5.6,5.6,40
2020-02-19,5.6,5.6,5.6,5.6,51
2020-02-20,5.6,5.6,5.6,5.6,0
2020-02-21,5.6,5.6,5.6,5.6,0
2020-02-24,5.6,5.6,5.6,5.6,0
2020-02-25,5.6,5.6,5.6,5.6,0
2020-02-26,5.6,5.6,5.6,5.6,0
2020-02-27,5.6,5.6,5.6,5.6,0
2020-02-28,5.6,5.6,5.6,5.6,0
2020-03-02,5.6,5.6,5.6,5.6,0
2020-03-03,5.6,5.6,5.6,5.6,0
2020-03-04,5.6,5.6,5.6,5.6,0
2020-03-05,5.6,5.6,5.6,5.6,0
2020-03-06,5.6,5.6,5.6,5.6,0
2020-03-09,5.6,5.6,5.6,5.6,0
2020-03-10,5.6,5.6,5.6,5.6,0
2020-03-11,5.6,5.6,5.6,5.6,0
2020-03-12,5.6,5.6,5.6,5.6,0
2020-03-13,5.6,5.6,5.6,5.6,0
2020-03-16,5.6,5.6,5.6,5.6,0
2020-03-17,5.6,5.6,5.6,5.6,0
2020-03-18,5.6,5.6,5.6,5.6,0
2020-03-19,5.6,5.6,5.6,5.6,0
2020-03-20,5.6,5.6,5.6,5.6,0
2020-03-23,5.6,5.6,5.6,5.6,0
2020-03-24,5.6,5.6,5.6,5.6,0
2020-03-25,5.6,5.6,5.6,5.6,0
2020-03-26,5.6,5.6,5.6,5.6,0
2020-03-27,5.6,5.6,5.6,5.6,0
2020-03-30,5.6,5.6,5.6,5.6,0
2020-03-31,5.6,5.6,5.6,5.6,0
2020-04-01,5.6,5.6,5.6,5.6,0
2020-04-03,5.6,5.6,5.6,5.6,0
2020-04-06,5.6,5.6,5.6,5.6,0
2020-04-07,5.6,5.6,5.6,5.6,0
2020-04-08,5.6,5.6,5.6,5.6,0
2020-04-09,5.6,5.6,5.6,5.6,0
2020-04-10,5.1,5.1,5.1,5.1,100
2020-04-13,5.1,5.1,5.1,5.1,62
2020-04-14,4.6,4.6,4.6,4.6,100
2020-04-15,4.5,4.5,4.3,4.3,400
2020-04-16,4.3,4.3,4.3,4.3,0
2020-04-17,4.3,4.3,4.3,4.3,0
2020-04-20,4.7,4.7,4.7,4.7,200
2020-04-21,5.1,5.1,5.1,5.1,100
2020-04-22,5.1,5.1,5.1,5.1,100
2020-04-23,5.1,5.1,5.1,5.1,100
2020-04-24,5.1,5.1,5.1,5.1,0
2020-04-27,5.1,5.1,5.1,5.1,0
2020-04-28,5.1,5.1,5.1,5.1,0
2020-04-29,5.1,5.1,5.1,5.1,0
2020-05-04,5.1,5.1,5.1,5.1,0
2020-05-05,5.1,5.1,5.1,5.1,0
2020-05-06,5.1,5.1,5.1,5.1,0
2020-05-07,5.1,5.1,5.1,5.1,0
2020-05-08,5.1,5.1,5.1,5.1,0
2020-05-11,5.1,5.1,5.1,5.1,0
2020-05-12,5.1,5.1,5.1,5.1,3
2020-05-13,5.1,5.1,5.1,5.1,0
2020-05-14,4.8,5.1,4.8,5.1,400
2020-05-15,5.1,5.1,5.1,5.1,7400
2020-05-18,5.1,5.1,5.1,5.1,7
2020-05-19,5.1,5.1,5.1,5.1,0
2020-05-20,5.1,5.1,5.1,5.1,0
2020-05-21,4.6,4.6,4.6,4.6,707
2020-05-22,4.6,4.6,4.6,4.6,400
2020-05-25,4.5,4.5,4.5,4.5,1000
2020-05-26,4.5,4.5,4.5,4.5,110
2020-05-27,4.4,4.4,4.4,4.4,1200
2020-05-28,4.4,4.4,4.4,4.4,0
2020-05-29,4.4,4.4,4.4,4.4,0
2020-06-01,4.8,4.8,4.4,4.4,3000
2020-06-02,4.4,4.4,4.4,4.4,0
2020-06-03,4.4,4.4,4.4,4.4,0
2020-06-04,4.1,4.1,4.0,4.0,2088
2020-06-05,4.0,4.0,4.0,4.0,400
2020-06-08,4.0,4.0,4.0,4.0,0
2020-06-09,4.0,4.0,4.0,4.0,2500
2020-06-10,4.0,4.0,4.0,4.0,2800
2020-06-11,4.0,4.0,4.0,4.0,200
2020-06-12,4.4,4.4,4.4,4.4,100
2020-06-15,4.4,4.4,4.0,4.0,2400
2020-06-16,4.0,4.0,4.0,4.0,2400
2020-06-17,4.0,4.0,4.0,4.0,0
2020-06-18,4.0,4.0,4.0,4.0,930
2020-06-19,4.0,4.0,4.0,4.0,1000
2020-06-22,4.4,4.4,4.2,4.4,6100
2020-06-23,4.4,4.4,4.4,4.4,6200
2020-06-24,4.4,4.4,4.4,4.4,0
2020-06-25,4.0,4.0,4.0,4.0,1271
2020-06-26,4.1,4.1,4.1,4.1,700
2020-06-29,3.9,3.9,3.9,3.9,250
2020-06-30,3.7,3.7,3.7,3.7,1800
2020-07-01,3.7,3.7,3.7,3.7,749
2020-07-02,4.0,4.0,3.8,3.8,1145
2020-07-03,3.8,3.8,3.8,3.8,120
2020-07-06,4.1,4.1,3.8,3.8,600
2020-07-07,3.9,3.9,3.9,3.9,100
2020-07-08,3.9,3.9,3.9,3.9,0
2020-07-09,3.7,3.7,3.6,3.6,3210
2020-07-10,3.3,3.6,3.3,3.6,8700
2020-07-13,3.6,3.6,3.6,3.6,15
2020-07-14,3.9,3.9,3.9,3.9,2701
2020-07-15,3.6,3.6,3.6,3.6,2430
2020-07-16,3.6,3.6,3.6,3.6,15
2020-07-17,3.6,3.6,3.6,3.6,1640
2020-07-20,3.6,3.6,3.6,3.6,15
2020-07-21,3.4,3.4,3.4,3.4,400
2020-07-22,3.7,3.7,3.5,3.6,1636
2020-07-23,3.5,3.5,3.5,3.5,400
2020-07-24,3.8,3.8,3.3,3.3,1733
2020-07-27,3.3,3.3,3.0,3.0,1100
2020-07-28,3.3,3.3,3.3,3.3,200
2020-07-29,3.6,3.6,3.1,3.1,500
2020-07-30,3.4,3.4,3.4,3.4,100
2020-07-31,3.7,3.7,3.7,3.7,100
2020-08-03,3.7,3.7,3.4,3.5,5600
2020-08-04,3.5,3.5,3.5,3.5,1120
2020-08-05,3.5,3.5,3.5,3.5,2000
2020-08-06,3.4,3.4,3.2,3.4,1000
2020-08-07,3.4,3.4,3.4,3.4,200
2020-08-10,3.4,3.4,3.4,3.4,0
