time,open,high,low,close,volume
2020-01-06,1.77,1.77,1.77,1.77,0
2020-01-07,1.77,1.77,1.77,1.77,10
2020-01-08,1.77,1.77,1.77,1.77,0
2020-01-09,1.68,1.68,1.68,1.68,270
2020-01-10,1.68,1.68,1.68,1.68,0
2020-01-13,1.68,1.68,1.68,1.68,31500
2020-01-14,1.68,1.68,1.68,1.68,0
2020-01-15,1.58,1.58,1.58,1.58,5200
2020-01-16,1.58,1.58,1.58,1.58,0
2020-01-17,1.68,1.68,1.68,1.68,100
2020-01-20,1.68,1.68,1.68,1.68,300
2020-01-21,1.68,1.68,1.68,1.68,5000
2020-01-22,1.68,1.68,1.68,1.68,18700
2020-01-30,1.77,1.77,1.68,1.68,2000
2020-01-31,1.68,1.68,1.68,1.68,100
2020-02-03,1.68,1.68,1.68,1.68,12000
2020-02-04,1.68,1.68,1.68,1.68,4000
2020-02-05,1.68,1.68,1.68,1.68,1100
2020-02-06,1.68,1.68,1.68,1.68,5000
2020-02-07,1.68,1.77,1.68,1.68,20986
2020-02-10,1.68,1.68,1.68,1.68,684300
2020-02-11,1.68,1.68,1.68,1.68,216010
2020-02-12,1.68,1.77,1.68,1.68,102500
2020-02-13,1.68,1.68,1.68,1.68,0
2020-02-14,1.68,1.77,1.68,1.77,400
2020-02-17,1.77,1.77,1.68,1.77,69740
2020-02-18,1.86,1.86,1.77,1.86,12506
2020-02-19,2.05,2.05,2.05,2.05,15300
2020-02-20,2.23,2.23,2.23,2.23,17500
2020-02-21,2.42,2.42,2.33,2.42,567400
2020-02-24,2.61,2.61,2.61,2.61,388400
2020-02-25,2.79,2.79,2.79,2.79,131000
2020-02-26,3.07,3.07,2.51,3.07,1079700
2020-02-27,2.98,2.98,2.79,2.79,160100
2020-02-28,2.51,2.61,2.51,2.51,91600
2020-03-02,2.42,2.51,2.33,2.51,150300
2020-03-03,2.33,2.42,2.33,2.33,178500
2020-03-04,2.23,2.51,2.23,2.42,974400
2020-03-05,2.42,2.42,2.42,2.42,463000
2020-03-06,2.33,2.42,2.33,2.33,50400
2020-03-09,2.42,2.42,2.14,2.14,81500
2020-03-10,1.96,2.23,1.96,2.14,56800
2020-03-11,2.14,2.23,2.14,2.14,45310
2020-03-12,2.05,2.05,1.96,2.05,77600
2020-03-13,1.96,2.14,1.86,2.05,16100
2020-03-16,2.14,2.14,2.14,2.14,100
2020-03-17,2.05,2.23,2.05,2.23,330
2020-03-18,2.14,2.33,2.05,2.33,29600
2020-03-19,2.14,2.14,2.14,2.14,11600
2020-03-20,2.05,2.05,1.96,1.96,14008
2020-03-23,1.96,1.96,1.77,1.86,147400
2020-03-24,1.86,1.96,1.86,1.96,30204
2020-03-25,1.86,2.14,1.86,1.96,35208
2020-03-26,1.96,1.96,1.86,1.86,7610
2020-03-27,1.77,1.86,1.77,1.86,24400
2020-03-30,1.77,1.77,1.68,1.77,19500
2020-03-31,1.77,1.86,1.77,1.77,48600
2020-04-01,1.77,1.86,1.77,1.86,20600
2020-04-03,1.77,1.86,1.77,1.86,33624
2020-04-06,1.86,2.05,1.86,2.05,23800
2020-04-07,1.96,2.05,1.96,2.05,2900
2020-04-08,1.86,2.05,1.86,2.05,9100
2020-04-09,1.86,2.05,1.86,2.05,5106
2020-04-10,1.86,1.96,1.86,1.96,24400
2020-04-13,1.86,1.96,1.86,1.96,16100
2020-04-14,1.86,1.86,1.86,1.86,14000
2020-04-15,1.86,1.96,1.86,1.96,4206
2020-04-16,2.05,2.05,1.96,2.05,7240
2020-04-17,1.96,2.05,1.96,2.05,11200
2020-04-20,1.96,1.96,1.96,1.96,3100
2020-04-21,1.96,2.05,1.86,2.05,117800
2020-04-22,2.05,2.14,2.05,2.05,15700
2020-04-23,2.14,2.14,1.96,1.96,16900
2020-04-24,1.96,2.05,1.96,2.05,6200
2020-04-27,1.96,2.05,1.96,2.05,200
2020-04-28,2.05,2.05,2.05,2.05,0
2020-04-29,1.96,1.96,1.96,1.96,7000
2020-05-04,1.96,1.96,1.96,1.96,0
2020-05-05,1.96,1.96,1.96,1.96,100
2020-05-06,1.96,2.05,1.96,2.05,2000
2020-05-07,1.96,1.96,1.96,1.96,500
2020-05-08,1.96,2.14,1.96,2.05,16310
2020-05-11,2.05,2.14,2.05,2.05,3200
2020-05-12,2.14,2.14,2.05,2.05,17700
2020-05-13,2.14,2.14,2.05,2.14,9000
