time,open,high,low,close,volume
2020-01-06,2.5,2.5,2.4,2.4,1830955
2020-01-07,2.4,2.6,2.3,2.6,1181700
2020-01-08,2.5,2.6,2.4,2.4,1614472
2020-01-09,2.4,2.5,2.4,2.4,550540
2020-01-10,2.4,2.5,2.3,2.3,1850340
2020-01-13,2.4,2.4,2.2,2.3,611200
2020-01-14,2.3,2.4,2.2,2.4,1879758
2020-01-15,2.3,2.4,2.2,2.3,1029243
2020-01-16,2.3,2.3,2.2,2.3,353960
2020-01-17,2.2,2.3,2.2,2.3,871894
2020-01-20,2.3,2.4,2.2,2.3,553349
2020-01-21,2.3,2.5,2.3,2.5,2494344
2020-01-22,2.5,2.7,2.5,2.6,2387880
2020-01-30,2.6,2.7,2.4,2.5,1868415
2020-01-31,2.4,2.5,2.3,2.3,2730650
2020-02-03,2.3,2.3,2.1,2.2,2386020
2020-02-04,2.2,2.3,2.2,2.3,1280531
2020-02-05,2.3,2.3,2.2,2.2,412670
2020-02-06,2.2,2.3,2.2,2.2,582520
2020-02-07,2.3,2.4,2.2,2.3,1558705
2020-02-10,2.3,2.4,2.2,2.3,998510
2020-02-11,2.4,2.4,2.3,2.3,303520
2020-02-12,2.4,2.5,2.3,2.5,2759981
2020-02-13,2.6,2.7,2.4,2.5,1594279
2020-02-14,2.5,2.6,2.4,2.4,1708355
2020-02-17,2.5,2.5,2.3,2.4,985910
2020-02-18,2.3,2.5,2.3,2.5,1188528
2020-02-19,2.4,2.6,2.4,2.5,1340700
2020-02-20,2.5,2.6,2.5,2.6,1765120
2020-02-21,2.6,2.6,2.4,2.5,1594039
2020-02-24,2.5,2.5,2.3,2.3,2837665
2020-02-25,2.2,2.4,2.2,2.3,963577
2020-02-26,2.3,2.4,2.2,2.2,640790
2020-02-27,2.3,2.4,2.3,2.4,1896953
2020-02-28,2.4,2.5,2.3,2.3,1284730
2020-03-02,2.3,2.5,2.3,2.4,2133830
2020-03-03,2.5,2.6,2.5,2.6,2933756
2020-03-04,2.7,2.8,2.7,2.8,4295212
2020-03-05,3.0,3.0,2.7,2.7,6398522
2020-03-06,2.7,2.9,2.6,2.8,3605220
2020-03-09,2.7,2.7,2.6,2.6,960548
2020-03-10,2.4,2.6,2.4,2.5,5285486
2020-03-11,2.6,2.7,2.3,2.4,3484556
2020-03-12,2.4,2.6,2.3,2.5,5238178
2020-03-13,2.5,2.7,2.3,2.7,4180660
2020-03-16,2.8,2.9,2.7,2.9,2445776
2020-03-17,3.1,3.1,3.0,3.1,1810133
2020-03-18,3.4,3.4,3.1,3.4,5176207
2020-03-19,3.7,3.7,3.1,3.1,10912644
2020-03-20,2.9,3.0,2.8,2.8,5075734
2020-03-23,2.6,2.7,2.6,2.6,907090
2020-03-24,2.4,2.8,2.4,2.5,6278153
2020-03-25,2.5,2.7,2.5,2.5,2365999
2020-03-26,2.5,2.5,2.3,2.3,3956573
2020-03-27,2.3,2.4,2.2,2.3,3628578
2020-03-30,2.3,2.3,2.1,2.1,4073521
2020-03-31,1.9,2.2,1.9,1.9,3861267
2020-04-01,1.9,2.0,1.9,2.0,487400
2020-04-03,2.2,2.2,2.2,2.2,352430
2020-04-06,2.4,2.4,2.2,2.3,5826929
2020-04-07,2.3,2.4,2.2,2.2,1313390
2020-04-08,2.3,2.4,2.2,2.4,1238308
2020-04-09,2.4,2.5,2.3,2.4,2478045
2020-04-10,2.3,2.4,2.2,2.3,2229265
2020-04-13,2.2,2.4,2.2,2.3,1606154
2020-04-14,2.3,2.4,2.2,2.3,1558646
2020-04-15,2.3,2.5,2.3,2.4,1504226
2020-04-16,2.4,2.4,2.3,2.3,1128996
2020-04-17,2.3,2.4,2.2,2.3,1662140
2020-04-20,2.3,2.5,2.3,2.4,3322610
2020-04-21,2.4,2.4,2.2,2.3,2687961
2020-04-22,2.3,2.4,2.2,2.4,909596
2020-04-23,2.4,2.5,2.3,2.4,2930528
2020-04-24,2.4,2.5,2.3,2.5,2466716
2020-04-27,2.5,2.7,2.5,2.5,2241404
2020-04-28,2.6,2.6,2.4,2.4,1456511
2020-04-29,2.5,2.6,2.4,2.6,3919815
2020-05-04,2.6,2.7,2.4,2.5,2787559
2020-05-05,2.5,2.6,2.4,2.6,1101027
2020-05-06,2.6,2.7,2.5,2.6,1843330
2020-05-07,2.6,2.6,2.5,2.6,961930
2020-05-08,2.5,2.6,2.5,2.6,1430270
2020-05-11,2.6,2.7,2.5,2.5,1399456
2020-05-12,2.6,2.7,2.5,2.6,1637420
2020-05-13,2.6,2.8,2.5,2.8,3693863
2020-05-14,2.9,3.0,2.9,3.0,5576975
2020-05-15,3.1,3.3,2.8,3.2,8525531
2020-05-18,3.3,3.3,2.9,2.9,3358713
2020-05-19,2.9,3.0,2.7,3.0,7533855
2020-05-20,3.0,3.1,2.7,2.8,4630880
2020-05-21,2.8,3.0,2.7,2.8,1300615
2020-05-22,2.9,2.9,2.7,2.7,1339040
2020-05-25,2.7,2.8,2.6,2.8,1565759
2020-05-26,2.8,2.8,2.7,2.7,812870
2020-05-27,2.8,2.8,2.7,2.7,1508978
2020-05-28,2.7,2.8,2.7,2.7,1105262
2020-05-29,2.7,2.8,2.6,2.7,993139
2020-06-01,2.7,2.9,2.7,2.8,2783912
2020-06-02,2.8,2.9,2.7,2.7,2399040
2020-06-03,2.7,2.8,2.6,2.7,1057409
2020-06-04,2.7,2.9,2.7,2.8,1992124
2020-06-05,2.9,2.9,2.8,2.9,1634805
2020-06-08,2.9,3.1,2.9,3.0,5185286
2020-06-09,3.1,3.1,2.8,2.9,3048539
2020-06-10,2.9,3.0,2.8,3.0,2386572
2020-06-11,3.0,3.1,2.7,2.7,4292695
2020-06-12,2.6,2.8,2.6,2.8,2244255
2020-06-15,2.8,2.9,2.7,2.7,1890825
2020-06-16,2.7,2.8,2.7,2.7,1493530
2020-06-17,2.7,2.9,2.7,2.9,3713967
2020-06-18,2.9,2.9,2.8,2.8,1167740
2020-06-19,2.8,2.9,2.7,2.9,1164480
2020-06-22,2.9,2.9,2.8,2.8,1561791
2020-06-23,2.8,3.0,2.8,2.9,3946074
2020-06-24,2.9,3.0,2.8,2.8,939743
2020-06-25,2.8,2.9,2.7,2.9,831465
2020-06-26,2.8,2.9,2.7,2.8,1502813
2020-06-29,2.8,2.8,2.6,2.7,2099640
2020-06-30,2.7,2.8,2.5,2.6,2391322
2020-07-01,2.6,2.8,2.5,2.7,1093415
2020-07-02,2.7,2.7,2.6,2.6,341900
2020-07-03,2.7,2.7,2.6,2.6,726636
2020-07-06,2.7,2.7,2.5,2.6,812407
2020-07-07,2.7,2.7,2.6,2.7,1000113
2020-07-08,2.6,2.7,2.5,2.6,529433
2020-07-09,2.6,2.8,2.6,2.7,2429528
2020-07-10,2.7,2.7,2.6,2.6,328820
2020-07-13,2.6,2.7,2.6,2.7,1047730
2020-07-14,2.6,2.7,2.6,2.6,573260
2020-07-15,2.6,2.7,2.6,2.6,555810
2020-07-16,2.6,2.6,2.5,2.6,302381
2020-07-17,2.6,2.7,2.5,2.6,1147113
2020-07-20,2.6,2.6,2.5,2.5,564333
2020-07-21,2.6,2.6,2.4,2.5,1903350
2020-07-22,2.6,2.6,2.4,2.5,675120
2020-07-23,2.5,2.5,2.3,2.4,1128652
2020-07-24,2.4,2.4,2.2,2.2,3462049
2020-07-27,2.2,2.2,2.0,2.0,3042555
2020-07-28,1.9,2.2,1.8,2.2,2098540
2020-07-29,2.2,2.2,2.0,2.0,1788996
2020-07-30,2.0,2.1,2.0,2.0,303735
2020-07-31,2.0,2.2,2.0,2.0,2357520
2020-08-03,2.0,2.2,2.0,2.2,1073562
2020-08-04,2.2,2.3,2.2,2.3,882003
2020-08-05,2.3,2.3,2.2,2.2,1225873
2020-08-06,2.2,2.3,2.2,2.2,676676
2020-08-07,2.2,2.3,2.2,2.2,337030
2020-08-10,2.2,2.4,2.2,2.3,2026130
2020-08-11,2.3,2.4,2.2,2.3,844289
2020-08-12,2.2,2.3,2.2,2.3,355351
2020-08-13,2.3,2.4,2.2,2.3,624388
2020-08-14,2.3,2.4,2.2,2.3,557800
2020-08-17,2.3,2.3,2.2,2.3,172600
2020-08-18,2.3,2.4,2.2,2.3,1399790
2020-08-19,2.2,2.4,2.2,2.4,273380
2020-08-20,2.4,2.4,2.3,2.3,668200
2020-08-21,2.3,2.4,2.3,2.3,351870
2020-08-24,2.3,2.4,2.3,2.3,208905
2020-08-25,2.3,2.4,2.3,2.4,284766
2020-08-26,2.4,2.4,2.3,2.3,1377962
2020-08-27,2.3,2.4,2.3,2.3,929154
2020-08-28,2.3,2.4,2.3,2.3,405940
2020-08-31,2.3,2.4,2.3,2.3,802412
2020-09-01,2.3,2.4,2.3,2.4,690111
2020-09-03,2.4,2.4,2.3,2.3,329623
2020-09-04,2.3,2.4,2.3,2.3,608662
2020-09-07,2.3,2.4,2.3,2.3,899020
2020-09-08,2.3,2.4,2.2,2.3,730240
2020-09-09,2.3,2.4,2.2,2.3,578058
2020-09-10,2.3,2.4,2.3,2.4,434700
2020-09-11,2.4,2.4,2.3,2.4,356330
2020-09-14,2.3,2.5,2.3,2.4,1999710
2020-09-15,2.4,2.5,2.4,2.4,579590
2020-09-16,2.4,2.5,2.4,2.4,1096197
2020-09-17,2.3,2.5,2.3,2.4,525080
2020-09-18,2.4,2.5,2.4,2.5,542030
2020-09-21,2.5,2.5,2.4,2.4,390376
2020-09-22,2.4,2.5,2.3,2.4,870357
2020-09-23,2.4,2.5,2.3,2.4,615010
2020-09-24,2.4,2.5,2.3,2.4,299430
2020-09-25,2.3,2.5,2.3,2.4,127640
2020-09-28,2.4,2.5,2.3,2.4,627681
2020-09-29,2.5,2.5,2.3,2.4,1044206
2020-09-30,2.4,2.5,2.3,2.4,438010
2020-10-01,2.4,2.5,2.3,2.4,1340817
2020-10-02,2.4,2.5,2.3,2.4,1619380
2020-10-05,2.4,2.6,2.4,2.6,2425600
2020-10-06,2.5,2.6,2.5,2.6,968300
2020-10-07,2.6,2.6,2.5,2.5,860800
2020-10-08,2.5,2.5,2.4,2.4,1735900
2020-10-09,2.5,2.5,2.4,2.4,1485900
2020-10-12,2.4,2.5,2.4,2.5,356700
2020-10-13,2.5,2.5,2.4,2.5,214200
2020-10-14,2.5,2.5,2.4,2.4,1147700
2020-10-15,2.4,2.5,2.3,2.4,1501000
2020-10-16,2.4,2.5,2.3,2.4,460100
2020-10-19,2.5,2.5,2.4,2.4,414600
2020-10-20,2.4,2.5,2.3,2.4,555700
2020-10-21,2.4,2.5,2.3,2.4,780100
2020-10-22,2.5,2.5,2.3,2.4,213200
2020-10-23,2.5,2.6,2.4,2.6,7532400
2020-10-26,2.7,2.7,2.4,2.4,1222400
2020-10-27,2.4,2.5,2.4,2.4,381000
2020-10-28,2.4,2.5,2.3,2.4,2108200
2020-10-29,2.4,2.5,2.3,2.4,910700
2020-10-30,2.4,2.5,2.4,2.4,413900
2020-11-02,2.4,2.5,2.4,2.4,432900
2020-11-03,2.4,2.5,2.4,2.4,656100
2020-11-04,2.4,2.5,2.4,2.4,293700
2020-11-05,2.4,2.5,2.4,2.4,762500
2020-11-06,2.4,2.5,2.4,2.5,881400
2020-11-09,2.5,2.6,2.4,2.5,948700
2020-11-10,2.5,2.5,2.4,2.5,677600
2020-11-11,2.5,2.5,2.4,2.5,415200
2020-11-12,2.5,2.5,2.4,2.5,358900
2020-11-13,2.5,2.6,2.4,2.5,912400
2020-11-16,2.5,2.5,2.4,2.4,602300
2020-11-17,2.5,2.5,2.4,2.5,259400
2020-11-18,2.5,2.5,2.4,2.5,180000
2020-11-19,2.5,2.5,2.4,2.4,286600
2020-11-20,2.4,2.5,2.4,2.4,816600
2020-11-23,2.4,2.5,2.4,2.5,1263600
2020-11-24,2.4,2.5,2.4,2.4,795700
2020-11-25,2.4,2.5,2.4,2.4,502200
2020-11-26,2.4,2.5,2.4,2.4,646900
2020-11-27,2.4,2.6,2.4,2.6,6320100
2020-11-30,2.6,2.6,2.5,2.5,999600
