time,open,high,low,close,volume
2020-01-06,3.78,3.78,3.66,3.7,2589820
2020-01-07,3.71,3.8,3.71,3.78,3266540
2020-01-08,3.75,3.76,3.67,3.7,2319340
2020-01-09,3.72,3.79,3.69,3.7,1712900
2020-01-10,3.7,3.74,3.64,3.64,1885510
2020-01-13,3.64,3.68,3.52,3.52,1736610
2020-01-14,3.52,3.58,3.52,3.54,1700730
2020-01-15,3.54,3.55,3.52,3.54,1426770
2020-01-16,3.54,3.59,3.53,3.54,1517080
2020-01-17,3.55,3.56,3.52,3.52,1299900
2020-01-20,3.52,3.54,3.5,3.52,1353100
2020-01-21,3.52,3.6,3.52,3.6,1540010
2020-01-22,3.61,3.7,3.6,3.7,1547970
2020-01-30,3.7,3.74,3.63,3.63,2023380
2020-01-31,3.59,3.61,3.38,3.38,3475240
2020-02-03,3.18,3.35,3.14,3.2,2500580
2020-02-04,3.2,3.27,3.18,3.22,1839070
2020-02-05,3.22,3.29,3.19,3.22,1650920
2020-02-06,3.22,3.39,3.21,3.33,2477290
2020-02-07,3.34,3.34,3.3,3.3,1393340
2020-02-10,3.29,3.29,3.24,3.24,1063440
2020-02-11,3.25,3.3,3.24,3.24,1229400
2020-02-12,3.24,3.29,3.24,3.27,1211490
2020-02-13,3.28,3.34,3.28,3.32,1401150
2020-02-14,3.32,3.32,3.29,3.3,1121240
2020-02-17,3.27,3.29,3.25,3.27,1434210
2020-02-18,3.27,3.29,3.25,3.29,1372360
2020-02-19,3.3,3.34,3.29,3.34,1355950
2020-02-20,3.36,3.45,3.36,3.4,1955080
2020-02-21,3.41,3.41,3.32,3.33,1370180
2020-02-24,3.26,3.27,3.12,3.13,2724180
2020-02-25,3.09,3.14,3.05,3.14,1989350
2020-02-26,3.13,3.13,3.09,3.1,836480
2020-02-27,3.11,3.18,3.11,3.18,2273020
2020-02-28,3.13,3.36,3.12,3.3,4498800
2020-03-02,3.3,3.31,3.24,3.26,1728910
2020-03-03,3.3,3.32,3.26,3.31,2475600
2020-03-04,3.32,3.33,3.28,3.28,2290840
2020-03-05,3.29,3.31,3.22,3.23,2251110
2020-03-06,3.24,3.41,3.21,3.38,3425770
2020-03-09,3.16,3.24,3.14,3.14,2272320
2020-03-10,2.99,3.2,2.99,3.19,1525910
2020-03-11,3.22,3.27,2.97,3.16,1790500
2020-03-12,3.08,3.11,2.94,2.96,2717460
2020-03-13,2.79,2.98,2.76,2.96,1579140
2020-03-16,2.93,2.98,2.89,2.9,1207660
2020-03-17,2.9,2.92,2.84,2.92,660550
2020-03-18,2.95,2.98,2.92,2.92,1438330
2020-03-19,2.92,2.92,2.79,2.81,1174780
2020-03-20,2.81,2.88,2.78,2.81,948760
2020-03-23,2.75,2.79,2.62,2.62,1072670
2020-03-24,2.53,2.61,2.5,2.5,838710
2020-03-25,2.58,2.59,2.51,2.57,1189980
2020-03-26,2.57,2.58,2.4,2.4,711600
2020-03-27,2.42,2.44,2.24,2.24,1683510
2020-03-30,2.09,2.15,2.09,2.09,1755970
2020-03-31,1.97,2.09,1.94,1.94,2364420
2020-04-01,1.82,2.05,1.82,1.93,1910630
2020-04-03,2.02,2.06,2.02,2.06,995310
2020-04-06,2.21,2.21,2.21,2.21,288540
2020-04-07,2.36,2.36,2.28,2.36,2680580
2020-04-08,2.36,2.48,2.27,2.44,2551810
2020-04-09,2.49,2.56,2.45,2.49,1542640
2020-04-10,2.47,2.49,2.38,2.42,1973180
2020-04-13,2.41,2.44,2.39,2.42,1098680
2020-04-14,2.42,2.59,2.42,2.59,2146190
2020-04-15,2.67,2.74,2.59,2.72,1304250
2020-04-16,2.71,2.75,2.62,2.73,1317360
2020-04-17,2.73,2.75,2.7,2.71,1717080
2020-04-20,2.72,2.79,2.68,2.7,1240470
2020-04-21,2.57,2.67,2.51,2.51,2539330
2020-04-22,2.44,2.62,2.42,2.6,756570
2020-04-23,2.66,2.66,2.56,2.56,686390
2020-04-24,2.56,2.58,2.52,2.56,592230
2020-04-27,2.56,2.63,2.56,2.61,983520
2020-04-28,2.61,2.7,2.61,2.64,987630
2020-04-29,2.67,2.7,2.64,2.64,1074450
2020-05-04,2.67,2.82,2.64,2.82,4134150
2020-05-05,2.84,2.89,2.79,2.84,1456520
2020-05-06,2.89,2.89,2.81,2.84,1335280
2020-05-07,2.84,2.93,2.81,2.91,1580770
2020-05-08,2.94,2.98,2.88,2.88,2185610
2020-05-11,2.9,2.99,2.9,2.95,1799320
2020-05-12,2.96,2.99,2.91,2.96,2759280
2020-05-13,2.95,3.08,2.93,3.06,2801570
