time,open,high,low,close,volume
2020-01-06,5.78,5.91,5.78,5.91,30630
2020-01-07,5.78,5.94,5.78,5.94,71260
2020-01-08,6.07,6.07,5.86,5.86,31730
2020-01-09,5.82,5.92,5.82,5.92,730
2020-01-10,6.01,6.01,5.82,5.82,12340
2020-01-13,5.82,5.86,5.82,5.82,23430
2020-01-14,5.85,5.85,5.7,5.81,3110
2020-01-15,5.78,5.81,5.7,5.7,24790
2020-01-16,5.81,5.81,5.68,5.7,35040
2020-01-17,5.7,5.83,5.7,5.81,13030
2020-01-20,5.7,5.78,5.7,5.78,910
2020-01-21,5.78,5.78,5.65,5.77,14260
2020-01-22,5.61,5.86,5.61,5.86,32910
2020-01-30,5.7,5.86,5.61,5.86,2190
2020-01-31,5.61,5.69,5.45,5.68,155020
2020-02-03,5.46,5.61,5.29,5.53,101160
2020-02-04,5.37,5.69,5.29,5.45,77340
2020-02-05,5.49,5.49,5.3,5.3,59160
2020-02-06,5.29,5.33,5.12,5.27,92340
2020-02-07,5.27,5.28,5.22,5.28,16550
2020-02-10,5.37,5.37,5.26,5.28,5760
2020-02-11,5.21,5.29,5.21,5.29,36410
2020-02-12,5.29,5.65,5.29,5.33,42950
2020-02-13,5.29,5.29,5.21,5.29,7610
2020-02-14,5.17,5.25,5.14,5.14,26060
2020-02-17,5.06,5.17,5.04,5.04,26620
2020-02-18,5.04,5.05,5.02,5.05,17070
2020-02-19,5.17,5.17,5.12,5.12,9020
2020-02-20,5.06,5.29,5.06,5.29,1620
2020-02-21,5.4,5.4,5.21,5.21,14270
2020-02-24,5.04,5.06,4.96,4.96,55030
2020-02-25,4.88,4.96,4.88,4.96,21210
2020-02-26,4.9,5.04,4.89,4.89,16900
2020-02-27,4.89,5.04,4.84,5.04,21050
2020-02-28,4.88,5.0,4.84,5.0,28200
2020-03-02,4.87,4.96,4.76,4.96,26940
2020-03-03,5.25,5.25,4.8,5.03,3780
2020-03-04,5.04,5.2,4.89,5.17,41190
2020-03-05,5.16,5.28,4.96,5.12,26040
2020-03-06,4.86,5.04,4.8,5.04,33170
2020-03-09,4.73,4.95,4.69,4.69,98230
2020-03-10,4.39,4.8,4.39,4.72,36190
2020-03-11,4.57,4.96,4.56,4.56,44590
2020-03-12,4.39,4.47,4.39,4.47,38430
2020-03-13,4.47,4.6,4.39,4.56,50880
2020-03-16,4.56,4.78,4.47,4.78,870
2020-03-17,4.88,4.88,4.51,4.51,9190
2020-03-18,4.76,4.76,4.39,4.64,20440
2020-03-19,4.35,4.71,4.35,4.56,10840
2020-03-20,4.4,4.56,4.35,4.56,2920
2020-03-23,4.47,4.47,4.24,4.24,95610
2020-03-24,4.23,4.23,3.95,4.07,24630
2020-03-25,4.07,4.3,4.07,4.3,21110
2020-03-26,4.39,4.39,4.07,4.07,47150
2020-03-27,4.34,4.34,4.15,4.15,1050
2020-03-30,4.11,4.11,3.99,3.99,29350
2020-03-31,4.07,4.07,3.95,3.99,13100
2020-04-01,4.14,4.14,3.99,3.99,12600
2020-04-03,4.15,4.15,4.07,4.14,8370
2020-04-06,4.23,4.31,4.07,4.31,29860
2020-04-07,4.31,4.31,4.04,4.15,37710
2020-04-08,4.15,4.16,4.04,4.04,44370
2020-04-09,4.04,4.23,4.04,4.07,145780
2020-04-10,4.07,4.19,4.03,4.15,109550
2020-04-13,3.99,4.19,3.95,4.07,83840
2020-04-14,4.07,4.07,3.99,4.07,28410
2020-04-15,4.07,4.12,3.99,4.08,67620
2020-04-16,4.09,4.19,4.0,4.18,68040
2020-04-17,4.16,4.27,4.15,4.27,71710
2020-04-20,4.27,4.37,4.27,4.35,51680
2020-04-21,4.31,4.31,4.05,4.08,117880
2020-04-22,4.06,4.16,4.03,4.11,24380
2020-04-23,4.14,4.38,4.12,4.23,129820
2020-04-24,4.17,4.23,4.11,4.23,12360
2020-04-27,4.23,4.23,4.15,4.17,38120
2020-04-28,4.17,4.23,4.09,4.23,41610
2020-04-29,4.23,4.37,4.23,4.31,37320
2020-05-04,4.31,4.33,4.17,4.26,75550
2020-05-05,4.03,4.23,4.03,4.23,14520
2020-05-06,4.23,4.23,4.19,4.19,7490
2020-05-07,4.16,4.3,4.16,4.23,24270
2020-05-08,4.23,4.28,4.23,4.26,60740
2020-05-11,4.26,4.3,4.23,4.27,82200
2020-05-12,4.27,4.31,4.23,4.23,31080
2020-05-13,4.23,4.43,4.23,4.43,102470
2020-05-14,4.31,4.52,4.31,4.51,24780
2020-05-15,4.51,4.54,4.48,4.5,29160
2020-05-18,4.47,4.47,4.39,4.42,56820
2020-05-19,4.42,4.46,4.33,4.4,20040
2020-05-20,4.4,4.47,4.31,4.43,31260
2020-05-21,4.43,4.52,4.32,4.45,8920
2020-05-22,4.47,4.47,4.37,4.37,9280
2020-05-25,4.35,4.35,4.25,4.27,27820
2020-05-26,4.47,4.47,4.28,4.39,8900
2020-05-27,4.39,4.47,4.28,4.39,44250
2020-05-28,4.39,4.39,4.33,4.39,5210
2020-05-29,4.39,4.43,4.25,4.39,10980
2020-06-01,4.28,4.47,4.28,4.46,64210
2020-06-02,4.54,4.54,4.37,4.51,105750
2020-06-03,4.51,4.51,4.44,4.51,20440
2020-06-04,4.51,4.6,4.51,4.59,64640
2020-06-05,4.56,4.64,4.47,4.63,50690
2020-06-08,4.63,4.87,4.61,4.79,181610
