time,open,high,low,close,volume
2020-01-06,74.3,78.25,73.94,78.25,44450
2020-01-07,78.25,78.43,77.2,77.37,31160
2020-01-08,76.49,76.49,73.42,73.77,37740
2020-01-09,74.74,75.18,72.71,74.3,37960
2020-01-10,74.74,74.74,72.1,72.98,124870
2020-01-13,72.19,72.54,72.1,72.54,34670
2020-01-14,72.54,75.0,72.54,74.47,58030
2020-01-15,74.74,74.74,73.86,74.74,33340
2020-01-16,74.74,74.74,74.21,74.38,32970
2020-01-17,74.38,74.74,74.38,74.56,32110
2020-01-20,74.74,75.18,74.3,75.18,32600
2020-01-21,76.49,76.93,75.61,75.88,36980
2020-01-22,75.88,76.76,75.88,76.49,22560
2020-01-30,72.1,75.61,71.57,73.86,61500
2020-01-31,73.86,73.86,71.66,71.66,23900
2020-02-03,68.58,72.1,66.65,72.1,43980
2020-02-04,71.22,72.98,69.2,69.46,31560
2020-02-05,71.22,71.22,69.28,69.46,31530
2020-02-06,71.22,71.22,68.4,68.58,38850
2020-02-07,68.58,68.58,67.97,67.97,35550
2020-02-10,67.97,67.97,65.94,66.65,41820
2020-02-11,66.65,67.26,66.65,67.26,31080
2020-02-12,67.7,68.4,66.65,67.7,29010
2020-02-13,67.97,68.4,67.7,68.4,34390
2020-02-14,68.76,69.9,68.49,69.37,31140
2020-02-17,70.25,70.25,68.49,68.49,27870
2020-02-18,68.58,69.02,65.86,66.3,33180
2020-02-19,65.94,66.56,63.74,64.1,41180
2020-02-20,64.54,64.54,63.74,63.74,31630
2020-02-21,63.74,63.74,61.11,61.11,39540
2020-02-24,61.11,61.55,58.91,58.91,45410
2020-02-25,58.91,58.91,54.86,55.22,57150
2020-02-26,54.51,54.95,51.44,52.14,57210
2020-02-27,51.88,51.88,48.53,48.53,210730
2020-02-28,48.36,51.88,45.28,51.88,38940
2020-03-02,49.06,55.48,49.06,54.51,40310
2020-03-03,55.39,55.66,54.51,55.39,41740
2020-03-04,55.39,55.39,52.76,53.63,22360
2020-03-05,53.63,55.39,53.63,54.78,45770
2020-03-06,55.3,55.3,52.58,52.76,46940
2020-03-09,49.24,49.68,49.06,49.06,73910
2020-03-10,46.16,49.06,46.16,48.36,39660
2020-03-11,49.68,49.68,46.6,47.48,28580
2020-03-12,45.72,46.16,44.23,44.67,32140
2020-03-13,41.59,44.67,41.54,44.67,43410
2020-03-16,44.67,44.75,41.54,43.0,62890
2020-03-17,43.0,43.96,41.72,41.76,57980
2020-03-18,41.76,43.52,41.76,42.64,62230
2020-03-19,41.32,41.41,40.62,40.84,20500
2020-03-20,40.84,41.68,40.58,40.62,14360
2020-03-23,40.62,40.62,37.81,37.81,21980
2020-03-24,36.05,38.69,36.05,37.81,20310
2020-03-25,37.81,40.44,37.81,40.4,19560
2020-03-26,40.8,40.8,37.59,37.59,62510
2020-03-27,39.52,39.52,37.59,37.81,12330
2020-03-30,37.46,38.69,36.05,36.05,21220
2020-03-31,38.51,38.51,35.61,36.05,29510
2020-04-01,35.87,37.81,35.7,36.49,68450
2020-04-03,36.49,38.6,36.49,38.25,118550
2020-04-06,39.3,40.88,38.78,40.88,41100
2020-04-07,41.24,41.24,38.86,39.48,38020
2020-04-08,39.48,39.48,36.93,37.81,60310
2020-04-09,39.39,39.57,38.16,39.57,65800
2020-04-10,39.57,42.03,39.13,41.54,170570
2020-04-13,43.08,44.4,42.64,44.23,161750
2020-04-14,44.23,44.23,41.72,41.76,105100
2020-04-15,41.76,43.96,40.09,43.08,95620
2020-04-16,43.17,45.72,43.0,44.84,103580
2020-04-17,45.98,46.6,45.37,46.6,177690
2020-04-20,47.92,49.68,46.34,49.5,185960
2020-04-21,49.5,51.0,46.07,47.66,131690
2020-04-22,44.67,48.01,44.67,47.92,75950
2020-04-23,48.01,50.12,48.01,48.27,73930
2020-04-24,48.36,48.36,46.78,47.3,44750
2020-04-27,47.3,47.48,44.75,44.84,147330
2020-04-28,44.84,46.16,44.84,45.46,43340
2020-04-29,45.46,47.48,45.46,47.13,103160
2020-05-04,47.92,47.92,46.16,46.16,55690
2020-05-05,46.07,46.07,44.93,45.54,38120
2020-05-06,45.63,45.63,44.4,44.84,79470
2020-05-07,44.84,46.16,44.84,45.46,80480
2020-05-08,46.51,46.51,45.54,45.98,98220
2020-05-11,45.81,45.9,45.02,45.54,85170
2020-05-12,46.6,48.36,45.98,48.36,361010
2020-05-13,50.12,50.56,49.24,49.59,170600
2020-05-14,49.59,49.76,47.48,49.24,86950
2020-05-15,49.24,49.24,47.13,47.39,170140
2020-05-18,47.04,47.66,45.98,47.3,71850
2020-05-19,48.27,48.62,47.57,48.36,155370
2020-05-20,48.36,49.76,48.36,48.53,136000
2020-05-21,48.45,48.97,47.66,47.74,86650
2020-05-22,47.74,47.83,46.6,46.6,109550
2020-05-25,46.6,47.57,46.6,47.3,88430
2020-05-26,47.3,47.66,47.13,47.3,77370
2020-05-27,48.01,49.06,47.74,48.01,166790
2020-05-28,48.01,48.01,47.04,47.48,52340
2020-05-29,47.48,48.27,47.3,47.57,38700
2020-06-01,47.92,48.18,47.39,47.66,118920
2020-06-02,47.66,48.53,47.39,48.18,103360
2020-06-03,48.18,48.18,47.13,47.3,132530
2020-06-04,47.48,49.24,47.3,48.8,239040
2020-06-05,49.06,49.06,47.92,48.53,101400
2020-06-08,48.8,51.26,48.8,51.0,299060
2020-06-09,51.0,52.67,50.91,51.44,294600
2020-06-10,51.17,51.44,50.2,50.64,143290
2020-06-11,50.73,51.0,47.13,47.13,201660
2020-06-12,43.87,46.6,43.87,46.6,272650
2020-06-15,46.6,47.48,44.4,44.93,137070
2020-06-16,45.28,45.72,45.28,45.72,75930
2020-06-17,45.72,46.25,45.54,45.98,36440
2020-06-18,45.72,45.98,45.1,45.98,58660
2020-06-19,46.16,46.6,45.98,46.16,44950
2020-06-22,45.54,46.16,44.84,45.54,110190
2020-06-23,45.54,46.25,45.54,45.81,37390
2020-06-24,45.81,46.51,45.28,45.28,47700
2020-06-25,45.1,45.19,44.67,44.93,46420
2020-06-26,45.28,45.72,44.75,45.02,37790
2020-06-29,45.02,45.02,43.35,44.31,143950
2020-06-30,44.31,44.67,43.08,43.35,34130
2020-07-01,43.35,44.05,43.26,43.96,16390
2020-07-02,42.64,44.23,42.64,43.87,24520
2020-07-03,43.79,45.72,43.79,44.14,31170
2020-07-06,45.37,45.63,44.4,45.63,45400
2020-07-07,45.72,46.42,45.1,45.1,27840
