time,open,high,low,close,volume
2020-01-06,0.72,0.72,0.67,0.67,68140
2020-01-07,0.69,0.69,0.66,0.67,30690
2020-01-08,0.67,0.67,0.63,0.65,49950
2020-01-09,0.63,0.68,0.63,0.64,32580
2020-01-10,0.64,0.67,0.6,0.66,46860
2020-01-13,0.65,0.66,0.64,0.64,31550
2020-01-14,0.66,0.67,0.65,0.65,11530
2020-01-15,0.65,0.67,0.64,0.66,6590
2020-01-16,0.66,0.66,0.62,0.62,50330
2020-01-17,0.62,0.65,0.62,0.63,17490
2020-01-20,0.63,0.63,0.61,0.61,21950
2020-01-21,0.65,0.65,0.61,0.63,49950
2020-01-22,0.63,0.64,0.63,0.64,29130
2020-01-30,0.65,0.67,0.63,0.64,15450
2020-01-31,0.64,0.64,0.6,0.6,69120
2020-02-03,0.56,0.6,0.56,0.6,57700
2020-02-04,0.6,0.6,0.56,0.59,30920
2020-02-05,0.56,0.6,0.56,0.59,14810
2020-02-06,0.61,0.61,0.6,0.6,30970
2020-02-07,0.6,0.61,0.6,0.6,27690
2020-02-10,0.64,0.64,0.59,0.6,10240
2020-02-11,0.6,0.6,0.58,0.59,8910
2020-02-12,0.59,0.6,0.58,0.59,64950
2020-02-13,0.58,0.6,0.58,0.6,63310
2020-02-14,0.61,0.61,0.59,0.59,3690
2020-02-17,0.6,0.6,0.58,0.59,2510
2020-02-18,0.59,0.6,0.57,0.58,51160
2020-02-19,0.59,0.62,0.59,0.62,153840
2020-02-20,0.62,0.66,0.62,0.66,218700
2020-02-21,0.66,0.7,0.66,0.68,307970
2020-02-24,0.66,0.66,0.64,0.64,104080
2020-02-25,0.6,0.67,0.6,0.65,46580
2020-02-26,0.68,0.68,0.63,0.65,6630
2020-02-27,0.65,0.65,0.61,0.63,56650
2020-02-28,0.64,0.67,0.6,0.62,59700
2020-03-02,0.6,0.63,0.6,0.63,43380
2020-03-03,0.63,0.64,0.61,0.61,40330
2020-03-04,0.61,0.64,0.61,0.62,4260
2020-03-05,0.62,0.63,0.62,0.63,59400
