time,open,high,low,close,volume
2020-01-06,32.8,32.8,32.8,32.8,0
2020-01-07,32.8,32.8,32.8,32.8,0
2020-01-08,32.8,32.8,32.8,32.8,0
2020-01-09,32.8,32.8,32.8,32.8,0
2020-01-10,32.8,32.8,32.8,32.8,0
2020-01-13,32.8,32.8,32.8,32.8,0
2020-01-14,32.8,32.8,32.8,32.8,0
2020-01-15,32.8,32.8,32.8,32.8,0
2020-01-16,32.8,32.8,32.8,32.8,0
2020-01-17,32.8,32.8,32.8,32.8,0
2020-01-20,32.8,32.8,32.8,32.8,0
2020-01-21,32.8,32.8,32.8,32.8,0
2020-01-22,32.8,32.8,32.8,32.8,0
2020-01-30,32.8,32.8,32.8,32.8,0
2020-01-31,32.8,32.8,32.8,32.8,0
2020-02-03,32.8,32.8,32.8,32.8,0
2020-02-04,32.8,32.8,32.8,32.8,0
2020-02-05,32.8,32.8,32.8,32.8,0
2020-02-06,32.8,32.8,32.8,32.8,0
2020-02-07,32.8,32.8,32.8,32.8,0
2020-02-10,32.8,32.8,32.8,32.8,0
2020-02-11,32.8,32.8,32.8,32.8,0
2020-02-12,32.8,32.8,32.8,32.8,0
2020-02-13,32.8,32.8,32.8,32.8,0
2020-02-14,32.8,32.8,32.8,32.8,0
2020-02-17,32.8,32.8,32.8,32.8,0
2020-02-18,32.8,32.8,32.8,32.8,0
2020-02-19,32.8,32.8,32.8,32.8,0
2020-02-20,32.8,32.8,32.8,32.8,0
2020-02-21,32.8,32.8,32.8,32.8,0
2020-02-24,32.8,32.8,32.8,32.8,0
2020-02-25,32.8,32.8,32.8,32.8,0
2020-02-26,32.8,32.8,32.8,32.8,0
2020-02-27,32.8,32.8,32.8,32.8,0
2020-02-28,32.8,32.8,32.8,32.8,0
2020-03-02,32.8,32.8,32.8,32.8,0
2020-03-03,32.8,32.8,32.8,32.8,0
2020-03-04,32.8,32.8,32.8,32.8,0
2020-03-05,32.8,32.8,32.8,32.8,0
2020-03-06,32.8,32.8,32.8,32.8,0
2020-03-09,32.8,32.8,32.8,32.8,0
2020-03-10,32.8,32.8,32.8,32.8,0
2020-03-11,32.8,32.8,32.8,32.8,0
2020-03-12,32.8,32.8,32.8,32.8,0
2020-03-13,32.8,32.8,32.8,32.8,0
2020-03-16,32.8,32.8,32.8,32.8,0
2020-03-17,32.8,32.8,32.8,32.8,0
2020-03-18,32.8,32.8,32.8,32.8,0
2020-03-19,32.8,32.8,32.8,32.8,0
2020-03-20,32.8,32.8,32.8,32.8,0
2020-03-23,32.8,32.8,32.8,32.8,0
2020-03-24,32.8,32.8,32.8,32.8,0
2020-03-25,32.8,32.8,32.8,32.8,0
2020-03-26,32.8,32.8,32.8,32.8,0
2020-03-27,32.8,32.8,32.8,32.8,0
2020-03-30,32.8,32.8,32.8,32.8,0
2020-03-31,32.8,32.8,32.8,32.8,0
2020-04-01,32.8,32.8,32.8,32.8,0
2020-04-03,32.8,32.8,32.8,32.8,0
2020-04-06,29.6,29.6,29.6,29.6,200
2020-04-07,29.6,29.6,29.6,29.6,0
2020-04-08,29.6,29.6,29.6,29.6,0
2020-04-09,29.6,29.6,29.6,29.6,0
2020-04-10,26.7,26.7,26.7,26.7,100
2020-04-13,26.7,26.7,26.7,26.7,0
2020-04-14,26.7,26.7,26.7,26.7,0
2020-04-15,26.7,26.7,26.7,26.7,0
2020-04-16,26.7,26.7,26.7,26.7,0
2020-04-17,26.7,26.7,26.7,26.7,0
2020-04-20,26.7,26.7,26.7,26.7,0
2020-04-21,26.7,26.7,26.7,26.7,0
2020-04-22,26.7,26.7,26.7,26.7,0
2020-04-23,26.7,26.7,26.7,26.7,0
2020-04-24,26.7,26.7,26.7,26.7,0
2020-04-27,26.7,26.7,26.7,26.7,0
2020-04-28,26.7,26.7,26.7,26.7,0
2020-04-29,26.7,26.7,26.7,26.7,0
2020-05-04,26.7,26.7,26.7,26.7,0
2020-05-05,26.7,26.7,26.7,26.7,0
2020-05-06,26.7,26.7,26.7,26.7,0
2020-05-07,26.7,26.7,26.7,26.7,400
2020-05-08,26.7,26.7,26.7,26.7,0
2020-05-11,26.7,26.7,26.7,26.7,0
2020-05-12,26.7,26.7,26.7,26.7,0
2020-05-13,26.7,26.7,26.7,26.7,0
2020-05-14,26.7,26.7,26.7,26.7,0
2020-05-15,26.7,26.7,26.7,26.7,0
2020-05-18,26.7,26.7,26.7,26.7,0
2020-05-19,26.7,26.7,26.7,26.7,0
2020-05-20,26.7,26.7,26.7,26.7,0
2020-05-21,26.7,26.7,26.7,26.7,0
2020-05-22,26.7,26.7,26.7,26.7,0
2020-05-25,26.7,26.7,26.7,26.7,0
2020-05-26,26.7,26.7,26.7,26.7,0
2020-05-27,26.7,26.7,26.7,26.7,0
2020-05-28,26.7,26.7,26.7,26.7,0
2020-05-29,26.7,26.7,26.7,26.7,0
2020-06-01,26.7,26.7,26.7,26.7,0
2020-06-02,26.7,26.7,26.7,26.7,0
2020-06-03,26.7,26.7,26.7,26.7,0
2020-06-04,26.7,26.7,26.7,26.7,0
2020-06-05,26.7,26.7,26.7,26.7,0
2020-06-08,26.7,26.7,26.7,26.7,0
2020-06-09,26.7,26.7,26.7,26.7,0
2020-06-10,26.7,26.7,26.7,26.7,0
2020-06-11,26.7,26.7,26.7,26.7,0
2020-06-12,26.7,26.7,26.7,26.7,0
2020-06-15,26.7,26.7,26.7,26.7,0
2020-06-16,26.7,26.7,26.7,26.7,0
2020-06-17,26.7,26.7,26.7,26.7,0
2020-06-18,26.7,26.7,26.7,26.7,0
2020-06-19,26.7,26.7,26.7,26.7,0
2020-06-22,26.7,26.7,26.7,26.7,0
2020-06-23,26.7,26.7,26.7,26.7,0
2020-06-24,26.7,26.7,26.7,26.7,0
2020-06-25,26.7,26.7,26.7,26.7,0
2020-06-26,26.7,26.7,26.7,26.7,0
2020-06-29,26.7,26.7,26.7,26.7,0
2020-06-30,26.7,26.7,26.7,26.7,0
2020-07-01,26.7,26.7,26.7,26.7,0
2020-07-02,26.7,26.7,26.7,26.7,0
2020-07-03,26.7,26.7,26.7,26.7,0
2020-07-06,26.7,26.7,26.7,26.7,0
2020-07-07,26.7,26.7,26.7,26.7,0
2020-07-08,26.7,26.7,26.7,26.7,0
2020-07-09,26.7,26.7,26.7,26.7,0
2020-07-10,26.7,26.7,26.7,26.7,0
2020-07-13,26.7,26.7,26.7,26.7,0
2020-07-14,26.7,26.7,26.7,26.7,0
2020-07-15,26.7,26.7,26.7,26.7,0
2020-07-16,26.7,26.7,26.7,26.7,0
2020-07-17,26.7,26.7,26.7,26.7,0
2020-07-20,26.7,26.7,26.7,26.7,0
