time,open,high,low,close,volume
2020-01-06,12.3,12.3,12.3,12.3,2800
2020-01-07,12.3,12.3,12.3,12.3,2900
2020-01-08,12.3,12.3,12.3,12.3,3100
2020-01-09,12.37,12.37,12.37,12.37,3400
2020-01-10,12.37,12.37,12.37,12.37,3200
2020-01-13,12.37,12.37,12.37,12.37,2900
2020-01-14,12.37,12.37,12.37,12.37,3301
2020-01-15,12.37,12.37,12.37,12.37,2800
2020-01-16,12.44,12.44,12.44,12.44,3100
2020-01-17,12.44,12.44,12.44,12.44,3400
2020-01-20,12.44,12.44,12.44,12.44,2900
2020-01-21,12.5,12.5,12.5,12.5,3300
2020-01-22,12.5,12.5,12.5,12.5,4100
2020-01-30,12.5,12.5,12.5,12.5,2800
2020-01-31,12.44,12.44,12.44,12.44,2600
2020-02-03,12.37,12.37,12.37,12.37,3100
2020-02-04,12.44,12.44,12.44,12.44,2900
2020-02-05,12.44,12.44,12.44,12.44,2700
2020-02-06,12.44,12.44,12.44,12.44,2401
2020-02-07,12.44,12.44,12.44,12.44,3200
2020-02-10,12.44,12.44,12.44,12.44,2900
2020-02-11,12.5,12.5,12.5,12.5,2800
2020-02-12,12.57,12.57,12.57,12.57,3100
2020-02-13,12.57,12.57,12.57,12.57,4300
2020-02-14,12.44,12.44,12.44,12.44,4800
2020-02-17,12.44,12.44,12.44,12.44,4900
2020-02-18,12.37,12.37,12.37,12.37,2900
2020-02-19,12.37,12.37,12.37,12.37,2700
2020-02-20,12.37,12.37,12.37,12.37,3100
2020-02-21,12.44,12.44,12.44,12.44,3400
2020-02-24,12.37,12.37,12.37,12.37,2800
2020-02-25,12.3,12.3,12.3,12.3,2400
2020-02-26,12.37,12.37,12.37,12.37,2600
2020-02-27,12.37,12.37,12.37,12.37,2700
2020-02-28,12.3,12.3,12.3,12.3,3300
2020-03-02,12.3,12.3,12.3,12.3,2600
2020-03-03,12.37,12.37,12.37,12.37,2800
2020-03-04,12.37,12.37,12.37,12.37,2900
2020-03-05,12.44,12.44,12.44,12.44,3100
2020-03-06,12.44,12.44,12.44,12.44,2900
2020-03-09,12.16,12.16,12.16,12.16,2400
2020-03-10,12.16,12.16,12.16,12.16,2600
2020-03-11,12.16,12.16,12.16,12.16,2700
2020-03-12,12.09,12.09,12.09,12.09,2900
2020-03-13,12.03,12.03,12.03,12.03,3100
2020-03-16,12.03,12.03,12.03,12.03,2300
2020-03-17,12.03,12.03,12.03,12.03,2800
2020-03-18,12.09,12.09,12.09,12.09,2500
2020-03-19,12.03,12.03,12.03,12.03,2600
2020-03-20,12.03,12.03,12.03,12.03,3200
2020-03-23,11.96,11.96,11.96,11.96,2300
2020-03-24,11.89,11.89,11.89,11.89,2400
2020-03-25,11.96,11.96,11.96,11.96,2600
2020-03-26,11.89,11.89,11.89,11.89,2800
2020-03-27,11.89,11.89,11.89,11.89,3100
2020-03-30,11.82,11.82,11.82,11.82,2300
2020-03-31,11.89,11.89,11.89,11.89,2600
2020-04-01,11.96,11.96,11.96,11.96,3100
2020-04-03,12.03,12.03,12.03,12.03,3400
2020-04-06,12.09,12.09,12.09,12.09,2400
2020-04-07,12.09,12.09,12.09,12.09,2600
2020-04-08,12.09,12.09,12.09,12.09,2910
2020-04-09,12.16,12.16,12.16,12.16,2500
2020-04-10,12.16,12.16,12.16,12.16,3100
2020-04-13,12.16,12.16,12.16,12.16,2800
2020-04-14,12.09,12.09,12.09,12.09,2600
2020-04-15,12.16,12.16,12.16,12.16,2400
2020-04-16,12.16,12.16,12.16,12.16,2700
2020-04-17,12.23,12.23,12.23,12.23,3200
2020-04-20,12.23,12.23,12.23,12.23,2300
2020-04-21,12.16,12.16,12.16,12.16,2500
2020-04-22,12.16,12.16,12.16,12.16,2600
2020-04-23,12.23,12.23,12.23,12.23,2800
2020-04-24,12.23,12.23,12.23,12.23,3100
2020-04-27,12.23,12.23,12.23,12.23,2400
2020-04-28,12.23,12.23,12.23,12.23,2700
2020-04-29,12.3,12.3,12.3,12.3,3200
2020-05-04,12.3,12.3,12.3,12.3,2300
2020-05-05,12.3,12.3,12.3,12.3,2500
2020-05-06,12.23,12.23,12.23,12.23,2400
2020-05-07,12.3,12.3,12.3,12.3,2700
2020-05-08,12.37,12.37,12.37,12.37,2900
2020-05-11,12.37,12.37,12.37,12.37,2400
2020-05-12,12.37,12.37,12.37,12.37,2600
2020-05-13,12.44,12.44,12.44,12.44,2600
2020-05-14,12.44,12.44,12.44,12.44,2700
2020-05-15,12.44,12.44,12.44,12.44,3100
2020-05-18,12.44,12.44,12.44,12.44,2400
2020-05-19,12.5,12.5,12.5,12.5,2100
2020-05-20,12.5,12.5,12.5,12.5,2300
2020-05-21,12.57,12.57,12.57,12.57,2700
2020-05-22,12.57,12.57,12.57,12.57,3400
2020-05-25,12.57,12.57,12.57,12.57,2300
2020-05-26,12.5,12.5,12.5,12.5,2600
2020-05-27,12.5,12.5,12.5,12.5,2400
2020-05-28,12.5,12.5,12.5,12.5,2500
2020-05-29,12.5,12.5,12.5,12.5,3200
2020-06-01,12.5,12.5,12.5,12.5,2200
2020-06-02,12.44,12.44,12.44,12.44,2600
2020-06-03,12.44,12.44,12.44,12.44,2300
2020-06-04,12.44,12.44,12.44,12.44,2700
2020-06-05,12.44,12.44,12.44,12.44,3200
2020-06-08,12.5,12.5,12.5,12.5,2300
2020-06-09,12.5,12.5,12.5,12.5,2600
2020-06-10,12.5,12.5,12.5,12.5,2400
2020-06-11,12.5,12.5,12.5,12.5,2400
2020-06-12,12.44,12.44,12.44,12.44,3100
2020-06-15,12.44,12.44,12.44,12.44,2100
2020-06-16,12.44,12.44,12.44,12.44,2600
2020-06-17,12.44,12.44,12.44,12.44,2206
2020-06-18,12.44,12.44,12.44,12.44,2500
2020-06-19,12.44,12.44,12.44,12.44,2600
2020-06-22,12.5,12.5,12.5,12.5,2400
2020-06-23,12.5,12.5,12.5,12.5,2700
2020-06-24,12.5,12.5,12.5,12.5,2800
2020-06-25,12.5,12.5,12.5,12.5,2300
2020-06-26,12.57,12.57,12.57,12.57,3300
2020-06-29,12.57,12.57,12.57,12.57,2100
2020-06-30,12.5,12.5,12.5,12.5,2600
2020-07-01,12.5,12.5,12.5,12.5,2400
2020-07-02,12.5,12.5,12.5,12.5,2200
2020-07-03,12.5,12.5,12.5,12.5,3400
