time,open,high,low,close,volume
2020-01-06,11.0,11.0,11.0,11.0,100
2020-01-07,11.0,11.0,11.0,11.0,0
2020-01-08,11.0,11.0,11.0,11.0,0
2020-01-09,11.0,11.0,11.0,11.0,0
2020-01-10,11.0,11.0,11.0,11.0,0
2020-01-13,11.0,11.0,11.0,11.0,0
2020-01-14,11.0,11.0,11.0,11.0,0
2020-01-15,11.0,11.0,11.0,11.0,0
2020-01-16,9.38,9.38,9.38,9.38,100
2020-01-17,9.38,9.38,9.38,9.38,0
2020-01-20,9.38,9.38,9.38,9.38,0
2020-01-21,9.38,9.38,9.38,9.38,0
2020-01-22,9.38,9.38,9.38,9.38,0
2020-01-30,9.38,9.38,9.38,9.38,0
2020-01-31,9.38,9.38,9.38,9.38,0
2020-02-03,8.02,8.02,8.02,8.02,100
2020-02-04,8.02,8.02,8.02,8.02,0
2020-02-05,8.02,8.02,8.02,8.02,0
2020-02-06,7.08,7.08,7.08,7.08,200
2020-02-07,7.08,7.08,7.08,7.08,0
2020-02-10,6.14,6.14,6.14,6.14,100
2020-02-11,6.99,6.99,6.99,6.99,400
2020-02-12,6.99,6.99,6.99,6.99,0
2020-02-13,6.99,6.99,6.99,6.99,0
2020-02-14,6.99,6.99,6.99,6.99,0
2020-02-17,6.99,6.99,6.99,6.99,0
2020-02-18,7.93,7.93,7.93,7.93,100
2020-02-19,7.93,7.93,7.93,7.93,0
2020-02-20,7.93,7.93,7.93,7.93,0
2020-02-21,7.93,7.93,7.93,7.93,0
2020-02-24,8.96,8.96,8.96,8.96,100
2020-02-25,8.53,8.53,8.53,8.53,400
2020-02-26,9.3,9.3,9.3,9.3,100
2020-02-27,8.53,8.53,7.93,8.02,1100
2020-02-28,8.27,8.27,8.27,8.02,0
2020-03-02,8.27,8.27,8.27,8.02,0
2020-03-03,8.27,8.27,8.27,8.02,0
2020-03-04,8.27,8.27,8.27,8.02,0
2020-03-05,8.27,8.27,8.27,8.02,0
2020-03-06,8.27,8.27,8.27,8.02,0
2020-03-09,7.25,7.25,7.08,7.08,1100
2020-03-10,7.16,7.16,7.16,7.08,0
2020-03-11,7.16,7.16,7.16,7.08,0
2020-03-12,7.16,7.16,7.16,7.08,0
2020-03-13,7.16,7.16,7.16,7.08,0
2020-03-16,6.57,6.57,6.57,6.57,100
2020-03-17,7.51,7.51,7.51,7.51,100
2020-03-18,8.62,8.62,8.62,8.62,100
2020-03-19,7.34,7.34,7.34,7.34,600
2020-03-20,8.27,8.27,8.27,8.27,100
2020-03-23,9.47,9.47,9.47,9.47,100
2020-03-24,10.66,10.66,10.66,10.66,100
2020-03-25,9.13,10.58,9.13,10.58,200
2020-03-26,9.89,9.89,9.89,10.58,0
2020-03-27,8.44,10.75,8.44,10.75,200
2020-03-30,11.0,11.0,8.27,10.75,300
2020-03-31,10.83,10.83,8.53,10.49,300
2020-04-01,10.32,10.32,8.53,10.15,300
2020-04-03,8.27,8.27,8.27,8.27,100
2020-04-06,8.27,8.27,8.27,8.27,0
2020-04-07,9.3,9.3,9.3,9.3,100
2020-04-08,9.3,9.3,9.3,9.3,0
2020-04-09,9.3,9.3,9.3,9.3,0
2020-04-10,10.66,10.66,10.66,10.66,100
2020-04-13,9.13,9.13,9.13,9.13,400
2020-04-14,7.76,7.76,7.76,7.76,300
2020-04-15,8.7,8.7,8.7,8.7,100
2020-04-16,8.7,8.7,8.7,8.7,0
2020-04-17,8.7,8.7,8.7,8.7,0
2020-04-20,9.13,9.13,9.13,9.13,100
2020-04-21,9.21,9.21,9.21,9.21,100
2020-04-22,9.21,9.21,9.21,9.21,0
2020-04-23,10.49,10.49,10.49,10.49,100
2020-04-24,10.49,10.49,10.49,10.49,0
2020-04-27,10.49,10.49,10.49,10.49,0
2020-04-28,10.49,10.49,10.49,10.49,0
2020-04-29,10.49,10.49,10.49,10.49,0
2020-05-04,10.49,10.49,10.49,10.49,0
2020-05-05,11.94,11.94,11.94,11.94,100
2020-05-06,11.94,11.94,11.94,11.94,0
2020-05-07,11.94,11.94,11.94,11.94,0
2020-05-08,10.15,10.15,10.15,10.15,600
2020-05-11,8.7,11.52,8.7,8.7,4500
2020-05-12,9.98,9.98,7.59,7.59,400
2020-05-13,7.08,7.08,7.08,7.08,100
2020-05-14,7.16,7.16,7.16,7.16,100
2020-05-15,7.16,7.16,7.16,7.16,0
2020-05-18,7.16,7.16,7.16,7.16,0
2020-05-19,8.1,8.1,8.1,8.1,100
2020-05-20,9.3,9.3,9.3,9.3,2100
2020-05-21,10.49,10.49,10.49,10.49,100
2020-05-22,8.96,8.96,8.96,8.96,1600
2020-05-25,10.06,10.06,10.06,10.06,500
2020-05-26,10.06,10.06,10.06,10.06,0
2020-05-27,10.06,10.06,10.06,10.06,0
2020-05-28,9.98,9.98,9.38,9.38,300
2020-05-29,9.55,9.55,9.55,9.38,0
2020-06-01,9.55,9.55,9.55,9.38,0
2020-06-02,9.55,9.55,9.55,9.38,0
2020-06-03,9.55,9.55,9.55,9.38,0
2020-06-04,8.19,8.19,8.19,8.19,100
2020-06-05,7.16,7.16,7.16,7.16,200
2020-06-08,7.16,7.16,6.4,6.4,2100
2020-06-09,7.42,7.42,7.42,7.42,100
2020-06-10,8.44,8.44,8.44,8.44,100
2020-06-11,7.68,7.68,7.25,7.25,2900
2020-06-12,7.34,7.34,7.34,7.25,0
2020-06-15,6.4,6.4,6.4,6.4,100
2020-06-16,6.4,6.4,6.4,6.4,0
2020-06-17,6.4,6.4,6.4,6.4,0
2020-06-18,6.4,6.4,6.4,6.4,0
2020-06-19,6.4,6.4,6.4,6.4,0
2020-06-22,6.4,6.4,6.4,6.4,0
2020-06-23,6.4,6.4,6.4,6.4,0
2020-06-24,6.4,6.4,6.4,6.4,0
2020-06-25,6.4,6.4,6.4,6.4,0
2020-06-26,5.88,5.97,5.88,5.97,200
2020-06-29,5.97,5.97,5.97,5.97,500
2020-06-30,6.14,6.14,6.06,6.06,500
2020-07-01,5.63,5.97,5.63,5.97,900
2020-07-02,5.97,5.97,5.97,5.97,0
2020-07-03,5.97,5.97,5.72,5.72,800
2020-07-06,5.88,5.88,5.88,5.72,0
2020-07-07,6.74,6.74,6.74,6.74,400
2020-07-08,6.74,6.74,6.74,6.74,0
2020-07-09,6.74,6.74,6.74,6.74,0
2020-07-10,6.99,6.99,6.99,6.99,100
2020-07-13,7.25,7.25,7.25,7.25,100
2020-07-14,7.25,7.25,7.25,7.25,0
2020-07-15,6.23,6.23,6.23,6.23,100
2020-07-16,6.23,6.23,6.23,6.23,0
2020-07-17,6.23,6.23,6.23,6.23,0
2020-07-20,6.99,6.99,6.99,6.99,100
2020-07-21,6.99,6.99,6.99,6.99,0
2020-07-22,6.99,6.99,6.99,6.99,0
2020-07-23,6.99,6.99,6.99,6.99,0
2020-07-24,6.99,6.99,6.99,6.99,0
2020-07-27,6.99,6.99,6.99,6.99,0
2020-07-28,6.99,6.99,6.99,6.99,0
2020-07-29,6.99,6.99,6.99,6.99,0
2020-07-30,6.99,6.99,6.99,6.99,100
2020-07-31,6.99,6.99,6.99,6.99,0
2020-08-03,6.99,6.99,6.99,6.99,0
2020-08-04,6.99,6.99,6.99,6.99,0
2020-08-05,6.99,6.99,6.99,6.99,0
2020-08-06,6.99,6.99,6.99,6.99,0
2020-08-07,6.99,6.99,6.99,6.99,0
2020-08-10,6.99,6.99,6.99,6.99,0
2020-08-11,6.99,6.99,6.99,6.99,0
2020-08-12,6.99,6.99,6.99,6.99,0
2020-08-13,6.99,6.99,6.99,6.99,0
2020-08-14,6.99,6.99,6.99,6.99,0
2020-08-17,6.99,6.99,6.99,6.99,0
2020-08-18,6.99,6.99,6.99,6.99,0
2020-08-19,6.99,6.99,6.99,6.99,0
2020-08-20,6.82,6.82,6.82,6.82,100
2020-08-21,6.82,6.82,6.82,6.82,0
2020-08-24,6.82,6.82,6.82,6.82,0
2020-08-25,5.97,5.97,5.8,5.97,1001
2020-08-26,5.88,5.88,5.88,5.88,300
2020-08-27,5.8,5.97,5.8,5.97,800
2020-08-28,5.88,5.88,5.88,5.97,0
2020-08-31,5.88,5.88,5.88,5.97,0
2020-09-01,5.88,5.88,5.88,5.97,0
2020-09-03,5.88,5.88,5.88,5.97,0
2020-09-04,5.8,5.8,5.8,5.8,100
2020-09-07,5.8,5.8,5.8,5.8,0
2020-09-08,6.65,6.65,6.65,6.65,500
2020-09-09,6.65,6.65,6.65,6.65,1000
2020-09-10,6.65,6.65,6.65,6.65,0
2020-09-11,6.65,6.65,6.65,6.65,600
2020-09-14,6.65,6.65,6.65,6.65,0
2020-09-15,6.65,6.65,6.65,6.65,0
2020-09-16,6.65,6.65,6.65,6.65,0
2020-09-17,6.65,6.65,6.65,6.65,0
2020-09-18,6.65,6.65,6.65,6.65,0
