time,open,high,low,close,volume
2020-01-06,5.74,5.79,5.63,5.66,73400
2020-01-07,5.66,5.72,5.64,5.66,26493
2020-01-08,5.66,5.6,5.28,5.42,101335
2020-01-09,5.5,5.77,5.52,5.58,56710
2020-01-10,5.58,5.73,5.64,5.66,69800
2020-01-13,5.58,5.66,5.49,5.58,24100
2020-01-14,5.58,5.69,5.44,5.5,151810
2020-01-15,5.5,5.62,5.45,5.5,36245
2020-01-16,5.5,5.65,5.57,5.58,43400
2020-01-17,5.58,5.66,5.58,5.58,53500
2020-01-20,5.58,5.7,5.62,5.66,36800
2020-01-21,5.66,5.84,5.68,5.74,117400
2020-01-22,5.66,5.95,5.78,5.82,45825
2020-01-30,5.74,5.82,5.65,5.74,69980
2020-01-31,5.66,5.61,5.36,5.5,72993
2020-02-03,5.5,5.5,5.01,5.17,253000
2020-02-04,5.25,5.46,5.29,5.33,45410
2020-02-05,5.42,5.51,5.35,5.42,122650
2020-02-06,5.42,5.52,5.36,5.42,103175
2020-02-07,5.5,5.32,5.08,5.25,43500
2020-02-10,5.25,5.39,5.31,5.33,79500
2020-02-11,5.25,5.58,5.25,5.42,299400
2020-02-12,5.5,5.65,5.49,5.58,119110
2020-02-13,5.5,5.63,5.46,5.5,54250
2020-02-14,5.5,5.66,5.5,5.58,84791
2020-02-17,5.5,5.5,5.34,5.42,58910
2020-02-18,5.42,5.51,5.27,5.42,253700
2020-02-19,5.33,5.43,5.27,5.42,57590
2020-02-20,5.5,5.79,5.54,5.66,357790
2020-02-21,5.66,5.74,5.58,5.66,159200
2020-02-24,5.66,5.66,5.41,5.5,102700
2020-02-25,5.33,5.51,5.34,5.5,69716
2020-02-26,5.42,5.52,5.44,5.5,38384
2020-02-27,5.42,5.58,5.5,5.5,17301
2020-02-28,5.42,5.4,5.31,5.33,126465
2020-03-02,5.33,5.49,5.32,5.42,54904
2020-03-03,5.42,5.58,5.42,5.5,24441
2020-03-04,5.42,5.4,5.32,5.33,225500
2020-03-05,5.42,5.45,5.37,5.42,133110
2020-03-06,5.42,5.46,5.22,5.25,417825
2020-03-09,5.25,5.28,4.86,5.0,360310
2020-03-10,5.0,5.1,4.77,5.09,26000
2020-03-11,4.92,5.1,4.85,4.92,54419
2020-03-12,4.92,4.88,4.55,4.68,194020
2020-03-13,4.51,5.14,4.7,4.84,154510
2020-03-16,4.68,4.96,4.55,4.84,115920
2020-03-17,4.68,4.88,4.64,4.76,52800
2020-03-18,4.84,4.97,4.89,4.92,125400
2020-03-19,4.92,4.89,4.72,4.76,39600
2020-03-20,4.92,4.8,4.4,4.51,177610
2020-03-23,4.51,4.28,3.89,4.1,362600
2020-03-24,4.27,4.36,4.12,4.27,205220
2020-03-25,4.51,4.63,4.39,4.59,282500
2020-03-26,4.51,4.57,4.49,4.51,62800
2020-03-27,4.43,4.56,4.39,4.43,180600
2020-03-30,4.18,4.42,4.25,4.35,35200
2020-03-31,4.43,4.44,4.04,4.18,409100
2020-04-01,4.18,4.37,4.2,4.27,161200
2020-04-03,4.27,4.59,4.26,4.43,125600
2020-04-06,4.43,4.69,4.36,4.51,230920
2020-04-07,4.51,4.7,4.53,4.68,241900
2020-04-08,4.68,4.8,4.63,4.76,140620
2020-04-09,4.76,4.88,4.64,4.76,225500
2020-04-10,4.76,4.97,4.8,4.84,262400
2020-04-13,4.92,5.33,5.0,5.25,461425
2020-04-14,5.33,5.55,5.23,5.42,301150
2020-04-15,5.66,6.11,5.69,5.91,313610
2020-04-16,6.07,6.04,5.54,5.91,449175
2020-04-17,5.91,6.0,5.92,5.99,409815
2020-04-20,5.91,6.49,6.07,6.32,1130875
2020-04-21,6.15,6.19,5.78,5.91,418830
2020-04-22,5.91,6.17,5.92,6.07,39205
2020-04-23,6.07,6.18,6.02,6.07,29065
2020-04-24,5.66,5.91,5.58,5.82,52682
2020-04-27,5.91,5.92,5.84,5.91,70581
2020-04-28,5.91,5.92,5.84,5.91,54100
2020-04-29,5.91,5.91,5.91,5.91,27727
2020-05-04,5.91,5.93,5.77,5.82,145410
2020-05-05,5.82,5.85,5.69,5.74,235000
2020-05-06,5.82,5.93,5.85,5.91,44930
2020-05-07,5.91,6.41,6.07,6.15,156637
2020-05-08,6.15,6.24,6.07,6.15,130000
2020-05-11,5.99,6.28,6.11,6.15,70900
2020-05-12,6.07,6.12,5.87,5.99,53570
2020-05-13,5.99,6.17,6.01,6.07,101938
2020-05-14,6.07,6.09,5.85,5.99,191125
2020-05-15,6.15,6.24,5.99,6.07,72306
2020-05-18,6.07,6.12,6.04,6.07,20561
2020-05-19,6.07,6.08,5.92,5.99,172543
2020-05-20,5.99,5.99,5.91,5.99,37110
2020-05-21,6.07,6.14,6.06,6.07,105936
2020-05-22,6.07,6.05,5.97,5.99,66301
2020-05-25,6.07,6.07,5.99,5.99,87015
2020-05-26,5.74,6.63,5.8,6.56,737205
2020-05-27,6.56,6.53,5.99,6.32,251332
2020-05-28,6.48,6.6,6.34,6.48,66220
