time,open,high,low,close,volume
2020-01-06,3.81,3.82,3.54,3.54,649960
2020-01-07,3.54,3.58,3.3,3.3,790360
2020-01-08,3.27,3.52,3.07,3.52,1574060
2020-01-09,3.52,3.53,3.28,3.42,882630
2020-01-10,3.22,3.32,3.18,3.18,1940810
2020-01-13,3.18,3.2,3.02,3.14,127610
2020-01-14,3.07,3.21,3.07,3.15,94580
2020-01-15,3.15,3.22,3.12,3.17,183730
2020-01-16,3.19,3.19,3.15,3.17,215850
2020-01-17,3.17,3.22,3.15,3.17,124720
2020-01-20,3.17,3.22,3.07,3.18,197900
2020-01-21,3.2,3.2,3.12,3.18,76210
2020-01-22,3.2,3.33,3.16,3.32,267670
2020-01-30,3.32,3.32,3.17,3.25,138130
2020-01-31,3.23,3.23,3.14,3.17,285930
2020-02-03,3.17,3.17,2.95,3.12,312870
2020-02-04,3.12,3.17,2.91,3.17,353540
2020-02-05,3.09,3.2,3.02,3.2,312350
2020-02-06,3.12,3.37,3.12,3.37,327480
2020-02-07,3.37,3.37,3.2,3.21,153580
2020-02-10,3.17,3.17,3.07,3.14,127090
2020-02-11,3.21,3.21,3.1,3.14,100600
2020-02-12,3.14,3.2,3.09,3.19,428790
2020-02-13,3.17,3.2,3.07,3.17,523730
2020-02-14,3.17,3.17,3.07,3.14,284170
2020-02-17,3.14,3.14,3.07,3.11,365950
2020-02-18,3.07,3.1,3.04,3.09,238930
2020-02-19,3.06,3.2,3.05,3.2,492400
2020-02-20,3.21,3.3,3.12,3.22,131430
2020-02-21,3.22,3.26,3.17,3.22,504770
2020-02-24,3.17,3.17,3.05,3.1,438390
2020-02-25,3.09,3.14,3.06,3.14,238930
2020-02-26,3.12,3.2,3.08,3.16,386540
2020-02-27,3.16,3.19,3.09,3.13,534900
2020-02-28,3.09,3.13,3.07,3.11,155720
2020-03-02,3.11,3.14,3.08,3.11,143160
2020-03-03,3.1,3.15,3.1,3.12,221640
2020-03-04,3.12,3.17,3.1,3.17,168430
2020-03-05,3.2,3.39,3.2,3.39,1036100
2020-03-06,3.42,3.55,3.35,3.44,470210
2020-03-09,3.2,3.27,3.2,3.2,348290
2020-03-10,2.98,3.17,2.98,3.14,459910
2020-03-11,3.12,3.17,2.96,3.12,501860
2020-03-12,3.07,3.12,2.9,3.07,365110
2020-03-13,2.86,3.02,2.85,2.86,382340
2020-03-16,2.86,2.96,2.84,2.86,101980
2020-03-17,2.86,2.96,2.81,2.96,153620
2020-03-18,2.99,3.02,2.91,2.98,208120
2020-03-19,2.93,2.96,2.78,2.78,494870
2020-03-20,2.67,2.91,2.67,2.91,281890
2020-03-23,2.72,2.78,2.71,2.71,92270
2020-03-24,2.53,2.68,2.52,2.61,583520
2020-03-25,2.61,2.66,2.46,2.59,286990
2020-03-26,2.46,2.58,2.41,2.56,325680
2020-03-27,2.56,2.56,2.38,2.47,774260
2020-03-30,2.4,2.4,2.3,2.3,268230
2020-03-31,2.3,2.3,2.14,2.14,687720
2020-04-01,1.99,2.29,1.99,2.29,709860
2020-04-03,2.29,2.4,2.29,2.36,548730
2020-04-06,2.36,2.52,2.36,2.52,210680
2020-04-07,2.61,2.61,2.45,2.61,120210
2020-04-08,2.52,2.6,2.45,2.6,170410
2020-04-09,2.6,2.63,2.54,2.62,246130
2020-04-10,2.62,2.62,2.52,2.53,290300
2020-04-13,2.61,2.61,2.53,2.61,238680
2020-04-14,2.61,2.61,2.52,2.59,154690
2020-04-15,2.59,2.6,2.53,2.56,114210
2020-04-16,2.56,2.59,2.54,2.59,148490
2020-04-17,2.59,2.76,2.59,2.76,427610
2020-04-20,2.81,2.83,2.75,2.75,252520
2020-04-21,2.68,2.71,2.56,2.56,435910
2020-04-22,2.4,2.61,2.39,2.58,304890
2020-04-23,2.58,2.58,2.5,2.5,194430
2020-04-24,2.56,2.61,2.48,2.59,218350
2020-04-27,2.59,2.61,2.52,2.55,144130
2020-04-28,2.55,2.59,2.52,2.57,112310
2020-04-29,2.57,2.58,2.53,2.57,163040
2020-05-04,2.56,2.57,2.5,2.5,173820
2020-05-05,2.5,2.58,2.45,2.55,330840
2020-05-06,2.56,2.59,2.55,2.57,264820
2020-05-07,2.57,2.74,2.57,2.74,768640
2020-05-08,2.76,2.93,2.76,2.86,999610
2020-05-11,2.91,3.02,2.84,2.93,485360
2020-05-12,2.92,2.93,2.81,2.89,421780
