time,open,high,low,close,volume
2020-01-06,12.5,12.5,12.5,12.5,0
2020-01-07,12.5,12.5,12.5,12.5,2900
2020-01-08,14.3,14.3,14.3,14.3,100
2020-01-09,14.3,14.3,14.3,14.3,0
2020-01-10,14.3,14.3,14.3,14.3,0
2020-01-13,14.3,14.3,14.3,14.3,0
2020-01-14,14.3,14.3,14.3,14.3,0
2020-01-15,14.3,14.3,14.3,14.3,0
2020-01-16,14.3,14.3,14.3,14.3,0
2020-01-17,14.3,14.3,14.3,14.3,0
2020-01-20,14.3,14.3,14.3,14.3,0
2020-01-21,16.0,16.0,16.0,16.0,100
2020-01-22,13.6,13.6,13.6,13.6,3000
2020-01-30,13.6,13.6,13.6,13.6,0
2020-01-31,13.0,13.0,13.0,13.0,100
2020-02-03,13.0,13.0,13.0,13.0,1
2020-02-04,13.0,13.0,13.0,13.0,2
2020-02-05,13.1,13.1,13.1,13.1,150
2020-02-06,13.1,13.1,13.1,13.1,0
2020-02-07,13.1,13.1,13.1,13.1,0
2020-02-10,13.1,13.1,13.1,13.1,0
2020-02-11,13.2,13.2,13.2,13.2,1000
2020-02-12,13.2,13.2,13.2,13.2,0
2020-02-13,13.2,13.2,13.2,13.2,0
2020-02-14,13.2,13.2,13.2,13.2,0
2020-02-17,13.2,13.2,13.2,13.2,2000
2020-02-18,13.2,13.2,13.2,13.2,0
2020-02-19,13.2,13.2,13.2,13.2,0
2020-02-20,13.2,13.2,13.2,13.2,0
2020-02-21,13.2,13.2,13.2,13.2,0
2020-02-24,13.2,13.2,13.2,13.2,4000
2020-02-25,13.2,13.2,13.2,13.2,0
2020-02-26,13.2,13.2,13.2,13.2,0
2020-02-27,13.2,13.2,13.2,13.2,0
2020-02-28,13.2,13.2,13.2,13.2,0
2020-03-02,13.2,13.2,13.2,13.2,0
2020-03-03,13.2,13.2,13.2,13.2,0
2020-03-04,13.2,13.2,13.2,13.2,2
2020-03-05,13.2,13.2,13.2,13.2,0
2020-03-06,13.2,13.2,13.2,13.2,0
2020-03-09,13.2,13.2,13.2,13.2,0
2020-03-10,13.2,13.2,13.2,13.2,0
2020-03-11,13.2,13.2,13.2,13.2,0
2020-03-12,13.2,13.2,13.2,13.2,0
2020-03-13,13.2,13.2,13.2,13.2,0
2020-03-16,13.2,13.2,13.2,13.2,0
2020-03-17,13.2,13.2,13.2,13.2,0
2020-03-18,13.2,13.2,13.2,13.2,0
2020-03-19,13.2,13.2,13.2,13.2,0
2020-03-20,13.2,13.2,13.2,13.2,0
2020-03-23,13.2,13.2,13.2,13.2,0
2020-03-24,13.2,13.2,13.2,13.2,0
2020-03-25,13.2,13.2,13.2,13.2,0
2020-03-26,13.2,13.2,13.2,13.2,0
2020-03-27,13.2,13.2,13.2,13.2,0
2020-03-30,13.2,13.2,13.2,13.2,0
2020-03-31,13.2,13.2,13.2,13.2,0
2020-04-01,13.2,13.2,13.2,13.2,0
2020-04-03,13.2,13.2,13.2,13.2,0
2020-04-06,13.2,13.2,13.2,13.2,0
2020-04-07,13.2,13.2,13.2,13.2,0
2020-04-08,13.2,13.2,13.2,13.2,0
2020-04-09,13.2,13.2,13.2,13.2,0
2020-04-10,12.5,12.5,12.5,12.5,1800
2020-04-13,12.5,12.5,12.5,12.5,0
2020-04-14,12.5,12.5,12.5,12.5,0
2020-04-15,12.5,12.5,12.5,12.5,0
2020-04-16,12.5,12.5,12.5,12.5,0
2020-04-17,12.5,12.5,12.5,12.5,0
2020-04-20,12.5,12.5,12.5,12.5,0
2020-04-21,12.5,12.5,12.5,12.5,0
2020-04-22,11.2,11.2,11.0,11.0,2500
2020-04-23,11.1,11.1,11.1,11.0,0
2020-04-24,12.5,12.7,12.5,12.7,5000
