time,open,high,low,close,volume
2020-01-06,27.14,27.14,27.14,27.14,0
2020-01-07,27.14,27.14,27.14,27.14,0
2020-01-08,27.14,27.14,27.14,27.14,0
2020-01-09,27.14,27.14,27.14,27.14,0
2020-01-10,27.14,27.14,27.14,27.14,0
2020-01-13,27.14,27.14,27.14,27.14,0
2020-01-14,27.14,27.14,27.14,27.14,0
2020-01-15,27.14,27.14,27.14,27.14,0
2020-01-16,27.14,27.14,27.14,27.14,0
2020-01-17,27.14,27.14,27.14,27.14,0
2020-01-20,27.14,27.14,27.14,27.14,0
2020-01-21,27.14,27.14,27.14,27.14,0
2020-01-22,27.14,27.14,27.14,27.14,0
2020-01-30,27.14,27.14,27.14,27.14,0
2020-01-31,27.14,27.14,27.14,27.14,0
2020-02-03,27.14,27.14,27.14,27.14,0
2020-02-04,27.14,27.14,27.14,27.14,0
2020-02-05,27.14,27.14,27.14,27.14,0
2020-02-06,27.14,27.14,27.14,27.14,0
2020-02-07,27.14,27.14,27.14,27.14,100
2020-02-10,27.14,27.14,27.14,27.14,0
2020-02-11,27.14,27.14,27.14,27.14,0
2020-02-12,27.14,27.14,27.14,27.14,0
2020-02-13,27.14,27.14,27.14,27.14,0
2020-02-14,27.14,27.14,27.14,27.14,0
2020-02-17,24.49,24.49,24.49,24.49,100
2020-02-18,24.49,24.49,24.49,24.49,0
2020-02-19,24.49,24.49,24.49,24.49,0
2020-02-20,24.49,24.49,24.49,24.49,0
2020-02-21,24.49,24.49,24.49,24.49,0
2020-02-24,24.49,24.49,24.49,24.49,0
2020-02-25,24.49,24.49,24.49,24.49,0
2020-02-26,24.49,24.49,24.49,24.49,0
2020-02-27,24.49,24.49,24.49,24.49,0
2020-02-28,24.49,24.49,24.49,24.49,0
2020-03-02,22.13,22.13,22.13,22.13,100
2020-03-03,22.13,22.13,22.13,22.13,0
2020-03-04,22.13,22.13,22.13,22.13,0
2020-03-05,22.13,22.13,22.13,22.13,0
2020-03-06,22.13,22.13,22.13,22.13,0
2020-03-09,22.13,22.13,22.13,22.13,0
2020-03-10,22.13,22.13,22.13,22.13,0
2020-03-11,22.13,22.13,22.13,22.13,0
2020-03-12,22.13,22.13,22.13,22.13,0
2020-03-13,22.13,22.13,22.13,22.13,0
2020-03-16,22.13,22.13,22.13,22.13,0
2020-03-17,22.13,22.13,22.13,22.13,0
2020-03-18,22.27,22.27,22.27,22.27,100
2020-03-19,22.27,22.27,22.27,22.27,0
2020-03-20,22.27,22.27,22.27,22.27,0
2020-03-23,22.27,22.27,22.27,22.27,0
2020-03-24,22.27,22.27,22.27,22.27,0
2020-03-25,22.27,22.27,22.27,22.27,0
2020-03-26,22.27,22.27,22.27,22.27,0
2020-03-27,22.27,22.27,22.27,22.27,0
2020-03-30,22.27,22.27,22.27,22.27,0
2020-03-31,22.27,22.27,22.27,22.27,0
2020-04-01,22.27,22.27,22.27,22.27,0
2020-04-03,22.27,22.27,22.27,22.27,0
2020-04-06,22.27,22.27,22.27,22.27,0
2020-04-07,22.27,22.27,22.27,22.27,0
2020-04-08,22.27,22.27,22.27,22.27,0
2020-04-09,22.27,22.27,22.27,22.27,0
2020-04-10,22.27,22.27,22.27,22.27,0
2020-04-13,22.27,22.27,22.27,22.27,0
2020-04-14,22.27,22.27,22.27,22.27,0
2020-04-15,22.27,22.27,22.27,22.27,0
2020-04-16,22.27,22.27,22.27,22.27,0
2020-04-17,22.27,22.27,22.27,22.27,0
2020-04-20,22.27,22.27,22.27,22.27,0
2020-04-21,22.27,22.27,22.27,22.27,0
2020-04-22,22.27,22.27,22.27,22.27,0
2020-04-23,24.49,24.49,24.49,24.49,200
2020-04-24,24.49,24.49,24.49,24.49,0
2020-04-27,24.49,24.49,24.49,24.49,0
2020-04-28,24.49,24.49,24.49,24.49,0
2020-04-29,24.49,24.49,24.49,24.49,0
2020-05-04,24.49,24.49,24.49,24.49,0
2020-05-05,24.49,24.49,24.49,24.49,0
2020-05-06,24.49,24.49,24.49,24.49,0
2020-05-07,24.49,24.49,24.49,24.49,0
2020-05-08,24.49,24.49,24.49,24.49,0
2020-05-11,24.35,24.35,24.35,24.35,100
2020-05-12,24.35,24.35,24.35,24.35,0
2020-05-13,24.35,24.35,24.35,24.35,100
2020-05-14,25.83,25.83,25.83,25.83,0
2020-05-15,25.83,25.83,25.83,25.83,0
2020-05-18,25.83,25.83,25.83,25.83,0
2020-05-19,25.83,25.83,25.83,25.83,0
2020-05-20,25.83,25.83,25.83,25.83,0
2020-05-21,25.83,25.83,25.83,25.83,0
2020-05-22,25.83,25.83,25.83,25.83,0
2020-05-25,25.83,25.83,25.83,25.83,0
2020-05-26,25.83,25.83,25.83,25.83,0
2020-05-27,25.83,25.83,25.83,25.83,0
2020-05-28,25.83,25.83,25.83,25.83,0
2020-05-29,25.83,25.83,25.83,25.83,0
2020-06-01,25.83,25.83,25.83,25.83,0
2020-06-02,25.83,25.83,25.83,25.83,0
2020-06-03,25.83,25.83,25.83,25.83,0
2020-06-04,25.83,25.83,25.83,25.83,0
