time,open,high,low,close,volume
2020-01-06,8.88,8.88,8.61,8.61,31300
2020-01-07,8.61,8.61,8.61,8.61,1523
2020-01-08,7.68,7.75,7.68,7.75,500
2020-01-09,6.69,6.76,6.69,6.76,1000
2020-01-10,6.76,6.76,6.76,6.76,0
2020-01-13,7.68,7.68,6.69,6.69,1300
2020-01-14,6.95,6.95,6.95,6.69,0
2020-01-15,7.88,7.88,7.88,7.88,1200
2020-01-16,7.88,7.88,7.02,7.22,2400
2020-01-17,6.89,6.89,6.89,6.89,200
2020-01-20,6.89,6.89,6.89,6.89,0
2020-01-21,7.82,7.88,7.28,7.28,3800
2020-01-22,7.55,7.55,7.55,7.28,0
2020-01-30,8.54,8.54,8.54,8.54,1000
2020-01-31,7.62,7.62,7.62,7.62,1000
2020-02-03,7.62,7.62,7.62,7.62,0
2020-02-04,6.76,6.76,6.76,6.76,1000
2020-02-05,6.62,6.62,6.62,6.62,100
2020-02-06,6.62,6.62,6.62,6.62,0
2020-02-07,6.62,6.62,6.62,6.62,0
2020-02-10,7.55,7.55,6.09,6.09,600
2020-02-11,6.56,6.56,6.56,6.09,0
2020-02-12,6.56,6.56,6.56,6.09,0
2020-02-13,7.22,7.22,7.22,7.22,300
2020-02-14,7.22,7.22,7.22,7.22,0
2020-02-17,7.22,7.22,7.22,7.22,0
2020-02-18,6.95,6.95,6.95,6.95,12000
2020-02-19,6.95,6.95,6.95,6.95,9100
2020-02-20,7.09,7.09,7.09,7.09,17900
2020-02-21,6.95,6.95,6.76,6.76,1600
2020-02-24,6.89,6.89,6.62,6.62,9500
2020-02-25,6.62,6.62,6.62,6.62,5000
2020-02-26,6.62,6.62,6.29,6.29,3801
2020-02-27,6.49,6.49,6.49,6.49,2000
2020-02-28,6.49,6.49,6.49,6.49,31
2020-03-02,6.49,6.49,6.49,6.49,2000
2020-03-03,6.36,6.36,5.56,5.56,5500
2020-03-04,6.89,6.95,6.89,6.95,600
2020-03-05,6.76,6.76,6.76,6.76,6500
2020-03-06,6.76,6.76,6.76,6.76,0
2020-03-09,6.76,6.76,5.96,5.96,4400
2020-03-10,6.42,6.42,6.42,5.96,0
2020-03-11,6.42,6.42,6.42,6.42,1300
2020-03-12,5.5,5.5,5.5,5.5,500
2020-03-13,5.96,5.96,5.96,5.96,2000
2020-03-16,5.96,5.96,5.96,5.96,1700
2020-03-17,5.96,5.96,5.96,5.96,0
2020-03-18,5.96,5.96,5.96,5.96,1700
2020-03-19,5.96,5.96,5.96,5.96,2000
2020-03-20,5.96,5.96,5.96,5.96,2000
2020-03-23,5.96,5.96,5.96,5.96,1100
2020-03-24,5.63,5.63,5.63,5.63,300
2020-03-25,5.7,5.7,5.7,5.7,500
2020-03-26,5.7,5.7,5.7,5.7,0
2020-03-27,5.7,5.7,5.7,5.7,0
2020-03-30,5.96,5.96,5.96,5.96,500
2020-03-31,5.96,5.96,5.96,5.96,0
2020-04-01,6.29,6.29,6.29,6.29,800
2020-04-03,6.29,6.29,6.29,6.29,500
2020-04-06,6.29,6.29,6.29,6.29,0
2020-04-07,6.29,7.22,6.29,6.29,3100
2020-04-08,6.42,6.42,6.42,6.42,200
2020-04-09,6.42,6.42,6.42,6.42,0
2020-04-10,6.42,6.42,6.42,6.42,0
2020-04-13,6.49,6.49,6.49,6.49,1500
2020-04-14,6.49,6.49,6.49,6.49,3500
2020-04-15,6.49,6.49,6.49,6.49,0
2020-04-16,6.49,6.49,6.49,6.49,0
2020-04-17,6.62,6.62,6.62,6.62,5000
2020-04-20,6.62,6.62,6.62,6.62,0
2020-04-21,6.62,6.62,6.62,6.62,700
2020-04-22,6.62,6.62,6.62,6.62,31
2020-04-23,6.62,6.62,6.62,6.62,0
2020-04-24,6.62,6.62,6.62,6.62,2700
2020-04-27,6.62,6.62,6.62,6.62,0
2020-04-28,6.62,6.62,6.62,6.62,1500
2020-04-29,6.62,6.62,6.62,6.62,200
2020-05-04,6.62,6.62,6.62,6.62,0
2020-05-05,7.62,7.62,6.69,6.69,5500
2020-05-06,6.89,6.95,6.89,6.89,8000
2020-05-07,6.89,6.89,6.89,6.89,0
2020-05-08,6.95,6.95,6.95,6.95,1500
2020-05-11,6.95,6.95,6.95,6.95,0
2020-05-12,7.95,7.95,7.95,7.95,4800
2020-05-13,7.28,7.28,7.28,7.28,500
2020-05-14,7.28,7.35,7.28,7.35,4000
2020-05-15,7.35,7.35,7.35,7.35,0
2020-05-18,7.35,7.35,7.35,7.35,0
2020-05-19,7.35,7.35,7.35,7.35,0
2020-05-20,7.35,7.35,7.35,7.35,0
2020-05-21,7.35,7.35,7.35,7.35,0
2020-05-22,7.35,7.35,7.35,7.35,0
2020-05-25,7.35,7.35,7.35,7.35,0
2020-05-26,7.62,7.62,7.62,7.62,210
2020-05-27,7.62,7.62,7.62,7.62,0
2020-05-28,7.62,7.62,7.62,7.62,0
2020-05-29,7.62,7.62,6.95,6.95,15000
2020-06-01,7.42,7.48,7.42,7.42,724400
2020-06-02,7.48,7.48,7.48,7.42,20
2020-06-03,7.48,7.48,7.48,7.42,1
2020-06-04,7.48,7.48,7.48,7.42,0
2020-06-05,7.48,7.48,7.48,7.42,0
2020-06-08,7.48,7.48,7.48,7.42,10
2020-06-09,7.48,7.48,7.48,7.42,0
2020-06-10,7.48,7.48,7.48,7.42,0
2020-06-11,7.48,7.48,7.48,7.42,0
2020-06-12,7.48,7.48,7.48,7.42,0
2020-06-15,6.69,6.69,6.69,6.69,100
2020-06-16,6.69,6.69,6.69,6.69,0
2020-06-17,6.69,6.69,5.76,5.76,900
2020-06-18,7.22,7.22,7.22,7.22,100
2020-06-19,7.22,7.22,7.22,7.22,0
2020-06-22,7.22,7.22,7.22,7.22,0
2020-06-23,7.22,7.22,7.22,7.22,0
2020-06-24,7.22,7.22,7.22,7.22,0
2020-06-25,7.22,7.22,7.22,7.22,0
2020-06-26,7.22,7.22,7.22,7.22,0
2020-06-29,7.22,7.22,7.22,7.22,0
2020-06-30,7.22,7.22,7.22,7.22,0
2020-07-01,7.22,7.22,7.22,7.22,0
2020-07-02,7.22,7.22,7.22,7.22,0
2020-07-03,7.22,7.22,7.22,7.22,0
2020-07-06,7.62,7.62,7.62,7.62,100
2020-07-07,7.62,7.62,7.62,7.62,0
2020-07-08,7.62,7.62,7.62,7.62,0
2020-07-09,7.62,7.62,7.62,7.62,0
2020-07-10,7.62,7.62,7.62,7.62,0
2020-07-13,7.62,7.62,7.62,7.62,0
2020-07-14,7.62,7.62,7.62,7.62,0
2020-07-15,7.62,7.62,7.62,7.62,0
2020-07-16,7.62,7.62,7.62,7.62,0
2020-07-17,7.62,7.62,7.62,7.62,0
2020-07-20,7.62,7.62,7.62,7.62,0
2020-07-21,7.62,7.62,7.62,7.62,0
2020-07-22,7.62,7.62,7.62,7.62,0
2020-07-23,7.62,7.62,7.62,7.62,0
2020-07-24,7.62,7.62,7.62,7.62,0
2020-07-27,7.62,7.62,7.62,7.62,0
2020-07-28,7.62,7.62,7.62,7.62,0
2020-07-29,7.62,7.62,7.62,7.62,0
2020-07-30,7.62,7.62,7.62,7.62,0
2020-07-31,7.62,7.62,7.62,7.62,0
2020-08-03,7.62,7.62,7.62,7.62,0
2020-08-04,7.62,7.62,7.62,7.62,0
2020-08-05,7.62,7.62,7.62,7.62,0
2020-08-06,7.62,7.62,7.62,7.62,100
2020-08-07,7.62,7.62,7.62,7.62,0
2020-08-10,8.74,8.74,8.74,8.74,5001
2020-08-11,8.15,8.15,8.15,8.15,500
2020-08-12,8.15,8.15,8.15,8.15,0
2020-08-13,7.55,7.55,7.55,7.55,100
2020-08-14,7.55,7.55,7.55,7.55,0
2020-08-17,7.55,7.55,7.55,7.55,0
2020-08-18,7.55,7.55,7.55,7.55,0
2020-08-19,7.55,7.55,7.55,7.55,0
2020-08-20,7.55,7.55,7.55,7.55,0
2020-08-21,7.55,7.55,7.55,7.55,0
2020-08-24,7.55,7.55,7.55,7.55,0
2020-08-25,7.55,7.55,7.55,7.55,0
2020-08-26,7.55,7.55,7.55,7.55,0
2020-08-27,7.55,7.55,7.55,7.55,0
2020-08-28,7.55,7.55,7.55,7.55,0
2020-08-31,7.55,7.55,7.55,7.55,0
2020-09-01,7.55,7.55,7.55,7.55,0
2020-09-03,7.55,7.55,7.55,7.55,0
2020-09-04,7.55,7.55,7.55,7.55,0
2020-09-07,7.55,7.55,7.55,7.55,0
2020-09-08,7.55,7.55,7.55,7.55,0
2020-09-09,7.55,7.55,7.55,7.55,0
2020-09-10,7.55,7.55,7.55,8.28,0
2020-09-11,7.55,7.55,7.55,8.28,0
2020-09-14,7.55,7.55,7.55,8.28,0
2020-09-15,7.55,7.55,7.55,8.28,0
2020-09-16,7.55,7.55,7.55,8.28,0
2020-09-17,7.55,7.55,7.55,8.28,0
2020-09-18,7.55,7.55,7.55,8.28,0
2020-09-21,7.55,7.55,7.55,8.28,0
2020-09-22,7.55,7.55,7.55,8.28,0
2020-09-23,7.55,7.55,7.55,8.28,0
2020-09-24,7.55,7.55,7.55,8.28,0
2020-09-25,7.55,7.55,7.55,8.28,0
2020-09-28,7.55,7.55,7.55,8.28,0
2020-09-29,7.55,7.55,7.55,8.28,0
2020-09-30,7.55,7.55,7.55,8.28,0
2020-10-01,8.86,8.86,8.86,8.86,100
2020-10-02,8.86,8.86,8.86,8.86,0
2020-10-05,8.86,8.86,8.86,8.86,0
2020-10-06,8.86,8.86,8.86,8.86,0
2020-10-07,8.86,8.86,8.86,8.86,0
2020-10-08,8.86,8.86,8.86,8.86,0
2020-10-09,8.86,8.86,8.86,8.86,0
2020-10-12,8.86,8.86,8.86,8.86,0
2020-10-13,8.86,8.86,8.86,8.86,0
2020-10-14,8.86,8.86,8.86,8.86,0
2020-10-15,8.86,8.86,8.86,8.86,0
2020-10-16,8.86,8.86,8.86,8.86,0
2020-10-19,8.86,8.86,8.86,8.86,0
2020-10-20,8.86,8.86,8.86,8.86,0
2020-10-21,8.86,8.86,8.71,8.71,3000
2020-10-22,8.78,8.78,8.78,8.71,0
2020-10-23,8.64,8.64,8.64,8.64,100
2020-10-26,8.64,8.64,8.64,8.64,0
2020-10-27,8.64,8.64,8.64,8.64,0
2020-10-28,8.64,8.64,8.64,8.64,0
2020-10-29,8.64,8.64,8.64,8.64,0
2020-10-30,8.35,8.35,8.35,8.35,100
2020-11-02,8.35,8.35,8.35,8.35,0
2020-11-03,8.35,8.35,8.35,8.35,0
2020-11-04,8.35,8.35,8.35,8.35,1100
2020-11-05,8.35,8.35,8.35,8.35,0
2020-11-06,8.35,8.35,8.35,8.35,1400
2020-11-09,7.98,7.98,7.98,7.98,100
2020-11-10,7.98,7.98,7.98,7.98,0
2020-11-11,7.98,7.98,7.98,7.98,0
2020-11-12,7.98,7.98,7.98,7.98,0
2020-11-13,7.98,7.98,7.98,7.98,0
2020-11-16,7.98,7.98,7.98,7.98,0
2020-11-17,7.98,7.98,7.98,7.98,0
2020-11-18,9.15,9.15,9.15,9.15,1200
2020-11-19,9.15,9.15,9.15,9.15,0
2020-11-20,8.35,8.35,8.35,8.35,100
2020-11-23,8.35,8.35,8.35,8.35,0
2020-11-24,8.35,8.35,8.35,8.35,0
2020-11-25,8.35,8.35,8.35,8.35,0
2020-11-26,8.35,8.35,8.35,8.35,0
2020-11-27,8.35,8.35,8.35,8.35,0
2020-11-30,8.35,8.35,8.35,8.35,0
2020-12-01,8.35,8.35,8.35,8.35,0
2020-12-02,8.35,8.35,8.35,8.35,0
2020-12-03,8.35,8.35,8.35,8.35,0
2020-12-04,8.35,8.35,8.35,8.35,0
2020-12-07,8.35,8.35,8.35,8.35,0
2020-12-08,8.35,8.35,8.35,8.35,0
2020-12-09,8.35,8.35,8.35,8.35,0
2020-12-10,8.35,8.35,8.35,8.35,0
2020-12-11,8.35,8.35,8.35,8.35,0
2020-12-14,8.35,8.35,8.35,8.35,0
2020-12-15,8.35,8.35,8.35,8.35,0
2020-12-16,8.35,8.35,8.35,8.35,0
2020-12-17,8.35,8.35,8.35,8.35,0
2020-12-18,8.35,8.35,8.35,8.35,0
2020-12-21,8.35,8.35,8.35,8.35,0
2020-12-22,8.35,8.35,8.35,8.35,0
2020-12-23,8.35,8.35,8.35,8.35,0
2020-12-24,8.35,8.35,8.35,8.35,0
2020-12-25,8.35,8.35,8.35,8.35,0
2020-12-28,8.35,8.35,8.35,8.35,0
2020-12-29,8.35,8.35,8.35,8.35,0
2020-12-30,8.35,8.35,8.35,8.35,0
2020-12-31,8.35,8.35,8.35,8.35,100
2021-01-04,8.35,8.35,8.35,8.35,0
2021-01-05,8.35,8.35,8.35,8.35,0
2021-01-06,8.35,8.35,8.35,8.35,0
2021-01-07,9.07,9.07,9.07,9.07,4000
2021-01-08,9.07,9.07,9.07,9.07,0
2021-01-11,9.07,9.07,9.07,9.07,0
2021-01-12,9.07,9.07,9.07,9.07,0
2021-01-13,9.07,9.07,9.07,9.07,0
2021-01-14,9.07,9.07,9.07,9.07,0
2021-01-15,9.07,9.07,9.07,9.07,0
2021-01-18,9.07,9.07,9.07,9.07,0
2021-01-19,9.07,9.07,9.07,9.07,0
2021-01-20,9.07,9.07,9.07,9.07,0
2021-01-21,9.07,9.07,9.07,9.07,0
2021-01-22,9.07,9.07,9.07,9.07,0
2021-01-25,9.07,9.07,9.07,9.07,0
2021-01-26,9.07,9.07,9.07,9.07,0
2021-01-27,9.07,9.07,9.07,9.07,0
2021-01-28,9.07,9.07,9.07,9.07,0
2021-01-29,9.07,9.07,9.07,9.07,0
2021-02-01,9.07,9.07,9.07,9.07,0
2021-02-02,9.07,9.07,9.07,9.07,0
2021-02-03,9.07,9.07,9.07,9.07,0
2021-02-04,9.07,9.07,9.07,9.07,0
2021-02-05,9.07,9.07,9.07,9.07,0
2021-02-08,9.07,9.07,9.07,9.07,0
2021-02-09,9.07,9.07,9.07,9.07,0
2021-02-17,9.07,9.07,9.07,9.07,0
2021-02-18,9.07,9.07,9.07,9.07,0
2021-02-19,9.07,9.07,9.07,9.07,0
2021-02-22,9.07,9.07,9.07,9.07,0
2021-02-23,9.07,9.07,9.07,9.07,0
2021-02-24,9.07,9.07,9.07,9.07,100
2021-02-25,9.07,9.07,9.07,9.07,0
2021-02-26,9.07,9.07,9.07,9.07,0
2021-03-01,9.07,9.07,9.07,9.07,0
2021-03-02,9.07,9.07,9.07,9.07,0
2021-03-03,7.98,7.98,7.98,7.98,100
2021-03-04,6.82,6.82,6.82,6.82,2000
2021-03-05,7.62,7.62,7.62,7.62,100
2021-03-08,7.62,7.62,7.62,7.62,0
2021-03-09,7.62,7.62,7.62,7.62,0
2021-03-10,7.62,7.62,7.62,7.62,0
2021-03-11,7.62,7.62,7.62,7.62,0
2021-03-12,7.62,7.62,7.62,7.62,0
2021-03-15,7.62,7.62,7.62,7.62,0
2021-03-16,7.62,7.62,7.62,7.62,0
2021-03-17,7.62,7.62,7.62,7.62,0
2021-03-18,7.62,7.62,7.62,7.62,0
2021-03-19,7.62,7.62,7.62,7.62,0
2021-03-22,7.62,7.62,7.62,7.62,0
2021-03-23,7.62,7.62,7.62,7.62,0
2021-03-24,7.62,7.62,7.62,7.62,0
2021-03-25,7.62,7.62,7.62,7.62,0
