time,open,high,low,close,volume
2020-01-06,7.33,7.33,7.21,7.21,24300
2020-01-07,7.3,7.3,7.24,7.27,14960
2020-01-08,7.33,7.33,7.11,7.11,45200
2020-01-09,7.21,7.24,7.08,7.11,41110
2020-01-10,7.11,7.21,7.11,7.14,43790
2020-01-13,7.14,7.18,7.14,7.18,213010
2020-01-14,7.21,7.24,7.14,7.24,15910
2020-01-15,7.24,7.27,7.21,7.21,14930
2020-01-16,7.33,7.33,7.21,7.33,20160
2020-01-17,7.3,7.36,7.3,7.36,394980
2020-01-20,7.36,7.46,7.33,7.43,48810
2020-01-21,7.49,7.55,7.4,7.49,130970
2020-01-22,7.52,7.71,7.46,7.58,10650
2020-01-30,7.58,7.58,7.46,7.46,35610
2020-01-31,7.46,7.46,7.14,7.14,42230
2020-02-03,7.14,7.14,6.68,6.68,97780
2020-02-04,6.68,6.89,6.21,6.39,161570
2020-02-05,6.39,6.61,6.22,6.27,170960
2020-02-06,6.27,6.58,6.27,6.58,80340
2020-02-07,6.58,6.58,6.3,6.52,22040
2020-02-10,6.58,6.58,6.46,6.52,11340
2020-02-11,6.58,6.68,6.52,6.68,42070
2020-02-12,6.74,6.89,6.68,6.89,45350
2020-02-13,6.89,7.08,6.89,7.02,127880
2020-02-14,7.02,7.27,7.02,7.18,34370
2020-02-17,7.21,7.43,7.21,7.36,39880
2020-02-18,7.52,7.52,7.46,7.52,22480
2020-02-19,7.58,7.58,7.4,7.4,32140
2020-02-20,7.43,7.58,7.43,7.52,56110
2020-02-21,7.52,7.77,7.49,7.52,53870
2020-02-24,7.49,7.49,7.3,7.33,54230
2020-02-25,7.33,7.52,7.33,7.52,15990
2020-02-26,7.52,7.52,7.43,7.52,52790
2020-02-27,7.52,7.62,7.52,7.62,92290
2020-02-28,7.58,7.58,7.36,7.58,52010
2020-03-02,7.58,7.58,7.52,7.58,610
2020-03-03,7.65,7.71,7.49,7.49,14600
2020-03-04,7.49,7.52,7.46,7.52,25420
2020-03-05,7.52,7.62,7.52,7.55,73970
2020-03-06,7.55,7.68,7.55,7.68,29450
2020-03-09,7.62,7.62,7.33,7.4,70420
2020-03-10,7.58,7.58,6.89,7.52,74040
2020-03-11,7.58,7.58,7.33,7.33,88590
2020-03-12,7.33,7.4,7.05,7.14,47600
2020-03-13,7.08,7.14,6.68,7.14,56790
2020-03-16,7.14,7.14,6.71,7.02,4740
2020-03-17,6.71,7.18,6.71,6.99,25850
2020-03-18,7.02,7.21,7.02,7.02,23920
2020-03-19,7.18,7.18,6.99,7.02,14120
2020-03-20,7.08,7.08,6.89,7.02,4910
2020-03-23,7.02,7.02,6.55,6.55,197480
2020-03-24,6.55,6.68,6.36,6.39,32150
2020-03-25,6.39,6.71,6.39,6.71,17410
2020-03-26,6.71,6.83,6.58,6.58,6200
2020-03-27,6.58,6.58,6.39,6.39,18260
2020-03-30,6.39,6.39,6.26,6.26,31490
2020-03-31,6.27,6.39,5.84,6.27,338320
2020-04-01,6.27,6.46,6.14,6.39,59250
2020-04-03,6.46,6.46,6.27,6.46,57460
2020-04-06,6.46,6.71,6.46,6.71,14230
2020-04-07,6.71,6.83,6.64,6.83,4150
2020-04-08,6.71,6.89,6.71,6.71,86630
2020-04-09,7.14,7.14,6.77,6.77,305970
2020-04-10,6.83,6.83,6.58,6.68,256030
2020-04-13,6.68,6.68,6.39,6.39,280650
2020-04-14,6.39,6.83,6.39,6.83,515940
2020-04-15,6.89,7.14,6.89,7.02,504800
2020-04-16,7.02,7.49,6.89,7.49,605660
2020-04-17,7.71,7.99,7.49,7.68,655570
2020-04-20,7.71,8.21,7.49,8.15,1005050
2020-04-21,8.02,8.34,7.58,7.58,693270
2020-04-22,7.24,7.83,7.18,7.83,563130
2020-04-23,8.02,8.09,7.58,7.58,272160
2020-04-24,7.65,7.65,7.3,7.49,343540
2020-04-27,7.49,7.74,7.46,7.68,249230
2020-04-28,7.71,8.09,7.65,8.09,384940
2020-04-29,8.15,8.15,7.87,7.9,356070
2020-05-04,7.87,7.93,7.4,7.4,278160
2020-05-05,7.4,7.49,7.33,7.4,223280
2020-05-06,7.4,7.65,7.36,7.52,287510
2020-05-07,7.58,7.58,7.3,7.36,367750
2020-05-08,7.36,7.58,7.21,7.24,728330
2020-05-11,7.24,7.33,7.18,7.24,432920
2020-05-12,7.3,7.71,7.24,7.49,431530
2020-05-13,7.49,7.65,7.4,7.49,535900
2020-05-14,7.46,7.52,7.4,7.52,302030
2020-05-15,7.52,7.52,7.3,7.33,241480
2020-05-18,7.36,7.36,7.21,7.3,353080
2020-05-19,7.33,7.68,7.27,7.3,948660
2020-05-20,7.4,7.8,7.33,7.8,1836780
2020-05-21,8.12,8.15,7.77,7.96,1219720
2020-05-22,7.83,8.12,7.71,7.87,804480
2020-05-25,7.83,8.4,7.77,8.4,1447990
2020-05-26,8.46,8.52,8.21,8.34,745540
2020-05-27,8.37,8.52,7.96,7.96,772150
2020-05-28,8.12,8.37,8.09,8.3,968160
2020-05-29,8.4,8.43,8.15,8.27,384580
2020-06-01,8.27,8.84,8.21,8.68,1218630
2020-06-02,8.65,8.74,8.15,8.21,798670
2020-06-03,8.21,8.4,8.21,8.4,357390
2020-06-04,8.4,8.49,8.27,8.34,450620
2020-06-05,8.27,8.46,8.21,8.46,350860
2020-06-08,8.59,8.68,8.4,8.49,690940
2020-06-09,8.52,8.74,8.43,8.59,562380
2020-06-10,8.59,8.65,8.46,8.52,503770
2020-06-11,8.52,8.62,7.93,7.93,1355710
2020-06-12,7.46,7.83,7.46,7.77,681510
2020-06-15,7.77,7.87,7.46,7.46,531600
2020-06-16,7.65,7.74,7.46,7.71,337480
2020-06-17,7.71,7.9,7.68,7.8,285180
2020-06-18,7.65,7.8,7.65,7.74,156750
2020-06-19,7.74,7.93,7.74,7.93,384570
2020-06-22,8.43,8.46,7.96,8.43,727130
2020-06-23,8.4,8.49,8.02,8.21,289050
2020-06-24,8.21,8.24,7.9,7.96,436590
2020-06-25,8.12,8.32,7.96,8.29,802150
2020-06-26,8.29,8.42,8.03,8.06,303240
2020-06-29,7.96,7.96,7.69,7.76,347630
2020-06-30,7.76,7.89,7.63,7.63,264510
2020-07-01,7.79,7.89,7.63,7.83,186260
2020-07-02,7.83,7.83,7.69,7.73,161720
2020-07-03,7.79,7.79,7.69,7.76,190910
2020-07-06,7.89,8.09,7.79,7.89,188430
2020-07-07,7.89,7.96,7.73,7.73,180130
2020-07-08,7.73,7.93,7.73,7.79,124220
2020-07-09,7.79,7.93,7.79,7.86,175020
2020-07-10,7.83,7.93,7.79,7.83,194440
2020-07-13,7.79,7.96,7.79,7.79,132360
2020-07-14,7.79,7.86,7.76,7.86,123220
2020-07-15,7.96,7.99,7.86,7.96,173520
2020-07-16,7.99,8.06,7.89,7.93,230510
2020-07-17,7.96,8.36,7.93,8.29,927160
2020-07-20,8.32,8.32,8.09,8.16,469650
2020-07-21,8.16,8.32,8.12,8.26,226670
2020-07-22,8.19,8.42,8.19,8.19,394350
2020-07-23,8.22,8.22,8.03,8.03,184560
2020-07-24,7.96,8.03,7.5,7.63,662630
2020-07-27,7.3,7.63,7.13,7.13,632080
2020-07-28,7.3,7.63,7.3,7.63,238410
2020-07-29,7.69,7.69,7.36,7.5,493620
2020-07-30,7.5,7.69,7.5,7.56,165250
2020-07-31,7.56,7.63,7.3,7.5,251340
2020-08-03,7.5,7.86,7.5,7.86,230180
2020-08-04,7.96,8.09,7.86,8.09,295120
2020-08-05,8.09,8.16,7.96,8.09,375830
2020-08-06,8.09,8.12,7.99,8.09,292650
2020-08-07,8.06,8.49,8.03,8.36,917980
2020-08-10,8.42,8.92,8.42,8.82,1300500
2020-08-11,8.82,9.12,8.66,9.02,589310
2020-08-12,8.89,9.02,8.82,8.89,591130
2020-08-13,9.02,9.22,8.82,9.02,582730
2020-08-14,9.09,9.12,8.72,8.82,544460
2020-08-17,8.79,8.89,8.69,8.86,272070
2020-08-18,8.86,9.22,8.86,9.19,890370
2020-08-19,9.12,9.62,9.12,9.48,1244880
2020-08-20,9.48,9.62,9.22,9.35,555690
2020-08-21,9.45,9.75,9.42,9.68,771910
2020-08-24,9.95,10.35,9.82,10.35,947590
2020-08-25,10.55,10.61,10.25,10.25,958550
2020-08-26,10.05,10.74,10.05,10.45,595740
2020-08-27,10.45,10.74,10.31,10.31,530470
2020-08-28,10.35,10.41,10.02,10.12,726960
2020-08-31,10.15,10.78,9.88,10.48,772200
2020-09-01,10.58,10.61,10.35,10.38,224770
2020-09-03,10.41,10.48,10.18,10.38,355500
