time,open,high,low,close,volume
2024-07-31,21.7,21.7,14.5,14.6,546400
2024-08-01,15.0,15.0,13.6,14.0,673100
2024-08-02,14.1,14.1,12.3,14.1,860231
2024-08-05,13.5,14.0,11.9,11.9,438169
2024-08-06,11.5,11.5,11.0,11.0,199601
2024-08-07,10.2,10.5,9.8,10.0,257052
2024-08-08,10.2,10.6,10.1,10.6,203201
2024-08-09,11.0,11.8,11.0,11.8,139985
2024-08-12,11.8,12.1,11.0,11.1,128462
2024-08-13,11.4,11.5,10.9,11.1,20331
2024-08-14,11.1,11.1,9.7,10.2,249243
2024-08-15,10.9,11.0,10.1,10.3,37300
2024-08-16,10.3,10.7,10.2,10.6,95701
2024-08-19,10.9,10.9,10.3,10.5,28760
2024-08-20,10.4,10.4,10.1,10.2,34403
2024-08-21,10.6,10.7,10.1,10.4,65134
2024-08-22,10.5,10.8,10.2,10.5,338162
2024-08-23,10.3,10.6,10.3,10.6,61100
2024-08-26,10.5,10.7,10.5,10.6,116959
2024-08-27,10.6,10.6,10.3,10.5,19700
2024-08-28,10.5,10.5,10.0,10.4,36900
2024-08-29,10.5,10.5,10.2,10.5,78819
2024-08-30,10.5,10.6,10.3,10.3,45900
2024-09-04,10.3,10.4,10.0,10.3,82607
2024-09-05,10.5,10.5,10.4,10.4,22801
2024-09-06,10.5,10.6,10.4,10.4,57052
2024-09-09,10.4,10.4,10.2,10.4,70011
2024-09-10,10.4,10.5,10.4,10.5,29300
2024-09-11,10.4,10.4,10.4,10.4,55700
2024-09-12,10.6,11.7,10.6,11.0,192060
2024-09-13,11.0,11.5,10.7,10.9,114600
2024-09-16,10.7,11.2,10.5,11.1,92601
2024-09-17,11.0,11.0,10.5,10.9,42536
2024-09-18,10.9,10.9,10.6,10.6,8809
2024-09-19,10.7,10.8,10.6,10.7,24012
2024-09-20,10.7,10.9,10.5,10.7,8802
2024-09-23,10.7,10.7,10.5,10.6,11400
2024-09-24,10.4,10.5,9.9,10.5,75000
2024-09-25,10.5,10.9,10.2,10.7,75042
2024-09-26,10.8,10.8,10.4,10.6,55600
2024-09-27,10.8,11.0,10.8,10.9,126941
2024-09-30,10.9,11.0,10.8,11.0,109500
2024-10-01,11.0,11.5,10.9,11.0,128323
2024-10-02,11.3,11.9,11.1,11.3,125636
2024-10-03,11.7,11.9,11.5,11.5,279299
2024-10-04,11.8,12.0,11.1,11.5,280200
2024-10-07,11.5,11.5,11.2,11.4,31450
2024-10-08,11.1,11.4,10.6,10.9,34623
2024-10-09,11.0,11.2,11.0,11.2,44407
2024-10-10,11.0,11.2,11.0,11.2,48804
2024-10-11,11.2,11.3,11.0,11.0,35110
2024-10-14,11.2,11.3,11.0,11.0,51516
2024-10-15,11.3,11.5,11.0,11.2,30646
2024-10-16,11.2,11.2,10.6,11.0,67300
2024-10-17,10.9,11.0,10.8,11.0,101804
2024-10-18,11.0,11.1,10.9,10.9,116200
2024-10-21,11.1,11.1,10.7,10.8,80700
2024-10-22,11.0,11.0,10.7,10.7,96301
2024-10-23,10.9,11.0,10.7,11.0,79120
2024-10-24,11.0,11.2,10.8,11.2,113900
2024-10-25,10.9,11.2,10.9,11.1,95011
2024-10-28,11.1,11.3,11.0,11.0,114205
2024-10-29,11.1,11.3,11.1,11.1,186202
2024-10-30,11.2,12.0,11.2,11.4,297008
2024-10-31,11.4,12.1,11.3,11.5,461004
2024-11-01,11.6,12.0,11.4,11.5,372008
2024-11-04,11.7,11.7,11.0,11.0,202604
2024-11-05,10.8,11.0,10.8,11.0,165662
2024-11-06,10.9,11.1,10.9,11.1,78113
2024-11-07,11.0,11.1,10.8,10.9,60618
2024-11-08,10.9,11.0,10.8,10.9,68800
2024-11-11,10.9,10.9,10.8,10.9,125200
2024-11-12,10.9,11.3,10.9,11.0,60201
2024-11-13,11.0,11.1,10.9,10.9,60500
2024-11-14,11.1,11.1,10.6,10.6,105100
2024-11-15,10.6,10.9,10.6,10.7,64098
2024-11-18,11.0,11.0,10.6,10.9,73100
