time,open,high,low,close,volume
2020-01-06,10.2,10.2,10.2,10.2,0
2020-01-07,10.2,10.2,10.2,10.2,0
2020-01-08,10.2,10.2,10.2,10.2,0
2020-01-09,10.2,10.2,10.2,10.2,0
2020-01-10,10.2,10.2,10.2,10.2,0
2020-01-13,10.2,10.2,10.2,10.2,0
2020-01-14,10.2,10.2,10.2,10.2,0
2020-01-15,10.2,10.2,10.2,10.2,0
2020-01-16,10.2,10.2,10.2,10.2,0
2020-01-17,11.73,11.73,11.73,11.73,100
2020-01-20,11.73,11.73,11.73,11.73,0
2020-01-21,13.43,13.43,13.43,13.43,100
2020-01-22,15.39,15.39,15.39,15.39,100
2020-01-30,16.84,16.84,16.84,16.84,100
2020-01-31,16.84,16.84,16.84,16.84,0
2020-02-03,16.84,16.84,16.84,16.84,0
2020-02-04,16.84,16.84,16.84,16.84,0
2020-02-05,16.84,16.84,16.84,16.84,0
2020-02-06,16.84,16.84,16.84,16.84,0
2020-02-07,16.84,16.84,16.84,16.84,0
2020-02-10,16.84,16.84,16.84,16.84,0
2020-02-11,16.84,16.84,16.84,16.84,0
2020-02-12,16.84,16.84,16.84,16.84,0
2020-02-13,16.84,16.84,16.84,16.84,0
2020-02-14,16.84,16.84,16.84,16.84,0
2020-02-17,16.84,16.84,16.84,16.84,0
2020-02-18,16.84,16.84,16.84,16.84,0
2020-02-19,16.84,16.84,16.84,16.84,0
2020-02-20,16.84,16.84,16.84,16.84,0
2020-02-21,16.84,16.84,16.84,16.84,0
2020-02-24,16.84,16.84,16.84,16.84,0
2020-02-25,16.84,16.84,16.84,16.84,0
2020-02-26,16.84,16.84,16.84,16.84,0
2020-02-27,16.84,16.84,16.84,16.84,0
2020-02-28,16.84,16.84,16.84,16.84,0
2020-03-02,16.84,16.84,16.84,16.84,0
2020-03-03,16.84,16.84,16.84,16.84,0
2020-03-04,14.37,14.37,14.37,14.37,15000
2020-03-05,14.37,14.37,14.37,14.37,0
2020-03-06,14.37,14.37,14.37,14.37,0
2020-03-09,14.37,14.37,14.37,14.37,0
2020-03-10,14.37,14.37,14.37,14.37,0
2020-03-11,14.37,14.37,14.37,14.37,0
2020-03-12,14.37,14.37,14.37,14.37,0
2020-03-13,14.37,14.37,14.37,14.37,0
2020-03-16,16.41,16.41,15.98,15.98,200
2020-03-17,16.24,16.24,16.24,15.98,0
2020-03-18,16.24,16.24,16.24,15.98,0
2020-03-19,16.24,16.24,16.24,15.98,0
2020-03-20,16.24,16.24,16.24,15.98,0
2020-03-23,16.24,16.24,16.24,15.98,0
2020-03-24,16.24,16.24,16.24,15.98,0
2020-03-25,13.86,13.86,13.86,13.86,6600
2020-03-26,13.86,13.86,13.86,13.86,0
2020-03-27,15.9,15.9,15.9,15.9,100
2020-03-30,16.24,16.24,16.24,16.24,100
2020-03-31,16.24,16.24,16.24,16.24,0
2020-04-01,16.24,16.24,16.24,16.24,0
2020-04-03,16.24,16.24,16.24,16.24,0
2020-04-06,16.24,16.24,16.24,16.24,0
2020-04-07,16.24,16.24,16.24,16.24,0
2020-04-08,16.24,16.24,16.24,16.24,0
2020-04-09,16.24,16.24,16.24,16.24,0
2020-04-10,16.24,16.24,16.24,16.24,0
2020-04-13,16.24,16.24,16.24,16.24,0
2020-04-14,16.24,16.24,16.24,16.24,0
2020-04-15,16.24,16.24,16.24,16.24,0
2020-04-16,16.24,16.24,16.24,16.24,0
2020-04-17,16.24,16.24,16.24,16.24,0
2020-04-20,16.24,16.24,16.24,16.24,0
2020-04-21,16.24,16.24,16.24,16.24,0
2020-04-22,16.24,16.24,16.24,16.24,0
2020-04-23,16.24,16.24,16.24,16.24,0
2020-04-24,16.24,16.24,16.24,16.24,0
2020-04-27,16.24,16.24,16.24,16.24,0
2020-04-28,16.24,16.24,16.24,16.24,0
2020-04-29,16.24,16.24,16.24,16.24,0
2020-05-04,16.24,16.24,16.24,16.24,0
2020-05-05,16.24,16.24,16.24,16.24,0
2020-05-06,16.24,16.24,16.24,16.24,0
2020-05-07,16.24,16.24,16.24,16.24,0
2020-05-08,16.24,16.24,16.24,16.24,0
2020-05-11,16.24,16.24,16.24,16.24,0
2020-05-12,16.24,16.24,16.24,16.24,0
2020-05-13,16.24,16.24,16.24,16.24,0
2020-05-14,16.24,16.24,16.24,16.24,0
2020-05-15,16.24,16.24,16.24,16.24,0
2020-05-18,16.24,16.24,16.24,16.24,0
2020-05-19,16.24,16.24,16.24,16.24,0
2020-05-20,16.24,16.24,16.24,16.24,0
