time,open,high,low,close,volume
2020-01-06,2.7,2.7,2.7,2.7,0
2020-01-07,2.7,2.7,2.7,2.7,0
2020-01-08,2.7,2.7,2.7,2.7,0
2020-01-09,2.7,2.7,2.7,2.7,0
2020-01-10,2.7,2.7,2.7,2.7,0
2020-01-13,2.7,2.7,2.7,2.7,0
2020-01-14,2.7,2.7,2.7,2.7,0
2020-01-15,2.7,2.7,2.7,2.7,0
2020-01-16,2.7,2.7,2.7,2.7,0
2020-01-17,2.7,2.7,2.7,2.7,0
2020-01-20,2.7,2.7,2.7,2.7,0
2020-01-21,2.7,2.7,2.7,2.7,0
2020-01-22,2.7,2.7,2.7,2.7,0
2020-01-30,2.7,2.7,2.7,2.7,0
2020-01-31,2.7,2.7,2.7,2.7,0
2020-02-03,2.7,2.7,2.7,2.7,0
2020-02-04,2.7,2.7,2.7,2.7,0
2020-02-05,2.7,2.7,2.7,2.7,0
2020-02-06,2.7,2.7,2.7,2.7,0
2020-02-07,2.7,2.7,2.7,2.7,0
2020-02-10,2.7,2.7,2.7,2.7,0
2020-02-11,2.7,2.7,2.7,2.7,0
2020-02-12,2.7,2.7,2.7,2.7,0
2020-02-13,2.7,2.7,2.7,2.7,0
2020-02-14,2.7,2.7,2.7,2.7,0
2020-02-17,2.7,2.7,2.7,2.7,0
2020-02-18,2.7,2.7,2.7,2.7,0
2020-02-19,2.7,2.7,2.7,2.7,0
2020-02-20,2.7,2.7,2.7,2.7,0
2020-02-21,2.7,2.7,2.7,2.7,0
2020-02-24,2.7,2.7,2.7,2.7,0
2020-02-25,2.7,2.7,2.7,2.7,0
2020-02-26,2.7,2.7,2.7,2.7,0
2020-02-27,2.7,2.7,2.7,2.7,0
2020-02-28,2.7,2.7,2.7,2.7,0
2020-03-02,2.7,2.7,2.7,2.7,0
2020-03-03,2.7,2.7,2.7,2.7,0
2020-03-04,2.7,2.7,2.7,2.7,0
2020-03-05,2.7,2.7,2.7,2.7,0
2020-03-06,2.7,2.7,2.7,2.7,0
2020-03-09,2.7,2.7,2.7,2.7,0
2020-03-10,2.7,2.7,2.7,2.7,0
2020-03-11,2.7,2.7,2.7,2.7,0
2020-03-12,2.7,2.7,2.7,2.7,0
2020-03-13,2.7,2.7,2.7,2.7,0
2020-03-16,2.7,2.7,2.7,2.7,0
2020-03-17,2.7,2.7,2.7,2.7,0
2020-03-18,2.7,2.7,2.7,2.7,0
2020-03-19,2.7,2.7,2.7,2.7,0
2020-03-20,2.7,2.7,2.7,2.7,0
2020-03-23,2.7,2.7,2.7,2.7,0
2020-03-24,2.7,2.7,2.7,2.7,0
2020-03-25,2.7,2.7,2.7,2.7,0
2020-03-26,2.7,2.7,2.7,2.7,0
2020-03-27,2.7,2.7,2.7,2.7,6
2020-03-30,2.7,2.7,2.7,2.7,0
2020-03-31,2.7,2.7,2.7,2.7,0
2020-04-01,2.7,2.7,2.7,2.7,0
2020-04-03,2.7,2.7,2.7,2.7,0
2020-04-06,2.7,2.7,2.7,2.7,0
2020-04-07,2.7,2.7,2.7,2.7,0
2020-04-08,2.7,2.7,2.7,2.7,0
2020-04-09,2.7,2.7,2.7,2.7,0
2020-04-10,2.7,2.7,2.7,2.7,0
2020-04-13,2.7,2.7,2.7,2.7,0
2020-04-14,2.7,2.7,2.7,2.7,0
2020-04-15,2.7,2.7,2.7,2.7,0
2020-04-16,2.7,2.7,2.7,2.7,0
2020-04-17,2.7,2.7,2.7,2.7,0
2020-04-20,2.7,2.7,2.7,2.7,0
2020-04-21,2.7,2.7,2.7,2.7,0
2020-04-22,2.7,2.7,2.7,2.7,0
2020-04-23,2.7,2.7,2.7,2.7,0
2020-04-24,2.7,2.7,2.7,2.7,9
2020-04-27,2.7,2.7,2.7,2.7,0
2020-04-28,2.7,2.7,2.7,2.7,0
2020-04-29,2.7,2.7,2.7,2.7,0
2020-05-04,2.7,2.7,2.7,2.7,0
2020-05-05,2.7,2.7,2.7,2.7,0
2020-05-06,2.7,2.7,2.7,2.7,0
2020-05-07,2.7,2.7,2.7,2.7,0
2020-05-08,2.7,2.7,2.7,2.7,0
2020-05-11,2.7,2.7,2.7,2.7,0
2020-05-12,2.7,2.7,2.7,2.7,0
2020-05-13,2.7,2.7,2.7,2.7,0
2020-05-14,2.7,2.7,2.7,2.7,0
2020-05-15,2.7,2.7,2.7,2.7,0
2020-05-18,2.7,2.7,2.7,2.7,0
2020-05-19,2.7,2.7,2.7,2.7,0
2020-05-20,2.7,2.7,2.7,2.7,0
2020-05-21,2.7,2.7,2.7,2.7,0
2020-05-22,2.5,2.5,2.5,2.5,100
2020-05-25,2.5,2.5,2.5,2.5,0
2020-05-26,2.5,2.5,2.5,2.5,0
2020-05-27,2.5,2.5,2.5,2.5,0
2020-05-28,2.5,2.5,2.5,2.5,0
2020-05-29,2.5,2.5,2.5,2.5,0
2020-06-01,2.5,2.5,2.5,2.5,0
2020-06-02,2.5,2.5,2.5,2.5,0
2020-06-03,2.5,2.5,2.5,2.5,0
2020-06-04,2.5,2.5,2.5,2.5,0
2020-06-05,2.5,2.5,2.5,2.5,0
2020-06-08,2.5,2.5,2.5,2.5,0
2020-06-09,2.5,2.5,2.5,2.5,0
2020-06-10,2.5,2.5,2.5,2.5,0
2020-06-11,2.5,2.5,2.5,2.5,0
2020-06-12,2.5,2.5,2.5,2.5,0
2020-06-15,2.5,2.5,2.5,2.5,0
2020-06-16,2.5,2.5,2.5,2.5,0
2020-06-17,2.5,2.5,2.5,2.5,0
2020-06-18,2.5,2.5,2.5,2.5,0
2020-06-19,2.5,2.5,2.5,2.5,10
2020-06-22,2.5,2.5,2.5,2.5,0
2020-06-23,2.5,2.5,2.5,2.5,0
2020-06-24,2.5,2.5,2.5,2.5,0
2020-06-25,2.5,2.5,2.5,2.5,0
2020-06-26,2.5,2.5,2.5,2.5,0
2020-06-29,2.5,2.5,2.5,2.5,0
2020-06-30,2.5,2.5,2.5,2.5,0
2020-07-01,2.5,2.5,2.5,2.5,0
2020-07-02,2.5,2.5,2.5,2.5,0
2020-07-03,2.8,2.8,2.8,2.8,107
2020-07-06,2.8,2.8,2.8,2.8,0
2020-07-07,2.8,2.8,2.8,2.8,0
2020-07-08,2.8,2.8,2.8,2.8,0
2020-07-09,2.8,2.8,2.8,2.8,0
2020-07-10,3.2,3.2,3.2,3.2,100
2020-07-13,3.2,3.2,3.2,3.2,0
2020-07-14,3.2,3.2,3.2,3.2,0
2020-07-15,3.2,3.2,3.2,3.2,0
2020-07-16,3.2,3.2,3.2,3.2,0
2020-07-17,3.6,3.6,3.6,3.6,100
2020-07-20,3.6,3.6,3.6,3.6,0
2020-07-21,3.6,3.6,3.6,3.6,0
2020-07-22,3.6,3.6,3.6,3.6,0
2020-07-23,3.6,3.6,3.6,3.6,0
2020-07-24,3.8,3.8,3.8,3.8,100
2020-07-27,3.8,3.8,3.8,3.8,0
2020-07-28,3.8,3.8,3.8,3.8,0
2020-07-29,3.8,3.8,3.8,3.8,0
2020-07-30,3.8,3.8,3.8,3.8,0
2020-07-31,3.8,3.8,3.8,3.8,0
2020-08-03,3.8,3.8,3.8,3.8,0
2020-08-04,3.8,3.8,3.8,3.8,0
2020-08-05,3.8,3.8,3.8,3.8,0
2020-08-06,3.8,3.8,3.8,3.8,0
2020-08-07,3.8,3.8,3.8,3.8,0
2020-08-10,3.8,3.8,3.8,3.8,0
2020-08-11,3.8,3.8,3.8,3.8,0
2020-08-12,3.8,3.8,3.8,3.8,0
2020-08-13,3.8,3.8,3.8,3.8,0
2020-08-14,3.3,4.3,3.3,4.3,9300
2020-08-17,3.3,3.3,3.3,4.3,0
2020-08-18,3.3,3.3,3.3,4.3,0
2020-08-19,3.3,3.3,3.3,4.3,0
2020-08-20,3.3,3.3,3.3,4.3,0
2020-08-21,3.7,3.7,3.7,3.7,1100
2020-08-24,3.7,3.7,3.7,3.7,0
2020-08-25,3.7,3.7,3.7,3.7,0
2020-08-26,3.7,3.7,3.7,3.7,0
2020-08-27,3.7,3.7,3.7,3.7,0
2020-08-28,4.2,4.2,3.2,4.2,721
2020-08-31,3.5,3.5,3.5,4.2,0
2020-09-01,3.5,3.5,3.5,4.2,0
2020-09-03,3.5,3.5,3.5,4.2,0
2020-09-04,3.0,3.0,3.0,3.0,1500
2020-09-07,3.0,3.0,3.0,3.0,0
2020-09-08,3.0,3.0,3.0,3.0,0
2020-09-09,3.0,3.0,3.0,3.0,0
2020-09-10,3.0,3.0,3.0,3.0,0
2020-09-11,3.4,3.4,2.6,2.6,7876
2020-09-14,3.0,3.0,3.0,2.6,0
2020-09-15,3.0,3.0,3.0,2.6,0
2020-09-16,3.0,3.0,3.0,2.6,0
2020-09-17,3.0,3.0,3.0,2.6,0
2020-09-18,3.0,3.0,3.0,2.6,0
2020-09-21,3.0,3.0,3.0,2.6,0
2020-09-22,3.0,3.0,3.0,2.6,0
2020-09-23,3.0,3.0,3.0,2.6,0
2020-09-24,3.0,3.0,3.0,2.6,0
2020-09-25,3.4,3.4,3.4,3.4,100
2020-09-28,3.4,3.4,3.4,3.4,0
2020-09-29,3.4,3.4,3.4,3.4,0
2020-09-30,3.4,3.4,3.4,3.4,0
2020-10-01,3.4,3.4,3.4,3.4,0
2020-10-02,2.9,2.9,2.9,2.9,10600
2020-10-05,2.9,2.9,2.9,2.9,0
2020-10-06,2.9,2.9,2.9,2.9,0
2020-10-07,2.9,2.9,2.9,2.9,0
2020-10-08,2.9,2.9,2.9,2.9,0
2020-10-09,3.3,3.3,3.3,3.3,100
2020-10-12,3.3,3.3,3.3,3.3,0
2020-10-13,3.3,3.3,3.3,3.3,0
2020-10-14,3.3,3.3,3.3,3.3,0
2020-10-15,3.3,3.3,3.3,3.3,0
2020-10-16,2.9,3.0,2.9,2.9,5400
2020-10-19,2.9,3.0,2.9,2.92,0
2020-10-20,2.9,3.0,2.9,2.92,0
2020-10-21,2.9,2.9,2.9,2.9,0
2020-10-22,2.9,2.9,2.9,2.9,0
2020-10-23,2.9,2.9,2.9,2.9,0
2020-10-26,2.9,2.9,2.9,2.9,0
2020-10-27,2.9,2.9,2.9,2.9,0
2020-10-28,2.9,2.9,2.9,2.9,0
2020-10-29,2.9,2.9,2.9,2.9,0
2020-10-30,2.9,3.0,2.5,3.0,38400
2020-11-02,2.9,2.9,2.9,3.0,0
2020-11-03,2.9,2.9,2.9,3.0,0
2020-11-04,2.9,2.9,2.9,3.0,0
2020-11-05,2.9,2.9,2.9,3.0,0
2020-11-06,2.9,2.9,2.9,3.0,0
2020-11-09,2.9,2.9,2.9,3.0,0
2020-11-10,2.9,2.9,2.9,3.0,0
2020-11-11,2.9,2.9,2.9,3.0,0
2020-11-12,2.9,2.9,2.9,3.0,0
2020-11-13,2.9,2.9,2.9,3.0,0
2020-11-16,2.9,2.9,2.9,3.0,0
2020-11-17,2.9,2.9,2.9,3.0,0
2020-11-18,2.9,2.9,2.9,3.0,0
2020-11-19,2.9,2.9,2.9,3.0,0
2020-11-20,2.9,2.9,2.9,3.0,0
2020-11-23,2.9,2.9,2.9,3.0,0
2020-11-24,2.9,2.9,2.9,3.0,0
2020-11-25,2.9,2.9,2.9,3.0,0
2020-11-26,2.9,2.9,2.9,3.0,0
2020-11-27,2.9,2.9,2.9,3.0,0
2020-11-30,2.9,2.9,2.9,3.0,0
2020-12-01,2.9,2.9,2.9,3.0,0
2020-12-02,2.9,2.9,2.9,3.0,0
2020-12-03,2.9,2.9,2.9,3.0,0
2020-12-04,2.9,2.9,2.9,3.0,0
2020-12-07,2.9,2.9,2.9,3.0,0
2020-12-08,2.9,2.9,2.9,3.0,0
2020-12-09,2.9,2.9,2.9,3.0,0
2020-12-10,2.9,2.9,2.9,3.0,0
2020-12-11,2.9,2.9,2.9,3.0,0
2020-12-14,2.9,2.9,2.9,3.0,0
2020-12-15,2.9,2.9,2.9,3.0,0
2020-12-16,2.9,2.9,2.9,3.0,0
2020-12-17,2.9,2.9,2.9,3.0,0
2020-12-18,2.9,2.9,2.9,3.0,0
2020-12-21,2.9,2.9,2.9,3.0,0
2020-12-22,2.9,2.9,2.9,3.0,0
2020-12-23,2.9,2.9,2.9,3.0,0
2020-12-24,2.9,2.9,2.9,3.0,0
2020-12-25,2.9,2.9,2.9,3.0,0
2020-12-28,2.9,2.9,2.9,3.0,0
2020-12-29,2.9,2.9,2.9,3.0,0
2020-12-30,2.9,2.9,2.9,3.0,0
2020-12-31,2.9,2.9,2.9,3.0,0
2021-01-04,2.9,2.9,2.9,3.0,0
2021-01-05,2.9,2.9,2.9,3.0,0
2021-01-06,2.9,2.9,2.9,3.0,0
2021-01-07,2.9,2.9,2.9,2.9,0
2021-01-08,2.9,2.9,2.9,2.9,2100
2021-01-11,2.9,2.9,2.9,2.9,0
2021-01-12,2.9,2.9,2.9,2.9,0
2021-01-13,2.9,2.9,2.9,2.9,0
2021-01-14,2.9,2.9,2.9,2.9,0
2021-01-15,2.5,2.5,2.5,2.5,100
2021-01-18,2.5,2.5,2.5,2.5,0
2021-01-19,2.5,2.5,2.5,2.5,0
2021-01-20,2.5,2.5,2.5,2.5,0
2021-01-21,2.5,2.5,2.5,2.5,0
2021-01-22,2.5,2.5,2.5,2.5,0
2021-01-25,2.5,2.5,2.5,2.5,0
2021-01-26,2.5,2.5,2.5,2.5,0
2021-01-27,2.5,2.5,2.5,2.5,0
2021-01-28,2.5,2.5,2.5,2.5,0
2021-01-29,2.5,2.5,2.5,2.5,400
2021-02-01,2.5,2.5,2.5,2.5,0
2021-02-02,2.5,2.5,2.5,2.5,0
2021-02-03,2.5,2.5,2.5,2.5,0
2021-02-04,2.5,2.5,2.5,2.5,0
2021-02-05,2.5,2.5,2.5,2.5,0
2021-02-08,2.5,2.5,2.5,2.5,0
2021-02-09,2.5,2.5,2.5,2.5,0
2021-02-17,2.5,2.5,2.5,2.5,0
2021-02-18,2.5,2.5,2.5,2.5,0
2021-02-19,2.5,2.5,2.5,2.5,0
2021-02-22,2.5,2.5,2.5,2.5,0
2021-02-23,2.5,2.5,2.5,2.5,0
2021-02-24,2.5,2.5,2.5,2.5,0
2021-02-25,2.5,2.5,2.5,2.5,0
2021-02-26,2.5,2.5,2.5,2.5,0
2021-03-01,2.5,2.5,2.5,2.5,0
2021-03-02,2.5,2.5,2.5,2.5,0
2021-03-03,2.5,2.5,2.5,2.5,0
2021-03-04,2.5,2.5,2.5,2.5,0
2021-03-05,2.5,2.5,2.5,2.5,0
2021-03-08,2.5,2.5,2.5,2.5,0
2021-03-09,2.5,2.5,2.5,2.5,0
2021-03-10,2.5,2.5,2.5,2.5,0
2021-03-11,2.5,2.5,2.5,2.5,0
2021-03-12,2.6,2.6,2.6,2.6,5000
2021-03-15,2.6,2.6,2.6,2.6,0
2021-03-16,2.6,2.6,2.6,2.6,0
2021-03-17,2.6,2.6,2.6,2.6,0
2021-03-18,2.6,2.6,2.6,2.6,0
2021-03-19,2.6,2.6,2.3,2.3,400
2021-03-22,2.5,2.5,2.5,2.3,0
2021-03-23,2.5,2.5,2.5,2.3,0
2021-03-24,2.5,2.5,2.5,2.3,0
2021-03-25,2.5,2.5,2.5,2.3,0
2021-03-26,2.6,2.6,2.6,2.6,1000
2021-03-29,2.6,2.6,2.6,2.6,0
2021-03-30,2.6,2.6,2.6,2.6,0
2021-03-31,2.6,2.6,2.6,2.6,0
2021-04-01,2.6,2.6,2.6,2.6,0
2021-04-02,2.6,2.6,2.4,2.4,1100
2021-04-05,2.6,2.6,2.6,2.4,0
2021-04-06,2.6,2.6,2.6,2.4,0
2021-04-07,2.6,2.6,2.6,2.4,0
2021-04-08,2.6,2.6,2.6,2.4,0
2021-04-09,2.3,2.4,2.3,2.4,800
2021-04-12,2.4,2.4,2.4,2.4,0
2021-04-13,2.4,2.4,2.4,2.4,0
2021-04-14,2.4,2.4,2.4,2.4,0
2021-04-15,2.4,2.4,2.4,2.4,0
2021-04-16,2.3,2.6,2.3,2.6,700
2021-04-19,2.6,2.6,2.6,2.6,0
2021-04-20,2.6,2.6,2.6,2.6,0
2021-04-22,2.6,2.6,2.6,2.6,0
2021-04-23,2.6,2.6,2.6,2.6,0
2021-04-26,2.6,2.6,2.6,2.6,0
2021-04-27,2.6,2.6,2.6,2.6,0
2021-04-28,2.6,2.6,2.6,2.6,0
2021-04-29,2.6,2.6,2.6,2.6,0
2021-05-04,2.6,2.6,2.6,2.6,0
2021-05-05,2.6,2.6,2.6,2.6,0
2021-05-06,2.6,2.6,2.6,2.6,0
2021-05-07,2.9,2.9,2.9,2.9,100
2021-05-10,2.9,2.9,2.9,2.9,0
2021-05-11,2.9,2.9,2.9,2.9,0
2021-05-12,2.9,2.9,2.9,2.9,0
2021-05-13,2.9,2.9,2.9,2.9,0
2021-05-14,2.9,2.9,2.9,2.9,0
2021-05-17,2.9,2.9,2.9,2.9,0
2021-05-18,2.9,2.9,2.9,2.9,0
2021-05-19,2.9,2.9,2.9,2.9,0
2021-05-20,2.9,2.9,2.9,2.9,0
2021-05-21,2.9,2.9,2.9,2.9,1100
2021-05-24,2.9,2.9,2.9,2.9,0
2021-05-25,2.9,2.9,2.9,2.9,0
2021-05-26,2.9,2.9,2.9,2.9,0
2021-05-27,2.9,2.9,2.9,2.9,0
2021-05-28,2.9,2.9,2.9,2.9,0
2021-05-31,2.9,2.9,2.9,2.9,0
2021-06-01,2.9,2.9,2.9,2.9,0
2021-06-02,2.9,2.9,2.9,2.9,0
2021-06-03,2.9,2.9,2.9,2.9,0
2021-06-04,2.9,2.9,2.9,2.9,0
2021-06-07,2.9,2.9,2.9,2.9,0
2021-06-08,2.9,2.9,2.9,2.9,0
2021-06-09,2.9,2.9,2.9,2.9,0
2021-06-10,2.9,2.9,2.9,2.9,0
2021-06-11,2.9,2.9,2.9,2.9,1
2021-06-14,2.9,2.9,2.9,2.9,0
2021-06-15,2.9,2.9,2.9,2.9,0
2021-06-16,2.9,2.9,2.9,2.9,0
2021-06-17,2.9,2.9,2.9,2.9,0
2021-06-18,2.5,3.0,2.5,3.0,4250
2021-06-21,2.5,2.5,2.5,3.0,0
2021-06-22,2.5,2.5,2.5,3.0,0
2021-06-23,2.5,2.5,2.5,3.0,0
2021-06-24,2.5,2.5,2.5,3.0,0
2021-06-25,2.5,2.5,2.5,2.5,4000
2021-06-28,2.5,2.5,2.5,2.5,0
2021-06-29,2.5,2.5,2.5,2.5,0
2021-06-30,2.5,2.5,2.5,2.5,0
2021-07-01,2.5,2.5,2.5,2.5,0
2021-07-02,2.5,2.5,2.5,2.5,2100
2021-07-05,2.5,2.5,2.5,2.5,0
2021-07-06,2.5,2.5,2.5,2.5,0
2021-07-07,2.5,2.5,2.5,2.5,0
2021-07-08,2.5,2.5,2.5,2.5,0
2021-07-09,2.5,2.5,2.5,2.5,0
2021-07-12,2.5,2.5,2.5,2.5,0
2021-07-13,2.5,2.5,2.5,2.5,0
2021-07-14,2.5,2.5,2.5,2.5,0
2021-07-15,2.5,2.5,2.5,2.5,0
2021-07-16,2.8,2.8,2.3,2.3,550
2021-07-19,2.5,2.5,2.5,2.3,0
2021-07-20,2.5,2.5,2.5,2.3,0
2021-07-21,2.5,2.5,2.5,2.3,0
2021-07-22,2.5,2.5,2.5,2.3,0
2021-07-23,2.2,2.2,2.2,2.2,100
2021-07-26,2.2,2.2,2.2,2.2,0
2021-07-27,2.2,2.2,2.2,2.2,0
2021-07-28,2.2,2.2,2.2,2.2,0
2021-07-29,2.2,2.2,2.2,2.2,0
2021-07-30,2.2,2.2,2.2,2.2,0
2021-08-02,2.2,2.2,2.2,2.2,0
2021-08-03,2.2,2.2,2.2,2.2,0
2021-08-04,2.2,2.2,2.2,2.2,0
2021-08-05,2.2,2.2,2.2,2.2,0
2021-08-06,2.2,2.2,2.2,2.2,300
2021-08-09,2.2,2.2,2.2,2.2,0
2021-08-10,2.2,2.2,2.2,2.2,0
2021-08-11,2.2,2.2,2.2,2.2,0
2021-08-12,2.2,2.2,2.2,2.2,0
2021-08-13,2.2,2.2,2.2,2.2,0
2021-08-16,2.2,2.2,2.2,2.2,0
2021-08-17,2.2,2.2,2.2,2.2,0
2021-08-18,2.2,2.2,2.2,2.2,0
2021-08-19,2.2,2.2,2.2,2.2,0
2021-08-20,2.2,2.2,2.2,2.2,0
2021-08-23,2.2,2.2,2.2,2.2,0
2021-08-24,2.2,2.2,2.2,2.2,0
2021-08-25,2.2,2.2,2.2,2.2,0
2021-08-26,2.2,2.2,2.2,2.2,0
2021-08-27,2.2,2.2,2.2,2.2,50
2021-08-30,2.2,2.2,2.2,2.2,0
2021-08-31,2.2,2.2,2.2,2.2,0
2021-09-01,2.2,2.2,2.2,2.2,0
2021-09-06,2.2,2.2,2.2,2.2,0
2021-09-07,2.2,2.2,2.2,2.2,0
2021-09-08,2.2,2.2,2.2,2.2,0
2021-09-09,2.2,2.2,2.2,2.2,0
2021-09-10,2.2,2.2,2.2,2.2,0
2021-09-13,2.2,2.2,2.2,2.2,0
2021-09-14,2.2,2.2,2.2,2.2,0
2021-09-15,2.2,2.2,2.2,2.2,0
