time,open,high,low,close,volume
2020-01-06,15.0,15.0,15.0,15.0,0
2020-01-07,12.75,12.75,12.75,12.75,100
2020-01-08,10.9,10.9,10.9,10.9,100
2020-01-09,9.32,9.32,9.32,9.32,100
2020-01-10,7.93,7.93,7.93,7.93,100
2020-01-13,6.74,6.74,6.74,6.74,100
2020-01-14,5.75,5.75,5.75,5.75,600
2020-01-15,6.61,6.61,6.61,6.61,100
2020-01-16,7.6,7.6,7.6,7.6,100
2020-01-17,7.6,7.6,7.6,7.6,0
2020-01-20,8.72,8.72,8.72,8.72,100
2020-01-21,9.98,9.98,9.98,9.98,100
2020-01-22,11.43,11.43,11.43,11.43,600
2020-01-30,9.78,9.78,9.78,9.78,100
2020-01-31,8.32,8.32,8.32,8.32,100
2020-02-03,7.14,7.14,7.14,7.14,100
2020-02-04,6.48,6.48,6.48,6.48,400
2020-02-05,5.68,5.68,5.68,5.68,200
2020-02-06,6.48,6.48,6.48,6.48,100
2020-02-07,7.4,7.4,7.4,7.4,100
2020-02-10,7.4,7.4,7.4,7.4,0
2020-02-11,8.46,8.46,8.46,8.46,100
2020-02-12,9.71,9.71,9.71,9.71,100
2020-02-13,9.71,9.71,9.71,9.71,0
2020-02-14,11.17,11.17,11.17,11.17,200
2020-02-17,12.82,12.82,12.82,12.82,100
2020-02-18,14.73,14.73,10.9,14.67,400
2020-02-19,13.15,13.15,13.15,14.67,0
2020-02-20,13.15,13.15,13.15,14.67,0
2020-02-21,13.15,13.15,13.15,14.67,0
2020-02-24,13.15,13.15,13.15,14.67,0
2020-02-25,13.15,13.15,13.15,14.67,0
2020-02-26,13.15,13.15,13.15,14.67,0
2020-02-27,13.15,13.15,13.15,14.67,0
2020-02-28,11.83,11.83,11.83,11.83,200
2020-03-02,11.83,11.83,11.83,11.83,0
2020-03-03,10.11,10.11,10.11,10.11,100
2020-03-04,8.65,8.65,8.65,8.65,100
2020-03-05,7.4,7.4,7.4,7.4,100
2020-03-06,6.34,6.34,6.34,6.34,300
2020-03-09,6.34,6.34,6.34,6.34,0
2020-03-10,7.27,7.27,7.27,7.27,100
2020-03-11,8.32,8.32,8.32,8.32,100
2020-03-12,9.51,9.51,9.45,9.51,300
2020-03-13,10.84,10.84,10.84,10.84,100
2020-03-16,9.25,9.25,9.25,9.25,100
2020-03-17,7.86,7.86,7.86,7.86,100
2020-03-18,6.8,6.8,6.74,6.74,200
2020-03-19,6.01,6.01,6.01,6.01,100
2020-03-20,6.87,6.87,5.75,5.75,200
2020-03-23,7.27,7.27,7.27,7.27,100
2020-03-24,8.32,8.32,8.32,8.32,100
2020-03-25,9.38,9.38,9.38,9.38,100
2020-03-26,10.31,10.31,10.18,10.18,200
2020-03-27,8.72,8.72,8.72,8.72,100
2020-03-30,7.47,7.47,7.47,7.47,100
2020-03-31,6.41,6.41,6.41,6.41,100
2020-04-01,5.81,5.81,5.81,5.81,200
2020-04-03,6.61,6.67,6.61,6.67,200
2020-04-06,6.67,6.67,6.67,6.67,0
2020-04-07,6.67,6.67,6.67,6.67,0
2020-04-08,7.6,7.6,7.6,7.6,100
2020-04-09,8.52,8.52,8.52,8.52,100
2020-04-10,8.52,8.52,8.52,8.52,0
2020-04-13,7.27,9.78,7.27,8.52,400
2020-04-14,7.53,7.53,7.53,7.53,100
2020-04-15,7.53,7.53,7.53,7.53,0
2020-04-16,6.41,6.41,6.41,6.41,100
2020-04-17,5.75,6.94,5.75,6.94,300
2020-04-20,6.87,7.0,6.87,7.0,300
2020-04-21,7.6,7.6,7.6,7.6,100
2020-04-22,8.65,8.65,8.65,8.65,100
2020-04-23,8.65,8.65,8.65,8.65,0
2020-04-24,8.65,8.65,8.65,8.65,0
2020-04-27,8.46,8.46,8.46,8.46,300
2020-04-28,8.46,8.46,8.46,8.46,0
2020-04-29,7.2,7.2,7.2,7.2,100
2020-05-04,6.14,6.14,6.14,6.14,100
2020-05-05,5.88,5.88,5.88,5.88,200
2020-05-06,6.74,6.74,6.74,6.74,100
2020-05-07,6.74,6.74,6.74,6.74,0
2020-05-08,7.66,7.66,7.66,7.66,200
2020-05-11,8.79,8.79,6.61,6.61,200
2020-05-12,7.73,7.73,7.73,6.61,0
2020-05-13,8.85,8.85,8.85,8.85,100
2020-05-14,10.18,10.18,7.53,7.53,200
2020-05-15,8.85,8.85,8.85,7.53,0
2020-05-18,7.53,7.53,7.53,7.53,100
2020-05-19,8.65,8.65,8.65,8.65,100
2020-05-20,9.91,9.91,9.91,9.91,100
2020-05-21,9.91,9.91,9.91,9.91,0
2020-05-22,9.91,9.91,9.91,9.91,0
2020-05-25,8.85,8.85,8.46,8.46,200
2020-05-26,7.4,7.4,7.4,7.4,100
2020-05-27,7.4,7.4,7.4,7.4,0
2020-05-28,6.41,6.61,6.41,6.61,200
2020-05-29,7.47,7.47,7.47,7.47,100
2020-06-01,7.47,7.47,7.47,7.47,0
2020-06-02,7.47,7.47,7.47,7.47,0
2020-06-03,8.19,8.19,6.67,6.67,300
2020-06-04,7.2,7.2,7.2,6.67,0
2020-06-05,7.2,7.2,7.2,6.67,0
2020-06-08,8.19,8.19,6.67,6.67,200
2020-06-09,8.52,8.52,8.46,8.46,700
2020-06-10,7.27,7.27,7.27,7.27,200
2020-06-11,8.32,8.32,6.74,8.32,700
2020-06-12,7.53,7.53,7.53,8.32,0
2020-06-15,7.6,7.6,7.6,7.6,200
2020-06-16,8.19,8.19,8.19,8.19,100
2020-06-17,7.6,7.6,7.6,7.6,100
2020-06-18,7.6,7.6,7.6,7.6,0
2020-06-19,7.6,7.6,7.6,7.6,0
2020-06-22,7.6,7.6,7.6,7.6,0
2020-06-23,8.59,8.59,8.59,8.59,100
2020-06-24,7.33,7.33,7.33,7.33,100
2020-06-25,7.33,7.33,7.33,7.33,0
2020-06-26,7.33,7.33,7.33,7.33,0
2020-06-29,8.26,8.26,8.26,8.26,100
2020-06-30,8.26,8.26,8.26,8.26,0
2020-07-01,8.26,8.26,8.26,8.26,0
2020-07-02,8.26,8.26,8.26,8.26,0
2020-07-03,8.26,8.26,8.26,8.26,0
2020-07-06,8.26,8.26,8.26,8.26,500
2020-07-07,8.26,8.26,8.26,8.26,0
2020-07-08,8.26,8.26,8.26,8.26,0
2020-07-09,8.26,8.26,8.26,8.26,0
2020-07-10,8.26,8.26,8.26,8.26,0
2020-07-13,8.26,8.26,8.26,8.26,0
2020-07-14,8.26,8.26,8.26,8.26,0
2020-07-15,8.26,8.26,8.26,8.26,0
2020-07-16,8.26,8.26,8.26,9.38,0
2020-07-17,8.26,8.26,8.26,9.38,0
2020-07-20,8.26,8.26,8.26,9.38,0
2020-07-21,8.26,8.26,8.26,8.26,0
2020-07-22,8.26,8.26,8.26,8.26,500
2020-07-23,8.26,8.26,8.26,8.26,0
2020-07-24,8.26,8.26,8.26,8.26,0
2020-07-27,8.26,8.26,8.26,8.26,0
2020-07-28,8.26,8.26,8.26,8.26,0
2020-07-29,8.26,8.26,8.26,8.26,0
2020-07-30,8.26,8.26,8.26,8.26,0
2020-07-31,8.26,8.26,8.26,8.26,0
2020-08-03,8.26,8.26,8.26,8.26,0
2020-08-04,8.26,8.26,8.26,8.26,0
2020-08-05,8.26,8.26,8.26,8.26,0
2020-08-06,8.26,8.26,8.26,8.26,0
2020-08-07,8.26,8.26,8.26,8.26,0
2020-08-10,8.26,8.26,8.26,8.26,0
2020-08-11,9.46,9.46,9.46,9.46,200
2020-08-12,10.81,10.81,10.81,10.81,100
