time,open,high,low,close,volume
2020-01-06,65.51,65.51,64.0,65.42,820
2020-01-07,63.58,65.17,63.49,65.17,710
2020-01-08,63.49,65.09,62.99,64.67,1830
2020-01-09,62.65,63.41,60.64,62.99,2780
2020-01-10,62.57,62.57,61.31,62.15,3540
2020-01-13,61.31,61.73,60.47,61.73,2900
2020-01-14,60.89,60.89,60.89,60.89,50
2020-01-15,60.3,61.31,60.05,61.31,2180
2020-01-16,61.22,61.31,61.22,61.31,30
2020-01-17,62.06,62.06,62.06,62.06,10
2020-01-20,62.06,62.06,62.06,62.06,230
2020-01-21,59.63,59.63,59.63,59.63,10
2020-01-22,59.71,60.47,55.6,60.47,36370
2020-01-30,57.11,58.2,57.11,57.53,1150
2020-01-31,55.43,56.1,55.43,55.43,700
2020-02-03,55.43,55.43,51.57,51.57,3440
2020-02-04,51.57,51.57,48.79,48.79,3470
2020-02-05,50.98,51.23,49.13,51.23,4620
2020-02-06,51.23,52.91,51.23,51.23,1740
2020-02-07,51.23,52.91,51.23,51.23,40
2020-02-10,53.75,53.75,52.91,53.58,1350
2020-02-11,53.58,54.25,52.91,54.17,260
2020-02-12,53.33,53.75,51.65,53.75,510
2020-02-13,53.66,53.66,52.24,52.24,400
2020-02-14,54.5,54.5,52.32,52.32,80
2020-02-17,52.49,54.17,52.32,52.32,7700
2020-02-18,52.49,52.49,51.23,51.23,500
2020-02-19,51.23,53.33,50.39,53.33,860
2020-02-20,53.33,53.33,53.33,53.33,0
2020-02-21,52.07,52.07,52.07,52.07,1070
2020-02-24,52.07,52.07,50.39,50.39,60
2020-02-25,50.39,50.39,50.39,50.39,1240
2020-02-26,49.55,49.55,49.55,49.55,1500
2020-02-27,52.07,52.07,51.65,51.65,30
2020-02-28,51.65,51.65,51.65,51.65,0
2020-03-02,51.99,52.07,49.55,49.55,310
2020-03-03,49.55,50.39,49.55,50.39,60
2020-03-04,49.55,49.55,49.13,49.13,150
2020-03-05,49.97,51.23,48.88,51.23,1270
2020-03-06,51.23,53.66,51.15,51.9,3920
2020-03-09,48.88,49.13,48.88,49.13,1190
2020-03-10,48.71,49.21,48.71,49.21,1010
2020-03-11,49.3,49.3,48.79,49.21,740
2020-03-12,49.13,49.13,47.87,47.87,1590
2020-03-13,47.03,47.03,46.19,47.03,750
2020-03-16,47.03,47.03,44.18,44.18,820
2020-03-17,44.18,44.18,44.18,44.18,40
2020-03-18,44.26,45.77,44.26,45.77,120
2020-03-19,44.18,45.02,43.67,45.02,340
2020-03-20,45.02,45.02,45.02,45.02,0
2020-03-23,44.51,44.51,41.87,41.87,2790
2020-03-24,44.76,44.76,44.43,44.43,2040
2020-03-25,45.77,45.77,41.99,41.99,90
2020-03-26,42.08,43.67,42.08,43.59,1720
2020-03-27,42.41,43.92,42.33,43.59,2110
2020-03-30,40.56,44.01,40.56,40.56,4230
2020-03-31,43.25,43.25,37.75,37.75,4040
2020-04-01,39.3,39.3,35.69,39.01,190
2020-04-03,41.45,41.45,36.28,36.28,21400
2020-04-06,38.17,38.17,36.95,36.95,1000
2020-04-07,37.12,37.79,34.39,34.39,5600
2020-04-08,35.27,36.53,34.39,34.39,8110
2020-04-09,36.11,36.53,34.43,34.52,43650
2020-04-10,35.94,36.91,35.27,36.91,26950
2020-04-13,39.05,39.47,39.05,39.47,13720
2020-04-14,42.08,42.08,39.56,39.98,24200
2020-04-15,40.06,41.28,39.98,41.28,9920
2020-04-16,41.28,44.09,40.31,42.83,23010
2020-04-17,45.69,45.69,44.34,45.35,43500
2020-04-20,45.77,48.46,45.77,48.46,55230
2020-04-21,51.73,51.82,45.1,45.1,75730
2020-04-22,45.1,47.45,41.95,47.03,17590
2020-04-23,50.31,50.31,47.87,49.55,16970
2020-04-24,48.71,49.55,48.29,49.38,23660
2020-04-27,49.21,49.21,47.03,47.87,24800
2020-04-28,47.87,48.71,45.35,47.03,18270
2020-04-29,47.03,47.87,45.35,47.03,14660
2020-05-04,45.35,46.19,45.35,45.44,16460
2020-05-05,42.66,44.93,42.66,43.92,8970
2020-05-06,43.92,46.95,43.67,45.77,17300
