time,open,high,low,close,volume
2020-01-06,7.44,7.44,7.44,7.44,0
2020-01-07,7.44,7.44,7.44,7.44,0
2020-01-08,7.44,7.44,7.44,7.44,0
2020-01-09,7.44,7.44,7.44,7.44,0
2020-01-10,7.44,7.44,7.44,7.44,0
2020-01-13,7.44,7.44,7.44,7.44,0
2020-01-14,7.44,7.44,7.44,7.44,0
2020-01-15,7.44,7.44,7.44,7.44,0
2020-01-16,7.44,7.44,7.44,7.44,0
2020-01-17,7.44,7.44,7.44,7.44,0
2020-01-20,7.44,7.44,7.44,7.44,0
2020-01-21,7.44,7.44,7.44,7.44,0
2020-01-22,7.44,7.44,7.44,7.44,0
2020-01-30,7.44,7.44,7.44,7.44,0
2020-01-31,7.44,7.44,7.44,7.44,0
2020-02-03,7.44,7.44,7.44,7.44,0
2020-02-04,7.44,7.44,7.44,7.44,0
2020-02-05,7.44,7.44,7.44,7.44,0
2020-02-06,7.44,7.44,7.44,7.44,0
2020-02-07,7.44,7.44,7.44,7.44,0
2020-02-10,7.44,7.44,7.44,7.44,0
2020-02-11,7.44,7.44,7.44,7.44,0
2020-02-12,7.44,7.44,7.44,7.44,0
2020-02-13,7.44,7.44,7.44,7.44,0
2020-02-14,7.44,7.44,7.44,7.44,0
2020-02-17,7.44,7.44,7.44,7.44,0
2020-02-18,7.44,7.44,7.44,7.44,0
2020-02-19,4.85,4.85,4.85,4.85,3400
2020-02-20,4.85,4.85,4.85,4.85,0
2020-02-21,4.85,4.85,4.85,4.85,0
2020-02-24,4.85,4.85,4.85,4.85,0
2020-02-25,4.85,4.85,4.85,4.85,0
2020-02-26,4.85,4.85,4.85,4.85,0
2020-02-27,4.85,4.85,4.85,4.85,0
2020-02-28,5.58,5.58,5.58,5.58,100
2020-03-02,6.39,6.39,6.39,6.39,100
2020-03-03,6.39,6.39,6.39,6.39,0
2020-03-04,6.39,6.39,6.39,6.39,0
2020-03-05,6.39,6.39,6.39,6.39,0
2020-03-06,6.39,6.39,6.39,6.39,0
2020-03-09,6.39,6.39,6.39,6.39,0
2020-03-10,6.39,6.39,6.39,6.39,0
2020-03-11,6.39,6.39,6.39,6.39,0
2020-03-12,6.39,6.39,6.39,6.39,0
2020-03-13,6.39,6.39,6.39,6.39,0
2020-03-16,6.39,6.39,6.39,6.39,0
2020-03-17,5.5,5.5,5.5,5.5,100
2020-03-18,4.69,6.22,4.69,6.22,200
2020-03-19,6.22,6.22,4.69,4.69,200
2020-03-20,4.69,4.69,4.69,4.69,100
2020-03-23,4.04,4.04,4.04,4.04,100
2020-03-24,3.48,3.48,3.48,3.48,100
2020-03-25,2.99,3.96,2.99,3.96,200
2020-03-26,3.07,3.96,3.07,3.96,200
2020-03-27,3.56,3.56,3.56,3.96,0
2020-03-30,3.07,3.07,3.07,3.07,100
2020-03-31,2.75,3.48,2.75,3.48,400
2020-04-01,3.8,3.8,2.99,2.99,200
2020-04-03,3.4,3.4,3.4,2.99,0
2020-04-06,2.91,2.91,2.91,2.91,100
2020-04-07,3.32,3.32,3.32,3.32,100
2020-04-08,3.8,3.8,3.8,3.8,100
2020-04-09,4.37,4.37,4.37,4.37,100
2020-04-10,4.37,4.37,4.37,4.37,0
2020-04-13,5.01,5.01,5.01,5.01,200
2020-04-14,4.37,4.37,4.37,4.37,100
2020-04-15,5.01,5.01,5.01,5.01,100
2020-04-16,5.66,5.66,5.66,5.66,100
2020-04-17,6.39,6.39,6.39,6.39,100
2020-04-20,7.12,7.12,7.12,7.12,100
2020-04-21,8.09,8.09,7.92,7.92,200
2020-04-22,8.0,8.0,8.0,7.92,0
2020-04-23,6.87,6.87,6.87,6.87,300
2020-04-24,7.6,7.6,7.6,7.6,200
2020-04-27,7.84,7.84,7.68,7.68,1100
2020-04-28,7.84,7.84,7.84,7.68,0
2020-04-29,6.71,6.71,6.71,6.71,100
2020-05-04,6.71,6.71,6.71,6.71,0
2020-05-05,6.71,6.71,6.71,6.71,0
2020-05-06,5.74,5.74,5.74,5.74,100
2020-05-07,5.74,5.74,5.74,5.74,0
2020-05-08,5.74,5.74,5.74,5.74,0
2020-05-11,4.93,6.55,4.93,6.55,400
2020-05-12,6.14,6.14,6.14,6.55,0
2020-05-13,6.14,6.14,6.14,6.55,0
2020-05-14,5.26,5.26,5.26,5.26,100
2020-05-15,5.26,5.26,5.26,5.26,0
2020-05-18,5.26,5.26,5.26,5.26,0
2020-05-19,4.61,4.61,4.61,4.61,100
2020-05-20,4.61,4.61,4.61,4.61,0
2020-05-21,4.61,4.61,4.61,4.61,20
2020-05-22,5.22,5.22,5.22,5.22,2000
2020-05-25,5.65,5.65,5.65,5.65,1300
2020-05-26,6.35,6.35,6.35,6.35,100
2020-05-27,7.22,7.22,5.48,5.48,400
2020-05-28,5.91,6.78,5.91,6.78,1100
2020-05-29,6.87,6.87,6.78,6.78,1900
2020-06-01,7.74,7.74,7.74,7.74,100
2020-06-02,8.87,8.87,6.61,6.61,1910
2020-06-03,6.7,6.7,6.7,6.61,0
2020-06-04,5.91,5.91,5.91,5.91,100
2020-06-05,5.91,5.91,5.91,5.91,0
2020-06-08,5.13,5.13,5.13,5.13,100
2020-06-09,5.22,5.22,5.22,5.22,310
2020-06-10,5.22,5.22,5.22,5.22,0
2020-06-11,5.22,5.22,5.22,5.22,0
2020-06-12,5.22,5.22,5.22,5.22,0
2020-06-15,5.22,5.22,5.22,5.22,0
2020-06-16,5.22,5.22,5.22,5.22,0
2020-06-17,5.04,5.22,5.04,5.22,1000
2020-06-18,5.22,5.22,5.22,5.22,1000
2020-06-19,5.22,5.22,5.22,5.22,0
2020-06-22,4.43,4.43,4.43,4.43,100
2020-06-23,3.91,3.91,3.91,3.91,100
2020-06-24,3.91,3.91,3.91,3.91,0
2020-06-25,3.91,3.91,3.91,3.91,0
2020-06-26,4.43,4.43,4.43,4.43,100
2020-06-29,5.04,5.04,5.04,5.04,100
2020-06-30,5.04,5.04,5.04,5.04,0
2020-07-01,5.74,5.74,5.74,5.74,100
2020-07-02,5.74,5.74,5.74,5.74,0
2020-07-03,5.74,5.74,5.74,5.74,0
2020-07-06,4.96,4.96,4.96,4.96,100
2020-07-07,4.96,4.96,4.96,4.96,0
2020-07-08,4.43,4.43,4.43,4.43,110
2020-07-09,4.43,4.43,4.43,4.43,0
2020-07-10,4.43,4.43,4.43,4.43,0
2020-07-13,4.43,4.43,4.43,4.43,0
2020-07-14,4.43,4.43,4.43,4.43,0
2020-07-15,5.04,5.04,5.04,5.04,1700
2020-07-16,5.74,5.74,5.74,5.74,1700
2020-07-17,4.96,5.13,4.96,4.96,2900
2020-07-20,5.04,5.04,5.04,4.96,0
2020-07-21,5.04,5.04,5.04,5.04,0
2020-07-22,5.74,5.74,5.74,5.74,1100
2020-07-23,5.74,5.74,5.74,5.74,0
2020-07-24,5.74,5.74,5.74,5.74,0
2020-07-27,5.74,5.74,5.74,5.74,0
2020-07-28,5.74,5.74,5.74,5.74,0
2020-07-29,5.74,5.74,5.74,5.74,200
2020-07-30,5.74,5.74,5.74,5.74,2000
2020-07-31,5.74,5.74,5.74,5.74,1010
2020-08-03,6.09,6.09,6.09,6.09,500
2020-08-04,6.09,6.09,6.09,6.09,0
2020-08-05,6.09,6.09,6.09,6.09,0
2020-08-06,6.09,6.09,6.09,6.09,0
2020-08-07,5.22,5.22,5.22,5.22,100
2020-08-10,5.22,5.22,5.22,5.22,2000
2020-08-11,4.52,4.52,4.52,4.52,100
2020-08-12,4.52,4.52,4.52,4.52,0
2020-08-13,4.52,4.52,4.52,4.52,0
2020-08-14,4.52,4.52,4.52,4.52,0
2020-08-17,4.52,4.52,4.52,4.52,0
2020-08-18,4.78,4.78,4.43,4.43,1100
2020-08-19,4.78,4.78,4.78,4.43,0
2020-08-20,4.78,4.78,4.78,4.43,0
2020-08-21,4.78,4.78,4.78,4.43,0
2020-08-24,5.48,5.48,5.48,5.48,100
2020-08-25,6.26,6.26,6.26,6.26,8701
2020-08-26,6.26,6.26,6.26,6.26,0
2020-08-27,5.39,5.39,5.39,5.39,100
2020-08-28,5.39,5.39,5.39,5.39,0
2020-08-31,4.61,4.61,4.61,4.61,100
2020-09-01,4.61,4.61,4.61,4.61,10
2020-09-03,4.61,4.61,4.61,4.61,0
2020-09-04,4.61,4.61,4.61,4.61,0
2020-09-07,4.43,4.43,4.43,4.43,1300
2020-09-08,4.43,4.43,4.43,4.43,0
2020-09-09,4.52,4.52,4.52,4.52,1000
2020-09-10,5.13,5.13,5.13,5.13,100
2020-09-11,5.83,5.83,5.83,5.83,400
2020-09-14,4.96,4.96,4.96,4.96,100
2020-09-15,4.96,4.96,4.96,4.96,0
2020-09-16,4.96,4.96,4.96,4.96,0
2020-09-17,5.65,5.65,5.65,5.65,400
2020-09-18,5.65,5.65,5.65,5.65,0
2020-09-21,5.65,5.65,5.65,5.65,0
2020-09-22,5.65,5.65,5.65,5.65,19
2020-09-23,5.65,5.65,5.65,5.65,0
2020-09-24,5.65,5.65,5.65,5.65,100
2020-09-25,5.65,5.65,5.65,5.65,0
2020-09-28,5.65,5.65,5.65,5.04,0
2020-09-29,5.65,5.65,5.65,5.04,0
2020-09-30,5.65,5.65,5.65,5.04,0
2020-10-01,5.65,5.65,5.65,5.04,0
2020-10-02,5.65,5.65,5.65,5.04,0
2020-10-05,5.74,5.74,5.74,5.74,200
2020-10-06,4.96,4.96,4.96,4.96,100
2020-10-07,4.96,4.96,4.96,4.96,0
2020-10-08,4.96,4.96,4.96,4.96,0
2020-10-09,4.96,4.96,4.96,4.96,0
2020-10-12,4.96,4.96,4.96,4.96,0
2020-10-13,4.96,4.96,4.96,4.96,0
2020-10-14,4.96,4.96,4.96,4.96,0
2020-10-15,4.96,4.96,4.96,4.96,0
2020-10-16,4.96,4.96,4.96,4.96,0
2020-10-19,4.96,4.96,4.96,4.96,0
2020-10-20,4.96,4.96,4.96,4.96,0
2020-10-21,4.96,4.96,4.96,4.96,0
2020-10-22,4.96,4.96,4.96,4.96,100
2020-10-23,4.96,4.96,4.96,4.96,0
2020-10-26,4.26,4.26,4.26,4.26,100
2020-10-27,4.87,4.87,4.26,4.26,2100
2020-10-28,4.43,4.43,4.43,4.26,0
2020-10-29,5.04,5.04,5.04,5.04,100
2020-10-30,5.74,5.74,5.74,5.74,1400
2020-11-02,4.96,4.96,4.96,4.96,100
2020-11-03,4.96,4.96,4.96,4.96,0
2020-11-04,4.52,4.52,4.52,4.52,100
2020-11-05,3.91,3.91,3.91,3.91,100
2020-11-06,3.91,3.91,3.91,3.91,0
2020-11-09,3.91,3.91,3.91,3.91,0
2020-11-10,4.43,4.43,4.43,4.43,500
2020-11-11,5.04,5.04,5.04,5.04,100
2020-11-12,5.04,5.04,5.04,5.04,0
2020-11-13,4.35,5.04,4.35,5.04,600
2020-11-16,4.26,4.26,4.26,4.26,100
2020-11-17,4.26,4.26,4.26,4.26,0
2020-11-18,3.91,3.91,3.91,3.91,100
2020-11-19,3.91,3.91,3.91,3.91,0
2020-11-20,3.91,3.91,3.91,3.91,0
2020-11-23,3.91,3.91,3.91,3.91,0
2020-11-24,3.91,3.91,3.91,3.91,0
2020-11-25,3.91,3.91,3.91,3.91,0
2020-11-26,3.74,4.43,3.74,4.43,1100
2020-11-27,4.96,4.96,4.96,4.96,100
2020-11-30,4.96,4.96,4.96,4.96,0
2020-12-01,5.65,5.65,5.65,5.65,1000
2020-12-02,6.44,6.44,6.44,6.44,5500
2020-12-03,5.48,5.56,5.48,5.48,1100
2020-12-04,5.48,5.48,5.48,5.48,0
2020-12-07,4.7,5.74,4.7,5.74,1500
2020-12-08,4.87,4.87,4.87,5.74,0
2020-12-09,4.87,4.87,4.87,5.74,0
2020-12-10,4.87,4.87,4.87,5.74,0
2020-12-11,4.43,5.22,4.43,5.22,800
2020-12-14,5.74,5.74,5.74,5.74,1200
2020-12-15,5.74,5.74,5.74,5.74,0
2020-12-16,6.09,6.09,6.09,6.09,900
2020-12-17,6.09,6.09,6.09,6.09,0
2020-12-18,5.83,5.83,5.83,5.83,300
2020-12-21,5.83,5.83,5.83,5.83,0
2020-12-22,5.83,5.83,5.83,5.83,0
2020-12-23,6.09,6.09,6.09,6.09,7100
2020-12-24,6.09,6.09,6.09,6.09,0
2020-12-25,6.09,6.09,6.09,6.09,0
2020-12-28,6.96,6.96,6.96,6.96,1000
2020-12-29,7.04,7.04,6.17,6.17,400
2020-12-30,6.61,6.61,6.61,6.17,10
2020-12-31,6.61,6.61,6.61,6.61,200
