time,open,high,low,close,volume
2020-01-06,26.25,26.36,25.85,25.85,794490
2020-01-07,25.85,26.36,25.51,26.36,526890
2020-01-08,25.96,27.04,25.85,26.59,1230830
2020-01-09,26.95,28.17,26.87,28.02,1573190
2020-01-10,28.02,29.35,28.0,28.96,1506410
2020-01-13,28.22,29.07,27.94,28.28,544740
2020-01-14,28.28,29.07,28.17,28.28,752200
2020-01-15,28.17,28.96,28.17,28.79,695290
2020-01-16,28.79,30.54,28.79,30.48,1004080
2020-01-17,30.54,30.82,29.97,30.2,643490
2020-01-20,30.2,30.59,30.03,30.09,761650
2020-01-21,30.09,30.76,30.09,30.48,609600
2020-01-22,30.48,31.5,30.37,31.33,781390
2020-01-30,30.76,30.99,29.35,29.75,1388710
2020-01-31,29.52,30.26,29.07,29.07,1154570
2020-02-03,28.11,31.04,27.04,30.2,1562560
2020-02-04,30.71,30.88,30.26,30.71,1406270
2020-02-05,30.99,31.16,30.2,30.2,718710
2020-02-06,30.42,30.54,29.92,30.03,1469930
2020-02-07,29.75,30.09,29.13,29.18,1501140
2020-02-10,28.73,28.9,27.72,27.72,1111680
2020-02-11,27.72,29.01,27.72,28.68,917080
2020-02-12,29.07,29.24,28.62,28.68,704550
2020-02-13,28.62,28.79,28.17,28.45,578820
2020-02-14,28.28,28.56,28.22,28.22,627040
2020-02-17,28.34,29.07,28.28,29.07,863730
2020-02-18,29.3,29.69,29.07,29.35,879430
2020-02-19,29.35,29.41,28.9,28.96,372250
2020-02-20,29.3,29.35,28.9,28.96,552810
2020-02-21,28.96,28.96,27.52,27.94,2619020
2020-02-24,27.21,27.55,26.13,26.13,1081210
2020-02-25,25.4,27.55,25.4,27.55,878610
2020-02-26,26.87,27.26,26.44,26.53,626350
2020-02-27,26.53,26.92,26.22,26.59,722680
2020-02-28,25.96,26.19,25.43,25.68,972320
2020-03-02,25.91,25.91,25.4,25.48,568290
2020-03-03,26.42,26.95,25.8,26.47,1016900
2020-03-04,26.53,26.53,25.91,26.05,658350
2020-03-05,26.28,26.67,26.25,26.33,872610
2020-03-06,25.96,26.61,25.68,26.44,555990
2020-03-09,24.67,25.23,24.61,24.61,944020
2020-03-10,23.99,24.84,23.31,23.93,1366220
2020-03-11,24.55,24.55,22.27,22.27,1522030
2020-03-12,20.74,21.28,20.72,20.72,1531140
2020-03-13,19.28,20.72,19.28,19.76,2330290
2020-03-16,19.76,20.29,18.37,18.51,2191590
2020-03-17,17.27,19.14,17.27,19.08,1774340
2020-03-18,19.19,20.04,19.16,19.5,1743970
2020-03-19,19.16,19.3,18.49,18.85,906470
2020-03-20,18.97,19.22,18.57,18.68,771320
2020-03-23,17.5,18.01,17.39,17.39,2728710
2020-03-24,17.5,18.03,17.33,17.84,1227020
2020-03-25,18.85,18.88,18.51,18.74,1611980
2020-03-26,18.63,19.3,18.15,18.8,1148580
2020-03-27,18.74,19.05,18.29,18.63,1128210
2020-03-30,17.5,18.01,17.33,17.44,1369430
2020-03-31,18.06,18.15,16.65,17.41,1018770
2020-04-01,17.44,18.63,17.39,18.12,1190960
2020-04-03,18.4,19.36,18.4,19.36,1547020
2020-04-06,20.15,20.72,19.81,20.72,1881640
2020-04-07,21.17,21.28,20.32,20.88,1793050
2020-04-08,20.21,21.45,19.81,21.42,1456160
2020-04-09,21.42,21.79,21.25,21.28,1349000
2020-04-10,21.05,21.34,20.72,20.83,1198580
2020-04-13,20.72,21.28,20.66,20.97,1056950
2020-04-14,20.91,21.2,20.21,20.6,1220360
2020-04-15,20.72,21.28,20.72,21.05,1107070
2020-04-16,21.0,21.05,20.74,21.05,1210270
2020-04-17,21.36,21.56,21.0,21.11,1151710
2020-04-20,21.39,21.45,20.86,20.94,1371830
2020-04-21,20.32,20.77,19.59,19.59,2238980
2020-04-22,18.68,20.91,18.68,20.43,1413800
2020-04-23,20.88,21.0,20.38,20.43,789930
2020-04-24,20.58,20.58,19.92,20.32,592910
2020-04-27,20.43,20.55,19.81,19.81,1205680
2020-04-28,19.81,20.21,19.47,19.84,589490
2020-04-29,19.76,20.26,19.76,20.1,595490
2020-05-04,20.1,20.55,19.81,19.92,655630
2020-05-05,19.92,20.21,19.87,19.92,427650
2020-05-06,20.01,20.32,19.92,20.32,739320
2020-05-07,20.49,21.22,20.49,21.2,2524450
2020-05-08,21.42,22.18,21.2,21.45,2563570
2020-05-11,21.73,22.01,21.42,21.73,1209730
2020-05-12,21.62,21.82,21.42,21.76,1645960
2020-05-13,21.62,22.46,21.34,22.35,2725900
2020-05-14,22.01,22.86,22.01,22.41,1994890
2020-05-15,22.46,22.64,21.68,21.79,1909780
2020-05-18,21.7,21.96,21.45,21.96,1864370
2020-05-19,22.52,22.52,21.96,22.07,1686240
2020-05-20,22.01,22.18,21.73,22.1,900670
2020-05-21,22.3,22.66,22.27,22.41,2474770
2020-05-22,22.41,22.58,22.18,22.18,1140830
2020-05-25,22.18,22.46,22.01,22.38,888300
2020-05-26,22.44,23.71,22.44,23.71,2954120
2020-05-27,24.13,24.13,22.46,22.46,2293240
2020-05-28,22.58,23.12,22.46,22.97,1913890
2020-05-29,22.8,22.86,22.46,22.64,1669730
2020-06-01,22.75,23.45,22.72,23.4,1104330
2020-06-02,23.42,23.65,22.86,22.89,1496600
2020-06-03,23.09,23.26,22.86,23.14,896130
2020-06-04,23.26,23.88,23.2,23.59,2013380
2020-06-05,23.59,23.82,23.28,23.76,1216160
2020-06-08,24.1,24.84,23.99,24.84,2487930
2020-06-09,24.89,24.89,24.44,24.47,1119590
2020-06-10,24.33,24.89,23.99,24.55,1297400
2020-06-11,24.55,24.67,22.86,22.86,2386670
2020-06-12,22.3,23.99,22.3,23.99,1913590
2020-06-15,23.88,23.88,22.52,22.52,1503480
2020-06-16,23.42,23.48,22.86,22.97,958780
2020-06-17,22.97,23.2,22.49,22.75,817560
2020-06-18,22.75,22.92,22.58,22.86,629450
2020-06-19,23.26,23.4,22.97,23.4,720420
2020-06-22,23.31,23.62,23.03,23.31,622920
2020-06-23,23.17,23.34,22.86,22.97,1110100
2020-06-24,22.97,23.26,22.69,22.75,692090
2020-06-25,22.58,22.72,22.46,22.58,791820
2020-06-26,23.09,23.09,22.41,22.52,717380
2020-06-29,22.18,22.3,21.68,21.73,1334210
2020-06-30,22.01,22.04,21.34,21.39,862060
2020-07-01,21.56,22.24,21.39,22.13,769310
2020-07-02,22.27,22.27,21.84,22.01,501500
2020-07-03,22.16,22.18,21.9,22.07,547350
2020-07-06,22.24,22.69,22.07,22.64,757690
2020-07-07,22.8,23.06,22.72,22.92,1097570
2020-07-08,22.86,22.97,22.58,22.89,768660
2020-07-09,22.89,23.65,22.89,23.48,1531780
2020-07-10,23.26,23.51,23.0,23.42,1030790
2020-07-13,23.51,23.62,23.14,23.31,1039520
2020-07-14,23.06,23.31,22.97,23.28,990800
2020-07-15,23.54,23.54,23.31,23.34,690440
2020-07-16,23.34,23.37,23.14,23.34,473290
2020-07-17,23.37,23.62,23.37,23.48,1343600
2020-07-20,23.54,23.57,23.03,23.03,832370
2020-07-21,23.14,23.14,22.78,23.03,374580
2020-07-22,23.14,23.14,22.3,22.58,750600
2020-07-23,22.58,22.83,22.38,22.49,764300
2020-07-24,22.49,22.49,21.31,21.56,1807770
2020-07-27,20.32,21.34,20.07,20.07,1545430
2020-07-28,20.32,21.36,20.32,21.36,1193550
2020-07-29,20.77,21.0,20.21,20.86,725660
2020-07-30,21.17,21.17,20.32,21.0,419920
2020-07-31,20.32,21.03,20.32,20.69,479890
2020-08-03,20.49,21.08,20.49,21.0,646640
2020-08-04,21.45,21.45,21.17,21.39,494030
2020-08-05,21.34,22.01,21.22,21.87,911970
2020-08-06,21.82,21.96,21.56,21.59,597260
2020-08-07,21.59,21.79,21.42,21.51,532060
2020-08-10,21.7,21.84,21.51,21.51,534820
2020-08-11,21.68,21.79,21.51,21.73,780760
2020-08-12,21.79,22.21,21.79,22.13,963310
2020-08-13,22.38,22.41,22.18,22.38,673490
2020-08-14,22.21,22.35,21.9,22.01,985710
2020-08-17,21.96,22.01,21.7,21.84,631010
