time,open,high,low,close,volume
2020-01-06,3.25,3.25,3.25,3.25,200
2020-01-07,3.25,3.25,3.25,3.25,0
2020-01-08,3.45,3.45,3.45,3.45,100
2020-01-09,3.45,3.45,3.45,3.45,0
2020-01-10,3.45,3.45,3.45,3.45,0
2020-01-13,3.15,3.15,3.15,3.15,500
2020-01-14,3.15,3.15,3.15,3.15,0
2020-01-15,3.15,3.15,3.15,3.15,500
2020-01-16,2.9,2.9,2.9,2.9,1900
2020-01-17,2.9,2.9,2.9,2.9,0
2020-01-20,2.9,2.9,2.9,2.9,100
2020-01-21,2.9,2.9,2.9,2.9,0
2020-01-22,2.9,2.9,2.9,2.9,0
2020-01-30,2.9,2.9,2.9,2.9,0
2020-01-31,2.9,2.9,2.9,2.9,0
2020-02-03,2.9,2.9,2.9,2.9,0
2020-02-04,2.9,2.9,2.9,2.9,0
2020-02-05,2.9,2.9,2.9,2.9,0
2020-02-06,3.15,3.15,2.7,2.7,500
2020-02-07,2.7,2.7,2.7,2.7,0
2020-02-10,2.7,2.7,2.7,2.7,0
2020-02-11,2.5,2.5,2.45,2.45,2000
2020-02-12,2.45,2.45,2.45,2.45,0
2020-02-13,2.45,2.45,2.45,2.45,0
2020-02-14,2.45,2.45,2.45,2.45,0
2020-02-17,2.5,2.65,2.5,2.65,400
2020-02-18,2.9,2.9,2.9,2.9,700
2020-02-19,2.9,2.9,2.9,2.9,200
2020-02-20,2.9,2.9,2.9,2.9,100
2020-02-21,2.9,2.9,2.9,2.9,0
2020-02-24,2.9,2.9,2.9,2.9,0
2020-02-25,2.9,2.9,2.9,2.9,0
2020-02-26,2.9,2.9,2.9,2.9,0
2020-02-27,2.9,2.9,2.9,2.9,0
2020-02-28,2.9,2.9,2.9,2.9,0
2020-03-02,2.9,2.9,2.9,2.9,0
2020-03-03,3.0,3.0,3.0,3.0,400
2020-03-04,2.75,2.75,2.75,2.75,1600
2020-03-05,2.9,2.9,2.9,2.9,400
2020-03-06,2.9,2.9,2.9,2.9,0
2020-03-09,2.9,2.9,2.9,2.9,0
2020-03-10,2.9,2.9,2.9,2.9,0
2020-03-11,2.9,2.9,2.9,2.9,0
2020-03-12,2.9,2.9,2.9,2.9,0
2020-03-13,3.0,3.0,3.0,3.0,2000
2020-03-16,3.0,3.0,3.0,3.0,0
2020-03-17,3.0,3.0,3.0,3.0,0
2020-03-18,3.0,3.0,3.0,3.0,0
2020-03-19,3.0,3.0,3.0,3.0,0
2020-03-20,3.0,3.0,3.0,3.0,0
