time,open,high,low,close,volume
2020-01-06,4.45,4.45,4.45,6.23,0
2020-01-07,4.45,4.45,4.45,6.23,0
2020-01-08,4.45,4.45,4.45,6.23,0
2020-01-09,4.45,4.45,4.45,6.23,0
2020-01-10,4.45,4.45,4.45,6.23,0
2020-01-13,4.45,4.45,4.45,6.23,0
2020-01-14,4.45,4.45,4.45,6.23,0
2020-01-15,4.45,4.45,4.45,6.23,0
2020-01-16,4.45,4.45,4.45,6.23,0
2020-01-17,4.45,4.45,4.45,6.23,0
2020-01-20,4.45,4.45,4.45,6.23,0
2020-01-21,4.45,4.45,4.45,6.23,0
2020-01-22,4.45,4.45,4.45,6.23,0
2020-01-30,4.45,4.45,4.45,6.23,0
2020-01-31,6.23,6.23,6.23,6.23,100
2020-02-03,6.56,6.56,6.56,6.56,100
2020-02-04,6.56,6.56,6.56,6.56,0
2020-02-05,5.57,5.57,5.57,5.57,100
2020-02-06,5.57,5.57,5.57,5.57,0
2020-02-07,5.57,5.57,5.57,5.57,0
2020-02-10,5.57,5.57,5.57,5.57,0
2020-02-11,5.57,5.57,5.57,5.57,0
2020-02-12,5.57,5.57,5.57,5.57,0
2020-02-13,5.57,5.57,5.57,5.57,0
2020-02-14,5.57,5.57,5.57,5.57,0
2020-02-17,5.57,5.57,5.57,5.57,0
2020-02-18,5.57,5.57,5.57,5.57,0
2020-02-19,5.57,5.57,5.57,5.57,0
2020-02-20,5.57,5.57,5.57,5.57,0
2020-02-21,5.57,5.57,5.57,5.57,0
2020-02-24,5.57,5.57,5.57,5.57,0
2020-02-25,5.57,5.57,5.57,5.57,0
2020-02-26,5.57,5.57,5.57,5.57,0
2020-02-27,5.57,5.57,5.57,5.57,0
2020-02-28,5.57,5.57,5.57,5.57,0
2020-03-02,5.57,5.57,5.57,5.57,0
2020-03-03,6.37,6.37,6.37,6.37,1000
2020-03-04,6.37,6.37,6.37,6.37,0
2020-03-05,6.37,6.37,6.37,6.37,0
2020-03-06,6.56,7.31,6.56,7.31,400
2020-03-09,7.03,7.03,7.03,7.03,1000
2020-03-10,7.03,7.03,7.03,7.03,0
2020-03-11,7.03,7.03,7.03,7.03,200
2020-03-12,7.03,7.03,7.03,7.03,2500
2020-03-13,7.03,7.03,7.03,7.03,0
2020-03-16,7.03,7.03,7.03,7.03,100
