time,open,high,low,close,volume
2020-01-06,5.51,5.51,5.51,5.51,0
2020-01-07,5.51,5.51,5.51,5.51,0
2020-01-08,5.51,5.51,5.51,5.51,0
2020-01-09,5.25,5.25,5.25,5.25,178
2020-01-10,5.25,5.25,5.25,5.25,0
2020-01-13,5.25,5.25,5.25,5.25,0
2020-01-14,5.25,5.25,5.25,5.25,0
2020-01-15,5.25,5.25,5.25,5.25,0
2020-01-16,5.25,5.25,5.25,5.25,600
2020-01-17,5.51,5.51,5.51,5.51,700
2020-01-20,5.51,5.51,5.51,5.51,700
2020-01-21,5.25,5.25,5.25,5.25,100
2020-01-22,5.01,5.01,5.01,5.01,100
2020-01-30,5.01,5.01,5.01,5.01,0
2020-01-31,5.01,5.01,5.01,5.01,78
2020-02-03,5.01,5.01,5.01,5.01,0
2020-02-04,5.01,5.01,5.01,5.01,0
2020-02-05,5.01,5.01,5.01,5.01,0
2020-02-06,4.62,4.62,4.62,4.62,100
2020-02-07,5.25,5.25,5.25,5.25,600
2020-02-10,5.25,5.25,5.25,5.25,810
2020-02-11,5.46,5.46,5.46,5.46,100
2020-02-12,5.01,5.01,5.01,5.01,100
2020-02-13,5.01,5.01,5.01,5.01,0
2020-02-14,5.01,5.01,5.01,5.01,0
2020-02-17,5.01,5.01,5.01,5.01,0
2020-02-18,5.01,5.01,5.01,5.01,0
2020-02-19,5.49,5.49,5.49,5.49,100
2020-02-20,5.12,5.51,5.12,5.51,1100
2020-02-21,5.51,5.51,5.28,5.3,2136
2020-02-24,5.41,5.41,5.41,5.41,200
2020-02-25,5.41,5.41,5.41,5.41,100
2020-02-26,5.38,5.38,5.38,5.38,700
2020-02-27,5.38,5.38,5.33,5.33,800
2020-02-28,5.36,5.36,5.25,5.25,900
2020-03-02,5.51,5.51,5.28,5.28,909
2020-03-03,5.28,5.28,5.28,5.28,900
2020-03-04,5.28,5.28,5.28,5.28,0
2020-03-05,5.25,5.25,5.25,5.25,500
2020-03-06,5.25,5.25,5.25,5.25,0
2020-03-09,5.25,5.25,5.25,5.25,0
