time,open,high,low,close,volume
2020-01-06,19.58,19.58,19.58,19.58,0
2020-01-07,16.64,16.64,16.64,16.64,1000
2020-01-08,16.64,16.64,16.64,16.64,0
2020-01-09,16.64,16.64,16.64,16.64,0
2020-01-10,16.64,16.64,16.64,16.64,0
2020-01-13,16.64,16.64,16.64,16.64,0
2020-01-14,16.64,16.64,16.64,16.64,0
2020-01-15,16.64,16.64,16.64,16.64,0
2020-01-16,16.64,16.64,16.64,16.64,0
2020-01-17,16.64,16.64,16.64,16.64,0
2020-01-20,16.64,16.64,16.64,16.64,0
2020-01-21,16.64,16.64,16.64,16.64,0
2020-01-22,18.27,18.27,18.27,18.27,3000
2020-01-30,18.27,18.27,18.27,18.27,0
2020-01-31,18.27,18.27,18.27,18.27,0
2020-02-03,18.27,18.27,18.27,18.27,0
2020-02-04,18.27,18.27,18.27,18.27,0
2020-02-05,18.27,18.27,18.27,18.27,0
2020-02-06,18.27,18.27,18.27,18.27,0
2020-02-07,18.27,18.27,18.27,18.27,0
2020-02-10,18.27,18.27,18.27,18.27,0
2020-02-11,18.27,18.27,18.27,18.27,0
2020-02-12,18.27,18.27,18.27,18.27,0
2020-02-13,18.27,18.27,18.27,18.27,0
2020-02-14,18.27,18.27,18.27,18.27,0
2020-02-17,18.27,18.27,18.27,18.27,0
2020-02-18,18.27,18.27,18.27,18.27,0
2020-02-19,18.27,18.27,18.27,18.27,0
2020-02-20,18.27,18.27,18.27,18.27,0
2020-02-21,18.27,18.27,18.27,18.27,0
2020-02-24,18.27,18.27,18.27,18.27,0
2020-02-25,18.27,18.27,18.27,18.27,0
2020-02-26,18.27,18.27,18.27,18.27,0
2020-02-27,18.27,18.27,18.27,18.27,0
2020-02-28,18.27,18.27,18.27,18.27,0
2020-03-02,18.27,18.27,18.27,18.27,0
2020-03-03,18.27,18.27,18.27,18.27,0
2020-03-04,18.27,18.27,18.27,18.27,0
2020-03-05,18.27,18.27,18.27,18.27,0
2020-03-06,18.27,18.27,18.27,18.27,0
2020-03-09,18.27,18.27,18.27,18.27,200
2020-03-10,18.27,18.27,18.27,18.27,0
2020-03-11,18.27,18.27,18.27,18.27,0
2020-03-12,18.27,18.27,18.27,18.27,0
2020-03-13,18.27,18.27,18.27,18.27,0
2020-03-16,18.27,18.27,18.27,18.27,0
2020-03-17,18.27,18.27,18.27,18.27,0
2020-03-18,18.27,18.27,18.27,18.27,0
2020-03-19,18.27,18.27,18.27,18.27,0
2020-03-20,18.27,18.27,18.27,18.27,0
2020-03-23,18.27,18.27,18.27,18.27,0
2020-03-24,18.27,18.27,18.27,18.27,0
2020-03-25,18.27,18.27,18.27,18.27,0
2020-03-26,18.27,18.27,18.27,18.27,0
2020-03-27,18.27,18.27,18.27,18.27,0
2020-03-30,18.27,18.27,18.27,18.27,0
2020-03-31,18.27,18.27,18.27,18.27,0
2020-04-01,18.27,18.27,18.27,18.27,0
2020-04-03,18.27,18.27,18.27,18.27,0
2020-04-06,18.27,18.27,18.27,18.27,0
2020-04-07,18.27,18.27,18.27,18.27,0
2020-04-08,18.27,18.27,18.27,18.27,0
2020-04-09,18.27,18.27,18.27,18.27,0
2020-04-10,18.27,18.27,18.27,18.27,0
2020-04-13,18.27,18.27,18.27,18.27,0
2020-04-14,18.27,18.27,18.27,18.27,0
2020-04-15,18.27,18.27,18.27,18.27,0
2020-04-16,18.27,18.27,18.27,18.27,0
2020-04-17,18.27,18.27,18.27,18.27,0
2020-04-20,18.27,18.27,18.27,18.27,0
2020-04-21,18.27,18.27,18.27,18.27,0
2020-04-22,18.27,18.27,18.27,18.27,0
2020-04-23,18.27,18.27,18.27,18.27,0
2020-04-24,18.27,18.27,18.27,18.27,0
2020-04-27,18.27,18.27,18.27,18.27,0
2020-04-28,18.27,18.27,18.27,18.27,0
2020-04-29,18.27,18.27,18.27,18.27,0
2020-05-04,18.27,18.27,18.27,18.27,0
2020-05-05,18.27,18.27,18.27,18.27,0
2020-05-06,18.27,18.27,18.27,18.27,0
2020-05-07,18.27,18.27,18.27,18.27,0
2020-05-08,18.6,18.6,18.6,18.6,100
2020-05-11,18.6,18.6,18.6,18.6,0
2020-05-12,18.6,18.6,18.6,18.6,0
2020-05-13,18.6,18.6,18.6,18.6,8
2020-05-14,18.6,18.6,18.6,18.6,0
2020-05-15,18.6,18.6,18.6,18.6,0
2020-05-18,18.6,18.6,18.6,18.6,0
2020-05-19,18.6,18.6,18.6,18.6,0
2020-05-20,18.6,18.6,18.6,18.6,0
2020-05-21,18.6,18.6,18.6,18.6,0
2020-05-22,18.6,18.6,18.6,18.6,0
2020-05-25,18.6,18.6,18.6,18.6,0
2020-05-26,18.6,18.6,18.6,18.6,0
2020-05-27,18.6,18.6,18.6,18.6,0
2020-05-28,18.6,18.6,18.6,18.6,0
2020-05-29,18.6,18.6,18.6,18.6,0
2020-06-01,18.6,18.6,18.6,18.6,0
2020-06-02,18.6,18.6,18.6,18.6,0
2020-06-03,18.6,18.6,18.6,18.6,0
2020-06-04,18.6,18.6,18.6,18.6,0
2020-06-05,18.6,18.6,18.6,18.6,0
2020-06-08,18.6,18.6,18.6,18.6,0
2020-06-09,18.6,18.6,18.6,18.6,0
2020-06-10,18.6,18.6,18.6,18.6,0
2020-06-11,18.6,18.6,18.6,18.6,0
2020-06-12,18.6,18.6,18.6,18.6,0
2020-06-15,18.6,18.6,18.6,18.6,0
2020-06-16,18.6,18.6,18.6,18.6,0
2020-06-17,18.6,18.6,18.6,18.6,0
2020-06-18,18.6,18.6,18.6,18.6,0
2020-06-19,18.6,18.6,18.6,18.6,0
2020-06-22,18.6,18.6,18.6,18.6,0
2020-06-23,18.6,18.6,18.6,19.63,0
2020-06-24,18.6,18.6,18.6,19.63,0
2020-06-25,18.6,18.6,18.6,19.63,0
2020-06-26,18.6,18.6,18.6,19.63,0
2020-06-29,18.6,18.6,18.6,19.63,0
2020-06-30,18.6,18.6,18.6,19.63,0
2020-07-01,18.6,18.6,18.6,19.63,0
2020-07-02,18.6,18.6,18.6,19.63,0
2020-07-03,18.6,18.6,18.6,19.63,0
2020-07-06,18.6,18.6,18.6,19.63,0
2020-07-07,18.6,18.6,18.6,19.63,0
2020-07-08,18.6,18.6,18.6,19.63,0
2020-07-09,18.6,18.6,18.6,19.63,0
2020-07-10,18.6,18.6,18.6,19.63,0
2020-07-13,18.6,18.6,18.6,19.63,0
2020-07-14,19.29,19.29,19.29,19.29,800
2020-07-15,19.29,19.29,19.29,19.29,0
2020-07-16,19.29,19.29,19.29,19.29,0
2020-07-17,19.29,19.29,19.29,19.29,0
2020-07-20,19.29,19.29,19.29,19.29,0
2020-07-21,19.29,19.29,19.29,19.29,0
2020-07-22,19.29,19.29,19.29,19.29,0
2020-07-23,19.29,19.29,19.29,19.29,0
2020-07-24,19.29,19.29,19.29,19.29,1000
2020-07-27,19.29,19.29,19.29,19.29,0
2020-07-28,19.29,19.29,19.29,19.29,1000
2020-07-29,19.29,19.29,19.29,19.29,0
