time,open,high,low,close,volume
2020-01-06,2.6,2.6,2.6,2.6,0
2020-01-07,2.6,2.6,2.6,2.6,0
2020-01-08,2.28,2.28,2.28,2.28,100
2020-01-09,2.28,2.28,2.28,2.28,20
2020-01-10,2.53,2.53,2.53,2.53,100
2020-01-13,2.15,2.15,2.15,2.15,100
2020-01-14,2.15,2.15,2.15,2.15,0
2020-01-15,2.15,2.15,2.15,2.15,0
2020-01-16,2.15,2.15,2.15,2.15,0
2020-01-17,2.15,2.15,2.15,2.15,0
2020-01-20,2.15,2.15,2.15,2.15,0
2020-01-21,2.47,2.47,2.47,2.47,100
2020-01-22,2.47,2.47,2.47,2.47,0
2020-01-30,2.22,2.22,2.22,2.22,2200
2020-01-31,2.09,2.09,2.09,2.09,100
2020-02-03,2.09,2.09,2.03,2.03,900
2020-02-04,2.09,2.09,2.09,2.03,0
2020-02-05,2.03,2.03,2.03,2.03,400
2020-02-06,2.03,2.03,2.03,2.03,0
2020-02-07,2.28,2.28,2.28,2.28,200
2020-02-10,2.53,2.53,2.53,2.53,800
2020-02-11,2.53,2.53,2.53,2.53,20
2020-02-12,2.22,2.53,2.22,2.53,2900
2020-02-13,2.09,2.09,2.09,2.09,200
2020-02-14,2.22,2.28,2.22,2.28,900
2020-02-17,2.15,2.15,2.15,2.15,300
2020-02-18,2.15,2.15,2.15,2.15,100
2020-02-19,2.15,2.15,2.15,2.15,400
2020-02-20,2.15,2.15,2.15,2.15,0
2020-02-21,2.09,2.47,1.96,2.47,800
2020-02-24,2.03,2.03,2.03,2.03,9400
2020-02-25,1.9,1.9,1.9,1.9,5200
2020-02-26,2.03,2.03,2.03,2.03,3000
2020-02-27,2.03,2.03,2.03,2.03,0
2020-02-28,2.03,2.03,2.03,2.03,0
2020-03-02,2.03,2.03,2.03,2.03,0
2020-03-03,2.03,2.03,2.03,2.03,0
2020-03-04,2.03,2.03,2.03,2.03,0
2020-03-05,2.03,2.03,2.03,2.03,0
2020-03-06,2.28,2.28,2.28,2.28,100
2020-03-09,1.96,1.96,1.96,1.96,1500
2020-03-10,2.22,2.22,2.22,2.22,100
2020-03-11,2.22,2.22,2.22,2.22,0
2020-03-12,1.96,1.96,1.9,1.9,200
2020-03-13,1.77,1.96,1.77,1.96,300
2020-03-16,1.84,1.84,1.84,1.84,100
2020-03-17,1.65,1.65,1.65,1.65,100
2020-03-18,1.77,1.84,1.77,1.84,1500
2020-03-19,1.77,1.77,1.77,1.84,0
2020-03-20,1.77,1.77,1.77,1.84,0
2020-03-23,1.77,1.77,1.77,1.84,0
2020-03-24,1.71,1.9,1.52,1.9,500
2020-03-25,1.71,1.71,1.71,1.9,0
2020-03-26,1.71,1.71,1.71,1.9,0
2020-03-27,1.71,1.71,1.71,1.9,0
2020-03-30,1.71,1.71,1.71,1.9,0
2020-03-31,1.71,1.71,1.71,1.9,0
2020-04-01,1.71,1.71,1.71,1.9,0
2020-04-03,1.96,1.96,1.96,1.96,400
2020-04-06,2.15,2.15,2.15,2.15,100
2020-04-07,2.41,2.41,2.15,2.15,300
2020-04-08,2.41,2.41,2.41,2.41,100
2020-04-09,2.53,2.53,2.53,2.53,200
2020-04-10,2.85,2.85,2.85,2.85,100
2020-04-13,2.47,2.47,2.47,2.47,100
2020-04-14,2.15,2.15,2.15,2.15,2100
2020-04-15,2.41,2.41,2.34,2.34,600
2020-04-16,2.6,2.6,2.6,2.6,200
2020-04-17,2.6,2.6,2.6,2.6,0
2020-04-20,2.22,2.22,2.22,2.22,100
2020-04-21,2.22,2.22,2.22,2.22,0
2020-04-22,1.9,2.03,1.9,2.03,3700
2020-04-23,1.77,1.77,1.77,1.77,500
2020-04-24,1.96,1.96,1.96,1.96,100
2020-04-27,1.96,1.96,1.96,1.96,0
2020-04-28,1.96,1.96,1.96,1.96,0
2020-04-29,1.96,1.96,1.96,1.96,0
2020-05-04,1.77,1.77,1.71,1.71,2000
2020-05-05,1.96,1.96,1.96,1.96,3000
2020-05-06,1.96,1.96,1.96,1.96,0
2020-05-07,2.15,2.15,2.15,2.15,100
2020-05-08,2.47,2.47,2.47,2.47,100
2020-05-11,2.15,2.15,2.15,2.15,4900
2020-05-12,2.34,2.34,2.34,2.34,100
2020-05-13,2.03,2.41,2.03,2.41,800
2020-05-14,2.53,2.53,2.53,2.53,4100
2020-05-15,2.85,2.85,2.85,2.85,100
2020-05-18,3.17,3.17,2.47,3.04,300
2020-05-19,2.91,2.91,2.91,3.04,0
2020-05-20,2.91,2.91,2.91,3.04,0
2020-05-21,2.91,2.91,2.91,3.04,0
2020-05-22,2.53,3.17,2.53,3.17,400
2020-05-25,2.85,2.85,2.85,3.17,0
2020-05-26,2.6,2.6,2.6,2.6,300
2020-05-27,2.6,2.6,2.6,2.6,20
2020-05-28,2.6,2.6,2.6,2.6,0
2020-05-29,2.6,2.6,2.6,2.6,0
2020-06-01,2.6,2.6,2.6,2.6,10
2020-06-02,2.6,2.6,2.6,2.6,0
2020-06-03,2.6,2.6,2.6,2.6,0
2020-06-04,2.22,2.22,2.22,2.22,110
2020-06-05,2.22,2.22,2.22,2.22,0
2020-06-08,1.96,2.53,1.96,2.53,200
2020-06-09,2.28,2.28,2.28,2.53,0
2020-06-10,2.53,2.53,2.53,2.53,100
2020-06-11,2.34,2.34,2.34,2.34,500
2020-06-12,2.15,2.47,2.15,2.47,200
2020-06-15,2.34,2.34,2.34,2.47,0
2020-06-16,2.41,2.41,2.41,2.41,7800
2020-06-17,2.41,2.41,2.41,2.41,0
2020-06-18,2.41,2.41,2.41,2.41,0
2020-06-19,2.41,2.41,2.41,2.41,0
2020-06-22,2.41,2.41,2.41,2.41,0
2020-06-23,2.41,2.41,2.41,2.41,0
2020-06-24,2.72,2.72,2.72,2.72,210
2020-06-25,2.53,2.53,2.53,2.53,100
2020-06-26,2.15,2.47,2.15,2.47,200
2020-06-29,2.28,2.28,2.28,2.28,100
2020-06-30,2.09,2.09,2.09,2.09,100
2020-07-01,2.09,2.09,2.09,2.09,0
2020-07-02,2.09,2.09,2.09,2.09,0
2020-07-03,2.09,2.09,2.09,2.09,0
2020-07-06,2.09,2.09,2.09,2.09,0
2020-07-07,2.09,2.09,2.09,2.09,0
2020-07-08,2.09,2.09,2.09,2.09,0
2020-07-09,2.09,2.09,2.09,2.09,0
2020-07-10,2.09,2.09,2.09,2.09,0
2020-07-13,2.09,2.09,2.09,2.09,0
2020-07-14,2.09,2.09,2.09,2.09,0
2020-07-15,2.09,2.09,2.09,2.09,0
2020-07-16,2.09,2.09,2.09,2.09,0
2020-07-17,2.09,2.09,2.09,2.09,0
2020-07-20,2.09,2.09,2.09,2.09,0
2020-07-21,2.34,2.34,2.34,2.09,100
2020-07-22,2.34,2.34,2.34,2.34,200
2020-07-23,2.34,2.34,2.34,2.34,0
2020-07-24,2.34,2.34,2.34,2.34,0
2020-07-27,2.34,2.34,2.34,2.34,0
2020-07-28,2.22,2.22,2.22,2.22,200
2020-07-29,2.22,2.22,2.22,2.22,0
2020-07-30,2.22,2.22,2.22,2.22,0
2020-07-31,2.22,2.22,2.22,2.22,0
2020-08-03,2.22,2.22,2.22,2.22,0
2020-08-04,1.9,2.47,1.9,2.47,400
2020-08-05,2.47,2.47,2.47,2.47,100
2020-08-06,2.47,2.47,2.47,2.47,0
2020-08-07,2.47,2.47,2.47,2.47,0
2020-08-10,2.47,2.47,2.47,2.47,0
2020-08-11,2.47,2.47,2.47,2.47,0
2020-08-12,2.47,2.47,2.47,2.47,0
2020-08-13,2.47,2.47,2.47,2.47,0
2020-08-14,2.47,2.79,2.47,2.79,2510
2020-08-17,3.04,3.1,3.04,3.1,5300
2020-08-18,3.55,3.55,3.55,3.55,19000
2020-08-19,4.05,4.05,4.05,4.05,17800
2020-08-20,4.62,4.62,4.43,4.43,57000
2020-08-21,4.24,4.24,3.99,3.99,30500
2020-08-24,3.86,3.86,3.55,3.55,10600
2020-08-25,3.23,3.29,3.23,3.23,45251
