time,open,high,low,close,volume
2020-10-12,8.21,8.21,8.21,8.21,168800
2020-10-13,9.03,9.03,9.03,9.03,128000
2020-10-14,9.92,9.4,8.38,8.84,202600
2020-10-15,8.37,8.41,8.1,8.21,130700
2020-10-16,8.18,8.19,7.66,7.83,99900
2020-10-19,7.83,7.71,7.37,7.52,90800
2020-10-20,7.52,7.56,7.34,7.45,145900
2020-10-21,7.45,7.61,7.42,7.55,132800
2020-10-22,7.55,7.64,7.48,7.55,97500
2020-10-23,7.55,7.73,7.57,7.64,129900
2020-10-26,7.64,7.77,7.68,7.74,99900
2020-10-27,7.74,7.86,7.67,7.8,123600
2020-10-28,7.74,7.64,7.45,7.58,119900
2020-10-29,7.58,7.55,7.36,7.45,99900
2020-10-30,7.42,7.52,7.4,7.45,89900
2020-11-02,7.48,7.53,7.37,7.42,98800
2020-11-03,7.42,7.57,7.31,7.48,145100
2020-11-04,7.45,8.29,7.66,7.9,204800
2020-11-05,7.96,8.51,8.03,8.31,249900
2020-11-06,8.34,9.02,8.53,8.75,270600
2020-11-09,8.84,8.83,8.61,8.72,210100
2020-11-10,8.84,9.37,8.92,9.16,190100
2020-11-11,9.25,9.19,8.97,9.06,161100
2020-11-12,9.13,9.17,8.98,9.06,204600
2020-11-13,9.13,9.45,9.1,9.35,228800
2020-11-16,9.38,9.77,9.42,9.6,252400
2020-11-17,9.73,10.02,9.71,9.88,199900
2020-11-18,9.95,10.07,9.85,9.98,207700
2020-11-19,9.98,9.92,9.8,9.88,168800
2020-11-20,9.92,9.95,9.83,9.92,235000
2020-11-23,9.95,9.94,9.75,9.82,222300
2020-11-24,9.79,9.81,9.62,9.73,166600
2020-11-25,9.66,9.82,9.69,9.76,143800
2020-11-26,9.66,9.69,9.48,9.6,119900
2020-11-27,9.6,10.1,9.68,9.88,266300
2020-11-30,9.92,10.07,9.91,10.01,240900
2020-12-01,10.01,10.28,10.02,10.17,211200
2020-12-02,10.17,10.25,10.19,10.23,184700
2020-12-03,10.23,10.65,10.17,10.42,228500
2020-12-04,10.42,10.43,10.3,10.36,231700
2020-12-07,10.36,10.73,10.44,10.55,258900
2020-12-08,10.55,10.53,10.4,10.45,90300
2020-12-09,10.45,10.6,10.45,10.52,100800
2020-12-10,10.52,10.55,10.45,10.52,107700
2020-12-11,10.52,11.41,10.52,10.74,333315
2020-12-14,10.74,10.77,10.71,10.74,66634
2020-12-15,10.74,10.8,10.71,10.71,69900
2020-12-16,10.68,10.74,10.64,10.74,51500
2020-12-17,10.74,10.8,10.71,10.77,79000
2020-12-18,10.77,10.96,10.77,10.96,107205
2020-12-21,10.96,11.03,10.84,11.03,132700
2020-12-22,11.03,11.06,10.77,10.77,200000
2020-12-23,10.77,10.87,10.77,10.84,107220
2020-12-24,10.8,10.84,10.74,10.77,104000
2020-12-25,10.77,10.87,10.77,10.87,59200
2020-12-28,10.87,10.87,10.8,10.84,31105
2020-12-29,10.84,10.9,10.84,10.84,51000
2020-12-30,10.84,10.87,10.74,10.8,58500
2020-12-31,10.8,10.93,10.8,10.9,103340
2021-01-04,10.96,11.06,10.9,11.06,68800
2021-01-05,11.06,11.32,11.06,11.29,123000
2021-01-06,11.19,11.48,11.16,11.35,245825
2021-01-07,11.35,11.38,11.22,11.25,223800
2021-01-08,11.29,11.48,11.25,11.41,124600
2021-01-11,11.41,11.51,11.38,11.45,118800
2021-01-12,11.45,11.45,11.19,11.25,103600
2021-01-13,11.22,11.29,10.9,10.96,92500
2021-01-14,10.96,11.03,10.71,10.74,63300
2021-01-15,10.74,10.8,10.68,10.74,52400
2021-01-18,10.74,10.77,10.48,10.48,54800
2021-01-19,10.42,10.42,9.46,9.62,49600
2021-01-20,8.88,8.88,8.75,8.75,116610
2021-01-21,8.34,8.5,8.18,8.18,74830
2021-01-22,8.5,8.53,8.11,8.34,96650
2021-01-25,8.34,8.34,7.76,7.76,50610
2021-01-26,7.7,8.11,7.21,8.11,66200
2021-01-27,7.76,8.02,7.7,7.73,39500
2021-01-28,7.73,7.73,6.96,6.96,46300
2021-01-29,6.73,7.57,6.28,7.37,253400
2021-02-01,7.37,7.41,7.05,7.34,149600
2021-02-02,7.21,7.44,6.86,7.25,99000
2021-02-03,7.18,7.95,7.15,7.95,207000
2021-02-04,8.14,8.72,8.14,8.72,136100
2021-02-05,8.82,9.59,8.82,9.59,287500
2021-02-08,9.78,9.94,8.98,9.39,158600
2021-02-09,9.39,10.32,9.14,10.32,177300
2021-02-17,10.32,10.9,10.1,10.45,104500
2021-02-18,10.55,10.64,10.04,10.39,232900
2021-02-19,10.39,10.42,10.2,10.39,154600
2021-02-22,10.2,10.39,10.16,10.23,232500
2021-02-23,10.23,11.22,9.78,11.22,490210
2021-02-24,11.29,12.34,11.29,12.34,276100
2021-02-25,12.66,12.92,12.12,12.34,640900
2021-02-26,12.18,12.28,11.48,12.02,294610
2021-03-01,11.54,12.15,11.54,12.02,326900
2021-03-02,11.64,12.79,11.54,12.76,358200
2021-03-03,12.82,13.31,12.57,13.27,172200
2021-03-04,13.34,13.4,12.5,12.82,179100
2021-03-05,12.41,13.63,12.34,13.47,349700
2021-03-08,13.47,14.68,13.47,14.04,199600
2021-03-09,13.72,14.68,13.18,13.79,413150
2021-03-10,13.79,14.11,13.18,13.63,319300
2021-03-11,13.79,13.82,13.24,13.47,248700
