time,open,high,low,close,volume
2020-01-06,55.8,55.8,55.6,55.6,28800
2020-01-07,55.8,55.8,55.6,55.6,19100
2020-01-08,55.7,55.9,55.6,55.7,30700
2020-01-09,55.8,56.0,55.6,56.0,30200
2020-01-10,55.8,55.9,55.7,55.8,32600
2020-01-13,55.8,56.0,55.7,55.9,30700
2020-01-14,55.8,55.9,55.5,55.8,30100
2020-01-15,55.9,55.9,55.7,55.7,29500
2020-01-16,55.8,55.8,55.6,55.6,29600
2020-01-17,55.7,55.9,55.6,55.6,30100
2020-01-20,55.7,55.9,55.6,55.7,31300
2020-01-21,55.7,55.9,55.6,55.6,30300
2020-01-22,55.7,55.7,55.5,55.7,45700
2020-01-30,55.7,56.0,55.5,55.6,31500
2020-01-31,55.9,55.9,55.6,55.6,30200
2020-02-03,55.7,56.0,55.6,56.0,30800
2020-02-04,56.0,56.0,55.8,55.8,30700
2020-02-05,55.8,55.8,55.5,55.7,31000
2020-02-06,55.6,55.7,55.6,55.6,38200
2020-02-07,55.7,55.7,55.4,55.5,33500
2020-02-10,55.6,55.8,55.4,55.6,29100
2020-02-11,55.6,55.6,55.5,55.5,32100
2020-02-12,55.5,55.7,55.4,55.5,31700
2020-02-13,55.8,55.8,55.4,55.4,32600
2020-02-14,55.5,55.8,55.5,55.5,36000
2020-02-17,55.7,55.7,55.6,55.6,44200
2020-02-18,55.5,55.7,55.5,55.6,30200
2020-02-19,55.8,55.8,55.5,55.6,27200
2020-02-20,55.8,55.8,55.4,55.5,31000
2020-02-21,55.7,55.7,55.3,55.4,31400
2020-02-24,55.5,55.5,55.2,55.3,29500
2020-02-25,55.3,55.5,55.3,55.4,30100
2020-02-26,55.3,55.5,55.3,55.5,30200
2020-02-27,55.5,55.5,55.3,55.5,30800
2020-02-28,55.4,55.5,55.3,55.4,31100
2020-03-02,55.4,55.6,55.4,55.6,31100
2020-03-03,55.7,55.8,55.5,55.6,25500
2020-03-04,55.7,55.7,55.5,55.6,28900
2020-03-05,55.7,55.7,55.5,55.6,27300
2020-03-06,55.6,55.6,55.4,55.5,30600
2020-03-09,55.2,55.4,55.2,55.4,30200
2020-03-10,55.3,55.5,55.2,55.3,30400
2020-03-11,55.3,55.4,55.2,55.4,30400
2020-03-12,55.3,55.5,55.1,55.5,30100
2020-03-13,55.2,55.7,55.2,55.7,28600
2020-03-16,55.7,55.9,55.7,55.8,32100
2020-03-17,55.7,56.1,55.7,56.1,31100
2020-03-18,56.0,56.0,55.8,55.9,29600
2020-03-19,55.9,55.9,55.8,55.8,16500
2020-03-20,55.9,55.9,55.7,55.7,29400
2020-03-23,55.8,55.8,55.5,55.5,22400
2020-03-24,55.8,55.8,55.7,55.7,28800
2020-03-25,55.7,56.0,55.7,56.0,25800
2020-03-26,56.0,56.0,55.8,55.8,27000
2020-03-27,55.9,56.0,55.8,55.9,29200
2020-03-30,55.9,55.9,55.7,55.7,29900
2020-03-31,55.7,55.9,55.7,55.7,30800
2020-04-01,55.9,55.9,55.7,55.7,28700
2020-04-03,55.5,55.8,55.4,55.5,28900
2020-04-06,55.7,55.7,55.2,55.3,29800
