time,open,high,low,close,volume
2020-01-06,6.84,6.84,6.84,6.84,0
2020-01-07,6.84,6.84,6.84,6.84,0
2020-01-08,6.71,6.71,6.71,6.71,10
2020-01-09,6.71,6.71,6.71,6.71,0
2020-01-10,6.71,6.71,6.71,6.71,0
2020-01-13,6.71,6.71,6.71,6.71,0
2020-01-14,7.17,7.17,6.77,6.77,160
2020-01-15,6.77,6.77,6.77,6.77,0
2020-01-16,6.77,6.77,6.77,6.77,0
2020-01-17,6.77,6.77,6.77,6.77,20
2020-01-20,6.77,6.77,6.77,6.77,0
2020-01-21,6.77,6.77,6.77,6.77,10
2020-01-22,7.24,7.24,7.24,7.24,10
2020-01-30,7.24,7.24,7.24,7.24,0
2020-01-31,7.24,7.24,7.24,7.24,0
2020-02-03,7.24,7.74,7.24,7.24,310
2020-02-04,7.24,7.24,7.24,7.24,0
2020-02-05,6.77,6.77,6.77,6.77,90
2020-02-06,6.77,6.77,6.77,6.77,10
2020-02-07,6.3,6.3,6.3,6.3,30
2020-02-10,6.3,6.3,6.3,6.3,0
2020-02-11,6.3,6.3,6.3,6.3,0
2020-02-12,5.98,6.31,5.98,6.31,30
2020-02-13,5.98,5.98,5.98,5.98,10
2020-02-14,5.98,5.98,5.98,5.98,20
2020-02-17,6.39,6.39,6.39,6.39,30
2020-02-18,6.39,6.39,6.39,6.39,10
2020-02-19,5.98,5.98,5.98,5.98,10
2020-02-20,5.98,5.98,5.98,5.98,30
2020-02-21,5.98,6.39,5.98,6.39,30
2020-02-24,6.02,6.02,6.02,6.02,30
2020-02-25,6.43,6.43,6.43,6.43,30
2020-02-26,6.87,6.87,6.87,6.87,10
2020-02-27,7.2,7.2,7.2,7.2,30
2020-02-28,7.2,7.2,7.2,7.2,0
2020-03-02,7.2,7.2,7.2,7.2,0
2020-03-03,7.2,7.2,7.2,7.2,0
2020-03-04,7.2,7.2,7.2,7.2,0
2020-03-05,7.2,7.2,7.2,7.2,0
2020-03-06,7.2,7.2,7.2,7.2,0
2020-03-09,7.2,7.2,7.2,7.2,0
2020-03-10,7.2,7.2,7.2,7.2,0
2020-03-11,7.2,7.2,7.2,7.2,0
2020-03-12,6.71,6.71,6.71,6.71,10
2020-03-13,6.71,6.71,6.71,6.71,0
2020-03-16,6.71,6.71,6.71,6.71,0
2020-03-17,6.97,6.97,6.97,6.97,10
2020-03-18,6.97,6.97,6.97,6.97,0
2020-03-19,6.97,6.97,6.97,6.97,10
2020-03-20,6.97,6.97,6.97,6.97,30
2020-03-23,6.97,6.97,6.97,6.97,0
2020-03-24,6.97,6.97,6.97,6.97,0
2020-03-25,6.97,6.97,6.97,6.97,0
2020-03-26,6.97,6.97,6.97,6.97,0
2020-03-27,6.97,6.97,6.97,6.97,0
2020-03-30,6.97,6.97,6.97,6.97,0
2020-03-31,6.97,6.97,6.97,6.97,50
