time,open,high,low,close,volume
2020-01-06,8.04,8.12,8.04,8.12,3400
2020-01-07,8.12,8.12,8.12,8.12,0
2020-01-08,8.12,8.12,8.12,8.12,0
2020-01-09,8.12,8.12,8.12,8.12,0
2020-01-10,8.12,8.12,8.12,8.12,0
2020-01-13,8.12,8.12,8.12,8.12,0
2020-01-14,8.12,8.12,8.12,8.12,0
2020-01-15,8.12,8.12,8.12,8.12,0
2020-01-16,8.12,8.12,8.12,8.12,0
2020-01-17,8.12,8.12,8.12,8.12,0
2020-01-20,8.12,8.12,8.12,8.12,0
2020-01-21,8.12,8.12,8.12,8.12,0
2020-01-22,8.12,8.12,8.12,8.12,0
2020-01-30,8.12,8.12,8.12,8.12,0
2020-01-31,8.12,8.12,8.12,8.12,0
2020-02-03,8.12,8.12,8.12,8.12,0
2020-02-04,8.12,8.12,8.12,8.12,0
2020-02-05,8.12,8.12,8.12,8.12,0
2020-02-06,8.12,8.12,8.12,8.12,0
2020-02-07,8.12,8.12,8.12,8.12,0
2020-02-10,8.12,8.12,8.12,8.12,0
2020-02-11,8.12,8.12,8.12,8.12,0
2020-02-12,6.96,9.28,6.96,9.28,600
2020-02-13,7.46,7.87,7.46,7.87,200
2020-02-14,8.78,8.78,7.46,7.46,1100
2020-02-17,7.54,7.54,7.54,7.46,0
2020-02-18,6.55,6.55,6.55,6.55,100
2020-02-19,6.63,6.63,6.63,6.63,100
2020-02-20,6.63,6.63,6.63,6.63,0
2020-02-21,6.63,6.63,6.63,6.63,0
2020-02-24,6.63,6.63,6.63,6.63,0
2020-02-25,6.63,6.63,6.63,6.63,0
2020-02-26,7.04,7.04,6.63,6.63,2300
2020-02-27,6.63,6.63,6.63,6.63,0
2020-02-28,6.63,6.63,6.63,6.63,300
2020-03-02,6.63,6.63,6.63,6.63,0
2020-03-03,6.63,6.63,6.63,6.63,0
2020-03-04,6.63,6.63,6.63,6.63,1500
2020-03-05,6.63,6.63,6.63,6.63,0
2020-03-06,6.63,6.63,6.63,6.63,0
2020-03-09,6.63,6.63,6.63,6.63,0
2020-03-10,6.63,6.63,6.63,6.63,0
2020-03-11,6.63,6.63,6.63,6.63,0
2020-03-12,6.63,6.63,6.63,6.63,0
2020-03-13,6.63,6.63,6.63,6.63,0
2020-03-16,6.63,6.63,6.63,6.63,0
2020-03-17,6.63,6.63,6.63,6.63,0
2020-03-18,6.63,6.63,6.63,6.63,0
2020-03-19,6.63,6.63,6.63,6.63,0
2020-03-20,6.63,6.63,6.63,6.63,0
2020-03-23,6.63,6.63,6.63,6.63,0
2020-03-24,6.63,6.63,6.63,6.63,0
2020-03-25,7.62,7.62,7.62,7.62,100
2020-03-26,7.62,7.62,7.62,7.62,0
2020-03-27,7.62,7.62,7.62,7.62,0
2020-03-30,7.62,7.62,7.62,7.62,0
2020-03-31,7.62,7.62,7.62,7.62,0
2020-04-01,7.62,7.62,7.62,7.62,0
2020-04-03,7.62,7.62,7.62,7.62,0
2020-04-06,7.62,7.62,7.62,7.62,0
2020-04-07,7.62,7.62,7.62,7.62,0
2020-04-08,7.62,7.62,7.62,7.62,0
2020-04-09,7.62,7.62,7.62,7.62,0
2020-04-10,6.63,6.63,6.63,6.63,600
2020-04-13,6.13,6.13,6.13,6.13,100
2020-04-14,5.88,5.88,5.88,5.88,300
