time,open,high,low,close,volume
2020-01-06,7.84,7.9,7.84,7.9,3600
2020-01-07,7.9,7.9,7.9,7.9,0
2020-01-08,7.9,7.9,7.9,7.9,900
2020-01-09,7.9,7.9,7.9,7.9,1300
2020-01-10,7.9,7.9,7.9,7.9,0
2020-01-13,7.9,7.9,7.9,7.9,0
2020-01-14,7.9,7.9,7.9,7.9,0
2020-01-15,7.84,7.9,7.84,7.9,1300
2020-01-16,7.41,7.9,7.41,7.9,2500
2020-01-17,7.9,7.9,7.9,7.9,1000
2020-01-20,7.9,7.9,7.9,7.9,0
2020-01-21,7.96,8.08,7.96,8.08,6500
2020-01-22,8.02,8.02,8.02,8.02,100
2020-01-30,8.02,8.02,8.02,8.02,1000
2020-01-31,8.08,8.08,8.02,8.02,1200
2020-02-03,8.02,8.02,7.47,7.53,7200
2020-02-04,8.02,8.02,8.02,8.02,100
2020-02-05,8.02,8.02,8.02,8.02,0
2020-02-06,8.02,8.02,8.02,8.02,400
2020-02-07,7.84,7.84,7.84,7.84,4000
2020-02-10,7.84,7.84,7.84,7.84,0
2020-02-11,7.9,7.9,7.9,7.9,2000
2020-02-12,8.32,8.32,8.26,8.32,6200
2020-02-13,8.32,8.32,8.32,8.32,0
2020-02-14,8.32,8.32,8.02,8.02,2000
2020-02-17,8.02,8.2,8.02,8.14,16600
2020-02-18,8.26,8.39,8.2,8.26,50830
2020-02-19,8.26,8.26,8.2,8.2,20500
2020-02-20,8.14,8.14,8.14,8.14,2030
2020-02-21,8.08,8.08,8.08,8.08,400
2020-02-24,8.08,8.08,8.02,8.02,5100
2020-02-25,7.96,7.96,7.96,7.96,9700
2020-02-26,7.96,8.02,7.96,8.02,2500
2020-02-27,8.02,8.02,8.02,8.02,2200
2020-02-28,8.14,8.14,8.02,8.02,20700
2020-03-02,7.96,7.96,7.96,7.96,3710
2020-03-03,7.96,8.45,7.96,8.45,64010
2020-03-04,8.14,8.14,8.14,8.14,200
2020-03-05,8.14,8.57,8.14,8.2,62010
2020-03-06,8.26,8.26,8.26,8.26,2600
2020-03-09,7.96,7.96,7.9,7.96,6700
2020-03-10,7.96,7.96,7.96,7.96,1000
2020-03-11,7.96,7.96,7.96,7.96,0
2020-03-12,7.84,7.84,7.77,7.77,7800
2020-03-13,7.77,7.77,7.77,7.77,400
2020-03-16,8.02,8.45,8.02,8.02,19600
2020-03-17,7.77,7.77,7.71,7.71,7200
2020-03-18,8.2,8.57,8.2,8.26,48300
2020-03-19,7.96,8.39,7.96,8.14,18900
2020-03-20,8.45,8.45,7.96,7.96,1030
2020-03-23,8.39,8.39,7.77,7.9,15450
2020-03-24,7.65,8.26,7.65,8.02,6200
2020-03-25,8.14,8.39,8.14,8.39,10020
2020-03-26,8.39,8.39,8.2,8.2,4000
2020-03-27,8.39,8.39,8.2,8.26,2300
2020-03-30,8.2,8.2,7.9,7.9,3400
2020-03-31,8.02,8.02,7.84,7.84,3800
2020-04-01,7.84,8.39,7.84,8.39,3700
2020-04-03,7.96,8.14,7.96,8.02,2000
2020-04-06,8.26,8.26,8.02,8.14,9400
2020-04-07,8.2,8.39,8.14,8.39,25400
2020-04-08,8.32,8.57,8.32,8.32,35400
2020-04-09,8.57,9.18,8.57,9.06,24400
2020-04-10,8.94,8.94,8.82,8.82,2000
2020-04-13,8.69,8.69,8.57,8.57,1006
2020-04-14,8.57,8.82,8.57,8.82,5300
2020-04-15,8.69,8.69,8.51,8.51,3300
2020-04-16,8.63,8.63,8.57,8.57,700
2020-04-17,8.57,8.57,8.57,8.57,920
2020-04-20,8.63,8.75,8.57,8.57,21300
2020-04-21,8.51,8.51,8.32,8.39,15106
2020-04-22,8.45,8.63,8.45,8.45,12030
2020-04-23,8.51,8.51,8.51,8.51,1020
2020-04-24,8.51,8.57,8.51,8.51,26400
2020-04-27,8.57,8.57,8.57,8.57,8900
2020-04-28,8.51,8.63,8.51,8.63,26800
2020-04-29,8.69,8.69,8.57,8.69,8800
2020-05-04,8.57,8.88,8.57,8.88,6500
2020-05-05,8.69,8.69,8.69,8.88,94
2020-05-06,8.63,8.63,8.63,8.63,1500
2020-05-07,8.63,8.63,8.57,8.57,800
2020-05-08,8.57,8.69,8.57,8.69,10100
2020-05-11,8.63,8.75,8.57,8.75,23410
2020-05-12,8.63,8.88,8.63,8.88,23000
2020-05-13,8.88,8.88,8.88,8.88,34600
2020-05-14,8.88,8.88,8.82,8.82,15610
2020-05-15,8.88,8.94,8.82,8.82,35500
2020-05-18,8.88,8.88,8.82,8.88,71134
2020-05-19,8.88,8.94,8.88,8.94,47300
2020-05-20,8.88,9.06,8.82,8.88,116300
2020-05-21,9.06,9.06,9.0,9.0,19620
2020-05-22,8.88,9.12,8.57,8.57,131300
2020-05-25,8.63,8.63,8.51,8.51,198414
2020-05-26,8.57,8.57,8.51,8.51,32400
2020-05-27,8.57,8.57,8.51,8.51,71600
2020-05-28,8.45,8.45,8.32,8.32,5900
2020-05-29,8.32,8.39,8.32,8.39,11560
2020-06-01,8.02,8.14,8.02,8.14,3010
2020-06-02,8.08,8.08,8.08,8.14,0
2020-06-03,8.14,8.14,8.08,8.14,6316
2020-06-04,8.26,8.26,8.2,8.2,11810
2020-06-05,8.2,8.2,8.2,8.2,200
2020-06-08,8.26,8.26,8.26,8.26,1980
2020-06-09,8.26,8.26,7.96,7.96,29440
