time,open,high,low,close,volume
2020-01-06,5.28,5.46,5.28,5.32,30180
2020-01-07,5.53,5.53,5.32,5.32,50180
2020-01-08,5.21,5.38,5.21,5.32,10790
2020-01-09,5.39,5.39,5.25,5.31,14510
2020-01-10,5.39,5.39,5.27,5.38,34450
2020-01-13,5.67,5.67,5.32,5.38,22160
2020-01-14,5.66,5.66,5.35,5.38,24550
2020-01-15,5.39,5.39,5.38,5.38,13260
2020-01-16,5.38,5.38,5.32,5.35,32830
2020-01-17,5.35,5.67,5.35,5.53,12750
2020-01-20,5.42,5.42,5.39,5.39,5630
2020-01-21,5.39,5.67,5.39,5.46,4530
2020-01-22,5.67,5.84,5.53,5.84,125900
2020-01-30,5.84,6.24,5.62,6.24,67040
2020-01-31,6.66,6.67,6.59,6.67,86900
2020-02-03,7.09,7.09,6.66,6.73,218220
2020-02-04,6.73,6.88,6.66,6.76,85900
2020-02-05,6.95,6.95,6.67,6.74,86490
2020-02-06,6.81,6.81,6.59,6.76,117190
2020-02-07,6.8,6.81,6.66,6.8,107350
2020-02-10,6.8,7.08,6.74,6.81,190770
2020-02-11,6.81,6.88,6.74,6.81,93320
2020-02-12,6.81,6.81,6.74,6.77,10320
2020-02-13,6.74,6.77,6.38,6.38,20830
2020-02-14,6.66,6.66,6.39,6.49,28840
2020-02-17,6.38,6.52,6.38,6.45,45890
2020-02-18,6.59,6.59,6.38,6.38,20500
2020-02-19,6.74,6.83,6.38,6.74,25340
2020-02-20,6.94,6.94,6.66,6.81,43210
2020-02-21,6.66,6.74,6.59,6.63,29550
2020-02-24,6.63,6.63,6.38,6.38,16000
2020-02-25,6.38,6.45,6.38,6.45,12470
2020-02-26,6.45,6.71,6.45,6.49,4620
2020-02-27,6.49,6.72,6.49,6.69,30150
2020-02-28,7.02,7.02,6.52,6.59,12770
2020-03-02,6.95,6.95,6.59,6.59,6950
2020-03-03,6.59,6.59,6.38,6.46,7420
2020-03-04,6.38,6.52,6.24,6.45,17160
2020-03-05,6.45,6.45,6.31,6.38,13960
2020-03-06,6.31,6.38,6.24,6.38,3860
2020-03-09,5.94,6.03,5.94,5.94,36660
2020-03-10,5.94,6.35,5.71,5.72,31750
2020-03-11,6.12,6.12,5.72,6.03,23750
2020-03-12,6.37,6.37,5.72,6.03,2370
2020-03-13,6.17,6.17,5.61,6.03,4410
2020-03-16,5.67,5.88,5.67,5.74,5940
2020-03-17,5.88,5.88,5.88,5.88,1020
2020-03-18,6.1,6.29,6.1,6.1,18200
2020-03-19,6.3,6.3,5.88,6.03,1070
2020-03-20,5.88,6.24,5.88,6.03,20640
2020-03-23,5.67,5.67,5.61,5.62,2430
2020-03-24,6.01,6.01,5.88,5.88,4020
2020-03-25,6.03,6.03,5.53,5.99,3280
2020-03-26,5.59,6.31,5.59,6.02,4090
2020-03-27,6.03,6.03,5.64,5.64,1020
2020-03-30,6.02,6.02,6.02,6.02,10
2020-03-31,5.88,5.88,5.6,5.67,10140
2020-04-01,5.28,5.95,5.28,5.94,2120
2020-04-03,5.81,6.09,5.81,6.02,1150
2020-04-06,5.96,6.38,5.96,6.03,10860
2020-04-07,6.03,6.03,5.88,5.88,4240
2020-04-08,5.67,5.88,5.67,5.88,3350
2020-04-09,5.5,5.88,5.5,5.88,40530
2020-04-10,6.1,6.1,5.88,5.96,1540
2020-04-13,5.61,5.95,5.57,5.67,29210
2020-04-14,5.67,5.81,5.67,5.81,5140
2020-04-15,5.81,5.88,5.6,5.88,3520
2020-04-16,5.85,5.85,5.67,5.67,8880
2020-04-17,5.96,5.96,5.74,5.8,5740
2020-04-20,6.2,6.2,5.75,5.75,17560
2020-04-21,5.75,5.88,5.75,5.78,23930
2020-04-22,5.6,5.81,5.6,5.8,1720
2020-04-23,6.02,6.02,5.74,5.74,29870
2020-04-24,5.67,5.67,5.61,5.64,9000
2020-04-27,5.6,5.67,5.54,5.54,21570
2020-04-28,5.67,5.67,5.54,5.67,11690
2020-04-29,5.66,5.67,5.57,5.67,6340
2020-05-04,5.76,5.76,5.32,5.39,21270
2020-05-05,5.39,5.6,5.39,5.46,5880
2020-05-06,5.6,5.6,5.42,5.59,20560
2020-05-07,5.53,5.67,5.47,5.6,22760
2020-05-08,5.41,5.67,5.4,5.59,75820
2020-05-11,5.39,5.66,5.39,5.59,2610
2020-05-12,5.4,5.59,5.4,5.59,4790
2020-05-13,5.57,5.57,5.2,5.53,49820
2020-05-14,5.32,5.67,5.32,5.59,11920
2020-05-15,5.6,5.64,5.59,5.59,6490
2020-05-18,5.57,5.57,5.4,5.4,12900
2020-05-19,5.4,5.53,5.4,5.53,280
2020-05-20,5.41,5.54,5.41,5.54,320
2020-05-21,5.39,5.54,5.39,5.46,4610
2020-05-22,5.46,5.53,5.46,5.53,4840
2020-05-25,5.53,5.6,5.53,5.57,7520
2020-05-26,5.32,5.65,5.32,5.64,11100
2020-05-27,5.66,5.67,5.53,5.6,46380
2020-05-28,5.66,5.78,5.66,5.76,10610
2020-05-29,6.02,6.02,5.69,5.69,22550
2020-06-01,5.69,5.81,5.69,5.74,24640
2020-06-02,5.96,5.96,5.53,5.8,30450
2020-06-03,5.58,5.79,5.58,5.64,8990
2020-06-04,5.84,5.85,5.67,5.81,41960
2020-06-05,5.81,5.81,5.67,5.81,21170
2020-06-08,5.81,5.92,5.75,5.83,149630
2020-06-09,6.01,6.03,5.83,5.95,64650
2020-06-10,6.1,6.1,5.95,5.95,19620
2020-06-11,5.95,5.95,5.74,5.74,54140
2020-06-12,5.44,5.67,5.35,5.67,41880
2020-06-15,5.67,5.88,5.67,5.67,8930
2020-06-16,5.88,5.88,5.54,5.66,6780
2020-06-17,5.57,5.67,5.57,5.67,9770
2020-06-18,5.88,5.88,5.67,5.71,56910
2020-06-19,5.88,5.88,5.71,5.73,15840
2020-06-22,5.88,5.95,5.81,5.88,86520
2020-06-23,6.03,6.3,6.03,6.3,250660
2020-06-24,6.74,6.74,6.67,6.74,300630
2020-06-25,6.74,6.81,6.59,6.66,87200
2020-06-26,6.52,6.66,6.38,6.52,99800
2020-06-29,6.38,6.38,6.07,6.07,159620
2020-06-30,6.24,6.31,5.67,5.67,45050
2020-07-01,5.68,6.01,5.68,5.89,16980
2020-07-02,6.1,6.1,5.89,6.03,9870
2020-07-03,6.03,6.03,5.81,5.84,13180
2020-07-06,6.01,6.01,5.75,5.85,7870
2020-07-07,5.78,5.96,5.76,5.88,24100
2020-07-08,6.1,6.1,5.88,5.99,5430
2020-07-09,5.76,6.09,5.76,6.02,10050
2020-07-10,5.96,5.96,5.88,5.88,14110
2020-07-13,6.17,6.17,5.88,6.05,2460
2020-07-14,6.05,6.05,5.81,5.99,10220
2020-07-15,5.89,5.99,5.86,5.86,25110
2020-07-16,5.86,6.06,5.85,5.85,9840
2020-07-17,5.85,5.94,5.81,5.94,12570
2020-07-20,5.94,5.94,5.84,5.94,260
2020-07-21,5.82,5.99,5.81,5.88,7590
2020-07-22,5.78,5.88,5.78,5.88,9980
2020-07-23,5.79,5.92,5.78,5.92,23260
2020-07-24,5.95,5.95,5.51,5.51,73450
2020-07-27,5.13,5.25,5.13,5.18,46240
2020-07-28,5.18,5.42,5.14,5.18,48200
2020-07-29,5.14,5.21,4.96,5.2,14270
2020-07-30,5.2,5.25,5.2,5.25,5520
2020-07-31,5.25,5.25,4.96,5.18,17260
2020-08-03,5.54,5.54,5.14,5.46,11800
2020-08-04,5.46,5.64,5.32,5.44,14230
2020-08-05,5.67,5.67,5.32,5.46,4740
2020-08-06,5.66,5.66,5.46,5.46,51710
2020-08-07,5.46,5.46,5.35,5.46,13900
2020-08-10,5.46,5.66,5.46,5.46,15800
2020-08-11,5.6,5.6,5.43,5.51,57970
2020-08-12,5.32,5.51,5.32,5.51,10940
2020-08-13,5.46,5.6,5.42,5.46,11370
2020-08-14,5.46,5.46,5.46,5.46,11900
2020-08-17,5.53,5.53,5.45,5.52,10970
2020-08-18,5.53,5.53,5.52,5.53,16430
2020-08-19,5.53,5.6,5.53,5.53,21380
2020-08-20,5.57,5.6,5.53,5.6,30860
2020-08-21,5.59,5.74,5.46,5.6,7960
2020-08-24,5.64,5.78,5.64,5.78,5870
2020-08-25,5.81,5.81,5.67,5.8,56310
2020-08-26,5.79,5.79,5.74,5.79,9340
2020-08-27,5.93,5.93,5.67,5.8,10110
2020-08-28,5.81,5.81,5.7,5.71,43560
2020-08-31,5.88,5.88,5.71,5.78,18630
2020-09-01,5.78,5.78,5.74,5.74,18640
2020-09-03,5.74,5.76,5.68,5.74,83850
2020-09-04,5.47,5.79,5.47,5.79,62520
2020-09-07,5.87,5.87,5.79,5.86,144540
2020-09-08,5.86,5.86,5.81,5.86,56280
2020-09-09,5.83,6.24,5.83,5.91,26430
2020-09-10,5.91,5.91,5.86,5.89,6700
2020-09-11,5.89,5.94,5.81,5.88,25550
2020-09-14,5.95,5.95,5.85,5.88,38780
2020-09-15,5.96,5.96,5.84,5.88,64880
2020-09-16,5.92,5.95,5.88,5.88,82260
2020-09-17,5.92,5.92,5.88,5.88,87830
2020-09-18,5.88,6.03,5.88,5.95,134140
2020-09-21,5.99,6.02,5.93,5.93,78770
2020-09-22,5.96,5.96,5.88,5.94,34710
2020-09-23,5.94,5.96,5.88,5.89,95780
2020-09-24,5.89,5.94,5.89,5.92,148880
2020-09-25,5.95,5.95,5.88,5.89,58760
2020-09-28,5.89,5.97,5.89,5.96,74910
2020-09-29,5.96,6.24,5.96,6.14,154730
2020-09-30,6.14,6.2,6.1,6.19,151460
2020-10-01,6.31,6.62,6.16,6.52,276820
2020-10-02,6.52,6.74,6.5,6.59,328760
2020-10-05,6.74,6.77,6.63,6.76,151980
2020-10-06,6.79,6.79,6.63,6.79,190760
2020-10-07,6.79,6.79,6.67,6.72,52050
2020-10-08,6.79,6.79,6.66,6.74,77790
2020-10-09,6.74,6.81,6.66,6.81,68930
2020-10-12,6.81,6.81,6.59,6.59,34350
2020-10-13,6.59,6.74,6.56,6.7,39780
2020-10-14,6.74,6.74,6.59,6.64,35940
2020-10-15,6.72,6.74,6.64,6.72,68180
2020-10-16,6.74,6.74,6.59,6.72,60250
2020-10-19,6.72,7.16,6.66,7.16,394760
2020-10-20,7.44,7.52,7.16,7.34,207880
2020-10-21,7.34,7.34,7.02,7.09,231610
2020-10-22,6.82,7.01,6.81,6.88,180440
2020-10-23,6.88,7.09,6.88,6.88,139580
2020-10-26,7.09,7.09,6.84,6.84,61400
2020-10-27,6.59,6.82,6.59,6.66,74010
2020-10-28,6.73,6.74,6.42,6.47,68000
2020-10-29,6.47,6.52,6.31,6.52,101570
2020-10-30,6.45,6.52,6.31,6.31,107980
2020-11-02,6.03,6.52,6.03,6.52,19390
2020-11-03,6.52,6.72,6.52,6.65,55960
2020-11-04,6.65,6.71,6.38,6.71,20590
2020-11-05,6.38,6.66,6.38,6.65,15840
2020-11-06,6.65,6.74,6.39,6.64,27300
2020-11-09,6.64,6.69,6.63,6.66,13260
2020-11-10,6.8,6.8,6.45,6.64,239540
2020-11-11,6.68,6.68,6.46,6.59,46580
