time,open,high,low,close,volume
2020-01-06,14.51,14.51,14.39,14.39,600
2020-01-07,14.26,14.26,14.26,14.26,109
2020-01-08,12.45,14.2,12.26,12.26,9900
2020-01-09,13.76,13.76,12.82,12.82,200
2020-01-10,13.14,13.14,11.7,11.7,3500
2020-01-13,12.57,12.57,12.57,11.7,0
2020-01-14,11.26,11.57,11.26,11.26,3200
2020-01-15,12.39,12.39,12.39,12.39,100
2020-01-16,12.39,12.39,12.39,12.39,0
2020-01-17,11.82,11.82,11.76,11.76,1900
2020-01-20,10.64,10.64,10.64,10.64,200
2020-01-21,11.01,12.01,10.95,12.01,7100
2020-01-22,12.2,12.2,12.2,12.2,500
2020-01-30,12.2,12.2,11.26,11.26,600
2020-01-31,10.95,11.26,10.7,10.7,600
2020-02-03,10.7,10.7,10.7,10.7,2800
2020-02-04,11.01,11.01,11.01,11.01,1000
2020-02-05,11.26,11.26,11.26,11.26,3300
2020-02-06,11.57,11.57,11.57,11.57,4400
2020-02-07,11.2,11.26,10.64,10.64,8400
2020-02-10,10.82,10.82,10.82,10.64,0
2020-02-11,11.14,11.14,11.14,11.14,100
2020-02-12,11.14,11.14,11.07,11.07,200
2020-02-13,11.14,11.14,11.14,11.14,810
2020-02-14,11.26,11.26,11.26,11.26,100
2020-02-17,11.26,11.26,11.26,11.26,100
2020-02-18,11.39,11.39,11.39,11.39,5000
2020-02-19,11.57,11.57,11.57,11.57,300
2020-02-20,11.26,11.45,10.95,11.45,3100
2020-02-21,11.01,11.26,10.64,10.64,6200
2020-02-24,10.7,10.7,10.64,10.64,1800
2020-02-25,10.64,10.64,10.64,10.64,0
2020-02-26,10.76,10.76,10.64,10.64,2900
2020-02-27,10.64,10.64,10.64,10.64,3300
2020-02-28,10.57,10.64,10.57,10.57,7600
2020-03-02,10.64,10.64,10.51,10.64,1600
2020-03-03,10.95,10.95,10.64,10.64,1200
2020-03-04,10.64,10.64,10.64,10.64,300
2020-03-05,10.7,10.7,10.64,10.64,2200
2020-03-06,10.64,10.64,10.64,10.64,1500
2020-03-09,10.64,10.64,10.64,10.64,100
2020-03-10,10.64,10.64,10.64,10.64,500
2020-03-11,10.64,10.64,10.45,10.45,6000
2020-03-12,10.64,10.64,10.64,10.45,0
2020-03-13,9.38,10.51,9.38,10.51,10000
2020-03-16,9.51,9.51,9.51,10.51,0
2020-03-17,9.51,9.51,9.51,10.51,0
2020-03-18,10.01,10.01,9.38,9.38,4900
2020-03-19,9.38,9.38,9.38,9.38,1000
2020-03-20,9.38,9.38,9.38,9.38,400
2020-03-23,8.82,8.82,8.82,8.82,5000
2020-03-24,8.82,8.82,8.82,8.82,0
2020-03-25,8.82,8.82,8.82,8.82,0
2020-03-26,8.82,8.82,8.82,8.82,0
2020-03-27,8.88,8.88,8.88,8.88,2100
2020-03-30,8.88,8.88,8.88,8.88,0
2020-03-31,8.88,8.88,8.88,8.88,100
2020-04-01,10.07,10.14,8.88,10.14,1200
2020-04-03,10.57,10.57,10.57,10.57,100
2020-04-06,10.57,11.2,10.57,11.01,800
2020-04-07,9.45,10.88,9.45,10.88,500
2020-04-08,10.51,10.51,10.51,10.51,167
2020-04-09,10.51,10.51,10.01,10.01,7100
2020-04-10,11.57,11.57,10.07,10.07,3100
2020-04-13,11.2,11.2,10.01,10.01,1177
2020-04-14,10.14,10.14,10.14,10.01,0
2020-04-15,11.2,11.2,10.14,10.14,3700
2020-04-16,10.14,10.14,10.14,10.14,0
2020-04-17,11.2,11.2,11.2,11.2,100
2020-04-20,9.76,10.57,9.76,10.45,5600
2020-04-21,9.13,10.26,9.13,10.01,300
2020-04-22,9.82,9.82,9.82,10.01,0
2020-04-23,9.7,9.7,9.38,9.38,700
2020-04-24,9.38,9.45,8.76,9.45,10350
2020-04-27,9.63,9.63,9.07,9.07,3627
2020-04-28,9.13,9.13,9.13,9.07,0
2020-04-29,9.38,9.38,9.38,9.38,100
2020-05-04,9.63,9.63,9.45,9.45,2900
2020-05-05,9.63,9.7,9.63,9.7,300
2020-05-06,9.82,9.95,9.82,9.95,600
2020-05-07,10.01,10.01,10.01,10.01,900
2020-05-08,10.01,10.01,9.88,9.95,3450
2020-05-11,10.01,10.01,10.01,10.01,3300
2020-05-12,10.01,10.01,10.01,10.01,700
2020-05-13,10.01,10.01,10.01,10.01,915
2020-05-14,10.01,10.01,9.95,9.95,2000
2020-05-15,10.14,10.14,10.01,10.01,2700
2020-05-18,10.01,10.01,10.01,10.01,0
2020-05-19,10.14,10.14,10.01,10.01,11400
2020-05-20,10.32,10.32,10.32,10.32,900
2020-05-21,10.26,10.26,10.01,10.01,200
2020-05-22,10.51,10.64,10.51,10.64,1200
2020-05-25,10.01,10.01,10.01,10.01,300
2020-05-26,10.32,10.32,10.32,10.32,100
2020-05-27,10.57,10.57,10.32,10.51,5400
2020-05-28,10.32,10.32,10.32,10.32,500
2020-05-29,10.32,10.51,10.2,10.51,1800
2020-06-01,10.45,10.57,10.45,10.57,5100
2020-06-02,10.51,10.51,10.51,10.51,100
2020-06-03,10.51,10.51,10.51,10.51,0
2020-06-04,10.51,10.51,10.51,10.51,2900
2020-06-05,10.45,10.45,10.45,10.45,2000
2020-06-08,10.64,10.64,10.64,10.64,100
2020-06-09,10.51,10.51,10.51,10.51,600
2020-06-10,10.51,10.51,10.51,10.51,0
2020-06-11,10.51,10.51,10.51,10.51,5100
2020-06-12,10.51,10.51,10.51,10.51,22900
2020-06-15,10.51,10.51,10.51,10.51,2000
2020-06-16,10.51,10.64,10.51,10.64,16500
2020-06-17,10.57,10.57,10.57,10.64,0
2020-06-18,10.57,10.57,10.57,10.64,0
2020-06-19,10.64,10.64,10.64,10.64,10500
2020-06-22,10.64,10.64,10.64,10.64,0
2020-06-23,11.14,11.14,11.14,11.14,6700
2020-06-24,11.14,11.26,11.14,11.26,700
2020-06-25,11.14,11.57,11.14,11.57,12300
2020-06-26,11.26,11.26,11.26,11.26,100
2020-06-29,11.26,11.26,11.26,11.26,11000
2020-06-30,11.26,11.26,11.26,11.26,900
2020-07-01,11.26,11.26,11.26,11.26,0
2020-07-02,11.26,11.26,11.26,11.26,0
2020-07-03,11.26,11.26,11.26,11.26,1
2020-07-06,11.26,11.26,11.26,11.26,5000
2020-07-07,11.26,11.26,11.26,11.26,0
2020-07-08,11.57,11.64,11.57,11.64,4001
2020-07-09,11.57,11.76,11.57,11.76,2300
2020-07-10,11.7,11.7,11.7,11.76,0
2020-07-13,11.7,11.7,11.7,11.76,0
2020-07-14,11.7,11.7,11.7,11.7,5000
2020-07-15,11.7,11.7,11.7,11.7,100
2020-07-16,12.2,12.45,11.57,11.57,26900
2020-07-17,12.2,12.45,12.2,12.45,52700
2020-07-20,12.2,12.2,12.2,12.2,7000
2020-07-21,12.2,12.2,12.2,12.2,2000
2020-07-22,12.2,12.2,12.2,12.2,2000
2020-07-23,12.2,12.2,12.2,12.2,0
2020-07-24,10.64,10.64,10.64,10.64,100
2020-07-27,11.26,11.26,11.26,11.26,9000
2020-07-28,12.32,12.32,12.32,12.32,100
2020-07-29,11.89,11.89,11.89,11.89,100
2020-07-30,11.89,11.89,11.89,11.89,0
2020-07-31,11.89,11.89,11.89,11.89,4300
2020-08-03,11.89,11.89,11.89,11.89,5000
2020-08-04,11.89,11.89,11.89,11.89,5000
2020-08-05,12.2,12.2,12.14,12.2,3601
2020-08-06,12.2,12.2,12.2,12.2,6500
2020-08-07,12.2,12.2,12.14,12.14,15719
2020-08-10,12.2,12.2,12.2,12.79,0
2020-08-11,12.2,12.2,12.2,12.79,0
2020-08-12,12.2,12.2,12.2,12.79,0
2020-08-13,12.2,12.2,12.2,12.79,0
2020-08-14,12.2,12.2,12.2,12.2,100
2020-08-17,12.2,12.2,12.2,12.2,0
2020-08-18,11.34,11.34,11.34,11.34,100
2020-08-19,11.34,11.34,11.34,11.34,0
2020-08-20,11.34,11.34,11.34,11.34,2500
2020-08-21,11.34,11.34,11.34,11.34,0
2020-08-24,11.34,11.34,11.34,11.34,0
2020-08-25,11.34,11.34,11.34,11.34,0
2020-08-26,11.34,11.34,11.34,11.34,500
2020-08-27,11.41,11.54,11.41,11.54,1300
2020-08-28,11.54,11.54,11.54,11.54,0
2020-08-31,11.54,11.54,11.54,11.54,8
2020-09-01,11.87,11.87,11.87,11.87,100
2020-09-03,12.53,12.53,12.53,12.53,100
2020-09-04,12.53,12.53,12.53,12.53,0
2020-09-07,12.0,12.0,12.0,12.0,100
2020-09-08,12.2,12.2,12.2,12.2,800
2020-09-09,12.2,12.2,12.2,12.2,3300
2020-09-10,12.2,12.2,12.2,12.2,0
2020-09-11,12.2,12.2,12.2,12.2,0
2020-09-14,12.2,12.2,12.2,12.2,0
2020-09-15,12.2,12.2,12.2,12.2,0
2020-09-16,12.2,12.2,12.2,12.2,0
2020-09-17,11.94,11.94,10.55,11.94,3100
2020-09-18,10.75,10.75,10.02,10.02,8600
2020-09-21,10.48,10.48,10.48,10.02,0
2020-09-22,10.48,10.48,10.48,10.48,100
2020-09-23,11.28,11.28,11.28,11.28,100
2020-09-24,11.28,11.28,11.28,11.28,0
2020-09-25,11.28,11.28,11.28,11.28,0
2020-09-28,11.28,11.28,11.28,11.28,0
2020-09-29,11.28,11.28,11.28,11.28,0
2020-09-30,11.28,11.28,11.28,11.28,0
2020-10-01,11.28,11.28,11.28,11.28,0
2020-10-02,11.28,11.28,11.28,11.28,0
2020-10-05,11.28,11.28,11.28,11.28,0
2020-10-06,11.28,11.28,11.28,11.28,0
2020-10-07,11.28,11.28,11.28,11.28,0
2020-10-08,11.28,11.28,11.28,11.28,0
2020-10-09,11.28,11.28,11.28,11.28,0
2020-10-12,11.28,11.28,11.28,11.28,0
2020-10-13,11.28,11.28,11.28,11.28,600
2020-10-14,11.28,11.28,11.28,11.28,0
2020-10-15,12.13,12.13,12.13,12.13,300
2020-10-16,12.13,12.13,12.13,12.13,0
