time,open,high,low,close,volume
2020-01-06,17.86,17.86,17.67,17.67,2300
2020-01-07,17.67,17.67,17.67,17.67,0
2020-01-08,17.67,17.67,17.67,17.67,0
2020-01-09,17.67,17.67,17.67,17.67,0
2020-01-10,17.67,17.67,17.67,17.67,0
2020-01-13,17.67,17.67,17.67,17.67,0
2020-01-14,17.67,17.67,17.67,17.67,0
2020-01-15,17.67,17.67,17.67,17.67,0
2020-01-16,17.67,17.67,17.67,17.67,0
2020-01-17,16.24,16.24,16.24,16.24,12000
2020-01-20,14.29,14.29,14.29,14.29,1800
2020-01-21,14.29,14.29,14.29,14.29,0
2020-01-22,14.29,14.29,14.29,14.29,0
2020-01-30,14.29,14.29,14.29,14.29,200
2020-01-31,14.29,14.48,14.29,14.29,1500
2020-02-03,14.36,14.36,14.36,14.29,0
2020-02-04,14.36,14.36,14.36,14.29,0
2020-02-05,14.36,14.36,14.36,14.29,0
2020-02-06,14.36,14.36,14.36,14.29,0
2020-02-07,14.29,14.36,14.29,14.36,11800
2020-02-10,12.34,12.34,12.34,12.34,300
2020-02-11,12.34,12.34,12.34,12.34,0
2020-02-12,12.34,12.34,12.34,12.34,0
2020-02-13,14.16,14.16,14.16,14.16,2000
2020-02-14,14.29,15.59,14.29,15.59,2000
2020-02-17,14.94,14.94,14.94,15.59,0
2020-02-18,14.29,14.29,14.29,14.29,1600
2020-02-19,12.99,14.29,12.99,14.29,3000
2020-02-20,14.29,15.46,14.29,15.46,700
2020-02-21,14.62,14.62,14.62,15.46,0
2020-02-24,14.62,14.62,14.62,15.46,0
2020-02-25,14.62,14.62,14.62,15.46,0
2020-02-26,14.62,14.62,14.62,15.46,0
2020-02-27,14.62,14.62,14.62,15.46,0
2020-02-28,14.62,14.62,14.62,15.46,0
2020-03-02,14.62,14.62,14.62,15.46,0
2020-03-03,14.62,14.62,14.62,15.46,0
2020-03-04,14.62,14.62,14.62,15.46,0
2020-03-05,14.62,14.62,14.62,15.46,0
2020-03-06,16.76,16.76,16.76,16.76,100
2020-03-09,16.76,16.76,16.76,16.76,0
2020-03-10,18.84,18.84,14.29,15.59,3100
2020-03-11,14.94,14.94,12.99,12.99,4300
2020-03-12,14.81,14.81,14.81,14.81,100
2020-03-13,14.81,14.81,14.81,14.81,0
2020-03-16,14.81,14.81,14.81,14.81,0
2020-03-17,14.81,14.81,14.81,14.81,0
2020-03-18,12.6,15.26,12.6,15.26,1700
2020-03-19,14.16,14.16,14.16,15.26,0
2020-03-20,15.52,15.52,15.52,15.52,100
2020-03-23,15.52,15.52,15.52,15.52,0
2020-03-24,15.52,15.52,15.52,15.52,0
2020-03-25,15.52,15.52,15.52,15.52,0
2020-03-26,14.29,14.29,14.29,14.29,100
2020-03-27,14.29,14.29,14.29,14.29,0
2020-03-30,14.29,14.29,14.29,14.29,0
2020-03-31,14.29,14.29,14.29,14.29,0
2020-04-01,14.29,14.29,14.29,14.29,0
2020-04-03,15.72,15.72,13.64,13.64,600
2020-04-06,13.64,13.64,13.64,13.64,100
2020-04-07,13.64,13.64,13.64,13.64,0
2020-04-08,13.64,13.64,13.64,13.64,0
2020-04-09,13.64,13.64,13.64,13.64,20
2020-04-10,13.64,13.64,13.64,13.64,0
2020-04-13,13.64,13.64,13.64,13.64,0
2020-04-14,13.64,13.64,13.64,13.64,0
2020-04-15,13.64,13.64,13.64,13.64,0
2020-04-16,13.64,13.64,13.64,13.64,0
2020-04-17,13.64,13.64,13.64,13.64,0
2020-04-20,13.97,13.97,13.97,13.97,2000
2020-04-21,13.97,13.97,13.97,13.97,0
2020-04-22,13.97,13.97,13.97,13.97,0
2020-04-23,12.34,12.41,12.34,12.34,2400
2020-04-24,12.34,12.34,12.34,12.34,0
2020-04-27,13.25,13.97,13.25,13.97,13000
2020-04-28,13.84,13.84,13.84,13.97,0
2020-04-29,12.67,12.67,12.67,12.67,200
2020-05-04,12.67,12.67,12.67,12.67,0
2020-05-05,12.67,12.67,12.67,12.67,0
2020-05-06,12.67,12.67,12.67,12.67,0
2020-05-07,12.73,12.73,12.73,12.73,100
2020-05-08,12.73,12.73,12.73,12.73,0
2020-05-11,12.73,12.73,12.73,12.73,0
2020-05-12,12.73,12.73,12.73,12.73,0
2020-05-13,12.73,12.73,12.73,12.73,0
2020-05-14,12.99,12.99,12.99,12.99,1400
2020-05-15,12.99,12.99,12.99,12.99,2010
2020-05-18,12.99,12.99,12.99,12.99,0
2020-05-19,12.99,12.99,12.99,12.99,700
2020-05-20,12.99,12.99,12.99,12.99,0
2020-05-21,12.99,12.99,12.99,12.99,0
2020-05-22,12.99,12.99,12.99,12.99,2000
2020-05-25,12.99,12.99,12.99,12.99,0
2020-05-26,12.99,12.99,12.99,12.99,0
2020-05-27,12.99,12.99,12.99,12.99,0
2020-05-28,12.99,12.99,12.99,12.99,0
2020-05-29,12.99,12.99,12.99,12.99,0
2020-06-01,13.32,13.64,12.99,12.99,7700
2020-06-02,13.32,13.32,13.32,13.32,1600
2020-06-03,13.32,13.32,13.32,13.32,0
2020-06-04,13.64,13.64,13.32,13.32,8900
2020-06-05,13.45,13.45,13.45,13.32,0
2020-06-08,13.64,13.64,13.64,13.64,1000
2020-06-09,13.64,13.64,13.64,13.64,0
2020-06-10,13.64,13.64,13.64,13.64,0
2020-06-11,13.64,13.64,13.64,13.64,0
2020-06-12,13.64,13.64,13.64,13.64,0
2020-06-15,13.64,13.64,13.64,13.64,0
2020-06-16,13.64,13.64,13.64,13.64,0
2020-06-17,13.64,13.64,13.64,13.64,10
2020-06-18,13.64,13.64,13.64,13.64,100
2020-06-19,13.64,13.64,13.64,13.64,0
2020-06-22,13.64,13.64,13.64,13.64,0
2020-06-23,13.97,13.97,13.64,13.64,200
2020-06-24,13.64,13.64,13.64,13.64,100
2020-06-25,13.64,13.64,13.64,13.64,0
2020-06-26,13.64,13.64,13.64,13.64,0
2020-06-29,13.64,13.64,13.64,13.64,10
2020-06-30,13.64,13.64,13.64,13.64,200
2020-07-01,13.64,13.64,13.64,13.64,0
2020-07-02,13.64,13.64,13.64,13.64,0
2020-07-03,13.64,13.64,13.64,13.64,0
2020-07-06,13.64,13.64,13.64,13.64,100
2020-07-07,13.64,13.64,13.64,13.64,0
2020-07-08,13.97,13.97,13.97,13.97,100
2020-07-09,13.97,13.97,13.97,13.97,0
2020-07-10,13.97,13.97,13.97,13.97,0
2020-07-13,13.97,13.97,13.97,13.97,0
2020-07-14,13.97,13.97,13.97,13.97,0
2020-07-15,13.97,13.97,13.97,13.97,0
2020-07-16,13.97,13.97,13.97,13.97,0
2020-07-17,13.97,13.97,13.97,13.97,0
2020-07-20,13.97,13.97,13.97,13.97,0
2020-07-21,13.97,13.97,13.97,13.97,0
2020-07-22,13.64,13.64,13.64,13.64,200
2020-07-23,13.64,13.64,13.64,13.64,500
2020-07-24,13.64,13.64,13.64,13.64,0
