time,open,high,low,close,volume
2020-01-06,7.67,7.85,7.58,7.85,3836947
2020-01-07,7.85,7.85,7.58,7.67,1378587
2020-01-08,7.76,7.76,7.39,7.48,3326547
2020-01-09,7.48,7.48,7.2,7.3,2652190
2020-01-10,7.3,7.3,7.02,7.11,2137026
2020-01-13,7.11,7.11,6.74,6.93,2759130
2020-01-14,6.93,6.93,6.65,6.84,1688991
2020-01-15,6.84,6.93,6.65,6.74,934445
2020-01-16,6.74,7.02,6.65,6.84,2902912
2020-01-17,6.84,6.93,6.65,6.74,1181300
2020-01-20,6.74,6.93,6.65,6.93,1126220
2020-01-21,6.93,7.85,6.93,7.85,9879031
2020-01-22,7.94,7.94,7.67,7.76,2282520
2020-01-30,7.85,7.85,7.3,7.58,2743532
2020-01-31,7.48,7.48,6.93,7.02,2822569
2020-02-03,7.02,7.02,6.28,6.84,3747796
2020-02-04,6.74,7.11,6.74,7.11,2443762
2020-02-05,7.02,7.11,6.84,7.02,923440
2020-02-06,6.93,7.3,6.93,7.2,1826752
2020-02-07,7.2,7.2,7.02,7.02,1135672
2020-02-10,7.02,7.02,6.84,6.93,1080915
2020-02-11,6.93,7.02,6.84,7.02,550993
2020-02-12,7.02,7.3,7.02,7.2,1453371
2020-02-13,7.2,7.3,7.11,7.2,824818
2020-02-14,7.2,7.3,7.11,7.2,565040
2020-02-17,7.2,7.3,7.11,7.2,901360
2020-02-18,7.2,7.2,6.93,7.11,940476
2020-02-19,7.02,7.2,7.02,7.11,521327
2020-02-20,7.11,7.3,7.11,7.2,763481
2020-02-21,7.2,7.3,7.02,7.11,1067633
2020-02-24,7.11,7.11,6.65,6.74,2076235
2020-02-25,6.74,6.84,6.56,6.84,1895380
2020-02-26,6.74,6.93,6.56,6.84,1506840
2020-02-27,6.84,6.93,6.74,6.84,791522
2020-02-28,6.84,6.93,6.65,6.84,2431582
2020-03-02,6.84,7.11,6.65,7.02,2928755
2020-03-03,7.02,7.58,7.02,7.3,4877781
2020-03-04,7.39,7.48,7.2,7.48,1678305
2020-03-05,7.48,7.76,7.48,7.67,2911743
2020-03-06,7.58,7.58,7.3,7.48,1852717
2020-03-09,7.2,7.2,6.28,6.47,6939472
2020-03-10,6.0,6.74,6.0,6.65,2521792
2020-03-11,6.56,6.84,6.37,6.56,4072814
2020-03-12,6.47,6.47,6.19,6.28,5065041
2020-03-13,6.28,6.37,5.91,6.28,2004446
2020-03-16,6.28,6.56,6.19,6.37,2839903
2020-03-17,6.28,6.47,6.19,6.47,1249700
2020-03-18,6.47,6.47,6.0,6.0,5270301
2020-03-19,6.0,6.1,5.73,5.91,3181479
2020-03-20,5.91,6.0,5.64,5.73,5539323
2020-03-23,5.64,5.64,4.99,4.99,7326967
2020-03-24,5.64,5.64,4.71,5.26,1470085
2020-03-25,5.26,5.45,5.17,5.26,2703274
2020-03-26,5.26,5.26,4.99,5.08,1517984
2020-03-27,5.08,5.17,4.99,5.08,990510
2020-03-30,4.9,4.99,4.34,4.53,2159515
2020-03-31,4.34,4.71,4.34,4.43,2202715
2020-04-01,4.34,4.71,4.25,4.62,2092997
2020-04-03,4.8,5.17,4.62,5.17,4006383
2020-04-06,5.17,5.64,5.08,5.64,4762754
2020-04-07,5.64,5.64,5.17,5.26,4013139
2020-04-08,5.36,5.36,4.99,5.26,2956727
2020-04-09,5.26,5.45,5.26,5.36,3914822
2020-04-10,5.26,5.45,5.26,5.36,4935592
2020-04-13,5.45,5.54,5.26,5.36,3111240
2020-04-14,5.45,5.45,5.08,5.17,3486419
2020-04-15,5.17,5.36,5.08,5.26,2500874
2020-04-16,5.26,5.36,5.08,5.26,3552453
2020-04-17,5.26,5.91,5.26,5.82,14305861
2020-04-20,6.0,6.28,5.73,5.82,9751302
2020-04-21,5.82,5.82,5.26,5.36,7437718
2020-04-22,5.08,5.36,4.9,5.36,4836352
2020-04-23,5.45,5.64,5.26,5.54,3418414
2020-04-24,5.54,5.82,5.54,5.64,4107975
2020-04-27,5.64,5.64,5.26,5.36,2424175
2020-04-28,5.36,5.45,5.26,5.36,2040923
2020-04-29,5.36,5.54,5.36,5.54,2205788
2020-05-04,5.54,5.64,5.36,5.45,1785660
2020-05-05,5.45,5.54,5.36,5.54,1753835
2020-05-06,5.54,5.73,5.45,5.54,4971490
2020-05-07,5.54,5.64,5.45,5.54,1699157
2020-05-08,5.54,5.73,5.54,5.64,4944384
2020-05-11,5.64,5.91,5.54,5.82,7933781
2020-05-12,5.82,5.91,5.73,5.91,5117555
2020-05-13,5.91,6.0,5.73,5.91,5364068
2020-05-14,5.91,6.1,5.82,6.0,6662670
2020-05-15,6.1,6.19,5.82,6.0,6803277
2020-05-18,6.0,6.0,5.82,6.0,2899270
2020-05-19,6.0,6.28,5.91,6.0,5607514
2020-05-20,6.0,6.1,5.91,6.0,2200890
2020-05-21,6.0,6.1,5.91,6.0,3042092
2020-05-22,6.0,6.1,5.73,5.91,5814350
2020-05-25,5.91,5.91,5.73,5.91,3993591
2020-05-26,5.82,5.91,5.73,5.91,4077920
2020-05-27,5.91,6.0,5.82,5.91,4015031
