time,open,high,low,close,volume
2020-01-06,10.52,10.52,10.52,10.52,3100
2020-01-07,10.33,10.33,10.14,10.14,6300
2020-01-08,10.21,10.21,10.21,10.14,0
2020-01-09,10.96,10.96,10.96,10.96,100
2020-01-10,10.96,10.96,10.96,10.96,0
2020-01-13,10.27,10.27,10.27,10.27,400
2020-01-14,10.27,10.27,10.27,10.27,0
2020-01-15,10.27,10.27,10.27,10.27,0
2020-01-16,10.27,10.27,10.27,10.27,0
2020-01-17,10.27,10.27,10.27,10.27,100
2020-01-20,10.4,10.4,10.4,10.4,10400
2020-01-21,10.4,10.4,10.4,10.4,0
2020-01-22,11.03,11.03,11.03,11.03,100
2020-01-30,10.4,10.4,10.08,10.08,500
2020-01-31,10.4,10.4,10.4,10.4,200
2020-02-03,10.21,10.21,9.01,9.89,12000
2020-02-04,9.77,9.77,9.64,9.77,3000
2020-02-05,9.7,9.7,9.7,9.77,0
2020-02-06,9.7,9.7,9.7,9.77,0
2020-02-07,9.7,9.7,9.7,9.77,0
2020-02-10,9.96,9.96,9.96,9.96,100
2020-02-11,9.96,9.96,9.96,9.96,0
2020-02-12,10.08,10.59,10.08,10.59,1400
2020-02-13,10.46,10.46,10.4,10.4,4600
2020-02-14,10.46,10.46,10.46,10.46,1300
2020-02-17,10.4,10.46,10.4,10.46,1300
2020-02-18,10.46,10.52,10.46,10.52,20500
2020-02-19,10.52,10.52,10.52,10.52,5700
2020-02-20,10.46,10.46,10.46,10.46,150
2020-02-21,10.46,10.46,10.46,10.46,0
2020-02-24,10.4,10.4,10.21,10.21,6300
2020-02-25,8.76,10.27,8.76,10.27,6950
2020-02-26,10.4,10.4,10.4,10.4,2100
2020-02-27,9.89,10.59,9.89,10.59,1300
2020-02-28,10.27,10.27,10.21,10.21,15200
2020-03-02,10.21,10.21,10.21,10.21,11100
2020-03-03,10.33,10.33,10.21,10.21,4500
2020-03-04,10.14,10.27,10.14,10.27,900
2020-03-05,10.21,10.21,10.21,10.21,1500
2020-03-06,10.21,10.21,10.21,10.21,0
2020-03-09,10.14,10.14,9.45,9.52,38400
2020-03-10,8.63,9.77,8.63,9.77,5900
2020-03-11,9.58,9.58,9.52,9.52,4500
2020-03-12,8.88,8.95,8.88,8.88,2300
2020-03-13,9.45,9.45,9.07,9.45,4000
2020-03-16,8.32,8.76,8.32,8.57,2775
2020-03-17,8.32,9.58,8.32,9.58,2500
2020-03-18,9.07,9.07,9.07,9.58,0
2020-03-19,8.88,9.77,8.88,9.77,4800
2020-03-20,9.01,9.01,9.01,9.01,1000
2020-03-23,9.45,9.45,9.33,9.45,4100
2020-03-24,9.26,9.26,9.14,9.14,1400
2020-03-25,10.52,10.52,9.89,9.89,4800
2020-03-26,9.89,9.89,9.89,9.89,5700
2020-03-27,9.89,9.89,9.89,9.89,3100
2020-03-30,10.08,10.08,10.08,10.08,100
2020-03-31,10.02,10.02,10.02,10.02,100
2020-04-01,9.96,9.96,9.96,9.96,615
2020-04-03,10.14,10.14,10.14,10.14,900
2020-04-06,10.14,10.27,10.08,10.27,1205
2020-04-07,9.77,10.14,9.7,9.83,3820
2020-04-08,10.14,10.14,10.14,10.14,1200
2020-04-09,10.02,10.02,9.83,9.96,1208
2020-04-10,10.08,10.27,10.08,10.27,5300
2020-04-13,10.4,10.4,10.4,10.4,1000
2020-04-14,10.4,10.4,10.4,10.4,7100
2020-04-15,10.4,10.4,9.89,9.89,2500
2020-04-16,10.33,10.33,10.33,10.33,2500
2020-04-17,9.96,10.02,9.83,10.02,1800
2020-04-20,9.96,9.96,9.89,9.96,24200
2020-04-21,10.02,10.02,9.83,9.83,1900
2020-04-22,9.89,9.89,9.89,9.89,1012
2020-04-23,10.14,10.14,9.77,9.77,4200
2020-04-24,9.83,10.08,9.83,9.96,29900
2020-04-27,9.89,9.89,9.89,9.96,0
2020-04-28,9.89,9.89,9.89,9.96,0
2020-04-29,9.96,10.08,9.96,10.08,900
2020-05-04,10.02,10.02,10.02,10.08,0
2020-05-05,10.02,10.08,10.02,10.08,3300
2020-05-06,10.08,10.08,10.08,10.08,5000
2020-05-07,10.27,10.27,10.27,10.27,200
2020-05-08,10.21,10.21,10.21,10.21,200
2020-05-11,10.21,10.4,10.21,10.4,3400
2020-05-12,10.46,10.52,10.4,10.4,2500
2020-05-13,10.65,10.96,10.65,10.96,7100
2020-05-14,10.71,11.34,10.71,11.09,14800
2020-05-15,11.28,11.28,11.03,11.09,11200
2020-05-18,11.28,12.73,11.28,12.73,24700
2020-05-19,13.8,13.8,13.8,13.8,4724
2020-05-20,15.82,15.82,14.49,14.49,11000
2020-05-21,13.86,13.86,13.3,13.86,21300
2020-05-22,13.55,13.8,13.55,13.8,2100
2020-05-25,13.23,13.86,13.23,13.86,8100
2020-05-26,13.61,13.86,13.61,13.86,6600
2020-05-27,13.99,13.99,13.42,13.99,2410
2020-05-28,13.3,13.8,13.3,13.74,6500
2020-05-29,13.42,13.86,13.42,13.86,300
2020-06-01,13.3,14.18,13.3,13.99,15300
2020-06-02,14.12,14.12,13.99,13.99,709
2020-06-03,14.05,14.05,13.99,14.05,3100
2020-06-04,13.93,13.99,13.93,13.99,2400
2020-06-05,13.86,13.86,13.8,13.8,3200
2020-06-08,14.05,14.05,13.74,14.05,1509
2020-06-09,13.93,13.93,13.93,13.93,1000
2020-06-10,13.93,13.99,13.93,13.99,3700
2020-06-11,13.99,13.99,13.99,13.99,0
2020-06-12,13.8,13.99,13.8,13.99,2000
2020-06-15,13.8,13.8,13.74,13.8,3300
2020-06-16,13.99,13.99,13.99,13.99,1000
