time,open,high,low,close,volume
2020-01-06,7.34,7.49,7.31,7.49,6750
2020-01-07,7.49,7.49,7.49,7.49,500
2020-01-08,7.49,7.49,7.49,7.49,30
2020-01-09,7.31,7.31,7.31,7.31,920
2020-01-10,7.46,7.46,7.46,7.46,280
2020-01-13,7.46,7.46,7.43,7.43,530
2020-01-14,7.55,7.55,7.31,7.31,40
2020-01-15,7.24,7.24,7.21,7.24,4620
2020-01-16,7.24,7.28,7.24,7.24,3610
2020-01-17,7.03,7.34,7.0,7.34,8700
2020-01-20,7.31,7.31,7.31,7.31,100
2020-01-21,7.37,7.79,7.37,7.79,17250
2020-01-22,8.22,8.22,7.79,7.82,12930
2020-01-30,7.92,7.98,7.85,7.98,35100
2020-01-31,7.85,7.92,7.79,7.92,16610
2020-02-03,7.73,7.92,7.61,7.92,35310
2020-02-04,7.85,8.16,7.85,8.04,31040
2020-02-05,7.85,7.98,7.85,7.92,8400
2020-02-06,7.92,8.1,7.85,8.1,37960
2020-02-07,8.1,8.22,8.07,8.22,121850
2020-02-10,8.25,8.58,8.22,8.43,121520
2020-02-11,8.52,8.52,8.34,8.4,30460
2020-02-12,8.34,8.43,8.25,8.34,8530
2020-02-13,8.34,8.34,8.13,8.31,32170
2020-02-14,8.34,8.43,8.1,8.34,21870
2020-02-17,8.43,8.43,8.22,8.37,22730
2020-02-18,8.4,8.4,8.22,8.28,16970
2020-02-19,8.22,8.37,8.19,8.37,20010
2020-02-20,8.31,8.4,8.22,8.34,7040
2020-02-21,8.25,8.28,8.22,8.22,21750
2020-02-24,8.16,8.16,8.04,8.16,20080
2020-02-25,8.04,8.1,7.98,8.07,19030
2020-02-26,8.07,8.1,8.07,8.1,12360
2020-02-27,8.07,8.31,8.07,8.31,10750
2020-02-28,8.13,8.16,8.1,8.16,11420
2020-03-02,8.22,8.22,8.13,8.19,8290
2020-03-03,8.22,8.22,8.16,8.22,79280
2020-03-04,8.28,8.28,8.16,8.22,16300
2020-03-05,8.13,8.31,8.13,8.22,3740
2020-03-06,8.13,8.22,8.1,8.19,15360
2020-03-09,8.16,8.16,7.64,7.64,42180
2020-03-10,7.64,7.92,7.61,7.92,43800
2020-03-11,7.92,7.92,7.61,7.61,34070
2020-03-12,7.61,7.61,7.12,7.12,82500
2020-03-13,7.06,7.55,7.0,7.52,21370
2020-03-16,7.37,7.55,7.24,7.49,36260
2020-03-17,7.55,7.7,7.18,7.7,15150
2020-03-18,7.37,7.61,7.37,7.43,14250
2020-03-19,7.18,7.43,7.12,7.43,15210
2020-03-20,7.67,7.67,7.31,7.49,3530
2020-03-23,7.31,7.31,7.0,7.18,29080
2020-03-24,7.31,7.37,7.18,7.24,7420
2020-03-25,7.46,7.46,7.24,7.31,21550
2020-03-26,7.43,7.43,7.06,7.18,12540
2020-03-27,7.18,7.24,7.18,7.24,4180
2020-03-30,7.0,7.18,7.0,7.09,8960
2020-03-31,7.31,7.31,6.67,6.7,61310
