time,open,high,low,close,volume
2020-01-06,3.88,4.62,4.23,4.23,200
2020-01-07,4.23,4.23,4.23,4.23,0
2020-01-08,4.23,4.23,4.23,4.23,0
2020-01-09,4.06,4.06,4.06,4.06,100
2020-01-10,3.7,4.31,3.77,4.15,1000
2020-01-13,3.88,3.88,3.88,3.88,100
2020-01-14,3.88,3.88,3.88,3.88,0
2020-01-15,3.88,3.88,3.88,3.88,0
2020-01-16,3.88,3.88,3.88,3.88,0
2020-01-17,3.7,3.7,3.7,3.7,200
2020-01-20,3.7,3.7,3.7,3.7,0
2020-01-21,3.7,3.7,3.7,3.7,0
2020-01-22,3.79,3.79,3.79,3.79,100
2020-01-30,3.79,3.79,3.79,3.79,0
2020-01-31,3.79,3.79,3.79,3.79,0
2020-02-03,3.7,3.7,3.7,3.7,300
2020-02-04,3.7,3.7,3.7,3.7,0
2020-02-05,3.7,3.7,3.7,3.7,0
2020-02-06,3.7,3.7,3.7,3.7,0
2020-02-07,3.97,3.91,3.74,3.79,400
2020-02-10,4.15,4.15,4.15,4.15,160
2020-02-11,4.06,3.97,3.8,3.88,700
2020-02-12,4.15,4.13,3.86,3.88,1800
2020-02-13,3.7,3.7,3.7,3.7,7500
2020-02-14,3.7,3.7,3.7,3.7,0
2020-02-17,3.79,3.79,3.79,3.79,500
2020-02-18,3.62,3.64,3.55,3.62,4100
2020-02-19,3.79,3.79,3.79,3.79,2000
2020-02-20,3.79,3.79,3.79,3.79,0
2020-02-21,3.62,3.7,3.61,3.62,2280
2020-02-24,3.7,3.7,3.61,3.62,2200
2020-02-25,3.79,3.79,3.79,3.79,200
2020-02-26,3.53,3.89,3.7,3.7,12200
2020-02-27,3.7,3.7,3.7,3.7,0
2020-02-28,3.53,3.53,3.53,3.53,1500
2020-03-02,3.7,3.87,3.7,3.79,6000
2020-03-03,3.7,3.7,3.7,3.7,1100
2020-03-04,3.62,3.62,3.62,3.62,1911
2020-03-05,3.62,3.6,3.52,3.53,4930
2020-03-06,3.53,3.68,3.59,3.62,3700
2020-03-09,3.44,3.41,3.32,3.35,1320
2020-03-10,3.18,3.54,3.35,3.35,1100
2020-03-11,3.44,3.44,3.44,3.44,3000
2020-03-12,3.26,3.26,3.26,3.26,400
2020-03-13,3.26,3.98,3.49,3.53,1900
2020-03-16,3.44,3.44,3.44,3.44,100
2020-03-17,3.26,3.26,3.26,3.26,150
2020-03-18,3.26,3.26,3.26,3.26,300
2020-03-19,3.18,3.15,3.06,3.09,7760
2020-03-20,3.09,3.09,3.09,3.09,1000
2020-03-23,3.09,3.09,3.09,3.09,10
2020-03-24,3.09,3.09,3.09,3.09,0
2020-03-25,3.09,3.09,3.09,3.09,0
2020-03-26,3.09,3.09,3.09,3.09,1311
2020-03-27,3.09,3.09,3.09,3.09,400
2020-03-30,3.09,3.09,3.09,3.09,0
2020-03-31,3.0,3.76,3.17,3.35,1700
2020-04-01,3.35,3.73,3.26,3.53,1850
2020-04-03,3.53,3.31,2.98,3.18,2700
2020-04-06,3.18,3.45,3.18,3.44,4650
2020-04-07,3.44,3.29,3.12,3.26,1200
2020-04-08,3.18,3.1,2.77,3.0,7000
2020-04-09,3.0,3.0,3.0,3.0,0
2020-04-10,3.0,3.15,3.06,3.09,3000
2020-04-13,3.09,3.09,3.09,3.09,1100
2020-04-14,3.18,3.18,3.18,3.18,100
2020-04-15,3.09,3.09,3.09,3.09,100
2020-04-16,3.18,3.46,3.19,3.35,2330
2020-04-17,3.26,3.62,3.44,3.44,9205
2020-04-20,3.53,3.72,3.54,3.7,15050
2020-04-21,3.7,3.7,3.7,3.7,2100
2020-04-22,3.53,3.8,3.62,3.7,3900
2020-04-23,3.35,4.02,3.64,3.7,600
2020-04-24,3.7,3.7,3.7,3.7,500
2020-04-27,3.35,3.35,3.35,3.35,100
2020-04-28,3.18,3.18,3.18,3.18,100
2020-04-29,3.35,3.29,3.12,3.26,4455
2020-05-04,3.53,3.53,3.53,3.53,4403
