time,open,high,low,close,volume
2020-01-06,21.51,21.51,21.51,21.51,0
2020-01-07,21.51,21.51,21.51,21.51,0
2020-01-08,23.29,23.29,23.29,23.29,139
2020-01-09,25.59,25.59,25.59,25.59,100
2020-01-10,25.59,25.59,25.59,25.59,0
2020-01-13,28.11,28.11,26.7,26.7,1101
2020-01-14,26.7,26.7,26.7,26.7,0
2020-01-15,29.38,29.38,29.38,29.38,100
2020-01-16,29.38,29.38,29.38,29.38,0
2020-01-17,32.27,32.27,32.27,32.27,100
2020-01-20,35.46,35.46,35.46,35.46,100
2020-01-21,35.46,35.46,35.46,35.46,0
2020-01-22,38.94,38.94,38.94,38.94,100
2020-01-30,38.94,38.94,38.94,38.94,0
2020-01-31,42.8,42.8,42.8,42.8,100
2020-02-03,42.8,42.8,42.8,42.8,1
2020-02-04,42.8,42.8,42.8,42.8,0
2020-02-05,42.8,42.8,42.8,42.8,0
2020-02-06,42.8,42.8,42.8,42.8,0
2020-02-07,42.8,42.8,42.8,42.8,2
2020-02-10,38.57,38.57,38.57,38.57,2500
2020-02-11,38.57,38.57,38.57,38.57,0
2020-02-12,38.57,38.57,38.57,38.57,0
2020-02-13,38.57,38.57,38.57,38.57,0
2020-02-14,38.57,38.57,38.57,38.57,0
2020-02-17,38.57,38.57,38.57,38.57,0
2020-02-18,38.57,38.57,38.57,38.57,0
2020-02-19,38.57,38.57,38.57,38.57,0
2020-02-20,38.57,38.57,38.57,38.57,10
2020-02-21,38.57,38.57,38.57,38.57,0
2020-02-24,38.57,38.57,38.57,38.57,0
2020-02-25,37.09,37.09,37.09,37.09,10700
2020-02-26,36.35,36.35,36.35,36.35,110
2020-02-27,36.35,36.35,36.35,36.35,0
2020-02-28,36.35,36.35,36.35,36.35,0
2020-03-02,36.35,36.35,36.35,36.35,0
2020-03-03,36.35,36.35,36.35,36.35,0
2020-03-04,36.35,36.35,36.35,36.35,0
2020-03-05,36.35,36.35,36.35,36.35,0
2020-03-06,36.35,36.35,36.35,36.35,0
2020-03-09,36.35,36.35,36.35,36.35,0
2020-03-10,36.35,36.35,36.35,36.35,16
2020-03-11,36.35,36.35,36.35,36.35,0
2020-03-12,36.35,36.35,36.35,36.35,0
2020-03-13,36.35,36.35,36.35,36.35,0
2020-03-16,36.35,36.35,36.35,36.35,12
2020-03-17,36.35,36.35,36.35,36.35,1
2020-03-18,36.35,36.35,36.35,36.35,7
2020-03-19,36.35,36.35,36.35,36.35,0
2020-03-20,36.35,36.35,36.35,36.35,0
2020-03-23,36.35,36.35,36.35,36.35,0
2020-03-24,36.35,36.35,36.35,36.35,0
2020-03-25,36.35,36.35,36.35,36.35,0
2020-03-26,36.35,36.35,36.35,36.35,0
2020-03-27,36.35,36.35,36.35,36.35,0
2020-03-30,36.35,36.35,36.35,36.35,0
2020-03-31,36.35,36.35,36.35,36.35,0
2020-04-01,36.35,36.35,36.35,36.35,0
2020-04-03,36.35,36.35,36.35,36.35,0
2020-04-06,36.35,36.35,36.35,36.35,0
2020-04-07,36.35,36.35,36.35,36.35,0
2020-04-08,36.35,36.35,36.35,36.35,0
2020-04-09,36.35,36.35,36.35,36.35,1
2020-04-10,36.35,36.35,36.35,36.35,0
2020-04-13,36.35,36.35,36.35,36.35,0
2020-04-14,36.35,36.35,36.35,36.35,0
2020-04-15,36.35,36.35,36.35,36.35,0
2020-04-16,36.35,36.35,36.35,36.35,0
