time,open,high,low,close,volume
2020-01-06,1.8,1.8,1.8,1.8,0
2020-01-07,1.8,1.8,1.8,1.8,0
2020-01-08,1.8,1.8,1.8,1.8,1500
2020-01-09,1.8,2.0,1.8,2.0,1100
2020-01-10,1.7,1.7,1.6,1.6,5900
2020-01-13,1.6,1.8,1.6,1.7,4600
2020-01-14,1.8,1.9,1.8,1.9,1600
2020-01-15,2.0,2.0,2.0,2.0,100
2020-01-16,2.0,2.0,2.0,2.0,0
2020-01-17,2.0,2.0,2.0,2.0,0
2020-01-20,1.9,1.9,1.9,1.9,1000
2020-01-21,1.9,1.9,1.9,1.9,0
2020-01-22,2.1,2.1,2.1,2.1,2500
2020-01-30,1.8,1.8,1.8,1.8,18800
2020-01-31,1.8,1.8,1.6,1.6,600
2020-02-03,1.8,1.8,1.8,1.8,10000
2020-02-04,1.7,1.7,1.6,1.6,400
2020-02-05,1.6,1.6,1.6,1.6,0
2020-02-06,1.6,1.6,1.6,1.6,0
2020-02-07,1.7,1.7,1.7,1.7,300
2020-02-10,1.8,1.8,1.8,1.8,100
2020-02-11,1.8,1.8,1.8,1.8,3700
2020-02-12,1.8,1.8,1.8,1.8,0
2020-02-13,1.7,1.7,1.7,1.7,900
2020-02-14,1.7,1.7,1.7,1.7,3200
2020-02-17,1.7,1.7,1.7,1.7,5000
2020-02-18,1.8,1.8,1.8,1.8,200
2020-02-19,1.8,1.8,1.8,1.8,0
2020-02-20,1.8,1.8,1.8,1.8,0
2020-02-21,1.7,1.7,1.7,1.7,600
2020-02-24,1.7,1.7,1.7,1.7,0
2020-02-25,1.6,1.6,1.5,1.5,40500
2020-02-26,1.5,1.5,1.3,1.3,3700
2020-02-27,1.3,1.3,1.2,1.3,33900
2020-02-28,1.2,1.2,1.2,1.2,45300
2020-03-02,1.2,1.3,1.1,1.1,45700
2020-03-03,1.3,1.3,1.3,1.3,12100
2020-03-04,1.4,1.4,1.4,1.4,11000
2020-03-05,1.5,1.6,1.3,1.4,37000
2020-03-06,1.3,1.3,1.2,1.2,15100
2020-03-09,1.4,1.4,1.2,1.4,12400
2020-03-10,1.3,1.3,1.3,1.3,19900
2020-03-11,1.4,1.4,1.3,1.4,2900
2020-03-12,1.4,1.4,1.2,1.2,10700
2020-03-13,1.1,1.3,1.1,1.3,101100
2020-03-16,1.2,1.2,1.1,1.2,6700
2020-03-17,1.2,1.2,1.1,1.2,39200
2020-03-18,1.2,1.3,1.1,1.3,35300
2020-03-19,1.3,1.3,1.2,1.3,7300
2020-03-20,1.2,1.4,1.2,1.4,5800
2020-03-23,1.2,1.2,1.2,1.2,1900
2020-03-24,1.2,1.3,1.2,1.3,7600
2020-03-25,1.3,1.4,1.3,1.4,1800
2020-03-26,1.4,1.4,1.4,1.4,0
2020-03-27,1.2,1.3,1.2,1.3,800
2020-03-30,1.4,1.4,1.4,1.4,100
2020-03-31,1.4,1.4,1.4,1.4,200
2020-04-01,1.6,1.6,1.4,1.6,5200
2020-04-03,1.4,1.4,1.3,1.3,3000
2020-04-06,1.4,1.4,1.3,1.4,13300
2020-04-07,1.2,1.4,1.2,1.4,10000
2020-04-08,1.4,1.4,1.4,1.4,8110
2020-04-09,1.3,1.5,1.3,1.5,5400
2020-04-10,1.2,1.3,1.2,1.3,42000
2020-04-13,1.2,1.2,1.2,1.2,13500
2020-04-14,1.2,1.2,1.1,1.2,18100
2020-04-15,1.2,1.2,1.2,1.2,44500
2020-04-16,1.2,1.2,1.2,1.2,8000
2020-04-17,1.3,1.3,1.2,1.2,16100
2020-04-20,1.2,1.2,1.2,1.2,0
2020-04-21,1.2,1.2,1.2,1.2,0
2020-04-22,1.2,1.2,1.2,1.2,0
2020-04-23,1.2,1.2,1.2,1.2,200
2020-04-24,1.2,1.2,1.2,1.2,0
2020-04-27,1.2,1.3,1.2,1.3,2100
2020-04-28,1.1,1.2,1.1,1.2,10200
2020-04-29,1.2,1.3,1.2,1.3,108100
2020-05-04,1.3,1.3,1.2,1.2,77600
2020-05-05,1.2,1.2,1.2,1.2,3200
2020-05-06,1.3,1.3,1.3,1.3,100
