time,open,high,low,close,volume
2020-01-06,59.38,59.56,58.78,58.78,129160
2020-01-07,59.04,59.12,58.6,58.69,67160
2020-01-08,58.17,58.17,57.12,57.38,163230
2020-01-09,58.43,58.43,56.6,56.6,157250
2020-01-10,57.38,58.52,56.52,58.26,136260
2020-01-13,58.17,58.26,57.82,57.99,63230
2020-01-14,57.82,58.26,56.52,57.38,171640
2020-01-15,57.73,57.73,56.78,57.3,92440
2020-01-16,57.21,57.65,57.21,57.38,157100
2020-01-17,57.47,57.47,57.12,57.3,131930
2020-01-20,57.3,57.56,56.6,56.86,107680
2020-01-21,57.21,57.3,56.69,57.3,119020
2020-01-22,56.78,58.26,56.69,58.26,156250
2020-01-30,57.3,57.38,54.34,54.86,335430
2020-01-31,54.86,56.17,51.12,51.12,176570
2020-02-03,47.82,50.6,47.56,48.34,270730
2020-02-04,47.91,49.56,47.91,48.43,312880
2020-02-05,48.6,49.65,48.52,49.39,298760
2020-02-06,50.43,50.78,49.65,50.78,176570
2020-02-07,51.82,52.0,50.95,52.0,158980
2020-02-10,51.91,51.91,49.73,50.0,208410
2020-02-11,50.0,50.43,49.82,50.26,210080
2020-02-12,51.56,51.56,49.91,50.0,192330
2020-02-13,50.69,50.69,49.82,50.0,145610
2020-02-14,50.0,50.17,49.56,49.56,215320
2020-02-17,49.56,50.0,49.04,49.04,178000
2020-02-18,49.82,49.82,48.69,48.78,313670
2020-02-19,48.78,49.56,48.26,49.04,159970
2020-02-20,49.04,50.43,49.04,50.0,281140
2020-02-21,50.0,52.0,50.0,50.86,369290
2020-02-24,47.39,50.0,47.39,48.69,211810
2020-02-25,48.26,49.47,48.26,49.47,98010
2020-02-26,48.43,49.21,48.26,48.26,258550
2020-02-27,48.34,49.04,47.47,49.04,240770
2020-02-28,47.82,48.26,47.39,47.73,225310
2020-03-02,47.73,48.26,47.56,47.56,150220
2020-03-03,48.26,48.52,47.73,48.43,134260
2020-03-04,48.43,48.43,47.82,48.43,98150
2020-03-05,48.86,48.86,47.91,48.0,180900
2020-03-06,47.82,48.26,47.47,47.91,140150
2020-03-09,44.78,45.21,44.6,44.6,223930
2020-03-10,42.0,45.21,41.52,42.34,379820
2020-03-11,42.34,44.0,39.39,39.65,333320
2020-03-12,37.21,39.13,36.91,36.91,333240
2020-03-13,34.34,36.52,34.34,35.17,771590
2020-03-16,35.21,35.65,33.48,33.48,256330
2020-03-17,33.04,34.78,31.74,33.91,259670
2020-03-18,34.52,34.95,33.91,33.91,359810
2020-03-19,33.74,33.74,32.0,32.26,410470
2020-03-20,32.26,32.87,30.17,30.17,1738250
2020-03-23,30.43,30.43,28.08,28.08,719140
2020-03-24,28.69,30.04,28.26,30.04,656590
2020-03-25,31.48,32.13,31.48,32.13,572360
2020-03-26,32.87,34.34,32.6,34.34,1358190
2020-03-27,34.78,35.48,33.04,33.04,891510
2020-03-30,31.04,32.87,30.74,31.3,539450
2020-03-31,31.3,32.78,31.04,32.17,805060
2020-04-01,32.17,34.39,32.08,34.39,640300
2020-04-03,35.21,36.78,35.21,36.78,1120910
2020-04-06,36.87,39.34,36.82,39.34,1131900
2020-04-07,39.56,41.65,38.86,41.56,851500
2020-04-08,40.0,43.04,38.95,41.56,993810
2020-04-09,41.56,43.13,40.86,41.04,803850
2020-04-10,40.86,41.82,39.6,40.0,750810
2020-04-13,40.86,41.39,39.91,40.21,688640
2020-04-14,40.21,40.52,39.3,40.17,558310
2020-04-15,40.86,42.69,40.78,42.26,699600
2020-04-16,42.17,42.26,41.04,41.95,448560
2020-04-17,42.6,42.6,41.3,42.13,758580
2020-04-20,41.82,42.13,41.04,41.6,893750
2020-04-21,40.86,41.39,39.65,39.65,608330
2020-04-22,38.34,41.74,38.34,40.86,398660
2020-04-23,41.65,42.04,40.86,41.13,607220
2020-04-24,41.3,41.3,40.34,40.86,307960
2020-04-27,41.74,41.74,40.39,40.39,287510
2020-04-28,40.26,40.78,39.21,40.08,433680
2020-04-29,39.65,40.43,39.65,40.17,312690
2020-05-04,40.0,40.39,38.34,38.34,449700
2020-05-05,38.26,39.13,38.26,39.13,361060
2020-05-06,39.3,40.43,38.69,40.43,587550
2020-05-07,40.43,41.3,40.0,40.82,874170
2020-05-08,40.86,42.95,40.86,41.65,1646520
2020-05-11,42.13,42.43,41.74,41.86,917750
2020-05-12,41.65,43.47,41.3,43.3,1471180
2020-05-13,43.21,45.65,42.21,43.91,1085990
2020-05-14,43.04,44.34,43.04,43.21,963990
2020-05-15,43.39,43.74,41.91,41.95,932240
2020-05-18,42.17,42.78,41.74,42.43,619780
2020-05-19,43.56,43.56,42.17,42.26,999630
2020-05-20,42.21,43.47,42.0,43.04,873620
2020-05-21,43.39,44.34,43.04,43.56,1347860
2020-05-22,43.21,43.82,42.69,42.74,891980
2020-05-25,42.78,43.26,42.6,43.04,618230
2020-05-26,42.95,45.56,42.82,45.21,2157490
2020-05-27,45.65,46.26,43.91,43.91,1804210
2020-05-28,43.91,44.43,43.3,43.82,771840
2020-05-29,43.65,43.82,43.21,43.43,865840
2020-06-01,43.56,44.52,43.56,44.08,710180
2020-06-02,44.34,44.43,43.39,43.39,1122590
2020-06-03,43.47,43.74,42.95,43.39,1059760
2020-06-04,43.47,44.08,43.26,43.34,690490
2020-06-05,43.34,43.34,42.69,43.26,669340
2020-06-08,43.65,44.78,43.56,44.0,1401870
2020-06-09,44.34,46.08,44.26,45.56,2255000
2020-06-10,45.73,46.08,44.69,45.91,1128810
2020-06-11,45.65,45.82,42.78,42.78,1531870
2020-06-12,42.43,42.6,40.43,42.0,1764620
2020-06-15,42.17,43.0,40.0,41.04,1240270
2020-06-16,41.74,42.78,41.39,42.78,641350
2020-06-17,42.78,42.78,41.74,41.74,487610
2020-06-18,41.56,42.04,41.13,41.74,274450
2020-06-19,41.74,43.04,41.74,43.04,1296450
2020-06-22,42.6,43.3,42.17,42.6,570410
2020-06-23,42.6,42.95,41.82,42.26,526810
2020-06-24,42.26,42.52,41.74,41.74,515830
2020-06-25,41.3,41.74,41.21,41.74,434930
2020-06-26,41.74,42.0,41.3,41.3,272160
2020-06-29,40.0,40.86,39.65,39.78,810560
2020-06-30,40.3,40.47,39.13,39.56,422070
2020-07-01,40.0,40.0,39.3,39.95,538190
2020-07-02,39.95,41.3,39.86,40.78,474710
2020-07-03,40.52,40.86,39.13,40.43,323340
2020-07-06,40.43,41.3,40.26,40.86,435550
2020-07-07,41.04,41.65,40.95,41.04,548920
2020-07-08,40.95,41.26,40.74,41.04,225550
2020-07-09,41.21,41.65,41.04,41.52,444710
2020-07-10,41.3,42.3,41.21,41.65,561640
2020-07-13,41.74,42.04,41.3,41.3,435230
2020-07-14,41.21,41.47,40.91,41.34,352890
2020-07-15,41.56,41.82,41.39,41.6,611470
2020-07-16,41.69,41.78,41.3,41.74,361820
2020-07-17,41.74,42.52,41.43,42.04,641980
2020-07-20,42.08,42.08,40.95,40.95,499110
2020-07-21,41.04,41.04,40.52,40.6,529300
2020-07-22,40.6,41.04,39.95,40.0,641900
2020-07-23,40.0,40.26,39.56,39.91,394690
2020-07-24,39.82,40.0,37.21,37.91,822340
2020-07-27,35.3,36.91,35.26,35.26,1074090
2020-07-28,35.21,36.78,35.21,36.43,731010
2020-07-29,35.21,36.34,34.43,34.87,595950
2020-07-30,35.48,35.65,35.13,35.3,413760
2020-07-31,34.34,35.74,34.08,35.13,875290
2020-08-03,35.13,37.56,35.13,37.56,766120
2020-08-04,38.6,40.0,38.34,39.39,741900
2020-08-05,39.39,40.17,38.69,40.0,848700
2020-08-06,39.95,39.95,39.26,39.43,446440
2020-08-07,39.56,39.56,38.82,39.04,478820
2020-08-10,39.13,39.74,39.13,39.47,364040
2020-08-11,39.56,39.69,39.3,39.34,216390
2020-08-12,39.47,39.78,39.13,39.52,333050
2020-08-13,40.82,41.39,39.56,40.82,920670
2020-08-14,40.82,40.86,39.78,39.86,584630
2020-08-17,39.82,39.82,39.3,39.56,230300
2020-08-18,39.56,39.74,38.69,38.78,762020
2020-08-19,38.78,39.47,38.78,39.39,348070
2020-08-20,39.56,39.82,38.91,39.39,378780
2020-08-21,39.39,39.95,39.39,39.86,438610
2020-08-24,40.43,40.95,40.04,40.78,948780
2020-08-25,41.3,41.91,41.17,41.21,1069560
2020-08-26,41.21,41.65,41.04,41.39,548640
2020-08-27,41.39,41.56,41.04,41.39,585730
2020-08-28,41.47,42.08,41.08,41.78,1183880
2020-08-31,41.95,43.74,41.95,43.39,2226020
2020-09-01,43.3,44.86,43.13,44.78,1763210
2020-09-03,44.78,45.3,44.52,44.95,1133940
2020-09-04,43.91,44.69,43.56,44.6,1202750
2020-09-07,44.78,45.13,42.65,42.65,1640520
2020-09-08,43.04,43.47,42.47,43.39,996740
2020-09-09,42.6,43.3,42.43,42.86,684210
2020-09-10,43.04,43.47,41.91,42.0,1823420
2020-09-11,41.13,41.74,41.13,41.43,1033830
2020-09-14,41.47,43.04,41.47,42.26,546410
2020-09-15,42.26,42.43,41.74,41.78,517470
2020-09-16,41.74,41.91,41.69,41.86,362290
2020-09-17,41.74,42.08,41.74,42.08,521720
2020-09-18,42.3,42.78,42.26,42.34,950600
2020-09-21,42.56,43.39,42.43,43.0,980320
2020-09-22,42.65,43.74,42.6,43.39,880580
2020-09-23,43.39,43.82,43.21,43.34,651310
2020-09-24,43.04,43.13,42.6,42.86,613090
2020-09-25,42.86,43.13,42.6,43.04,538610
2020-09-28,43.3,43.74,42.86,43.21,538880
2020-09-29,43.26,43.34,41.74,41.74,1113070
2020-09-30,41.74,42.43,41.56,42.34,471690
2020-10-01,42.34,42.65,42.34,42.47,254320
2020-10-02,42.69,42.69,41.04,42.17,657470
2020-10-05,42.08,42.21,41.74,41.74,926830
2020-10-06,42.17,42.56,41.91,42.3,731120
2020-10-07,42.3,43.65,41.91,43.34,1472800
2020-10-08,43.74,44.17,43.13,43.34,686840
2020-10-09,43.17,43.65,42.86,43.3,440560
2020-10-12,43.65,46.08,43.56,46.0,3903200
2020-10-13,46.52,47.56,46.08,46.69,2057180
2020-10-14,46.95,47.56,46.95,47.3,1146350
2020-10-15,46.95,47.65,46.26,46.95,1663940
2020-10-16,46.86,46.86,45.73,46.86,1483160
2020-10-19,47.91,48.69,47.91,48.26,1599020
2020-10-20,48.26,48.78,46.67,47.64,980240
2020-10-21,47.64,47.64,45.87,45.87,1321570
2020-10-22,45.34,47.99,44.99,47.9,1581840
2020-10-23,48.26,49.31,47.9,48.96,1487560
2020-10-26,49.22,49.84,47.55,47.55,1570570
2020-10-27,47.2,47.81,46.4,46.76,960170
2020-10-28,46.31,46.76,43.67,43.67,1554490
2020-10-29,43.23,44.82,42.96,44.28,1239150
2020-10-30,44.82,44.82,43.62,44.55,737940
2020-11-02,44.55,45.17,43.32,44.99,404520
2020-11-03,45.43,46.05,45.17,45.87,759870
2020-11-04,45.87,46.76,45.34,46.4,691310
2020-11-05,46.4,47.02,46.05,46.05,477620
2020-11-06,46.05,46.23,45.43,45.87,423060
2020-11-09,46.23,46.93,45.87,46.67,947000
2020-11-10,47.55,47.55,46.84,47.2,992420
2020-11-11,47.2,47.73,46.58,47.02,725960
2020-11-12,47.2,47.64,46.84,47.64,621470
2020-11-13,47.64,49.05,47.64,48.7,1229580
2020-11-16,48.96,48.96,47.55,47.64,1160320
2020-11-17,47.9,48.43,47.37,48.26,590000
2020-11-18,48.26,49.14,47.99,48.78,1049940
2020-11-19,48.61,50.72,48.52,50.2,1615620
2020-11-20,50.46,50.55,49.93,50.11,460010
2020-11-23,50.02,50.2,49.4,50.11,859800
2020-11-24,50.28,51.17,47.64,49.22,1569950
2020-11-25,49.31,49.84,48.52,48.7,844330
2020-11-26,48.61,48.78,47.99,48.17,892770
2020-11-27,48.43,49.22,48.34,49.22,747250
2020-11-30,49.31,49.84,48.52,48.52,974780
2020-12-01,47.37,48.96,47.37,48.7,992550
2020-12-02,48.7,49.22,48.43,49.22,686600
2020-12-03,49.4,50.11,49.4,49.76,639210
2020-12-04,49.93,50.11,48.78,48.87,545990
2020-12-07,48.96,49.67,48.78,49.4,565990
2020-12-08,49.93,51.34,49.76,50.81,1601980
2020-12-09,50.81,51.61,50.55,51.08,1283610
2020-12-10,51.08,51.17,49.84,50.02,1116050
2020-12-11,50.02,50.72,49.4,50.72,1161870
2020-12-14,51.17,52.4,50.55,51.7,1530650
2020-12-15,51.7,52.4,51.17,51.34,1522230
2020-12-16,51.52,51.7,50.99,51.7,937270
2020-12-17,51.52,51.7,50.28,50.28,1212490
2020-12-18,50.28,50.9,49.93,50.37,1271560
2020-12-21,50.81,50.99,50.2,50.37,1266240
2020-12-22,50.37,50.64,50.11,50.2,871000
2020-12-23,50.55,52.93,50.2,51.7,1934620
2020-12-24,52.05,52.58,50.28,51.52,1191350
2020-12-25,51.96,55.05,51.43,54.61,2812050
2020-12-28,54.7,57.52,54.61,56.46,2393040
2020-12-29,56.37,59.11,55.75,59.11,1342220
2020-12-30,58.93,59.81,56.9,57.34,1719280
2020-12-31,57.34,58.93,56.46,58.22,1317310
2021-01-04,59.11,59.55,57.87,58.49,1192300
2021-01-05,57.78,58.49,57.69,58.22,1018200
2021-01-06,58.66,59.81,58.22,58.66,1472400
2021-01-07,58.66,59.46,58.66,59.11,898000
2021-01-08,59.81,60.87,59.64,60.25,1639800
2021-01-11,61.14,61.14,59.02,60.08,1106000
2021-01-12,59.81,60.34,59.19,60.16,641100
2021-01-13,60.87,62.81,60.43,62.1,1738600
2021-01-14,62.02,62.46,60.16,61.75,710400
2021-01-15,61.93,61.93,60.78,61.22,1399200
2021-01-18,61.22,61.49,60.16,60.52,1008300
2021-01-19,60.52,60.87,56.28,57.34,1798900
2021-01-20,56.55,57.52,53.46,56.72,1133400
2021-01-21,56.9,58.22,56.55,57.96,638500
2021-01-22,58.22,58.4,56.46,57.08,685900
2021-01-25,56.9,57.08,56.46,56.46,695400
2021-01-26,56.46,56.46,52.93,53.37,1166900
2021-01-27,52.22,53.64,50.46,51.17,931000
2021-01-28,48.08,50.28,47.64,47.64,1256500
2021-01-29,44.99,50.46,44.99,49.84,1069500
2021-02-01,50.2,50.72,47.11,47.2,1216900
2021-02-02,47.9,48.96,46.14,48.26,573400
2021-02-03,49.4,51.61,49.4,51.61,810900
2021-02-04,52.84,52.84,51.25,51.25,922900
2021-02-05,52.05,53.11,51.61,52.93,588100
2021-02-08,53.81,53.81,49.49,50.64,914200
2021-02-09,50.64,52.84,50.28,52.84,743300
2021-02-17,53.37,54.61,52.93,54.61,872100
2021-02-18,54.7,54.78,53.37,54.61,803300
2021-02-19,53.81,54.61,53.72,54.25,424400
2021-02-22,54.25,54.43,53.37,53.9,585300
2021-02-23,53.37,53.72,52.67,53.37,954000
2021-02-24,53.72,53.99,52.31,52.67,603300
2021-02-25,52.93,53.37,52.05,52.58,676100
2021-02-26,52.05,52.58,51.87,52.14,556000
2021-03-01,52.67,54.7,52.4,54.52,941100
2021-03-02,55.58,55.58,54.25,54.52,996300
2021-03-03,54.61,54.7,53.99,54.08,489900
2021-03-04,54.61,54.61,52.49,52.93,491000
2021-03-05,52.75,52.75,51.61,52.05,744100
2021-03-08,52.05,53.02,52.05,52.14,784000
2021-03-09,52.05,52.14,51.08,51.96,570700
2021-03-10,52.05,52.93,51.61,52.58,464200
2021-03-11,53.37,53.55,53.02,53.37,561200
2021-03-12,53.64,54.17,52.93,53.37,675600
2021-03-15,53.37,53.46,52.93,53.02,393400
2021-03-16,53.02,53.28,52.22,52.58,379700
2021-03-17,52.75,52.75,52.22,52.58,391200
2021-03-18,53.37,53.64,52.84,53.55,958800
2021-03-19,53.55,56.2,53.55,53.81,3085100
2021-03-22,55.58,55.66,54.78,54.87,1133700
2021-03-23,54.87,55.05,53.9,54.43,868900
2021-03-24,53.2,53.99,51.87,52.49,1152100
2021-03-25,52.67,52.84,52.05,52.4,615600
2021-03-26,52.22,52.49,50.28,51.52,788600
2021-03-29,52.05,52.31,51.61,52.22,522800
2021-03-30,52.93,53.37,52.4,52.93,882200
2021-03-31,52.75,53.02,52.14,52.58,571200
2021-04-01,52.84,53.81,52.49,53.72,1192800
2021-04-02,54.25,55.22,53.99,54.52,1382400
2021-04-05,55.58,55.58,53.55,53.55,1021500
2021-04-06,53.37,54.7,53.2,54.34,938700
2021-04-07,54.34,56.28,54.34,55.93,2403200
2021-04-08,56.11,56.2,54.7,55.05,713300
2021-04-09,54.7,55.58,54.52,55.05,551500
2021-04-12,55.4,55.4,54.25,55.05,1036800
2021-04-13,55.14,55.14,53.2,53.64,1533800
2021-04-14,53.02,53.55,52.67,53.55,1345100
2021-04-15,53.99,54.17,52.49,52.49,1388500
2021-04-16,52.05,52.93,50.72,51.08,1365000
2021-04-19,51.7,52.67,50.9,52.49,711700
2021-04-20,52.67,53.81,52.31,52.93,1224900
2021-04-22,52.93,53.37,51.17,51.17,1053600
2021-04-23,51.17,52.05,50.64,52.05,779100
2021-04-26,52.14,52.14,50.28,50.64,895000
2021-04-27,50.64,50.72,49.84,50.2,590900
2021-04-28,50.37,50.64,49.93,50.64,553200
2021-04-29,50.64,51.08,50.2,50.55,393800
2021-05-04,49.4,49.67,48.61,49.05,1157300
2021-05-05,49.4,50.28,49.14,49.67,824900
2021-05-06,49.67,50.72,49.05,49.4,719300
2021-05-07,49.14,49.4,47.73,47.81,1177400
2021-05-10,47.64,49.67,46.58,49.49,1265100
2021-05-11,49.93,50.37,49.05,49.4,1034700
2021-05-12,49.31,50.2,48.96,50.11,915400
2021-05-13,49.4,49.84,48.87,49.05,828000
2021-05-14,49.31,49.76,48.87,49.22,947900
2021-05-17,49.22,49.4,47.99,48.17,661300
2021-05-18,48.17,48.34,47.46,47.64,663200
2021-05-19,47.64,47.64,46.93,46.93,596100
2021-05-20,46.93,47.11,45.87,46.58,1023200
2021-05-21,46.49,48.43,45.96,47.02,826800
2021-05-24,48.26,48.34,47.64,47.9,461100
2021-05-25,47.9,49.22,47.81,48.7,939400
2021-05-26,48.78,49.58,48.7,48.96,925900
2021-05-27,48.87,50.11,45.61,49.49,1109600
2021-05-28,49.4,49.49,48.7,48.96,499300
2021-05-31,48.52,48.87,47.64,47.73,653800
2021-06-01,47.73,48.08,47.11,47.28,680900
2021-06-02,47.28,47.37,46.84,47.28,658100
2021-06-03,47.64,48.96,47.46,48.43,823800
2021-06-04,48.52,50.72,48.52,50.37,2013000
2021-06-07,50.72,52.49,50.46,51.61,2320700
2021-06-08,51.61,52.49,49.67,50.28,1326600
2021-06-09,49.84,50.02,48.52,49.76,1088500
2021-06-10,49.76,49.76,48.7,48.96,1007100
2021-06-11,49.4,50.81,49.31,50.55,1430200
2021-06-14,51.61,53.55,51.17,52.93,3394700
2021-06-15,52.93,54.25,52.67,53.99,2252500
2021-06-16,53.81,54.25,52.93,53.2,1462800
2021-06-17,52.31,54.7,52.14,54.7,1926300
2021-06-18,54.7,54.96,53.81,53.81,1363900
2021-06-21,53.81,53.81,52.22,52.67,1610800
2021-06-22,53.37,53.81,52.75,52.84,1477500
2021-06-23,53.37,53.37,51.17,51.87,1583600
2021-06-24,51.61,52.75,51.08,51.17,1278900
2021-06-25,51.17,51.61,50.37,51.43,1040900
2021-06-28,52.05,53.2,51.52,52.93,1030400
2021-06-29,52.93,53.11,51.96,52.14,930900
2021-06-30,52.14,52.4,51.52,51.52,804400
2021-07-01,51.96,52.31,51.17,52.05,1073300
2021-07-02,52.49,52.84,51.7,52.14,959500
2021-07-05,52.14,52.14,50.9,51.43,1030100
2021-07-06,51.25,51.87,49.31,49.31,2888400
2021-07-07,49.31,49.31,47.37,48.08,2063400
2021-07-08,48.17,49.67,47.99,48.43,1036200
2021-07-09,48.34,48.87,46.84,46.84,1000800
2021-07-12,46.14,46.76,43.58,44.37,1807900
2021-07-13,44.82,45.34,43.67,44.73,914200
2021-07-14,44.82,45.17,43.23,44.11,793300
2021-07-15,43.67,44.55,43.67,44.55,886900
2021-07-16,44.99,45.78,44.73,44.99,1521200
2021-07-19,44.02,44.37,42.34,42.34,1039700
2021-07-20,42.34,44.02,41.46,44.02,803900
2021-07-21,44.02,44.11,43.45,43.67,372300
2021-07-22,43.76,44.99,43.58,44.82,621400
2021-07-23,44.64,45.43,44.46,44.46,1060900
2021-07-26,43.76,44.9,43.67,44.64,488800
2021-07-27,45.26,45.34,44.37,44.55,656700
2021-07-28,44.11,44.99,44.11,44.28,320800
2021-07-29,44.55,44.73,44.28,44.46,427200
2021-07-30,44.46,45.43,44.46,45.08,960300
2021-08-02,45.61,46.67,45.17,46.14,981300
2021-08-03,46.4,47.2,46.31,46.49,711900
2021-08-04,46.76,47.64,46.49,47.46,1162100
2021-08-05,47.11,47.37,46.84,47.28,659800
2021-08-06,47.2,47.64,46.49,47.46,1125800
2021-08-09,46.93,47.81,46.84,47.55,736800
2021-08-10,47.64,47.99,46.93,47.11,694400
2021-08-11,47.28,48.34,47.11,47.81,1348500
2021-08-12,47.81,48.96,47.81,48.78,1430300
2021-08-13,48.7,48.7,47.55,47.99,828900
2021-08-16,48.08,48.43,47.55,47.81,1051700
2021-08-17,47.81,47.9,47.28,47.28,884100
2021-08-18,47.64,48.78,47.55,48.26,1304200
2021-08-19,48.43,48.7,48.08,48.52,779400
2021-08-20,48.52,48.78,45.78,47.11,1584200
2021-08-23,46.93,46.93,45.87,45.87,1178300
2021-08-24,45.87,46.4,45.52,46.4,765100
2021-08-25,46.4,46.76,45.96,46.49,336100
2021-08-26,46.67,47.46,46.31,46.4,591400
2021-08-27,45.96,47.28,45.87,47.11,656900
2021-08-30,47.28,48.52,47.28,48.52,1461400
2021-08-31,49.4,50.72,49.31,50.28,2580900
2021-09-01,50.55,50.55,49.84,50.11,1249800
2021-09-06,50.2,50.46,49.67,49.76,845100
2021-09-07,49.49,49.84,48.61,48.78,1459500
2021-09-08,48.78,48.87,47.64,47.81,1200700
2021-09-09,48.08,48.87,47.64,48.43,586800
2021-09-10,48.43,49.58,48.08,49.4,921400
2021-09-13,49.4,49.4,48.17,48.17,950400
2021-09-14,48.17,48.52,47.46,47.64,755300
2021-09-15,47.64,47.73,46.76,47.73,829000
2021-09-16,47.81,48.43,47.64,48.08,499100
2021-09-17,47.73,49.14,47.28,47.28,2249200
2021-09-20,48.08,48.26,47.28,47.55,898700
2021-09-21,46.93,49.22,46.93,49.14,1973900
2021-09-22,49.4,52.14,49.4,52.05,4575300
2021-09-23,52.49,52.49,50.9,50.99,1954900
2021-09-24,51.17,52.4,50.81,51.87,1588700
2021-09-27,51.25,51.87,49.84,49.84,2063500
2021-09-28,49.84,51.96,49.14,51.78,1677700
